#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
587688at33208_279965_0:002cde|TRINITY_DN93714_c3_g3_i1:135-287|+     -             51 587688at33208        -            101   2.1e-15   54.0   4.6   1   1   2.1e-17   2.3e-15   53.8   4.6     1    46     1    50     1    51 0.93 -
587688at33208_1415176_0:002a69|TRINITY_DN89874_c10_g3_i1:1547-1735|- -             63 587688at33208        -            101   0.00024   18.5   0.0   1   1   2.2e-06   0.00024   18.5   0.0    50    75    22    47    10    61 0.80 -
587688at33208_1415176_0:002a69|TRINITY_DN89874_c10_g3_i2:1547-1735|- -             63 587688at33208        -            101   0.00024   18.5   0.0   1   1   2.2e-06   0.00024   18.5   0.0    50    75    22    47    10    61 0.80 -
587688at33208_13735_0:003b81|TRINITY_DN75714_c17_g1_i3:589-831|+     -             81 587688at33208        -            101    0.0056   14.1   0.1   1   1   5.5e-05     0.006   14.0   0.1     6    50     1    44     1    69 0.72 -
587688at33208_13735_0:003b81|TRINITY_DN75714_c17_g1_i4:1923-2165|+   -             81 587688at33208        -            101    0.0056   14.1   0.1   1   1   5.5e-05     0.006   14.0   0.1     6    50     1    44     1    69 0.72 -
587688at33208_13735_0:003b81|TRINITY_DN75714_c17_g1_i5:288-530|+     -             81 587688at33208        -            101    0.0056   14.1   0.1   1   1   5.5e-05     0.006   14.0   0.1     6    50     1    44     1    69 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/587688at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/rerun_results/587688at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/587688at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:13:27 2026
# [ok]
