#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465401at33208_91411_0:001757|TRINITY_DN85362_c8_g2_i4:128-1450|+    -            198 465401at33208        -            212   1.4e-22   77.2   0.0   1   1   1.9e-24   1.7e-22   76.9   0.0     4   153    35   188    32   197 0.83 -
465401at33208_51655_0:0020b5|TRINITY_DN88129_c11_g1_i7:1015-1881|-  -            289 465401at33208        -            212   3.1e-15   53.2   0.0   1   1   4.6e-17   4.1e-15   52.7   0.0    29   165    88   236    62   265 0.79 -
465401at33208_166361_0:002bc3|TRINITY_DN71187_c0_g1_i1:1206-1940|-  -            245 465401at33208        -            212   1.7e-13   47.5   0.9   1   1   3.6e-15   3.2e-13   46.6   0.9    29   168    58   208     1   234 0.79 -
465401at33208_104452_0:0015c5|TRINITY_DN90466_c14_g1_i4:1950-2918|- -            323 465401at33208        -            212   7.5e-09   32.3   0.7   1   2   5.8e-07   5.2e-05   19.8   0.1    28    75    73   123    53   145 0.84 -
465401at33208_104452_0:0015c5|TRINITY_DN90466_c14_g1_i4:1950-2918|- -            323 465401at33208        -            212   7.5e-09   32.3   0.7   2   2   0.00033     0.029   10.8   0.0    79   183   194   306   183   318 0.72 -
465401at33208_104452_0:0015c5|TRINITY_DN90466_c14_g1_i5:1950-2918|- -            323 465401at33208        -            212   7.5e-09   32.3   0.7   1   2   5.8e-07   5.2e-05   19.8   0.1    28    75    73   123    53   145 0.84 -
465401at33208_104452_0:0015c5|TRINITY_DN90466_c14_g1_i5:1950-2918|- -            323 465401at33208        -            212   7.5e-09   32.3   0.7   2   2   0.00033     0.029   10.8   0.0    79   183   194   306   183   318 0.72 -
465401at33208_79782_0:002749|TRINITY_DN85185_c7_g1_i2:265-864|+     -            200 465401at33208        -            212   7.8e-09   32.3   0.2   1   1   1.3e-10   1.1e-08   31.7   0.2    21   135    53   177    35   195 0.75 -
465401at33208_104452_0:0015c5|TRINITY_DN90466_c14_g1_i3:1950-2678|- -            243 465401at33208        -            212   2.7e-08   30.5   1.2   1   2   2.3e-06   0.00021   17.8   0.2    38    75     3    43     1    70 0.86 -
465401at33208_104452_0:0015c5|TRINITY_DN90466_c14_g1_i3:1950-2678|- -            243 465401at33208        -            212   2.7e-08   30.5   1.2   2   2   0.00018     0.016   11.6   0.0    79   183   114   226   104   238 0.72 -
465401at33208_32264_0:00268c|TRINITY_DN92825_c10_g2_i1:807-1520|-   -            238 465401at33208        -            212   7.2e-07   25.8   8.7   1   2   6.8e-06   0.00061   16.3   1.0    25    80    73   130    54   142 0.83 -
465401at33208_32264_0:00268c|TRINITY_DN92825_c10_g2_i1:807-1520|-   -            238 465401at33208        -            212   7.2e-07   25.8   8.7   2   2   4.1e-05    0.0036   13.7   1.6    76   162   147   236   139   238 0.70 -
465401at33208_40932_0:00532f|TRINITY_DN37144_c0_g1_i1:1-288|+       -             96 465401at33208        -            212    0.0001   18.8   0.0   1   1   1.4e-06   0.00013   18.5   0.0    25    67    52    96    31    96 0.73 -
465401at33208_6198_0:000d0f|TRINITY_DN89836_c8_g1_i1:447-1178|-     -            244 465401at33208        -            212   0.00059   16.3   0.8   1   1   0.00031     0.028   10.8   0.8    41    79    59    97    20   175 0.85 -
465401at33208_6198_0:000d0f|TRINITY_DN89836_c8_g1_i3:447-1178|-     -            244 465401at33208        -            212   0.00059   16.3   0.8   1   1   0.00031     0.028   10.8   0.8    41    79    59    97    20   175 0.85 -
465401at33208_6198_0:000d0f|TRINITY_DN89836_c8_g1_i2:447-1265|-     -            273 465401at33208        -            212   0.00082   15.8   0.5   1   1   0.00013     0.011   12.1   0.4    42    80    60    98    26   204 0.61 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/465401at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/rerun_results/465401at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/465401at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:13:21 2026
# [ok]
