#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
567809at33208_7994_0:0013c1|TRINITY_DN85820_c0_g1_i2:2-256|-      -             84 567809at33208        -            117   2.8e-43  143.8   1.1   1   1   6.7e-45   3.2e-43  143.6   1.1    36   115     6    84     3    84 0.98 -
567809at33208_299123_0:000c63|TRINITY_DN80672_c0_g1_i11:0-272|+   -             91 567809at33208        -            117   5.6e-27   91.2   2.8   1   1   3.8e-28   1.8e-26   89.6   2.8     1    73     1    91     1    91 0.91 -
567809at33208_61853_0:003755|TRINITY_DN80672_c0_g1_i8:1-201|+     -             67 567809at33208        -            117   5.4e-25   84.8   0.2   1   1   1.2e-26   5.7e-25   84.8   0.2    24    82     5    67     1    67 0.92 -
567809at33208_9555_0:0043b7|TRINITY_DN91773_c2_g1_i7:8-319|+      -            104 567809at33208        -            117   3.8e-23   78.9   1.2   1   1   1.8e-24   8.7e-23   77.7   1.2     1    71    16   104    16   104 0.89 -
567809at33208_8355_0:002b6f|TRINITY_DN80672_c0_g1_i5:3-290|+      -             95 567809at33208        -            117   6.4e-23   78.1   3.0   1   1   4.3e-24   2.1e-22   76.5   3.0     1    70     9    95     9    95 0.89 -
567809at33208_218467_0:000d64|TRINITY_DN85820_c0_g1_i9:8-205|-    -             53 567809at33208        -            117   1.8e-22   76.7   7.8   1   1   2.7e-22   1.3e-20   70.7   7.8    48   113     1    53     1    53 0.97 -
567809at33208_299123_0:000c63|TRINITY_DN91773_c2_g1_i1:8-298|+    -             97 567809at33208        -            117   3.3e-22   75.9   1.1   1   1   1.5e-23   7.3e-22   74.7   1.1     1    71     9    97     9    97 0.90 -
567809at33208_80972_0:00030d|TRINITY_DN80672_c0_g1_i14:0-227|+    -             76 567809at33208        -            117   2.9e-20   69.6   1.2   1   1   1.7e-21   8.2e-20   68.1   1.2     1    58     1    76     1    76 0.89 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i4:2-211|+     -             69 567809at33208        -            117   4.4e-20   69.0   0.9   1   1   2.1e-21   9.9e-20   67.9   0.9    18    71     4    69     2    69 0.84 -
567809at33208_61853_0:003755|TRINITY_DN80672_c0_g1_i13:0-203|+    -             68 567809at33208        -            117     7e-20   68.3   0.1   1   1   1.7e-21     8e-20   68.2   0.1    24    75    13    68     5    68 0.90 -
567809at33208_80972_0:00030d|TRINITY_DN80672_c0_g1_i2:0-224|+     -             74 567809at33208        -            117   1.1e-19   67.7   0.9   1   1   5.9e-21   2.8e-19   66.4   0.9     5    61     1    74     1    74 0.91 -
567809at33208_299123_0:000c63|TRINITY_DN91773_c2_g1_i6:28-303|+   -             91 567809at33208        -            117   2.8e-19   66.4   1.1   1   1   1.6e-20   7.7e-19   65.0   1.1     1    71     4    91     4    91 0.86 -
567809at33208_61853_0:003755|TRINITY_DN80672_c0_g1_i3:2-199|+     -             66 567809at33208        -            117   7.3e-19   65.1   0.1   1   1   1.8e-20   8.6e-19   64.8   0.1    24    71    15    66     1    66 0.87 -
567809at33208_294128_0:004764|TRINITY_DN80672_c0_g1_i6:3-269|+    -             89 567809at33208        -            117   1.3e-18   64.3   1.5   1   1   9.1e-20   4.3e-18   62.6   1.5     1    63     9    89     9    89 0.90 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i12:2-211|+    -             70 567809at33208        -            117   3.9e-18   62.7   0.0   1   1   9.4e-20   4.5e-18   62.5   0.0    24    75    15    70     1    70 0.87 -
567809at33208_80972_0:00030d|TRINITY_DN80672_c0_g1_i7:2-232|+     -             77 567809at33208        -            117     4e-18   62.7   1.9   1   1     2e-19   9.8e-18   61.4   1.9     1    58     2    77     2    77 0.90 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i13:7-198|+    -             63 567809at33208        -            117   5.2e-10   36.5   0.9   1   1   2.5e-11   1.2e-09   35.3   0.9     1    43     6    61     6    63 0.85 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i10:18-227|+   -             70 567809at33208        -            117   3.3e-09   33.9   0.7   1   1   1.7e-10   8.3e-09   32.6   0.7     1    43    12    68    12    70 0.83 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i2:16-225|+    -             70 567809at33208        -            117   4.4e-09   33.5   0.7   1   1   2.3e-10   1.1e-08   32.2   0.7     1    43    12    68    12    70 0.82 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i5:16-222|+    -             69 567809at33208        -            117   2.5e-08   31.1   0.7   1   1   1.2e-09     6e-08   29.9   0.7     1    41    12    66    12    69 0.81 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i4:16-222|+    -             69 567809at33208        -            117   3.9e-08   30.5   0.8   1   1   1.9e-09   9.3e-08   29.2   0.8     1    41    12    66    12    69 0.80 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i9:16-225|+    -             70 567809at33208        -            117   4.6e-08   30.2   1.5   1   1   4.4e-09   2.1e-07   28.1   1.5     1    43    12    68    12    70 0.78 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i8:18-227|+    -             70 567809at33208        -            117   5.4e-08   30.0   1.8   1   1   5.3e-09   2.6e-07   27.8   1.8     1    43    12    68    12    70 0.77 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i3:20-229|+    -             70 567809at33208        -            117   6.9e-08   29.7   1.7   1   1   6.6e-09   3.2e-07   27.5   1.7     1    43    12    68    12    70 0.77 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c2_g1_i11:8-208|+    -             54 567809at33208        -            117   9.8e-08   29.2   0.1   1   1   2.3e-09   1.1e-07   29.0   0.1     1    43     9    52     9    54 0.86 -
567809at33208_10160_0:002a2a|TRINITY_DN91773_c2_g1_i12:128-265|+  -             46 567809at33208        -            117   3.8e-07   27.3   0.1   1   1   9.6e-09   4.6e-07   27.0   0.1     2    24    13    40    12    45 0.87 -
567809at33208_80972_0:00030d|TRINITY_DN91773_c3_g1_i1:12-203|+    -             64 567809at33208        -            117   5.7e-06   23.5   0.1   1   1   2.3e-07   1.1e-05   22.6   0.1     2    32    13    48    12    62 0.78 -
567809at33208_89399_0:0053a3|TRINITY_DN93220_c14_g1_i2:901-1260|+ -            120 567809at33208        -            117    0.0017   15.5   1.4   1   1   0.00039     0.019   12.1   1.4    35   102    61   118    10   120 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/567809at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/rerun_results/567809at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/567809at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:13:27 2026
# [ok]
