# BUSCO version is: 5.7.1 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2024-01-08, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
18073at6656	Complete	TRINITY_DN73774_c14_g3_i3:125-2980	568.0	439	https://v10-1.orthodb.org/?query=18073at6656	DNA polymerase, Y-family, little finger domain
18630at6656	Complete	TRINITY_DN90595_c12_g1_i2:103-3570	1160.5	920	https://v10-1.orthodb.org/?query=18630at6656	WASH complex, subunit strumpellin
18929at6656	Complete	TRINITY_DN86153_c12_g1_i4:491-2726	764.7	542	https://v10-1.orthodb.org/?query=18929at6656	Ras guanine-nucleotide exchange factors catalytic domain
19044at6656	Missing
19058at6656	Complete	TRINITY_DN76025_c0_g1_i1:1254-4727	1234.0	838	https://v10-1.orthodb.org/?query=19058at6656	Helicase, C-terminal
19104at6656	Complete	TRINITY_DN76124_c12_g1_i3:82-2637	439.9	483	https://v10-1.orthodb.org/?query=19104at6656	G-patch domain
19129at6656	Complete	TRINITY_DN81700_c14_g1_i5:176-2140	607.5	432	https://v10-1.orthodb.org/?query=19129at6656	anaphase-promoting complex subunit 2
19208at6656	Complete	TRINITY_DN92590_c12_g1_i3:619-3996	1321.6	768	https://v10-1.orthodb.org/?query=19208at6656	Pre-mRNA-processing factor 6
19289at6656	Complete	TRINITY_DN86754_c0_g2_i1:130-2436	669.7	537	https://v10-1.orthodb.org/?query=19289at6656	Helicase, C-terminal
19590at6656	Complete	TRINITY_DN92405_c11_g1_i2:85-2370	519.8	370	https://v10-1.orthodb.org/?query=19590at6656	WD40 repeat
19760at6656	Complete	TRINITY_DN82270_c6_g1_i2:1602-4817	847.1	692	https://v10-1.orthodb.org/?query=19760at6656	Integrator complex subunit 3
20093at6656	Complete	TRINITY_DN75455_c7_g4_i2:671-4279	697.3	658	https://v10-1.orthodb.org/?query=20093at6656	TRAPP II complex, TRAPPC10
20162at6656	Missing
20267at6656	Complete	TRINITY_DN91361_c6_g1_i9:260-2853	731.7	680	https://v10-1.orthodb.org/?query=20267at6656	WD40/YVTN repeat-like-containing domain superfamily
20935at6656	Complete	TRINITY_DN81952_c7_g1_i1:164-2455	964.8	603	https://v10-1.orthodb.org/?query=20935at6656	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain 2
20936at6656	Complete	TRINITY_DN89529_c11_g3_i3:18-2180	597.6	418	https://v10-1.orthodb.org/?query=20936at6656	SNF2-related, N-terminal domain
21019at6656	Complete	TRINITY_DN74376_c5_g4_i2:334-4292	1290.7	955	https://v10-1.orthodb.org/?query=21019at6656	K Homology domain, type 1
21191at6656	Duplicated	TRINITY_DN87761_c3_g1_i3:92-3315	884.3	725	https://v10-1.orthodb.org/?query=21191at6656	RNA cytidine acetyltransferase
21191at6656	Duplicated	TRINITY_DN74241_c6_g1_i14:582-2493	761.8	490	https://v10-1.orthodb.org/?query=21191at6656	RNA cytidine acetyltransferase
21361at6656	Complete	TRINITY_DN83842_c12_g2_i3:244-2635	724.3	460	https://v10-1.orthodb.org/?query=21361at6656	WW domain
21367at6656	Complete	TRINITY_DN88464_c11_g6_i1:184-1698	142.4	311	https://v10-1.orthodb.org/?query=21367at6656	Frizzled/Smoothened, transmembrane domain
21385at6656	Complete	TRINITY_DN92690_c0_g1_i7:405-2496	294.0	428	https://v10-1.orthodb.org/?query=21385at6656	Uncharacterised domain NUC173
22098at6656	Complete	TRINITY_DN72475_c13_g1_i1:350-3345	1239.8	733	https://v10-1.orthodb.org/?query=22098at6656	Coatomer subunit beta
22148at6656	Complete	TRINITY_DN90563_c4_g3_i8:232-3558	776.9	582	https://v10-1.orthodb.org/?query=22148at6656	Exocyst complex component
22358at6656	Missing
22364at6656	Complete	TRINITY_DN85566_c11_g1_i1:25-3267	1437.7	916	https://v10-1.orthodb.org/?query=22364at6656	Importin repeat 4
22468at6656	Complete	TRINITY_DN82556_c9_g1_i14:116-4148	1308.2	930	https://v10-1.orthodb.org/?query=22468at6656	WD40 repeat
22611at6656	Complete	TRINITY_DN87761_c2_g1_i2:560-3062	711.9	472	https://v10-1.orthodb.org/?query=22611at6656	WD40 repeat
22887at6656	Complete	TRINITY_DN80668_c10_g4_i1:1-1640	444.6	290	https://v10-1.orthodb.org/?query=22887at6656	Aminoacyl-tRNA synthetase, class II
23309at6656	Complete	TRINITY_DN90431_c2_g1_i8:1590-3770	636.8	616	https://v10-1.orthodb.org/?query=23309at6656	RINT-1/Tip20
23388at6656	Fragmented	TRINITY_DN91497_c1_g3_i1:10-2241	186.4	331	https://v10-1.orthodb.org/?query=23388at6656	Trafficking protein particle complex subunit 11
23429at6656	Complete	TRINITY_DN91664_c12_g1_i2:2974-6543	658.3	557	https://v10-1.orthodb.org/?query=23429at6656	Ras guanine-nucleotide exchange factors catalytic domain
23917at6656	Complete	TRINITY_DN71684_c5_g3_i7:125-2185	821.0	593	https://v10-1.orthodb.org/?query=23917at6656	Protein kinase domain
24255at6656	Complete	TRINITY_DN79185_c7_g1_i6:713-2908	494.1	474	https://v10-1.orthodb.org/?query=24255at6656	WD40 repeat
24427at6656	Complete	TRINITY_DN90119_c6_g1_i1:248-2482	301.8	197	https://v10-1.orthodb.org/?query=24427at6656	FYVE zinc finger
24459at6656	Fragmented	TRINITY_DN91107_c7_g1_i2:753-1464	234.4	133	https://v10-1.orthodb.org/?query=24459at6656	Pyridoxal phosphate-dependent decarboxylase
24556at6656	Complete	TRINITY_DN91864_c0_g1_i2:107-3300	515.5	563	https://v10-1.orthodb.org/?query=24556at6656	Vacuolar protein sorting-associated protein 54, C-terminal
24573at6656	Complete	TRINITY_DN71879_c14_g1_i8:363-2039	465.1	396	https://v10-1.orthodb.org/?query=24573at6656	Bromodomain
25554at6656	Complete	TRINITY_DN86266_c0_g1_i3:296-2854	310.7	616	https://v10-1.orthodb.org/?query=25554at6656	Transcription factor, GTP-binding domain
25680at6656	Complete	TRINITY_DN73557_c10_g1_i1:37-1647	237.4	333	https://v10-1.orthodb.org/?query=25680at6656	Protein kintoun
26078at6656	Complete	TRINITY_DN79735_c1_g4_i3:386-2836	446.5	518	https://v10-1.orthodb.org/?query=26078at6656	UPF0505 family
26653at6656	Complete	TRINITY_DN88193_c12_g1_i1:531-2354	929.2	511	https://v10-1.orthodb.org/?query=26653at6656	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
26734at6656	Complete	TRINITY_DN90096_c12_g3_i3:108-2393	805.9	582	https://v10-1.orthodb.org/?query=26734at6656	SAM-dependent methyltransferase RsmB/NOP2-type
27198at6656	Complete	TRINITY_DN88920_c12_g1_i1:45-2972	875.7	640	https://v10-1.orthodb.org/?query=27198at6656	Vesicle tethering protein p115, armadillo tether-repeat
27515at6656	Complete	TRINITY_DN87359_c9_g2_i3:774-2477	440.7	379	https://v10-1.orthodb.org/?query=27515at6656	GPI transamidase component PIG-T
27617at6656	Complete	TRINITY_DN92866_c9_g1_i9:303-1796	574.8	392	https://v10-1.orthodb.org/?query=27617at6656	Tetratricopeptide repeat
27655at6656	Complete	TRINITY_DN87343_c11_g3_i3:118-2280	938.9	617	https://v10-1.orthodb.org/?query=27655at6656	Tetratricopeptide repeat
28325at6656	Complete	TRINITY_DN90931_c11_g2_i4:428-3472	1056.5	715	https://v10-1.orthodb.org/?query=28325at6656	Protein kinase domain
28380at6656	Missing
28519at6656	Complete	TRINITY_DN73479_c18_g1_i2:166-2306	771.5	487	https://v10-1.orthodb.org/?query=28519at6656	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
28685at6656	Complete	TRINITY_DN91349_c2_g1_i5:825-3320	662.2	579	https://v10-1.orthodb.org/?query=28685at6656	Conserved oligomeric Golgi complex, subunit 3
28872at6656	Complete	TRINITY_DN73512_c11_g1_i3:797-3103	395.5	397	https://v10-1.orthodb.org/?query=28872at6656	Rhodanese-like domain
29213at6656	Complete	TRINITY_DN87277_c12_g1_i1:617-4072	1021.0	693	https://v10-1.orthodb.org/?query=29213at6656	MIF4G-like domain superfamily
29237at6656	Complete	TRINITY_DN91001_c4_g3_i6:106-1737	619.6	392	https://v10-1.orthodb.org/?query=29237at6656	Zinc finger, PHD-type
29365at6656	Complete	TRINITY_DN86578_c14_g1_i5:507-2312	526.5	471	https://v10-1.orthodb.org/?query=29365at6656	Sec1-like protein
29730at6656	Complete	TRINITY_DN87575_c11_g1_i4:78-1133	315.4	274	https://v10-1.orthodb.org/?query=29730at6656	Nucleolar complex protein 2
29744at6656	Complete	TRINITY_DN92935_c2_g4_i1:52-2595	677.2	604	https://v10-1.orthodb.org/?query=29744at6656	Vps53-like, N-terminal
30156at6656	Complete	TRINITY_DN80778_c9_g1_i8:70-2004	380.6	401	https://v10-1.orthodb.org/?query=30156at6656	conserved oligomeric Golgi complex subunit 2
30184at6656	Complete	TRINITY_DN90358_c6_g1_i5:2408-4927	1016.4	624	https://v10-1.orthodb.org/?query=30184at6656	Pre-mRNA-splicing factor SYF1
30267at6656	Complete	TRINITY_DN83858_c11_g2_i6:2346-6155	540.9	650	https://v10-1.orthodb.org/?query=30267at6656	Vacuolar protein sorting-associated protein 8, central domain
30463at6656	Complete	TRINITY_DN76976_c3_g2_i5:124-2184	465.5	458	https://v10-1.orthodb.org/?query=30463at6656	Exocyst component Exo84, C-terminal
30512at6656	Complete	TRINITY_DN89492_c9_g3_i2:257-1144	251.4	190	https://v10-1.orthodb.org/?query=30512at6656	Zinc finger C2H2-type
30526at6656	Complete	TRINITY_DN89542_c15_g2_i2:621-2759	525.4	576	https://v10-1.orthodb.org/?query=30526at6656	Neurochondrin
30642at6656	Complete	TRINITY_DN86105_c5_g1_i5:103-1887	772.3	454	https://v10-1.orthodb.org/?query=30642at6656	uncharacterized protein LOC108087362
30822at6656	Complete	TRINITY_DN81083_c7_g2_i8:256-2535	695.9	455	https://v10-1.orthodb.org/?query=30822at6656	Arginyl tRNA synthetase N-terminal domain
30918at6656	Complete	TRINITY_DN92205_c10_g1_i7:417-2591	713.8	540	https://v10-1.orthodb.org/?query=30918at6656	Bicaudal-D protein
30962at6656	Complete	TRINITY_DN88016_c0_g6_i1:100-3633	679.1	720	https://v10-1.orthodb.org/?query=30962at6656	WD40-repeat-containing domain
31014at6656	Fragmented	TRINITY_DN71431_c6_g8_i1:4-1296	443.9	314	https://v10-1.orthodb.org/?query=31014at6656	Zinc finger, CCHC-type
31119at6656	Complete	TRINITY_DN87686_c12_g1_i5:196-2867	377.0	353	https://v10-1.orthodb.org/?query=31119at6656	WD40 repeat
31196at6656	Complete	TRINITY_DN87264_c2_g1_i15:1073-4077	701.2	477	https://v10-1.orthodb.org/?query=31196at6656	WD40 repeat
31333at6656	Complete	TRINITY_DN79429_c0_g1_i1:41-2104	796.2	552	https://v10-1.orthodb.org/?query=31333at6656	Eukaryotic translation initiation factor 3 subunit B
31480at6656	Fragmented	TRINITY_DN79780_c7_g2_i2:5-642	74.0	93	https://v10-1.orthodb.org/?query=31480at6656	Carboxylesterase, type B
31615at6656	Fragmented	TRINITY_DN80812_c6_g1_i2:0-1185	474.2	273	https://v10-1.orthodb.org/?query=31615at6656	Glycoside hydrolase, family 13, N-terminal
31634at6656	Missing
31820at6656	Complete	TRINITY_DN87296_c4_g1_i1:212-2536	709.1	520	https://v10-1.orthodb.org/?query=31820at6656	Glycosyl hydrolase family 63, C-terminal
31886at6656	Complete	TRINITY_DN88427_c12_g1_i2:75-2320	926.3	573	https://v10-1.orthodb.org/?query=31886at6656	Tetratricopeptide repeat-containing domain
31919at6656	Complete	TRINITY_DN78238_c7_g2_i3:74-2611	1121.6	620	https://v10-1.orthodb.org/?query=31919at6656	Hid-1/Ecm30
32694at6656	Complete	TRINITY_DN85661_c6_g2_i1:225-2840	1113.0	713	https://v10-1.orthodb.org/?query=32694at6656	Eukaryotic translation initiation factor 3 subunit C
32733at6656	Missing
32851at6656	Complete	TRINITY_DN86176_c3_g1_i5:1775-4075	1040.0	615	https://v10-1.orthodb.org/?query=32851at6656	Rab-GTPase-TBC domain
33187at6656	Missing
33566at6656	Complete	TRINITY_DN91954_c10_g2_i1:539-2743	1010.0	591	https://v10-1.orthodb.org/?query=33566at6656	Helicase, C-terminal
33794at6656	Fragmented	TRINITY_DN78014_c6_g2_i2:679-960	122.8	86	https://v10-1.orthodb.org/?query=33794at6656	Nucleoside phosphorylase domain
34586at6656	Complete	TRINITY_DN89308_c7_g1_i2:169-1830	547.6	387	https://v10-1.orthodb.org/?query=34586at6656	Menin
34917at6656	Complete	TRINITY_DN76740_c9_g1_i4:145-1470	358.3	304	https://v10-1.orthodb.org/?query=34917at6656	Protein OS9-like
35035at6656	Missing
35548at6656	Complete	TRINITY_DN87057_c5_g1_i3:198-2542	379.8	341	https://v10-1.orthodb.org/?query=35548at6656	digestive organ expansion factor homolog
35680at6656	Complete	TRINITY_DN84612_c2_g1_i3:227-1807	439.2	342	https://v10-1.orthodb.org/?query=35680at6656	tRNA (uracil-O(2)-)-methyltransferase
35708at6656	Complete	TRINITY_DN84674_c5_g1_i6:387-2288	315.6	292	https://v10-1.orthodb.org/?query=35708at6656	Pseudouridine synthase, TruD
35995at6656	Complete	TRINITY_DN88207_c2_g1_i2:266-1897	920.0	463	https://v10-1.orthodb.org/?query=35995at6656	Radical SAM
36374at6656	Complete	TRINITY_DN74618_c9_g1_i1:16-1755	527.7	429	https://v10-1.orthodb.org/?query=36374at6656	Tetratricopeptide repeat
36387at6656	Complete	TRINITY_DN83422_c6_g1_i2:23-2170	650.1	492	https://v10-1.orthodb.org/?query=36387at6656	Sec1-like protein
36403at6656	Complete	TRINITY_DN73835_c0_g2_i5:292-2523	764.8	611	https://v10-1.orthodb.org/?query=36403at6656	exocyst complex component 3
36463at6656	Complete	TRINITY_DN71392_c0_g1_i1:40-1878	925.1	534	https://v10-1.orthodb.org/?query=36463at6656	Helicase, C-terminal
37030at6656	Complete	TRINITY_DN86561_c3_g1_i3:368-2088	311.4	385	https://v10-1.orthodb.org/?query=37030at6656	Ribosomal protein L37/S30
37297at6656	Complete	TRINITY_DN92417_c9_g1_i8:397-2622	688.5	529	https://v10-1.orthodb.org/?query=37297at6656	SCP2 sterol-binding domain
37387at6656	Missing
37678at6656	Complete	TRINITY_DN78274_c4_g1_i5:2476-3999	597.3	365	https://v10-1.orthodb.org/?query=37678at6656	Methylthiotransferase, N-terminal
38140at6656	Complete	TRINITY_DN93305_c5_g1_i25:8-1561	677.0	370	https://v10-1.orthodb.org/?query=38140at6656	Far11/STRP, C-terminal
38186at6656	Complete	TRINITY_DN84379_c8_g2_i3:151-1929	445.4	426	https://v10-1.orthodb.org/?query=38186at6656	G patch domain-containing protein 1 homolog
38303at6656	Complete	TRINITY_DN81235_c3_g2_i2:1345-2982	759.8	459	https://v10-1.orthodb.org/?query=38303at6656	GroEL-like apical domain superfamily
38391at6656	Complete	TRINITY_DN84259_c7_g1_i2:167-1999	264.6	295	https://v10-1.orthodb.org/?query=38391at6656	Replication factor Mcm10, C-terminal
38567at6656	Complete	TRINITY_DN84048_c13_g1_i1:3-3159	818.7	653	https://v10-1.orthodb.org/?query=38567at6656	DNA mitochondrial polymerase, exonuclease domain
38819at6656	Complete	TRINITY_DN85110_c12_g1_i4:278-1789	739.9	443	https://v10-1.orthodb.org/?query=38819at6656	PDZ domain
38928at6656	Complete	TRINITY_DN86870_c10_g1_i5:160-2073	692.0	490	https://v10-1.orthodb.org/?query=38928at6656	Beta-Casp domain
39506at6656	Complete	TRINITY_DN79693_c9_g3_i3:188-2698	567.4	541	https://v10-1.orthodb.org/?query=39506at6656	RNA recognition motif domain
39548at6656	Complete	TRINITY_DN86949_c10_g3_i3:119-1495	513.0	378	https://v10-1.orthodb.org/?query=39548at6656	Pescadillo
39783at6656	Complete	TRINITY_DN84858_c7_g2_i3:114-2315	353.7	417	https://v10-1.orthodb.org/?query=39783at6656	Conserved oligomeric Golgi complex subunit 7
39809at6656	Complete	TRINITY_DN80614_c10_g1_i1:1558-4404	905.0	759	https://v10-1.orthodb.org/?query=39809at6656	Importin-beta, N-terminal domain
39821at6656	Complete	TRINITY_DN73820_c6_g1_i4:184-1542	431.5	299	https://v10-1.orthodb.org/?query=39821at6656	Ceramide glucosyltransferase
40065at6656	Complete	TRINITY_DN86922_c6_g2_i2:1287-3572	909.6	589	https://v10-1.orthodb.org/?query=40065at6656	3-hydroxyacyl-CoA dehydrogenase, C-terminal
40092at6656	Complete	TRINITY_DN93489_c11_g1_i7:157-1722	361.4	357	https://v10-1.orthodb.org/?query=40092at6656	Cwf19-like, C-terminal domain-1
40213at6656	Complete	TRINITY_DN86232_c5_g4_i6:70-2345	542.3	427	https://v10-1.orthodb.org/?query=40213at6656	THO complex subunit 1
40240at6656	Complete	TRINITY_DN93315_c3_g3_i1:311-1660	494.8	335	https://v10-1.orthodb.org/?query=40240at6656	Ubiquitinyl hydrolase 1
40319at6656	Fragmented	TRINITY_DN71021_c0_g1_i1:77-919	157.3	239	https://v10-1.orthodb.org/?query=40319at6656	PAN/Apple domain
40323at6656	Complete	TRINITY_DN85993_c2_g3_i6:289-2154	753.5	485	https://v10-1.orthodb.org/?query=40323at6656	EF hand associated, type-1
40399at6656	Complete	TRINITY_DN81449_c6_g1_i1:5-1306	362.7	345	https://v10-1.orthodb.org/?query=40399at6656	Vps16, C-terminal
40691at6656	Missing
40929at6656	Complete	TRINITY_DN79765_c9_g1_i4:59-1915	679.6	463	https://v10-1.orthodb.org/?query=40929at6656	TFIID subunit TAF5, NTD2 domain
41522at6656	Complete	TRINITY_DN81504_c8_g1_i3:191-2861	1041.4	662	https://v10-1.orthodb.org/?query=41522at6656	DNA-directed DNA polymerase, family B, exonuclease domain
41990at6656	Complete	TRINITY_DN80523_c3_g1_i1:670-2001	282.3	325	https://v10-1.orthodb.org/?query=41990at6656	CCAAT-binding factor
42577at6656	Complete	TRINITY_DN88709_c6_g1_i7:111-2741	491.6	594	https://v10-1.orthodb.org/?query=42577at6656	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
42622at6656	Missing
42819at6656	Complete	TRINITY_DN93335_c9_g1_i2:561-2033	738.9	445	https://v10-1.orthodb.org/?query=42819at6656	FACT complex subunit POB3-like, N-terminal PH domain
42842at6656	Complete	TRINITY_DN80699_c7_g1_i5:137-1687	452.5	411	https://v10-1.orthodb.org/?query=42842at6656	RNA polymerase III Rpc82, C -terminal
42929at6656	Complete	TRINITY_DN92562_c3_g1_i4:751-2367	274.2	353	https://v10-1.orthodb.org/?query=42929at6656	RNA polymerase I specific transcription initiation factor RRN3
