	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, NO-BLAST]	TRINITY_DN101359_c0_g1_i1.p3	---NA---	135									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN10136_c0_g1_i1.p1	---NA---	99									TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); SignalP-TM (SIGNALP_EUK); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101379_c0_g1_i1.p1	---NA---	106									CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101385_c0_g1_i1.p2	---NA---	100									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101386_c0_g1_i1.p1	---NA---	100									TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101417_c0_g1_i1.p1	---NA---	106									CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101531_c0_g1_i1.p1	---NA---	100									mobidb-lite (MOBIDB_LITE); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101547_c0_g1_i1.p1	---NA---	102									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101571_c0_g1_i1.p1	---NA---	104									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101685_c0_g1_i1.p1	---NA---	102									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101769_c0_g1_i1.p1	---NA---	112									Coil (COILS); SSF57845 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN101932_c0_g1_i1.p2	---NA---	102									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102014_c0_g1_i1.p1	---NA---	126									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102050_c0_g1_i1.p1	---NA---	146									SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102080_c0_g1_i1.p1	---NA---	127									TRANSMEMBRANE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SignalP-TM (SIGNALP_EUK); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102081_c0_g1_i1.p1	---NA---	106									TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102106_c0_g1_i1.p1	---NA---	120									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SignalP-TM (SIGNALP_GRAM_POSITIVE); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102107_c0_g1_i1.p1	---NA---	162									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102208_c0_g1_i1.p2	---NA---	165									CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102269_c0_g1_i1.p2	---NA---	115									CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102369_c0_g1_i1.p1	---NA---	112									Coil (COILS); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102507_c0_g1_i1.p1	---NA---	112									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102592_c0_g1_i1.p1	---NA---	123									SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102597_c0_g1_i1.p1	---NA---	103									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN102684_c0_g1_i1.p1	---NA---	131									mobidb-lite (MOBIDB_LITE); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102718_c0_g1_i1.p1	---NA---	132									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SignalP-noTM (SIGNALP_EUK)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102772_c0_g1_i1.p1	---NA---	104									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102816_c0_g1_i1.p1	---NA---	103									TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102841_c0_g1_i1.p1	---NA---	191									mobidb-lite (MOBIDB_LITE); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102903_c0_g1_i1.p2	---NA---	102									TRANSMEMBRANE (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); TRANSMEMBRANE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SignalP-TM (SIGNALP_GRAM_POSITIVE); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102916_c0_g1_i1.p1	---NA---	142									TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN102923_c0_g1_i1.p2	---NA---	100									SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SignalP-noTM (SIGNALP_EUK); SignalP-noTM (SIGNALP_GRAM_NEGATIVE); SignalP-TM (SIGNALP_GRAM_POSITIVE); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN103176_c0_g1_i1.p1	---NA---	121									mobidb-lite (MOBIDB_LITE); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN103508_c0_g1_i1.p1	---NA---	130									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN103907_c0_g1_i1.p1	---NA---	119									TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN103913_c0_g1_i1.p1	---NA---	99									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN103917_c0_g1_i1.p1	---NA---	100									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN103964_c0_g1_i1.p1	---NA---	109									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN104076_c0_g1_i1.p1	---NA---	117									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104122_c0_g1_i1.p1	---NA---	110									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104137_c0_g1_i1.p1	---NA---	112									NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104286_c0_g1_i1.p1	---NA---	117									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN104313_c0_g1_i1.p2	---NA---	108									CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104374_c0_g1_i1.p3	---NA---	113									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104456_c0_g1_i1.p2	---NA---	147									TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104468_c0_g1_i1.p1	---NA---	106									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN104472_c0_g1_i1.p1	---NA---	110									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104521_c0_g1_i1.p1	---NA---	128									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104664_c0_g1_i1.p1	---NA---	139									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104822_c0_g1_i1.p1	---NA---	116									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104823_c0_g1_i1.p1	---NA---	125									NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN104945_c0_g1_i1.p1	---NA---	112									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN10499_c0_g1_i1.p1	---NA---	101									TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105016_c0_g1_i1.p1	---NA---	103									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN105145_c0_g1_i1.p2	---NA---	101									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN10517_c0_g1_i1.p1	---NA---	113									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105335_c0_g1_i1.p1	---NA---	118									Coil (COILS); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105373_c0_g1_i1.p1	---NA---	104									NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105380_c0_g1_i1.p1	---NA---	110									mobidb-lite (MOBIDB_LITE); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105708_c0_g1_i1.p1	---NA---	108									CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105713_c0_g1_i1.p1	---NA---	107									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105753_c0_g1_i1.p2	---NA---	103									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105776_c0_g1_i1.p1	---NA---	105									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	TRINITY_DN105815_c0_g1_i1.p1	---NA---	100									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN105932_c0_g1_i1.p1	---NA---	100									CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	TRINITY_DN106092_c0_g1_i1.p2	---NA---	117									TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
