#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465703at33208_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+     -            281 465703at33208        -            212   2.3e-93  310.6   6.4   1   1   7.5e-95     4e-92  306.5   6.4     1   209     3   238     3   241 0.91 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i10:250-1839|+    -            530 465703at33208        -            212   9.1e-06   24.3  11.9   3   6      0.77   4.1e+02   -0.7   0.2    50    91   229   272   220   280 0.69 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i10:250-1839|+    -            530 465703at33208        -            212   9.1e-06   24.3  11.9   4   6   0.00054      0.29    9.6   0.0   123   167   285   329   281   339 0.78 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i10:250-1839|+    -            530 465703at33208        -            212   9.1e-06   24.3  11.9   5   6   0.00044      0.23    9.9   0.3    98   180   328   415   314   419 0.65 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i10:250-1839|+    -            530 465703at33208        -            212   9.1e-06   24.3  11.9   6   6    0.0036       1.9    6.9   0.1    62   113   434   485   418   520 0.76 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i3:250-1839|+     -            530 465703at33208        -            212   9.1e-06   24.3  11.9   1   6      0.45   2.4e+02    0.1   0.1   145   195    62   108    40   123 0.72 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i3:250-1839|+     -            530 465703at33208        -            212   9.1e-06   24.3  11.9   2   6      0.36   1.9e+02    0.4   0.0   167   196   149   178   135   185 0.86 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i3:250-1839|+     -            530 465703at33208        -            212   9.1e-06   24.3  11.9   3   6      0.77   4.1e+02   -0.7   0.2    50    91   229   272   220   280 0.69 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i3:250-1839|+     -            530 465703at33208        -            212   9.1e-06   24.3  11.9   4   6   0.00054      0.29    9.6   0.0   123   167   285   329   281   339 0.78 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i3:250-1839|+     -            530 465703at33208        -            212   9.1e-06   24.3  11.9   5   6   0.00044      0.23    9.9   0.3    98   180   328   415   314   419 0.65 -
118209at33208_50429_0:0052c1|TRINITY_DN89176_c7_g1_i3:250-1839|+     -            530 465703at33208        -            212   9.1e-06   24.3  11.9   6   6    0.0036       1.9    6.9   0.1    62   113   434   485   418   520 0.76 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i5:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   1   3      0.13        67    1.9   0.0   167   196    65    94    52   101 0.86 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i5:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   2   3      0.18        98    1.3   0.4    49    91   144   188   124   201 0.67 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i5:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   3   3   0.00053      0.28    9.7   0.0   123   151   201   229   197   235 0.90 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i6:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   1   3      0.13        67    1.9   0.0   167   196    65    94    52   101 0.86 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i6:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   2   3      0.18        98    1.3   0.4    49    91   144   188   124   201 0.67 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i6:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   3   3   0.00053      0.28    9.7   0.0   123   151   201   229   197   235 0.90 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i7:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   1   3      0.13        67    1.9   0.0   167   196    65    94    52   101 0.86 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i7:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   2   3      0.18        98    1.3   0.4    49    91   144   188   124   201 0.67 -
315044at33208_381198_0:000219|TRINITY_DN89176_c7_g1_i7:502-1215|+    -            238 465703at33208        -            212    0.0021   16.6   1.0   3   3   0.00053      0.28    9.7   0.0   123   151   201   229   197   235 0.90 -
235149at33208_136037_0:0002b0|TRINITY_DN83945_c15_g1_i3:52-1548|+    -            499 465703at33208        -            212      0.01   14.4   3.4   1   4   0.00064      0.34    9.4   0.3    49    96    18    65     8    88 0.81 -
235149at33208_136037_0:0002b0|TRINITY_DN83945_c15_g1_i3:52-1548|+    -            499 465703at33208        -            212      0.01   14.4   3.4   2   4      0.38     2e+02    0.3   0.0    73   111   116   155   108   160 0.82 -
235149at33208_136037_0:0002b0|TRINITY_DN83945_c15_g1_i3:52-1548|+    -            499 465703at33208        -            212      0.01   14.4   3.4   3   4      0.14        76    1.7   0.0    64   142   152   233   138   247 0.69 -
235149at33208_136037_0:0002b0|TRINITY_DN83945_c15_g1_i3:52-1548|+    -            499 465703at33208        -            212      0.01   14.4   3.4   4   4      0.32   1.7e+02    0.6   0.0   108   157   363   412   325   448 0.75 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.075   11.5   6.8   1   4      0.63   3.3e+02   -0.4   0.2   116   155    55    95    42   102 0.74 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.075   11.5   6.8   2   4     0.048        25    3.3   0.2   170   190   327   347   222   353 0.88 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.075   11.5   6.8   3   4    0.0046       2.5    6.6   0.1   166   198   357   389   347   399 0.82 -
143997at33208_218467_0:0024a2|TRINITY_DN92866_c9_g1_i9:303-1796|+    -            498 465703at33208        -            212     0.075   11.5   6.8   4   4      0.16        84    1.6   0.0   175   199   400   424   396   434 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/465703at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/465703at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/465703at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:50 2026
# [ok]
