#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
564286at33208_6565_0:0040cb|TRINITY_DN91187_c13_g1_i1:120-647|+     -            176 564286at33208        -            121   1.5e-64  214.2   0.1   1   1   4.6e-66   2.2e-64  213.7   0.1     1   119     1   124     1   126 0.96 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i2:1783-2313|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i4:1092-1622|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i4:1092-1622|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i5:1110-1640|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i5:1110-1640|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i8:1110-1640|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i8:1110-1640|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i9:1783-2313|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   1   2   1.1e-15   5.1e-14   51.0   0.0    33   110     1    78     1    91 0.93 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i9:1783-2313|-  -            177 564286at33208        -            121   1.9e-29  100.8   0.0   2   2   8.5e-15     4e-13   48.2   0.0    31   106    96   171    87   174 0.95 -
196950at33208_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+      -            187 564286at33208        -            121     6e-28   96.0   0.0   1   2   3.6e-16   1.7e-14   52.6   0.0    29   112     4    87     1    91 0.94 -
196950at33208_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+      -            187 564286at33208        -            121     6e-28   96.0   0.0   2   2   1.1e-13   5.2e-12   44.6   0.0    20   110    81   173    80   183 0.88 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 564286at33208        -            121   1.4e-26   91.6   3.4   1   4   1.5e-07   6.9e-06   24.8   0.1    46   111    18    82     3    92 0.85 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 564286at33208        -            121   1.4e-26   91.6   3.4   2   4   4.2e-10     2e-08   33.0   0.0    30   108   127   204   114   217 0.88 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 564286at33208        -            121   1.4e-26   91.6   3.4   3   4   6.1e-08   2.9e-06   26.0   0.0    31    85   349   403   342   419 0.90 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 564286at33208        -            121   1.4e-26   91.6   3.4   4   4      0.18       8.5    5.1   0.0    60    94   541   575   503   604 0.79 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 564286at33208        -            121   5.8e-26   89.6   0.8   1   5   0.00087     0.041   12.6   0.0    50   109    21    78     6    85 0.90 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 564286at33208        -            121   5.8e-26   89.6   0.8   2   5     2e-08   9.2e-07   27.6   0.0    29   104   345   420   333   434 0.92 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 564286at33208        -            121   5.8e-26   89.6   0.8   3   5       2.8   1.3e+02    1.3   0.0    27    62   525   560   507   567 0.84 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 564286at33208        -            121   5.8e-26   89.6   0.8   4   5   8.9e-06   0.00042   19.0   0.2    31   109   646   722   625   736 0.86 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i3:188-2698|+   -            837 564286at33208        -            121   5.8e-26   89.6   0.8   5   5   1.8e-06   8.5e-05   21.3   0.0    26    92   738   804   727   828 0.83 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 564286at33208        -            121   6.9e-26   89.4   0.9   1   5   0.00088     0.041   12.6   0.0    50   109    21    78     6    85 0.90 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 564286at33208        -            121   6.9e-26   89.4   0.9   2   5   1.9e-08     9e-07   27.7   0.0    29   104   345   420   332   434 0.92 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 564286at33208        -            121   6.9e-26   89.4   0.9   3   5       2.9   1.3e+02    1.3   0.0    27    62   525   560   508   567 0.84 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 564286at33208        -            121   6.9e-26   89.4   0.9   4   5   9.1e-06   0.00043   19.0   0.2    31   109   646   722   625   736 0.86 -
196950at33208_217634_0:0006a4|TRINITY_DN79693_c9_g3_i2:188-2734|+   -            849 564286at33208        -            121   6.9e-26   89.4   0.9   5   5   1.9e-06   8.7e-05   21.2   0.0    26    92   738   804   727   828 0.83 -
564286at33208_37344_0:0029cb|TRINITY_DN71367_c6_g4_i1:1332-1589|-   -             86 564286at33208        -            121   3.9e-20   70.8   0.0   1   1   9.6e-22   4.5e-20   70.6   0.0    33   111     1    79     1    85 0.95 -
564286at33208_37344_0:0029cb|TRINITY_DN71367_c6_g4_i2:1112-1369|-   -             86 564286at33208        -            121   3.9e-20   70.8   0.0   1   1   9.6e-22   4.5e-20   70.6   0.0    33   111     1    79     1    85 0.95 -
564286at33208_6832_0:0012b4|TRINITY_DN73894_c3_g1_i1:383-736|+      -            118 564286at33208        -            121   8.4e-20   69.7   0.4   1   2   3.8e-15   1.8e-13   49.3   0.0    30    84     3    57     1    84 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN73894_c3_g1_i1:383-736|+      -            118 564286at33208        -            121   8.4e-20   69.7   0.4   2   2     5e-06   0.00023   19.9   0.1    30    62    83   115    58   118 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i2:277-630|+     -            118 564286at33208        -            121   1.6e-19   68.8   0.4   1   2   7.7e-15   3.6e-13   48.3   0.0    30    85     3    58     1    85 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i2:277-630|+     -            118 564286at33208        -            121   1.6e-19   68.8   0.4   2   2   4.3e-06    0.0002   20.1   0.1    30    62    83   115    58   118 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i5:277-630|+     -            118 564286at33208        -            121   1.6e-19   68.8   0.4   1   2   7.7e-15   3.6e-13   48.3   0.0    30    85     3    58     1    85 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i5:277-630|+     -            118 564286at33208        -            121   1.6e-19   68.8   0.4   2   2   4.3e-06    0.0002   20.1   0.1    30    62    83   115    58   118 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i4:1665-2033|-    -            123 564286at33208        -            121   3.2e-19   67.8   0.0   1   2     3e-13   1.4e-11   43.2   0.0    32   113     5    85     1    90 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i4:1665-2033|-    -            123 564286at33208        -            121   3.2e-19   67.8   0.0   2   2   1.5e-07   7.2e-06   24.7   0.0    18    59    79   122    70   123 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i10:2934-3278|+  -            115 564286at33208        -            121   3.3e-19   67.8   0.4   1   2   1.9e-14   8.7e-13   47.1   0.0    32    84     2    54     1    81 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i10:2934-3278|+  -            115 564286at33208        -            121   3.3e-19   67.8   0.4   2   2   4.1e-06   0.00019   20.1   0.1    30    62    80   112    55   115 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i13:2934-3278|+  -            115 564286at33208        -            121   3.3e-19   67.8   0.4   1   2   1.9e-14   8.7e-13   47.1   0.0    32    84     2    54     1    81 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i13:2934-3278|+  -            115 564286at33208        -            121   3.3e-19   67.8   0.4   2   2   4.1e-06   0.00019   20.1   0.1    30    62    80   112    55   115 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i3:2672-3016|+   -            115 564286at33208        -            121   3.3e-19   67.8   0.4   1   2   1.9e-14   8.7e-13   47.1   0.0    32    84     2    54     1    81 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i3:2672-3016|+   -            115 564286at33208        -            121   3.3e-19   67.8   0.4   2   2   4.1e-06   0.00019   20.1   0.1    30    62    80   112    55   115 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i7:2934-3278|+   -            115 564286at33208        -            121   3.3e-19   67.8   0.4   1   2   1.9e-14   8.7e-13   47.1   0.0    32    84     2    54     1    81 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i7:2934-3278|+   -            115 564286at33208        -            121   3.3e-19   67.8   0.4   2   2   4.1e-06   0.00019   20.1   0.1    30    62    80   112    55   115 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i8:2934-3278|+   -            115 564286at33208        -            121   3.3e-19   67.8   0.4   1   2   1.9e-14   8.7e-13   47.1   0.0    32    84     2    54     1    81 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i8:2934-3278|+   -            115 564286at33208        -            121   3.3e-19   67.8   0.4   2   2   4.1e-06   0.00019   20.1   0.1    30    62    80   112    55   115 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i5:1662-2030|-    -            123 564286at33208        -            121   3.4e-19   67.8   0.0   1   2     3e-13   1.4e-11   43.2   0.0    32   114     5    86     1    91 0.83 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i5:1662-2030|-    -            123 564286at33208        -            121   3.4e-19   67.8   0.0   2   2   1.5e-07   7.2e-06   24.7   0.0    18    59    79   122    70   123 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i9:879-1247|-     -            123 564286at33208        -            121   3.4e-19   67.8   0.0   1   2     3e-13   1.4e-11   43.2   0.0    32   114     5    86     1    91 0.83 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i9:879-1247|-     -            123 564286at33208        -            121   3.4e-19   67.8   0.0   2   2   1.5e-07   7.2e-06   24.7   0.0    18    59    79   122    70   123 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i2:879-1238|-     -            120 564286at33208        -            121   3.8e-19   67.6   0.0   1   2   3.8e-13   1.8e-11   42.8   0.0    32   113     2    82     1    87 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i2:879-1238|-     -            120 564286at33208        -            121   3.8e-19   67.6   0.0   2   2   1.5e-07   7.1e-06   24.8   0.0    19    59    77   119    69   120 0.86 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i8:1662-2021|-    -            120 564286at33208        -            121   3.8e-19   67.6   0.0   1   2   3.8e-13   1.8e-11   42.8   0.0    32   113     2    82     1    87 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN86740_c7_g1_i8:1662-2021|-    -            120 564286at33208        -            121   3.8e-19   67.6   0.0   2   2   1.5e-07   7.1e-06   24.8   0.0    19    59    77   119    69   120 0.86 -
564286at33208_7425_0:001fb1|TRINITY_DN84616_c7_g1_i1:820-1092|+     -             91 564286at33208        -            121   5.9e-18   63.7   0.0   1   1   1.4e-19   6.7e-18   63.6   0.0    34   114     2    82     1    87 0.95 -
564286at33208_7425_0:001fb1|TRINITY_DN84616_c7_g1_i3:372-644|+      -             91 564286at33208        -            121   5.9e-18   63.7   0.0   1   1   1.4e-19   6.7e-18   63.6   0.0    34   114     2    82     1    87 0.95 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i1:149-637|+   -            163 564286at33208        -            121   1.6e-17   62.4   0.2   1   2   3.8e-11   1.8e-09   36.4   0.0    42   100    16    74     9    98 0.88 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i1:149-637|+   -            163 564286at33208        -            121   1.6e-17   62.4   0.2   2   2   2.1e-07   9.7e-06   24.3   0.0    39    86   108   155    95   162 0.86 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i2:149-637|+   -            163 564286at33208        -            121   1.6e-17   62.4   0.2   1   2   3.8e-11   1.8e-09   36.4   0.0    42   100    16    74     9    98 0.88 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i2:149-637|+   -            163 564286at33208        -            121   1.6e-17   62.4   0.2   2   2   2.1e-07   9.7e-06   24.3   0.0    39    86   108   155    95   162 0.86 -
564286at33208_6832_0:0012b4|TRINITY_DN81038_c3_g2_i5:407-787|-      -            127 564286at33208        -            121     1e-16   59.7   0.3   1   2   1.2e-14   5.4e-13   47.7   0.0    32    91     5    64     1    84 0.85 -
564286at33208_6832_0:0012b4|TRINITY_DN81038_c3_g2_i5:407-787|-      -            127 564286at33208        -            121     1e-16   59.7   0.3   2   2    0.0039      0.18   10.5   0.1    31    60    95   124    89   126 0.91 -
564286at33208_6832_0:0012b4|TRINITY_DN80667_c12_g1_i2:160-426|+     -             89 564286at33208        -            121   4.5e-15   54.4   0.0   1   1   9.7e-17   4.5e-15   54.4   0.0    25    95     8    78     1    89 0.86 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i2:473-1060|-    -            196 564286at33208        -            121   7.4e-15   53.8   3.3   1   2    0.0012     0.057   12.2   0.5    22    89    34   106    12   145 0.69 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i2:473-1060|-    -            196 564286at33208        -            121   7.4e-15   53.8   3.3   2   2     7e-12   3.3e-10   38.7   0.1    32    80   147   195   141   196 0.95 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i5:473-1060|-    -            196 564286at33208        -            121   7.4e-15   53.8   3.3   1   2    0.0012     0.057   12.2   0.5    22    89    34   106    12   145 0.69 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i5:473-1060|-    -            196 564286at33208        -            121   7.4e-15   53.8   3.3   2   2     7e-12   3.3e-10   38.7   0.1    32    80   147   195   141   196 0.95 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i7:473-1060|-    -            196 564286at33208        -            121   7.4e-15   53.8   3.3   1   2    0.0012     0.057   12.2   0.5    22    89    34   106    12   145 0.69 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i7:473-1060|-    -            196 564286at33208        -            121   7.4e-15   53.8   3.3   2   2     7e-12   3.3e-10   38.7   0.1    32    80   147   195   141   196 0.95 -
331186at33208_7962_0:004f05|TRINITY_DN87486_c3_g1_i1:77-655|-       -            193 564286at33208        -            121   8.5e-15   53.6   0.3   1   2   2.2e-08   1.1e-06   27.4   0.1    47   111    16    79     2    90 0.86 -
331186at33208_7962_0:004f05|TRINITY_DN87486_c3_g1_i1:77-655|-       -            193 564286at33208        -            121   8.5e-15   53.6   0.3   2   2   1.8e-07   8.4e-06   24.5   0.0    29    99   123   192   108   193 0.88 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i10:1500-1730|-  -             77 564286at33208        -            121   1.4e-14   52.9   0.0   1   1   3.2e-16   1.5e-14   52.8   0.0    33   105     1    73     1    77 0.97 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i3:1482-1712|-   -             77 564286at33208        -            121   1.4e-14   52.9   0.0   1   1   3.2e-16   1.5e-14   52.8   0.0    33   105     1    73     1    77 0.97 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i6:2173-2403|-   -             77 564286at33208        -            121   1.4e-14   52.9   0.0   1   1   3.2e-16   1.5e-14   52.8   0.0    33   105     1    73     1    77 0.97 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i7:1500-1730|-   -             77 564286at33208        -            121   1.4e-14   52.9   0.0   1   1   3.2e-16   1.5e-14   52.8   0.0    33   105     1    73     1    77 0.97 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i1:773-1354|-    -            194 564286at33208        -            121   2.1e-14   52.3   2.7   1   2    0.0012     0.054   12.2   0.5    22    89    34   106    12   145 0.69 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i1:773-1354|-    -            194 564286at33208        -            121   2.1e-14   52.3   2.7   2   2   2.9e-11   1.4e-09   36.7   0.1    32    78   147   193   140   194 0.94 -
564286at33208_37001_0:003045|TRINITY_DN75338_c5_g5_i2:1259-1522|-   -             88 564286at33208        -            121   4.8e-14   51.1   0.0   1   1     1e-15   4.9e-14   51.1   0.0    33    98     1    66     1    86 0.92 -
564286at33208_37001_0:003045|TRINITY_DN75338_c5_g5_i4:4523-4786|-   -             88 564286at33208        -            121   4.8e-14   51.1   0.0   1   1     1e-15   4.9e-14   51.1   0.0    33    98     1    66     1    86 0.92 -
564286at33208_37001_0:003045|TRINITY_DN75338_c5_g5_i6:1418-1681|-   -             88 564286at33208        -            121   4.8e-14   51.1   0.0   1   1     1e-15   4.9e-14   51.1   0.0    33    98     1    66     1    86 0.92 -
564286at33208_62324_0:00096a|TRINITY_DN81419_c9_g1_i1:561-851|-     -             97 564286at33208        -            121   5.4e-14   51.0   0.0   1   1   1.3e-15   5.9e-14   50.8   0.0    33   112     9    88     1    92 0.92 -
564286at33208_62324_0:00096a|TRINITY_DN81419_c9_g1_i3:550-840|-     -             97 564286at33208        -            121   5.4e-14   51.0   0.0   1   1   1.3e-15   5.9e-14   50.8   0.0    33   112     9    88     1    92 0.92 -
564286at33208_132113_0:001471|TRINITY_DN79417_c10_g1_i1:227-451|+   -             75 564286at33208        -            121   1.2e-13   49.8   0.0   1   1   2.8e-15   1.3e-13   49.7   0.0    33   105     3    75     1    75 0.97 -
564286at33208_132113_0:001471|TRINITY_DN79417_c10_g1_i2:227-451|+   -             75 564286at33208        -            121   1.2e-13   49.8   0.0   1   1   2.8e-15   1.3e-13   49.7   0.0    33   105     3    75     1    75 0.97 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i4:277-495|+     -             73 564286at33208        -            121   1.8e-13   49.3   0.1   1   1   3.9e-15   1.8e-13   49.2   0.1    30    80     3    53     1    68 0.90 -
564286at33208_91411_0:002117|TRINITY_DN91700_c3_g1_i15:146-370|-    -             75 564286at33208        -            121     2e-13   49.1   0.0   1   1   4.5e-15   2.1e-13   49.0   0.0    35   105     1    71     1    75 0.97 -
564286at33208_54969_0:003fed|TRINITY_DN91700_c3_g1_i11:490-798|-    -            103 564286at33208        -            121   2.2e-13   49.0   0.0   1   1   5.5e-15   2.6e-13   48.8   0.0    35   110     1    76     1    84 0.95 -
196950at33208_222816_0:0020a0|TRINITY_DN79693_c9_g3_i1:188-2179|+   -            664 564286at33208        -            121   2.9e-13   48.6   0.0   1   3   0.00064      0.03   13.1   0.0    50   109    21    78     6    85 0.90 -
196950at33208_222816_0:0020a0|TRINITY_DN79693_c9_g3_i1:188-2179|+   -            664 564286at33208        -            121   2.9e-13   48.6   0.0   2   3   1.3e-08   6.2e-07   28.2   0.0    29   104   345   420   330   434 0.91 -
196950at33208_222816_0:0020a0|TRINITY_DN79693_c9_g3_i1:188-2179|+   -            664 564286at33208        -            121   2.9e-13   48.6   0.0   3   3       2.1        99    1.7   0.0    27    62   525   560   507   567 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i11:2673-2882|+  -             70 564286at33208        -            121   3.5e-13   48.4   0.0   1   1   7.6e-15   3.6e-13   48.3   0.0    32    80     2    50     1    68 0.91 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i14:2673-2882|+  -             70 564286at33208        -            121   3.5e-13   48.4   0.0   1   1   7.6e-15   3.6e-13   48.3   0.0    32    80     2    50     1    68 0.91 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i1:2673-2882|+   -             70 564286at33208        -            121   3.5e-13   48.4   0.0   1   1   7.6e-15   3.6e-13   48.3   0.0    32    80     2    50     1    68 0.91 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i6:2673-2882|+   -             70 564286at33208        -            121   3.7e-13   48.3   0.0   1   1   8.4e-15   3.9e-13   48.2   0.0    32    80     2    50     1    65 0.91 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i1:299-547|+      -             83 564286at33208        -            121   4.6e-13   48.0   0.0   1   1   1.1e-14   5.2e-13   47.8   0.0    33   107     1    75     1    82 0.96 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i2:1055-1303|+    -             83 564286at33208        -            121   4.6e-13   48.0   0.0   1   1   1.1e-14   5.2e-13   47.8   0.0    33   107     1    75     1    82 0.96 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i3:996-1244|+     -             83 564286at33208        -            121   4.6e-13   48.0   0.0   1   1   1.1e-14   5.2e-13   47.8   0.0    33   107     1    75     1    82 0.96 -
564286at33208_7425_0:001fb1|TRINITY_DN87254_c8_g2_i7:1118-1366|+    -             83 564286at33208        -            121   4.6e-13   48.0   0.0   1   1   1.1e-14   5.2e-13   47.8   0.0    33   107     1    75     1    82 0.96 -
564286at33208_6945_0:002ee5|TRINITY_DN80667_c12_g1_i1:172-363|+     -             64 564286at33208        -            121   6.8e-13   47.4   0.1   1   1   1.7e-14     8e-13   47.2   0.1    27    78     6    57     2    59 0.92 -
564286at33208_199890_0:001386|TRINITY_DN81934_c2_g2_i1:202-468|-    -             89 564286at33208        -            121   8.1e-13   47.2   0.1   1   1   1.9e-14   8.9e-13   47.0   0.1    20    95    11    86     5    89 0.93 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i3:161-880|+   -            240 564286at33208        -            121     1e-12   46.9   0.4   1   3       9.2   4.3e+02   -0.4   0.0    73   104    25    56     4    68 0.79 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i3:161-880|+   -            240 564286at33208        -            121     1e-12   46.9   0.4   2   3   9.5e-08   4.5e-06   25.4   0.1    29   103    83   153    56   160 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i3:161-880|+   -            240 564286at33208        -            121     1e-12   46.9   0.4   3   3   1.5e-05    0.0007   18.3   0.0    32   108   164   234   156   238 0.91 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i1:1108-1869|+ -            254 564286at33208        -            121   1.2e-12   46.6   0.4   1   3       9.5   4.5e+02   -0.4   0.0    73   104    39    70    17    82 0.78 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i1:1108-1869|+ -            254 564286at33208        -            121   1.2e-12   46.6   0.4   2   3     1e-07   4.9e-06   25.3   0.1    29   103    97   167    76   177 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i1:1108-1869|+ -            254 564286at33208        -            121   1.2e-12   46.6   0.4   3   3   1.8e-05   0.00083   18.1   0.0    32   108   178   248   172   252 0.91 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i4:1080-1841|+ -            254 564286at33208        -            121   1.2e-12   46.6   0.4   1   3       9.5   4.5e+02   -0.4   0.0    73   104    39    70    17    82 0.78 -
