#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
587958at33208_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-    -            115 587958at33208        -             89     7e-55  182.4   0.3   1   1   1.5e-56   8.5e-55  182.1   0.3     2    85    10    93     9    97 0.97 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 587958at33208        -             89   5.3e-13   48.1   0.2   1   4   0.00086     0.047   13.0   0.0    14    86     7    81     3    83 0.79 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 587958at33208        -             89   5.3e-13   48.1   0.2   2   4     0.015      0.82    9.1   0.0    12    61   130   181   122   196 0.82 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 587958at33208        -             89   5.3e-13   48.1   0.2   3   4   1.4e-05   0.00076   18.8   0.0     9    79   348   427   343   434 0.74 -
331186at33208_158441_0:0031d2|TRINITY_DN87486_c3_g1_i2:1041-2876|-  -            612 587958at33208        -             89   5.3e-13   48.1   0.2   4   4       4.7   2.6e+02    1.1   0.0    12    33   504   525   497   539 0.85 -
434863at33208_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-  -            445 587958at33208        -             89   9.4e-12   44.1   0.0   1   3     0.069       3.8    6.9   0.0    14    55     3    47     1    64 0.64 -
434863at33208_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-  -            445 587958at33208        -             89   9.4e-12   44.1   0.0   2   3    0.0056      0.31   10.4   0.0     9    82    85   163    77   170 0.79 -
434863at33208_319348_0:001dc7|TRINITY_DN75338_c5_g5_i4:3452-4786|-  -            445 587958at33208        -             89   9.4e-12   44.1   0.0   3   3   1.2e-06   6.4e-05   22.2   0.0    12    86   366   443   360   445 0.84 -
587958at33208_1049336_0:001332|TRINITY_DN78468_c9_g1_i1:43-207|-    -             55 587958at33208        -             89   4.5e-11   42.0   0.8   1   1   8.1e-13   4.5e-11   42.0   0.8    61    85     1    25     1    29 0.93 -
196950at33208_222816_0:0020a0|TRINITY_DN79693_c9_g3_i1:188-2179|+   -            664 587958at33208        -             89   5.2e-11   41.8   0.0   1   3     0.011      0.58    9.5   0.1    12    71     4    64     2    80 0.85 -
196950at33208_222816_0:0020a0|TRINITY_DN79693_c9_g3_i1:188-2179|+   -            664 587958at33208        -             89   5.2e-11   41.8   0.0   2   3   0.00023     0.013   14.9   0.0    12    77   349   417   341   426 0.76 -
196950at33208_222816_0:0020a0|TRINITY_DN79693_c9_g3_i1:188-2179|+   -            664 587958at33208        -             89   5.2e-11   41.8   0.0   3   3    0.0013     0.071   12.5   0.0     8    40   527   559   523   584 0.87 -
564286at33208_62324_0:00096a|TRINITY_DN81419_c9_g1_i1:561-851|-     -             97 587958at33208        -             89   4.5e-09   35.6   0.0   1   1     1e-10   5.5e-09   35.3   0.0     6    85     3    85     2    88 0.89 -
564286at33208_62324_0:00096a|TRINITY_DN81419_c9_g1_i3:550-840|-     -             97 587958at33208        -             89   4.5e-09   35.6   0.0   1   1     1e-10   5.5e-09   35.3   0.0     6    85     3    85     2    88 0.89 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i12:1110-1640|- -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i12:1110-1640|- -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i14:1092-1622|- -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i14:1092-1622|- -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i1:1110-1640|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i1:1110-1640|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i2:1783-2313|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i2:1783-2313|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i4:1092-1622|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i4:1092-1622|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i5:1110-1640|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i5:1110-1640|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i8:1110-1640|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i8:1110-1640|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i9:1783-2313|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   1   2   0.00065     0.036   13.4   0.0    12    78     1    70     1    74 0.86 -
564286at33208_103944_0:002b06|TRINITY_DN91700_c3_g1_i9:1783-2313|-  -            177 587958at33208        -             89   5.9e-09   35.2   0.0   2   2   6.1e-06   0.00034   19.9   0.0    11    80    97   169    87   172 0.88 -
564286at33208_6832_0:0012b4|TRINITY_DN73894_c3_g1_i1:383-736|+      -            118 587958at33208        -             89   1.5e-08   33.9   0.0   1   2   7.4e-08   4.1e-06   26.1   0.0     9    68     3    68     1    77 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN73894_c3_g1_i1:383-736|+      -            118 587958at33208        -             89   1.5e-08   33.9   0.0   2   2      0.11       5.9    6.3   0.0    12    40    86   114    73   117 0.88 -
564286at33208_7425_0:001fb1|TRINITY_DN84616_c7_g1_i1:820-1092|+     -             91 587958at33208        -             89   4.7e-08   32.3   0.0   1   1   9.9e-10   5.4e-08   32.1   0.0    12    81     1    73     1    80 0.82 -
564286at33208_7425_0:001fb1|TRINITY_DN84616_c7_g1_i3:372-644|+      -             91 587958at33208        -             89   4.7e-08   32.3   0.0   1   1   9.9e-10   5.4e-08   32.1   0.0    12    81     1    73     1    80 0.82 -
587958at33208_51031_0:0023a1|TRINITY_DN80683_c11_g1_i1:372-602|-    -             77 587958at33208        -             89   7.8e-08   31.6   0.0   1   1   1.7e-09   9.3e-08   31.3   0.0    10    79     2    74     1    77 0.80 -
587958at33208_51031_0:0023a1|TRINITY_DN80683_c11_g1_i2:372-602|-    -             77 587958at33208        -             89   7.8e-08   31.6   0.0   1   1   1.7e-09   9.3e-08   31.3   0.0    10    79     2    74     1    77 0.80 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i3:161-880|+   -            240 587958at33208        -             89   1.3e-07   30.8   0.0   1   2     3e-05    0.0017   17.7   0.0     6    70    81   144    77   154 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i3:161-880|+   -            240 587958at33208        -             89   1.3e-07   30.8   0.0   2   2    0.0049      0.27   10.6   0.0    10    70   163   220   158   234 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i1:1108-1869|+ -            254 587958at33208        -             89   1.4e-07   30.8   0.0   1   2   3.4e-05    0.0019   17.5   0.0     6    70    95   158    91   168 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i1:1108-1869|+ -            254 587958at33208        -             89   1.4e-07   30.8   0.0   2   2    0.0055       0.3   10.4   0.0    10    70   177   234   172   247 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i4:1080-1841|+ -            254 587958at33208        -             89   1.4e-07   30.8   0.0   1   2   3.4e-05    0.0019   17.5   0.0     6    70    95   158    91   168 0.85 -
331186at33208_121845_0:003aa4|TRINITY_DN93116_c16_g2_i4:1080-1841|+ -            254 587958at33208        -             89   1.4e-07   30.8   0.0   2   2    0.0055       0.3   10.4   0.0    10    70   177   234   172   247 0.85 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i1:149-637|+   -            163 587958at33208        -             89   3.9e-07   29.3   0.0   1   2   0.00038     0.021   14.2   0.0    19    71    14    69     3    85 0.83 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i1:149-637|+   -            163 587958at33208        -             89   3.9e-07   29.3   0.0   2   2   0.00067     0.037   13.4   0.0    16    64   106   157    92   162 0.71 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i2:149-637|+   -            163 587958at33208        -             89   3.9e-07   29.3   0.0   1   2   0.00038     0.021   14.2   0.0    19    71    14    69     3    85 0.83 -
331186at33208_328815_0:003ee7|TRINITY_DN84204_c13_g1_i2:149-637|+   -            163 587958at33208        -             89   3.9e-07   29.3   0.0   2   2   0.00067     0.037   13.4   0.0    16    64   106   157    92   162 0.71 -
331186at33208_7962_0:004f05|TRINITY_DN87486_c3_g1_i1:77-655|-       -            193 587958at33208        -             89   4.4e-07   29.2   0.1   1   2   0.00014    0.0078   15.5   0.0    14    86     4    78     2    80 0.79 -
331186at33208_7962_0:004f05|TRINITY_DN87486_c3_g1_i1:77-655|-       -            193 587958at33208        -             89   4.4e-07   29.2   0.1   2   2    0.0026      0.15   11.5   0.0    12    61   127   178   119   186 0.81 -
196950at33208_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+      -            187 587958at33208        -             89   4.5e-07   29.1   0.0   1   2      0.19        10    5.5   0.0     9    61     5    60     1    74 0.79 -
196950at33208_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+      -            187 587958at33208        -             89   4.5e-07   29.1   0.0   2   2   2.3e-06   0.00013   21.3   0.0    10    83    93   170    84   175 0.82 -
564286at33208_441921_0:0017da|TRINITY_DN76980_c8_g1_i1:79-306|-     -             76 587958at33208        -             89   5.7e-07   28.8   0.0   1   1   1.2e-08   6.6e-07   28.6   0.0    12    74     1    65     1    72 0.87 -
564286at33208_7176_0:003daf|TRINITY_DN76980_c8_g1_i2:40-252|-       -             71 587958at33208        -             89   9.5e-07   28.1   0.1   1   1   1.8e-08   9.8e-07   28.1   0.1    12    73     1    64     1    71 0.86 -
547099at33208_45351_0:0032ed|TRINITY_DN90222_c9_g1_i3:409-732|-     -            108 587958at33208        -             89   1.1e-06   27.9   0.0   1   1   2.4e-08   1.3e-06   27.6   0.0    13    80     2    67     1    74 0.91 -
547099at33208_45351_0:0032ed|TRINITY_DN90222_c9_g1_i4:2140-2463|-   -            108 587958at33208        -             89   1.1e-06   27.9   0.0   1   1   2.4e-08   1.3e-06   27.6   0.0    13    80     2    67     1    74 0.91 -
547099at33208_45351_0:0032ed|TRINITY_DN90222_c9_g1_i5:935-1258|-    -            108 587958at33208        -             89   1.1e-06   27.9   0.0   1   1   2.4e-08   1.3e-06   27.6   0.0    13    80     2    67     1    74 0.91 -
547099at33208_45351_0:0032ed|TRINITY_DN90222_c9_g1_i6:2285-2608|-   -            108 587958at33208        -             89   1.1e-06   27.9   0.0   1   1   2.4e-08   1.3e-06   27.6   0.0    13    80     2    67     1    74 0.91 -
547099at33208_45351_0:0032ed|TRINITY_DN90222_c9_g1_i7:99-422|-      -            108 587958at33208        -             89   1.1e-06   27.9   0.0   1   1   2.4e-08   1.3e-06   27.6   0.0    13    80     2    67     1    74 0.91 -
547099at33208_50429_0:005f1c|TRINITY_DN85415_c7_g1_i1:127-375|+     -             83 587958at33208        -             89   1.4e-06   27.6   0.0   1   1   2.8e-08   1.5e-06   27.4   0.0    11    70    18    80     7    83 0.83 -
547099at33208_50429_0:005f1c|TRINITY_DN85415_c7_g1_i3:67-315|+      -             83 587958at33208        -             89   1.4e-06   27.6   0.0   1   1   2.8e-08   1.5e-06   27.4   0.0    11    70    18    80     7    83 0.83 -
547099at33208_50429_0:005f1c|TRINITY_DN85415_c7_g1_i6:127-375|+     -             83 587958at33208        -             89   1.4e-06   27.6   0.0   1   1   2.8e-08   1.5e-06   27.4   0.0    11    70    18    80     7    83 0.83 -
547099at33208_50429_0:005f1c|TRINITY_DN85415_c7_g1_i7:127-375|+     -             83 587958at33208        -             89   1.4e-06   27.6   0.0   1   1   2.8e-08   1.5e-06   27.4   0.0    11    70    18    80     7    83 0.83 -
436539at33208_7200_0:0001f1|TRINITY_DN75338_c5_g5_i5:3446-3691|-    -             82 587958at33208        -             89   1.5e-06   27.4   0.0   1   1     3e-08   1.7e-06   27.3   0.0    12    86     1    78     1    81 0.84 -
564286at33208_7159_0:0030fc|TRINITY_DN76024_c13_g2_i2:1117-1377|-   -             87 587958at33208        -             89   2.1e-06   27.0   0.1   1   1   4.4e-08   2.4e-06   26.8   0.1    21    82     8    72     1    77 0.85 -
564286at33208_7159_0:0030fc|TRINITY_DN76024_c13_g2_i4:1693-1953|-   -             87 587958at33208        -             89   2.1e-06   27.0   0.1   1   1   4.4e-08   2.4e-06   26.8   0.1    21    82     8    72     1    77 0.85 -
564286at33208_7159_0:0030fc|TRINITY_DN76024_c13_g2_i5:1693-1953|-   -             87 587958at33208        -             89   2.1e-06   27.0   0.1   1   1   4.4e-08   2.4e-06   26.8   0.1    21    82     8    72     1    77 0.85 -
564286at33208_6565_0:0040cb|TRINITY_DN91187_c13_g1_i1:120-647|+     -            176 587958at33208        -             89   2.3e-06   26.8   0.1   1   1   6.3e-08   3.5e-06   26.3   0.1    12    81    38   110    33   117 0.84 -
564286at33208_7159_0:0030fc|TRINITY_DN81227_c12_g2_i1:725-955|+     -             77 587958at33208        -             89   2.5e-06   26.7   0.0   1   1   5.1e-08   2.8e-06   26.6   0.0    19    81    11    76     3    77 0.85 -
564286at33208_7159_0:0030fc|TRINITY_DN81227_c12_g2_i2:423-653|+     -             77 587958at33208        -             89   2.5e-06   26.7   0.0   1   1   5.1e-08   2.8e-06   26.6   0.0    19    81    11    76     3    77 0.85 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i2:277-630|+     -            118 587958at33208        -             89     3e-06   26.5   0.0   1   2     2e-06   0.00011   21.5   0.0     9    56     3    53     1    70 0.85 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i2:277-630|+     -            118 587958at33208        -             89     3e-06   26.5   0.0   2   2      0.94        52    3.3   0.0    12    40    86   114    74   117 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i5:277-630|+     -            118 587958at33208        -             89     3e-06   26.5   0.0   1   2     2e-06   0.00011   21.5   0.0     9    56     3    53     1    70 0.85 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i5:277-630|+     -            118 587958at33208        -             89     3e-06   26.5   0.0   2   2      0.94        52    3.3   0.0    12    40    86   114    74   117 0.87 -
587958at33208_8897_0:00284d|TRINITY_DN81788_c13_g1_i3:87-305|+      -             73 587958at33208        -             89   3.1e-06   26.4   0.0   1   1   5.8e-08   3.2e-06   26.4   0.0     6    70     7    73     1    73 0.85 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i2:473-1060|-    -            196 587958at33208        -             89   4.5e-06   25.9   0.0   1   2     0.065       3.6    7.0   0.0    10    45    44    79    39    91 0.90 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i2:473-1060|-    -            196 587958at33208        -             89   4.5e-06   25.9   0.0   2   2   6.1e-05    0.0034   16.7   0.0    12    56   148   195   140   196 0.82 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i5:473-1060|-    -            196 587958at33208        -             89   4.5e-06   25.9   0.0   1   2     0.065       3.6    7.0   0.0    10    45    44    79    39    91 0.90 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i5:473-1060|-    -            196 587958at33208        -             89   4.5e-06   25.9   0.0   2   2   6.1e-05    0.0034   16.7   0.0    12    56   148   195   140   196 0.82 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i7:473-1060|-    -            196 587958at33208        -             89   4.5e-06   25.9   0.0   1   2     0.065       3.6    7.0   0.0    10    45    44    79    39    91 0.90 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i7:473-1060|-    -            196 587958at33208        -             89   4.5e-06   25.9   0.0   2   2   6.1e-05    0.0034   16.7   0.0    12    56   148   195   140   196 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN84616_c7_g1_i4:514-906|+      -            131 587958at33208        -             89   6.5e-06   25.4   0.0   1   2   5.7e-05    0.0031   16.8   0.0    10    58     3    54     1    69 0.74 -
564286at33208_6832_0:0012b4|TRINITY_DN84616_c7_g1_i4:514-906|+      -            131 587958at33208        -             89   6.5e-06   25.4   0.0   2   2     0.075       4.2    6.8   0.0    12    39   103   130    98   131 0.92 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i10:2934-3278|+  -            115 587958at33208        -             89   6.8e-06   25.3   0.0   1   2   4.2e-06   0.00023   20.4   0.0    11    56     2    50     1    71 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i10:2934-3278|+  -            115 587958at33208        -             89   6.8e-06   25.3   0.0   2   2      0.97        53    3.3   0.0    12    40    83   111    74   114 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i13:2934-3278|+  -            115 587958at33208        -             89   6.8e-06   25.3   0.0   1   2   4.2e-06   0.00023   20.4   0.0    11    56     2    50     1    71 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i13:2934-3278|+  -            115 587958at33208        -             89   6.8e-06   25.3   0.0   2   2      0.97        53    3.3   0.0    12    40    83   111    74   114 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i3:2672-3016|+   -            115 587958at33208        -             89   6.8e-06   25.3   0.0   1   2   4.2e-06   0.00023   20.4   0.0    11    56     2    50     1    71 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i3:2672-3016|+   -            115 587958at33208        -             89   6.8e-06   25.3   0.0   2   2      0.97        53    3.3   0.0    12    40    83   111    74   114 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i7:2934-3278|+   -            115 587958at33208        -             89   6.8e-06   25.3   0.0   1   2   4.2e-06   0.00023   20.4   0.0    11    56     2    50     1    71 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i7:2934-3278|+   -            115 587958at33208        -             89   6.8e-06   25.3   0.0   2   2      0.97        53    3.3   0.0    12    40    83   111    74   114 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i8:2934-3278|+   -            115 587958at33208        -             89   6.8e-06   25.3   0.0   1   2   4.2e-06   0.00023   20.4   0.0    11    56     2    50     1    71 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i8:2934-3278|+   -            115 587958at33208        -             89   6.8e-06   25.3   0.0   2   2      0.97        53    3.3   0.0    12    40    83   111    74   114 0.87 -
587958at33208_13249_0:000902|TRINITY_DN76633_c3_g1_i14:1068-1283|-  -             72 587958at33208        -             89   7.1e-06   25.3   0.0   1   1   1.3e-07   7.3e-06   25.2   0.0    10    67     1    58     1    71 0.93 -
587958at33208_13249_0:000902|TRINITY_DN76633_c3_g1_i5:2200-2415|-   -             72 587958at33208        -             89   7.1e-06   25.3   0.0   1   1   1.3e-07   7.3e-06   25.2   0.0    10    67     1    58     1    71 0.93 -
564286at33208_7176_0:003daf|TRINITY_DN76980_c7_g13_i1:0-215|+       -             72 587958at33208        -             89   8.2e-06   25.1   0.0   1   1   1.6e-07   9.1e-06   24.9   0.0    12    67    13    70     7    72 0.89 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i1:773-1354|-    -            194 587958at33208        -             89     1e-05   24.8   0.0   1   2     0.064       3.5    7.0   0.0    10    45    44    79    39    91 0.90 -
196950at33208_7668_0:006b2d|TRINITY_DN88558_c13_g1_i1:773-1354|-    -            194 587958at33208        -             89     1e-05   24.8   0.0   2   2   0.00014    0.0074   15.6   0.0    12    46   148   182   140   194 0.82 -
564286at33208_7397_0:004a22|TRINITY_DN76980_c8_g1_i3:40-246|-       -             69 587958at33208        -             89     1e-05   24.8   0.0   1   1   1.9e-07   1.1e-05   24.7   0.0    15    77     2    66     1    69 0.82 -
564286at33208_6832_0:0012b4|TRINITY_DN81038_c3_g2_i5:407-787|-      -            127 587958at33208        -             89   1.1e-05   24.6   0.0   1   2   1.1e-05   0.00061   19.1   0.0     8    61     2    58     1    76 0.83 -
564286at33208_6832_0:0012b4|TRINITY_DN81038_c3_g2_i5:407-787|-      -            127 587958at33208        -             89   1.1e-05   24.6   0.0   2   2      0.62        34    3.9   0.0    10    40    95   125    88   127 0.86 -
564286at33208_441921_0:0017da|TRINITY_DN76980_c7_g1_i1:7-222|+      -             72 587958at33208        -             89   1.3e-05   24.5   0.0   1   1   2.5e-07   1.4e-05   24.4   0.0    12    70     9    69     2    72 0.87 -
587958at33208_294128_0:0013b9|TRINITY_DN93756_c5_g1_i9:3302-3487|-  -             62 587958at33208        -             89   2.8e-05   23.4   0.0   1   1   5.5e-07     3e-05   23.3   0.0    12    74     1    61     1    62 0.93 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i4:277-495|+     -             73 587958at33208        -             89   3.1e-05   23.2   0.0   1   1   6.3e-07   3.5e-05   23.1   0.0     9    55     3    52     1    64 0.87 -
578354at33208_52283_0:000fa5|TRINITY_DN72130_c16_g1_i3:629-1270|-   -            214 587958at33208        -             89     4e-05   22.9   0.0   1   1   1.1e-06   6.3e-05   22.3   0.0    10    80    78   151    71   157 0.85 -
564286at33208_7159_0:0030fc|TRINITY_DN76024_c13_g2_i1:1117-1332|-   -             72 587958at33208        -             89     5e-05   22.6   0.1   1   1   1.1e-06   5.8e-05   22.4   0.1    29    82     1    57     1    62 0.87 -
564286at33208_7159_0:0030fc|TRINITY_DN76024_c13_g2_i3:1693-1908|-   -             72 587958at33208        -             89     5e-05   22.6   0.1   1   1   1.1e-06   5.8e-05   22.4   0.1    29    82     1    57     1    62 0.87 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i11:2673-2882|+  -             70 587958at33208        -             89   5.8e-05   22.4   0.0   1   1   1.1e-06     6e-05   22.3   0.0    11    56     2    50     1    67 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i14:2673-2882|+  -             70 587958at33208        -             89   5.8e-05   22.4   0.0   1   1   1.1e-06     6e-05   22.3   0.0    11    56     2    50     1    67 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i1:2673-2882|+   -             70 587958at33208        -             89   5.8e-05   22.4   0.0   1   1   1.1e-06     6e-05   22.3   0.0    11    56     2    50     1    67 0.84 -
564286at33208_6832_0:0012b4|TRINITY_DN85178_c13_g1_i6:2673-2882|+   -             70 587958at33208        -             89   7.2e-05   22.1   0.0   1   1   1.4e-06   7.9e-05   21.9   0.0    11    55     2    49     1    62 0.87 -
