#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
510522at33208_6573_0:00127a|TRINITY_DN85602_c13_g1_i1:161-886|+      -            242 510522at33208        -            200   2.1e-66  222.4  15.8   1   1     1e-67   1.2e-65  220.0  15.8     2   181     4   207     3   242 0.83 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i3:1834-2238|-    -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i4:1641-2045|-    -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i7:1854-2258|-    -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i9:1834-2238|-    -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i8:167-571|-      -            135 510522at33208        -            200     4e-12   45.3   0.0   1   1   4.1e-14   4.9e-12   45.0   0.0    15    75    13    75     2    82 0.86 -
391896at33208_438502_0:005159|TRINITY_DN78422_c8_g1_i4:3884-4117|-   -             78 510522at33208        -            200   2.8e-10   39.2   0.1   1   1   2.7e-12   3.2e-10   39.0   0.1    16    76     3    71     1    77 0.79 -
391896at33208_438502_0:005159|TRINITY_DN78422_c8_g1_i8:4086-4319|-   -             78 510522at33208        -            200   2.8e-10   39.2   0.1   1   1   2.7e-12   3.2e-10   39.0   0.1    16    76     3    71     1    77 0.79 -
391896at33208_438502_0:005159|TRINITY_DN78422_c8_g1_i9:4205-4438|-   -             78 510522at33208        -            200   2.8e-10   39.2   0.1   1   1   2.7e-12   3.2e-10   39.0   0.1    16    76     3    71     1    77 0.79 -
407472at33208_407821_0:001031|TRINITY_DN80760_c11_g1_i1:1119-1298|+  -             60 510522at33208        -            200     7e-10   37.9   0.0   1   1   6.3e-12   7.5e-10   37.8   0.0    16    71     1    60     1    60 0.87 -
407472at33208_407821_0:001031|TRINITY_DN80760_c11_g1_i2:2570-2749|+  -             60 510522at33208        -            200     7e-10   37.9   0.0   1   1   6.3e-12   7.5e-10   37.8   0.0    16    71     1    60     1    60 0.87 -
407472at33208_407821_0:001031|TRINITY_DN80760_c11_g1_i3:735-914|+    -             60 510522at33208        -            200     7e-10   37.9   0.0   1   1   6.3e-12   7.5e-10   37.8   0.0    16    71     1    60     1    60 0.87 -
407472at33208_1155016_0:000932|TRINITY_DN71934_c13_g1_i3:1937-2116|- -             60 510522at33208        -            200   4.8e-09   35.2   0.1   1   1   4.4e-11   5.2e-09   35.1   0.1    17    67     2    60     1    60 0.80 -
407472at33208_1155016_0:000932|TRINITY_DN71934_c13_g1_i5:560-739|-   -             60 510522at33208        -            200   4.8e-09   35.2   0.1   1   1   4.4e-11   5.2e-09   35.1   0.1    17    67     2    60     1    60 0.80 -
407472at33208_1155016_0:000932|TRINITY_DN71934_c13_g1_i6:2011-2190|- -             60 510522at33208        -            200   4.8e-09   35.2   0.1   1   1   4.4e-11   5.2e-09   35.1   0.1    17    67     2    60     1    60 0.80 -
407472at33208_6945_0:004891|TRINITY_DN84195_c6_g1_i1:309-602|+       -             98 510522at33208        -            200   1.1e-07   30.7   0.1   1   1   1.1e-09   1.3e-07   30.6   0.1    13    80     2    74     1    89 0.82 -
407472at33208_6945_0:004891|TRINITY_DN84195_c6_g1_i3:219-512|+       -             98 510522at33208        -            200   1.1e-07   30.7   0.1   1   1   1.1e-09   1.3e-07   30.6   0.1    13    80     2    74     1    89 0.82 -
245567at33208_8030_0:00aa3f|TRINITY_DN78225_c12_g1_i4:225-842|-      -            206 510522at33208        -            200   8.2e-07   27.9   0.0   1   1     1e-08   1.2e-06   27.4   0.0    10    79    79   160    71   182 0.78 -
245567at33208_8030_0:00aa3f|TRINITY_DN78225_c12_g1_i2:232-933|-      -            234 510522at33208        -            200     1e-06   27.6   0.0   1   1   1.3e-08   1.6e-06   27.0   0.0    10    79    79   160    71   183 0.78 -
601967at33208_52612_0:003263|TRINITY_DN86657_c10_g1_i2:216-752|+     -            179 510522at33208        -            200   1.1e-06   27.5   0.0   1   1   1.3e-08   1.6e-06   27.0   0.0    13    72    13    77     6    93 0.84 -
245567at33208_294128_0:002c00|TRINITY_DN78225_c12_g1_i5:505-1338|-   -            278 510522at33208        -            200   2.3e-06   26.5   0.0   1   1   1.9e-08   2.3e-06   26.5   0.0    10    79    79   160    71   182 0.78 -
611258at33208_294128_0:001d61|TRINITY_DN76908_c11_g1_i3:138-503|-    -            122 510522at33208        -            200   2.6e-06   26.3   0.2   1   2       8.1   9.6e+02   -1.7   0.0   150   167     8    25     5    40 0.64 -
611258at33208_294128_0:001d61|TRINITY_DN76908_c11_g1_i3:138-503|-    -            122 510522at33208        -            200   2.6e-06   26.3   0.2   2   2   4.7e-08   5.6e-06   25.2   0.0    14    68    46   106    39   117 0.77 -
611258at33208_136037_0:001d07|TRINITY_DN76908_c11_g1_i5:347-937|-    -            197 510522at33208        -            200     2e-05   23.4   0.0   1   2   1.7e-07     2e-05   23.4   0.0    14    68    41   101    34   109 0.77 -
611258at33208_136037_0:001d07|TRINITY_DN76908_c11_g1_i5:347-937|-    -            197 510522at33208        -            200     2e-05   23.4   0.0   2   2       3.3     4e+02   -0.4   1.4   152   197   116   160   104   163 0.59 -
206858at33208_62324_0:002d27|TRINITY_DN93485_c13_g1_i8:2566-6048|-   -            734 510522at33208        -            200   0.00012   20.8   0.9   1   2   2.5e-06   0.00029   19.6   0.2    39    79     1    42     1    54 0.90 -
206858at33208_62324_0:002d27|TRINITY_DN93485_c13_g1_i8:2566-6048|-   -            734 510522at33208        -            200   0.00012   20.8   0.9   2   2       7.4   8.8e+02   -1.6   0.0    52    96   428   472   418   475 0.82 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i7:1065-2018|-     -            318 510522at33208        -            200   0.00026   19.8   0.7   1   2       5.4   6.4e+02   -1.1   0.0    64    88   219   240   214   246 0.76 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i7:1065-2018|-     -            318 510522at33208        -            200   0.00026   19.8   0.7   2   2   4.4e-06   0.00053   18.7   0.1    10    68   247   312   239   318 0.78 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i10:1065-2095|-    -            342 510522at33208        -            200   0.00032   19.5   0.7   1   2       6.1   7.3e+02   -1.3   0.0    64    88   243   264   239   270 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i10:1065-2095|-    -            342 510522at33208        -            200   0.00032   19.5   0.7   2   2   5.4e-06   0.00064   18.5   0.1    10    68   271   336   264   342 0.78 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i3:1065-2095|-     -            342 510522at33208        -            200   0.00032   19.5   0.7   1   2       6.1   7.3e+02   -1.3   0.0    64    88   243   264   239   270 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i3:1065-2095|-     -            342 510522at33208        -            200   0.00032   19.5   0.7   2   2   5.4e-06   0.00064   18.5   0.1    10    68   271   336   264   342 0.78 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i9:1065-2095|-     -            342 510522at33208        -            200   0.00032   19.5   0.7   1   2       6.1   7.3e+02   -1.3   0.0    64    88   243   264   239   270 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i9:1065-2095|-     -            342 510522at33208        -            200   0.00032   19.5   0.7   2   2   5.4e-06   0.00064   18.5   0.1    10    68   271   336   264   342 0.78 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i11:1065-2099|-    -            345 510522at33208        -            200   0.00033   19.4   0.7   1   2       6.2   7.4e+02   -1.3   0.0    64    88   246   267   242   273 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i11:1065-2099|-    -            345 510522at33208        -            200   0.00033   19.4   0.7   2   2   5.4e-06   0.00065   18.5   0.1    10    68   274   339   267   345 0.78 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i12:1065-2099|-    -            345 510522at33208        -            200   0.00033   19.4   0.7   1   2       6.2   7.4e+02   -1.3   0.0    64    88   246   267   242   273 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i12:1065-2099|-    -            345 510522at33208        -            200   0.00033   19.4   0.7   2   2   5.4e-06   0.00065   18.5   0.1    10    68   274   339   267   345 0.78 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i1:1065-2099|-     -            345 510522at33208        -            200   0.00033   19.4   0.7   1   2       6.2   7.4e+02   -1.3   0.0    64    88   246   267   242   273 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i1:1065-2099|-     -            345 510522at33208        -            200   0.00033   19.4   0.7   2   2   5.4e-06   0.00065   18.5   0.1    10    68   274   339   267   345 0.78 -
9639at33208_240206_0:000bde|TRINITY_DN91022_c13_g5_i2:1-2772|+       -            924 510522at33208        -            200    0.0045   15.7   0.0   1   1   6.5e-05    0.0078   14.9   0.0    24    64   535   574   515   580 0.85 -
9639at33208_29159_0:002fdc|TRINITY_DN91022_c13_g5_i4:1-3711|+        -           1237 510522at33208        -            200     0.006   15.3   0.0   1   1   9.2e-05     0.011   14.5   0.0    24    64   535   574   515   580 0.85 -
9639at33208_29159_0:002fdc|TRINITY_DN91022_c13_g5_i3:1-4344|+        -           1448 510522at33208        -            200    0.0072   15.0   0.0   1   1   0.00011     0.013   14.2   0.0    24    64   535   574   515   580 0.85 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i5:283-1401|-      -            286 510522at33208        -            200     0.094   11.4   0.1   1   2       5.1     6e+02   -1.0   0.1    64    88   219   240   214   245 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i5:283-1401|-      -            286 510522at33208        -            200     0.094   11.4   0.1   2   2    0.0028      0.34    9.6   0.0    22    42   262   282   244   285 0.86 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i2:283-1482|-      -            313 510522at33208        -            200      0.11   11.1   0.1   1   2       5.6   6.7e+02   -1.2   0.1    64    88   246   267   241   272 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i2:283-1482|-      -            313 510522at33208        -            200      0.11   11.1   0.1   2   2    0.0032      0.38    9.4   0.0    22    42   289   309   271   312 0.86 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i6:283-1482|-      -            313 510522at33208        -            200      0.11   11.1   0.1   1   2       5.6   6.7e+02   -1.2   0.1    64    88   246   267   241   272 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i6:283-1482|-      -            313 510522at33208        -            200      0.11   11.1   0.1   2   2    0.0032      0.38    9.4   0.0    22    42   289   309   271   312 0.86 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i8:283-1482|-      -            313 510522at33208        -            200      0.11   11.1   0.1   1   2       5.6   6.7e+02   -1.2   0.1    64    88   246   267   241   272 0.75 -
445031at33208_6850_0:002f23|TRINITY_DN89009_c1_g2_i8:283-1482|-      -            313 510522at33208        -            200      0.11   11.1   0.1   2   2    0.0032      0.38    9.4   0.0    22    42   289   309   271   312 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/510522at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/510522at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/510522at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:52 2026
# [ok]
