#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+  -           1081 56573at33208         -            932         0 1411.1   5.9   1   1         0         0 1410.8   5.9     1   919     7  1045     7  1068 0.90 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 56573at33208         -            932   4.1e-07   27.4   0.0   2   3     8e-06    0.0042   14.2   0.0   292   391   155   256   132   323 0.79 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 56573at33208         -            932   4.1e-07   27.4   0.0   3   3     0.045        24    1.8   0.0   357   415   416   475   394   513 0.73 -
56573at33208_38123_0:001509|TRINITY_DN80034_c5_g1_i3:3517-3960|-  -            148 56573at33208         -            932   0.00014   19.1   0.0   1   1   2.6e-07   0.00014   19.1   0.0    33   116    41   127     2   147 0.77 -
56573at33208_38123_0:001509|TRINITY_DN80034_c5_g1_i6:3589-4032|-  -            148 56573at33208         -            932   0.00014   19.1   0.0   1   1   2.6e-07   0.00014   19.1   0.0    33   116    41   127     2   147 0.77 -
56573at33208_38123_0:001509|TRINITY_DN80034_c5_g1_i7:974-1417|-   -            148 56573at33208         -            932   0.00014   19.1   0.0   1   1   2.6e-07   0.00014   19.1   0.0    33   116    41   127     2   147 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/56573at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/56573at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/56573at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:53 2026
# [ok]
