#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
348449at33208_116153_0:00196b|TRINITY_DN93220_c14_g1_i2:157-1299|+ -            381 348449at33208        -            306  1.8e-121  404.1   1.1   1   1  6.7e-124  2.2e-121  403.8   1.1     2   306    42   381    41   381 0.92 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i10:1-222|+     -             74 348449at33208        -            306    0.0034   15.7   0.0   1   1   1.1e-05    0.0036   15.6   0.0   236   271    19    54    13    73 0.85 -
567809at33208_59894_0:00053d|TRINITY_DN80672_c0_g1_i12:2-211|+     -             70 348449at33208        -            306    0.0048   15.2   0.0   1   1   1.8e-05     0.006   14.9   0.0   236   271    29    64    24    68 0.91 -
567809at33208_10160_0:001518|TRINITY_DN80672_c0_g1_i8:1-201|+      -             67 348449at33208        -            306     0.006   14.9   0.0   1   1     2e-05    0.0066   14.7   0.0   236   270    19    53    13    65 0.88 -
567809at33208_67767_0:0045cf|TRINITY_DN85820_c1_g1_i1:1-213|+      -             69 348449at33208        -            306     0.044   12.0   0.0   1   1   0.00016     0.052   11.8   0.0   249   301     1    64     1    69 0.71 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i3:126-1127|+ -            334 348449at33208        -            306     0.052   11.8   0.3   1   2      0.11        35    2.5   0.0   114   161     9    56     3    64 0.75 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i3:126-1127|+ -            334 348449at33208        -            306     0.052   11.8   0.3   2   2    0.0043       1.4    7.1   0.1   140   177   252   288   240   317 0.85 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i4:146-1147|+ -            334 348449at33208        -            306     0.052   11.8   0.3   1   2      0.11        35    2.5   0.0   114   161     9    56     3    64 0.75 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i4:146-1147|+ -            334 348449at33208        -            306     0.052   11.8   0.3   2   2    0.0043       1.4    7.1   0.1   140   177   252   288   240   317 0.85 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i6:126-1127|+ -            334 348449at33208        -            306     0.052   11.8   0.3   1   2      0.11        35    2.5   0.0   114   161     9    56     3    64 0.75 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i6:126-1127|+ -            334 348449at33208        -            306     0.052   11.8   0.3   2   2    0.0043       1.4    7.1   0.1   140   177   252   288   240   317 0.85 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i1:328-1320|+ -            331 348449at33208        -            306     0.063   11.5   0.5   1   2      0.12        38    2.4   0.0   114   161     6    53     2    61 0.74 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i1:328-1320|+ -            331 348449at33208        -            306     0.063   11.5   0.5   2   2    0.0043       1.4    7.1   0.1   140   177   249   285   237   314 0.85 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i2:328-1320|+ -            331 348449at33208        -            306     0.063   11.5   0.5   1   2      0.12        38    2.4   0.0   114   161     6    53     2    61 0.74 -
551831at33208_294128_0:000ca4|TRINITY_DN86665_c10_g1_i2:328-1320|+ -            331 348449at33208        -            306     0.063   11.5   0.5   2   2    0.0043       1.4    7.1   0.1   140   177   249   285   237   314 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/348449at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/348449at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/348449at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:47 2026
# [ok]
