#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-       -            156 111730at33208        -            629   1.3e-75  254.0   0.4   1   1   7.7e-77   1.4e-75  253.8   0.4   161   311     2   156     1   156 0.96 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-       -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   1   3   7.2e-15   1.3e-13   49.1   1.7    91   196     1   113     1   121 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   2   3   1.2e-06   2.2e-05   21.9   0.0   161   233   120   198   112   218 0.77 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-        -            288 111730at33208        -            629     4e-24   83.9   9.3   3   3   3.8e-05   0.00071   17.0   0.3   143   195   232   286   218   287 0.89 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+        -            284 111730at33208        -            629   2.3e-21   74.8   0.0   1   3   1.5e-05   0.00028   18.3   0.0   128   194     6    73     3    80 0.92 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+        -            284 111730at33208        -            629   2.3e-21   74.8   0.0   2   3   4.9e-12   9.2e-11   39.7   0.0    86   218    84   227    80   229 0.84 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+        -            284 111730at33208        -            629   2.3e-21   74.8   0.0   3   3   7.6e-05    0.0014   16.0   0.0    54   116   218   282   211   284 0.90 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   2.6e-21   74.6   4.9   1   6   1.4e-05   0.00027   18.4   0.0   135   196    32    93    26   105 0.92 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   2.6e-21   74.6   4.9   2   6     0.084       1.6    5.9   0.0   127   225   109   216   106   219 0.73 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   2.6e-21   74.6   4.9   3   6   4.6e-05   0.00086   16.7   0.1   157   196   230   269   195   299 0.64 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   2.6e-21   74.6   4.9   4   6     0.037       0.7    7.1   0.0    82   117   318   353   295   357 0.93 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   2.6e-21   74.6   4.9   5   6   1.6e-06   3.1e-05   21.5   0.0   122   195   485   561   452   568 0.80 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   2.6e-21   74.6   4.9   6   6       1.8        33    1.6   0.1     9    35   577   603   568   605 0.65 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 111730at33208        -            629   8.4e-20   69.6   0.0   1   3   1.4e-05   0.00027   18.4   0.0   128   194    19    86    13    93 0.92 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 111730at33208        -            629   8.4e-20   69.6   0.0   2   3   3.6e-11   6.7e-10   36.9   0.0    86   201    97   219    93   226 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 111730at33208        -            629   8.4e-20   69.6   0.0   3   3     0.005     0.093   10.0   0.0    54   113   231   292   227   292 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 111730at33208        -            629   1.2e-19   69.0   3.0   1   3   3.8e-12   7.2e-11   40.1   0.3    85   195    51   170    48   176 0.88 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 111730at33208        -            629   1.2e-19   69.0   3.0   2   3   3.4e-05   0.00063   17.1   0.0   122   195   179   253   176   257 0.90 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 111730at33208        -            629   1.2e-19   69.0   3.0   3   3    0.0043      0.08   10.2   0.0   165   201   271   309   253   335 0.75 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i2:976-1812|-      -            279 111730at33208        -            629   7.6e-19   66.4  13.2   1   3   3.8e-09   7.2e-08   30.2   0.2    63   196    10   152     1   159 0.80 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i2:976-1812|-      -            279 111730at33208        -            629   7.6e-19   66.4  13.2   2   3   6.6e-09   1.2e-07   29.4   0.1    84   195    73   193    71   201 0.86 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i2:976-1812|-      -            279 111730at33208        -            629   7.6e-19   66.4  13.2   3   3   4.3e-08   8.1e-07   26.7   3.5    84   193   159   278   152   279 0.78 -
111730at33208_9258_0:002637|TRINITY_DN78597_c13_g2_i1:80-409|+        -            110 111730at33208        -            629   5.7e-18   63.5   0.0   1   1   3.4e-19   6.3e-18   63.4   0.0   381   459     8   105     2   110 0.80 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+      -            298 111730at33208        -            629   7.3e-18   63.2   0.0   1   2   9.9e-14   1.8e-12   45.3   0.1    63   222     9   180     2   187 0.83 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i3:64-957|+      -            298 111730at33208        -            629   7.3e-18   63.2   0.0   2   2   8.2e-05    0.0015   15.9   0.0   127   196   205   275   197   284 0.79 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 111730at33208        -            629   8.1e-18   63.0   0.0   1   2   1.1e-13     2e-12   45.2   0.2    63   222    29   200    15   206 0.83 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 111730at33208        -            629   8.1e-18   63.0   0.0   2   2   9.3e-05    0.0017   15.7   0.0   127   196   225   295   217   303 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 111730at33208        -            629     1e-16   59.4   8.7   1   3   7.2e-07   1.3e-05   22.7   0.0   126   223     5   106     2   113 0.88 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 111730at33208        -            629     1e-16   59.4   8.7   2   3   6.8e-09   1.3e-07   29.4   0.2    84   195    82   202    79   211 0.86 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 111730at33208        -            629     1e-16   59.4   8.7   3   3     1e-07   1.9e-06   25.4   4.1    85   193   169   287   167   288 0.78 -
179485at33208_294128_0:004380|TRINITY_DN73327_c12_g1_i1:119-1282|-    -            388 111730at33208        -            629   1.3e-15   55.8   0.4   1   4   7.3e-06   0.00014   19.4   0.0   135   196    27    88    21   101 0.92 -
179485at33208_294128_0:004380|TRINITY_DN73327_c12_g1_i1:119-1282|-    -            388 111730at33208        -            629   1.3e-15   55.8   0.4   2   4     0.038       0.7    7.1   0.0   127   225   104   211   101   216 0.74 -
179485at33208_294128_0:004380|TRINITY_DN73327_c12_g1_i1:119-1282|-    -            388 111730at33208        -            629   1.3e-15   55.8   0.4   3   4   2.4e-05   0.00044   17.7   0.1   157   196   225   264   190   296 0.64 -
179485at33208_294128_0:004380|TRINITY_DN73327_c12_g1_i1:119-1282|-    -            388 111730at33208        -            629   1.3e-15   55.8   0.4   4   4      0.02      0.38    8.0   0.0    82   117   313   348   287   352 0.92 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i1:1757-2392|-    -            212 111730at33208        -            629   5.2e-15   53.8   3.3   1   3   4.6e-10   8.5e-09   33.2   0.1   163   273     2   118     1   129 0.84 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i1:1757-2392|-    -            212 111730at33208        -            629   5.2e-15   53.8   3.3   2   3   0.00022    0.0042   14.4   0.1   128   201    92   166    89   183 0.71 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i1:1757-2392|-    -            212 111730at33208        -            629   5.2e-15   53.8   3.3   3   3     0.019      0.35    8.1   0.2   242   268   185   211   176   212 0.76 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 111730at33208        -            629   5.2e-15   53.8   3.3   1   3   4.6e-10   8.5e-09   33.2   0.1   163   273     2   118     1   129 0.84 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 111730at33208        -            629   5.2e-15   53.8   3.3   2   3   0.00022    0.0042   14.4   0.1   128   201    92   166    89   183 0.71 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 111730at33208        -            629   5.2e-15   53.8   3.3   3   3     0.019      0.35    8.1   0.2   242   268   185   211   176   212 0.76 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 111730at33208        -            629   1.2e-14   52.5   0.1   1   2   8.3e-10   1.5e-08   32.4   0.0    59   228    56   238    40   246 0.77 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 111730at33208        -            629   1.2e-14   52.5   0.1   2   2   1.8e-05   0.00034   18.0   0.0   161   222   250   314   241   318 0.86 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 111730at33208        -            629   3.2e-14   51.2   1.4   1   3   9.2e-08   1.7e-06   25.6   0.2    60   194    77   218    55   221 0.89 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 111730at33208        -            629   3.2e-14   51.2   1.4   2   3    0.0011      0.02   12.2   0.0     9   116   418   532   413   535 0.79 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 111730at33208        -            629   3.2e-14   51.2   1.4   3   3     0.042      0.78    6.9   0.0    99   196   612   717   609   727 0.60 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629     5e-14   50.5   1.6   1   4     0.089       1.7    5.9   0.0    90   123   215   249   204   258 0.82 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629     5e-14   50.5   1.6   2   4   1.5e-10   2.7e-09   34.9   0.6    89   197   264   380   256   398 0.82 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629     5e-14   50.5   1.6   3   4      0.16         3    5.0   0.0    53   130   401   484   379   493 0.81 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629     5e-14   50.5   1.6   4   4      0.17       3.2    4.9   0.0    77   116   472   511   463   512 0.92 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   1   4    0.0014     0.025   11.9   0.3   157   196     4    44     1    47 0.85 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   2   4   1.5e-08   2.8e-07   28.2   0.0    78   194    46   171    43   205 0.86 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   3   4      0.08       1.5    6.0   0.1   162   202   227   269   184   271 0.69 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   4   4    0.0034     0.064   10.5   1.3    62   116   247   303   232   303 0.78 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   1   4    0.0014     0.025   11.9   0.3   157   196     4    44     1    47 0.85 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   2   4   1.5e-08   2.8e-07   28.2   0.0    78   194    46   171    43   205 0.86 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   3   4      0.08       1.5    6.0   0.1   162   202   227   269   184   271 0.69 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+     -            303 111730at33208        -            629   2.6e-13   48.2   7.9   4   4    0.0034     0.064   10.5   1.3    62   116   247   303   232   303 0.78 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629   2.6e-13   48.2   7.9   1   4    0.0014     0.025   11.9   0.3   157   196     4    44     1    47 0.85 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629   2.6e-13   48.2   7.9   2   4   1.5e-08   2.8e-07   28.2   0.0    78   194    46   171    43   205 0.86 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629   2.6e-13   48.2   7.9   3   4      0.08       1.5    6.0   0.1   162   202   227   269   184   271 0.69 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629   2.6e-13   48.2   7.9   4   4    0.0034     0.064   10.5   1.3    62   116   247   303   232   303 0.78 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 111730at33208        -            629   2.8e-13   48.0   1.3   1   2   8.7e-11   1.6e-09   35.6   0.1    83   195     7   126     3   130 0.87 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 111730at33208        -            629   2.8e-13   48.0   1.3   2   2    0.0017     0.033   11.5   0.2    93   202   145   259   134   285 0.81 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   3.8e-13   47.6  13.0   1   4   4.4e-07   8.2e-06   23.4   0.3   162   225     4    74     1    76 0.82 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   3.8e-13   47.6  13.0   2   4    0.0005    0.0093   13.3   0.1   158   196    45    83    42    90 0.89 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   3.8e-13   47.6  13.0   3   4    0.0024     0.044   11.1   0.5   161   225    92   163    88   178 0.77 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   3.8e-13   47.6  13.0   4   4    0.0018     0.034   11.4   0.0   127   194   246   324   240   326 0.73 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-    -            211 111730at33208        -            629   3.9e-13   47.6   0.1   1   2     3e-07   5.6e-06   23.9   0.0    87   195    13   129     3   137 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-    -            211 111730at33208        -            629   3.9e-13   47.6   0.1   2   2   1.1e-06     2e-05   22.1   0.0   160   224   136   204   130   209 0.80 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   1   2   4.3e-07   7.9e-06   23.4   0.0    99   195    16   119     2   126 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   2   2   9.3e-07   1.7e-05   22.3   0.0   160   224   126   194   119   199 0.80 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   1   2   4.3e-07   7.9e-06   23.4   0.0    99   195    16   119     2   126 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   2   2   9.3e-07   1.7e-05   22.3   0.0   160   224   126   194   119   199 0.80 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   1   2   4.3e-07   7.9e-06   23.4   0.0    99   195    16   119     2   126 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   2   2   9.3e-07   1.7e-05   22.3   0.0   160   224   126   194   119   199 0.80 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   1   2   4.3e-07   7.9e-06   23.4   0.0    99   195    16   119     2   126 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   2   2   9.3e-07   1.7e-05   22.3   0.0   160   224   126   194   119   199 0.80 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|-   -            201 111730at33208        -            629   4.9e-13   47.3   0.1   1   2   4.3e-07   7.9e-06   23.4   0.0    99   195    16   119     2   126 0.82 -
