#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 537718at33208        -            243     1e-64  217.4   3.0   1   1   2.2e-65   3.9e-64  215.5   3.0     1   242     1   298     1   299 0.84 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   1   4       4.7        86    1.5   0.0   100   135     7    43     2    59 0.61 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   2   4   0.00058     0.011   14.3   0.0    37    87    65   115    44   128 0.89 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   3   4   1.1e-05   0.00021   19.9   0.1   101   153   157   214   144   232 0.64 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243   6.4e-19   67.4   0.4   4   4   9.1e-08   1.7e-06   26.8   0.0    25    88   237   305   227   306 0.90 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-  -            211 537718at33208        -            243   1.7e-18   66.1   0.0   1   2   7.2e-06   0.00013   20.6   0.0    27   113    14   112     5   113 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-  -            211 537718at33208        -            243   1.7e-18   66.1   0.0   2   2   4.1e-12   7.6e-11   41.0   0.0    27   128    99   211    99   211 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i16:2914-3516|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i16:2914-3516|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i1:2914-3516|-  -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i1:2914-3516|-  -            201 537718at33208        -            243   1.7e-18   66.0   0.0   2   2   3.7e-12   6.7e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i20:2927-3529|- -            201 537718at33208        -            243   1.7e-18   66.0   0.0   1   2   6.6e-06   0.00012   20.7   0.0    36   113    19   102     2   104 0.81 -
