#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 578734at33208        -            193   1.9e-59  199.3   7.8   1   1   8.2e-61   7.8e-59  197.3   7.8     3   193     6   238     1   238 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   5   8   1.5e-09   1.4e-07   30.1   0.7    73   148   412   497   407   499 0.89 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   6   8   3.3e-09   3.2e-07   29.0   1.1    72   149   435   521   432   523 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   7   8   7.9e-08   7.5e-06   24.5   0.8    67   146   499   587   496   588 0.87 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-   -            641 578734at33208        -            193   1.7e-33  114.7  29.4   8   8   1.6e-06   0.00015   20.2   1.1    68   146   523   611   521   617 0.81 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i13:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i13:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i13:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i13:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i13:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i16:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i16:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i16:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i16:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i16:162-1256|+     -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i1:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i1:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i1:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i1:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i1:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i2:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i2:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i2:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i2:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i2:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i3:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i3:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i3:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i3:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i3:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i4:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i4:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i4:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i4:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i4:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i7:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   1   5   3.9e-08   3.7e-06   25.5   1.3    67   145    51   138    36   141 0.74 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i7:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   2   5   5.9e-10   5.6e-08   31.4   0.9    25   132   104   217   101   223 0.71 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i7:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   3   5   1.8e-11   1.7e-09   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i7:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   4   5   1.4e-10   1.3e-08   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i7:162-1256|+      -            365 578734at33208        -            193   3.2e-28   97.5  32.4   5   5   2.2e-06    0.0002   19.8   2.0    54   113   291   353   288   364 0.83 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   3.9e-26   90.7  24.5   1   4    0.0004     0.038   12.4   0.1    66   112     9    58     2    64 0.85 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   3.9e-26   90.7  24.5   2   4   2.7e-13   2.6e-11   42.3   3.4    39   149    61   173    58   177 0.87 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   3.9e-26   90.7  24.5   3   4   6.9e-12   6.6e-10   37.7   4.4    62   152   195   294   172   307 0.81 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   3.9e-26   90.7  24.5   4   4    0.0043      0.41    9.0   0.2   122   148   312   338   301   345 0.64 -
234290at33208_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-      -            327 578734at33208        -            193   3.7e-25   87.4  19.1   1   4   0.00042      0.04   12.3   0.1    65   111    13    62     5    67 0.85 -
234290at33208_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-      -            327 578734at33208        -            193   3.7e-25   87.4  19.1   2   4   2.3e-13   2.2e-11   42.5   3.4    39   149    66   178    63   183 0.87 -
234290at33208_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-      -            327 578734at33208        -            193   3.7e-25   87.4  19.1   3   4   2.5e-11   2.4e-09   35.9   7.0    54   151   192   298   169   301 0.77 -
234290at33208_7213_0:0006d2|TRINITY_DN88999_c6_g1_i3:328-1308|-      -            327 578734at33208        -            193   3.7e-25   87.4  19.1   4   4         1        98    1.3   0.0    68    95   300   327   297   327 0.89 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   3.6e-19   67.9  16.7   1   5      0.44        42    2.5   0.0    81   107     3    30     1    36 0.83 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   3.6e-19   67.9  16.7   2   5     4e-06   0.00038   18.9   1.4    72   148    39   124    31   126 0.73 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   3.6e-19   67.9  16.7   3   5   2.4e-07   2.2e-05   22.9   5.3    20   129    82   228    79   233 0.60 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   3.6e-19   67.9  16.7   4   5   7.7e-05    0.0073   14.7   0.6    75   148   235   320   231   324 0.58 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   3.6e-19   67.9  16.7   5   5    0.0027      0.26    9.7   0.0    71   114   330   377   325   391 0.82 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i2:205-1290|+      -            362 578734at33208        -            193   1.3e-18   66.1  15.3   1   5   4.5e-06   0.00043   18.7   1.5    72   147     8    92     1    94 0.75 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i2:205-1290|+      -            362 578734at33208        -            193   1.3e-18   66.1  15.3   2   5   4.3e-05     0.004   15.6   1.1    18    89    49   118    47   123 0.67 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i2:205-1290|+      -            362 578734at33208        -            193   1.3e-18   66.1  15.3   3   5   1.7e-07   1.6e-05   23.4   2.3    35   129    97   197    82   201 0.73 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i2:205-1290|+      -            362 578734at33208        -            193   1.3e-18   66.1  15.3   4   5   6.7e-05    0.0064   14.9   0.5    75   148   204   289   199   292 0.56 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i2:205-1290|+      -            362 578734at33208        -            193   1.3e-18   66.1  15.3   5   5    0.0014      0.13   10.7   0.0    71   114   299   346   273   360 0.70 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i1:4251-4952|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   1   3   4.1e-08   3.9e-06   25.4   0.8    77   149    13    96     2    97 0.76 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i1:4251-4952|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   2   3   5.7e-09   5.4e-07   28.2   1.1    55   116    62   126    59   129 0.87 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i1:4251-4952|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   3   3   1.1e-10   1.1e-08   33.7   1.7    67   149   120   210   119   226 0.89 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   1   3   4.1e-08   3.9e-06   25.4   0.8    77   149    13    96     2    97 0.76 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   2   3   5.7e-09   5.4e-07   28.2   1.1    55   116    62   126    59   129 0.87 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   3   3   1.1e-10   1.1e-08   33.7   1.7    67   149   120   210   119   226 0.89 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i4:4387-5088|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   1   3   4.1e-08   3.9e-06   25.4   0.8    77   149    13    96     2    97 0.76 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i4:4387-5088|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   2   3   5.7e-09   5.4e-07   28.2   1.1    55   116    62   126    59   129 0.87 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i4:4387-5088|-     -            234 578734at33208        -            193   1.5e-18   65.9   9.5   3   3   1.1e-10   1.1e-08   33.7   1.7    67   149   120   210   119   226 0.89 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+    -            303 578734at33208        -            193   2.7e-18   65.1   5.2   1   2   2.7e-05    0.0026   16.2   0.2    94   150     5    67     1    85 0.75 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+    -            303 578734at33208        -            193   2.7e-18   65.1   5.2   2   2   1.3e-15   1.3e-13   49.8   1.0    29   171   148   299   122   301 0.83 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 578734at33208        -            193     5e-18   64.2  11.5   1   3   4.9e-05    0.0047   15.4   0.4   115   149    66   100     2   101 0.77 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 578734at33208        -            193     5e-18   64.2  11.5   2   3   1.8e-06   0.00017   20.1   0.4    66   111   100   148    99   150 0.89 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 578734at33208        -            193     5e-18   64.2  11.5   3   3   5.2e-11   4.9e-09   34.8   1.4    67   150   147   239   144   243 0.87 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i1:420-818|+      -            133 578734at33208        -            193     3e-16   58.4  16.7   1   2   2.8e-10   2.7e-08   32.5   3.1    68   138     4    84     1    84 0.70 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i1:420-818|+      -            133 578734at33208        -            193     3e-16   58.4  16.7   2   2   5.9e-12   5.6e-10   37.9   5.9    66   142    26   111    26   126 0.83 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i4:578-976|+      -            133 578734at33208        -            193     3e-16   58.4  16.7   1   2   2.8e-10   2.7e-08   32.5   3.1    68   138     4    84     1    84 0.70 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i4:578-976|+      -            133 578734at33208        -            193     3e-16   58.4  16.7   2   2   5.9e-12   5.6e-10   37.9   5.9    66   142    26   111    26   126 0.83 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i8:420-818|+      -            133 578734at33208        -            193     3e-16   58.4  16.7   1   2   2.8e-10   2.7e-08   32.5   3.1    68   138     4    84     1    84 0.70 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i8:420-818|+      -            133 578734at33208        -            193     3e-16   58.4  16.7   2   2   5.9e-12   5.6e-10   37.9   5.9    66   142    26   111    26   126 0.83 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 578734at33208        -            193     3e-16   58.4  16.7   1   2   2.8e-10   2.7e-08   32.5   3.1    68   138     4    84     1    84 0.70 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 578734at33208        -            193     3e-16   58.4  16.7   2   2   5.9e-12   5.6e-10   37.9   5.9    66   142    26   111    26   126 0.83 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 578734at33208        -            193   3.2e-16   58.3   0.4   1   3   1.6e-07   1.6e-05   23.4   0.0    63   113     9    62     1    64 0.87 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 578734at33208        -            193   3.2e-16   58.3   0.4   2   3   6.2e-08   5.9e-06   24.8   0.1    66   112    58   107    58   110 0.89 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 578734at33208        -            193   3.2e-16   58.3   0.4   3   3   0.00011      0.01   14.3   0.0    67   112   105   153   104   158 0.80 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i5:103-507|+      -            135 578734at33208        -            193   3.6e-16   58.1  17.2   1   2   2.5e-10   2.4e-08   32.6   3.2    67   138     5    86     2    86 0.73 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i5:103-507|+      -            135 578734at33208        -            193   3.6e-16   58.1  17.2   2   2   7.7e-12   7.3e-10   37.6   6.2    66   142    28   113    28   127 0.83 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   5.6e-16   57.5   2.5   1   5    0.0001    0.0096   14.3   0.1    32   114     2    86     1    89 0.58 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   5.6e-16   57.5   2.5   2   5   2.6e-05    0.0025   16.3   0.0    71   151    87   175    84   197 0.75 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   5.6e-16   57.5   2.5   3   5    0.0012      0.12   10.8   0.0    72   149   180   266   177   267 0.81 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   5.6e-16   57.5   2.5   4   5   8.6e-05    0.0082   14.6   0.1    50   111   236   292   204   314 0.72 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   5.6e-16   57.5   2.5   5   5      0.15        15    4.0   0.1    71   106   350   389   330   389 0.78 -
