#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 581717at33208        -            249   3.4e-63  212.2   0.4   1   1   1.2e-62   3.4e-61  205.7   0.4    33   232    81   315    35   316 0.79 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249   3.4e-14   51.7   0.0   2   3   3.9e-07   1.1e-05   23.9   0.0   169   239    45   116    41   118 0.94 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 581717at33208        -            249   3.4e-14   51.7   0.0   3   3   0.00012    0.0034   15.7   0.0   155   212   115   174   114   189 0.89 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   1.1e-12   46.7   4.0   1   5     0.006      0.17   10.2   0.0   155   210    79   135    63   141 0.87 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   1.1e-12   46.7   4.0   2   5     0.005      0.14   10.4   0.1   176   215   143   182   128   203 0.88 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   1.1e-12   46.7   4.0   3   5       1.6        44    2.2   0.0   180   225   559   605   536   615 0.81 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   1.1e-12   46.7   4.0   4   5      0.01      0.28    9.4   0.1   144   210   606   674   591   679 0.75 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   1.1e-12   46.7   4.0   5   5    0.0022      0.06   11.6   0.0   175   212   681   718   673   733 0.88 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   2.7e-12   45.5   0.0   1   4      0.35       9.6    4.4   0.0   173   210    47    84    37   102 0.85 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   2.7e-12   45.5   0.0   2   4       8.4   2.3e+02   -0.1   0.0   178   217    95   134    88   154 0.66 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   2.7e-12   45.5   0.0   3   4   7.7e-06   0.00021   19.6   0.0   123   211   158   254   146   265 0.77 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   2.7e-12   45.5   0.0   4   4   0.00016    0.0043   15.4   0.0   156   206   289   341   284   346 0.82 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i16:89-952|-     -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   1   6      0.41        11    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   2   6      0.27       7.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   3   6   0.00064     0.018   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   4   6      0.63        17    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   5   6       0.1       2.8    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-      -            288 581717at33208        -            249   2.8e-12   45.4   0.0   6   6      0.04       1.1    7.5   0.0   167   206   241   282   218   288 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   1   4     0.011      0.31    9.3   0.0   175   213   156   194   152   199 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   2   4   0.00022    0.0059   14.9   0.1   177   220   200   243   194   255 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   3   4     0.023      0.63    8.2   0.1   171   214   236   279   233   282 0.93 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   4   4    0.0081      0.22    9.7   0.1   164   223   269   331   258   347 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   1   4     0.011      0.31    9.3   0.0   175   213   156   194   152   199 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   2   4   0.00022    0.0059   14.9   0.1   177   220   200   243   194   255 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   3   4     0.023      0.63    8.2   0.1   171   214   236   279   233   282 0.93 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   4.3e-11   41.6   0.2   4   4    0.0081      0.22    9.7   0.1   164   223   269   331   258   347 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   1   4     0.011      0.31    9.3   0.0   175   213   156   194   152   198 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   2   4   0.00027    0.0074   14.6   0.0   177   220   200   243   194   249 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   3   4     0.017      0.46    8.7   0.1   170   214   235   279   232   283 0.92 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   4   4    0.0065      0.18   10.0   0.1   163   223   268   331   257   347 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   1   4     0.011      0.31    9.3   0.0   175   213   156   194   152   198 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   2   4   0.00027    0.0074   14.6   0.0   177   220   200   243   194   249 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   3   4     0.017      0.46    8.7   0.1   170   214   235   279   232   283 0.92 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 581717at33208        -            249   4.6e-11   41.5   0.1   4   4    0.0065      0.18   10.0   0.1   163   223   268   331   257   347 0.74 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   5.3e-11   41.3   0.2   1   4   1.7e-05   0.00047   18.5   0.1   152   213    51   114    41   123 0.84 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   5.3e-11   41.3   0.2   2   4       3.9   1.1e+02    1.0   0.0   177   219   120   163   113   175 0.76 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   5.3e-11   41.3   0.2   3   4   0.00049     0.013   13.7   0.0   157   213   184   242   155   257 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   5.3e-11   41.3   0.2   4   4   0.00063     0.017   13.4   0.0   159   213   186   242   182   317 0.75 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 581717at33208        -            249   5.3e-11   41.3   0.2   1   4   1.7e-05   0.00047   18.5   0.1   152   213    51   114    41   123 0.84 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 581717at33208        -            249   5.3e-11   41.3   0.2   2   4       3.9   1.1e+02    1.0   0.0   177   219   120   163   113   175 0.76 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 581717at33208        -            249   5.3e-11   41.3   0.2   3   4   0.00049     0.013   13.7   0.0   157   213   184   242   155   257 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i9:681-1631|+    -            317 581717at33208        -            249   5.3e-11   41.3   0.2   4   4   0.00063     0.017   13.4   0.0   159   213   186   242   182   317 0.75 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 581717at33208        -            249   1.6e-10   39.6   1.6   1   4   4.7e-05    0.0013   17.0   0.0   155   212    19    78     4    85 0.78 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 581717at33208        -            249   1.6e-10   39.6   1.6   2   4      0.34       9.2    4.4   0.0   173   213    81   121    78   125 0.89 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 581717at33208        -            249   1.6e-10   39.6   1.6   3   4    0.0032     0.089   11.0   0.0   173   213   123   163   114   179 0.86 -
357580at33208_8355_0:0015e4|TRINITY_DN79934_c8_g3_i3:2356-3150|-    -            265 581717at33208        -            249   1.6e-10   39.6   1.6   4   4      0.45        12    4.0   0.0   181   210   235   264   207   265 0.83 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|- -            201 581717at33208        -            249   2.9e-10   38.9   0.0   1   3   4.3e-05    0.0012   17.2   0.0   154   213    61   122    46   128 0.89 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|- -            201 581717at33208        -            249   2.9e-10   38.9   0.0   2   3      0.04       1.1    7.5   0.0   172   212   123   163   118   167 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|- -            201 581717at33208        -            249   2.9e-10   38.9   0.0   3   3    0.0005     0.014   13.7   0.0   165   206   156   199   153   201 0.89 -
