#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 414579at33208        -            250    1e-110  368.0   4.6   1   1  8.3e-112  1.2e-110  367.8   4.6     1   250     9   277     9   277 0.93 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i5:89-952|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i7:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i8:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   1   3   8.5e-27   1.2e-25   89.3   0.9     7   118     1   113     1   114 0.97 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   2   3   2.5e-13   3.7e-12   45.2   0.0    67   120   104   157   103   168 0.94 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i9:90-953|-        -            288 414579at33208        -            250   5.4e-54  182.2   6.3   3   3   5.9e-19   8.6e-18   63.6   0.1     7   116   170   285   164   288 0.84 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 414579at33208        -            250   7.1e-45  152.3   1.8   1   3   7.9e-25   1.2e-23   82.9   0.1     2   122    52   175    51   183 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 414579at33208        -            250   7.1e-45  152.3   1.8   2   3   4.5e-05   0.00066   18.1   0.1    90   119   184   213   180   217 0.93 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 414579at33208        -            250   7.1e-45  152.3   1.8   3   3   2.6e-13   3.8e-12   45.1   0.0     5   114   224   342   221   346 0.84 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+        -            284 414579at33208        -            250     4e-39  133.5   1.3   1   3   4.6e-17   6.7e-16   57.4   0.9     5   123     3   122     1   129 0.93 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+        -            284 414579at33208        -            250     4e-39  133.5   1.3   2   3   5.5e-06     8e-05   21.1   0.0     4    43   128   167   125   170 0.90 -
502128at33208_62625_0:002260|TRINITY_DN73621_c6_g1_i2:86-937|+        -            284 414579at33208        -            250     4e-39  133.5   1.3   3   3   1.8e-15   2.6e-14   52.2   0.0     7   116   173   283   168   284 0.91 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 414579at33208        -            250   1.1e-36  125.6   1.9   1   3   4.9e-17   7.2e-16   57.3   1.4     3   123    14   135    12   138 0.93 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 414579at33208        -            250   1.1e-36  125.6   1.9   2   3   5.1e-06   7.5e-05   21.2   0.0     4    43   141   180   138   186 0.90 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 414579at33208        -            250   1.1e-36  125.6   1.9   3   3   7.8e-13   1.1e-11   43.6   0.0     8   112   187   292   182   292 0.91 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   1   4   2.8e-05    0.0004   18.8   0.0    84   127   137   180   124   189 0.92 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   2   4       1.8        26    3.1   0.0    90   120   198   228   194   235 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   3   4     8e-20   1.2e-18   66.5   0.2     4   120   236   352   233   371 0.94 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   4   4   3.6e-11   5.2e-10   38.1   0.3    20   118   385   484   377   485 0.88 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   1   4   2.8e-05    0.0004   18.8   0.0    84   127   137   180   124   189 0.92 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   2   4       1.8        26    3.1   0.0    90   120   198   228   194   235 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   3   4     8e-20   1.2e-18   66.5   0.2     4   120   236   352   233   371 0.94 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-     -            485 414579at33208        -            250   1.1e-36  125.5   6.6   4   4   3.6e-11   5.2e-10   38.1   0.3    20   118   385   484   377   485 0.88 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i3:525-1022|+     -            166 414579at33208        -            250   3.9e-36  123.7   0.1   1   2   2.1e-20     3e-19   68.4   0.0     4   117     7   121     4   123 0.96 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i3:525-1022|+     -            166 414579at33208        -            250   3.9e-36  123.7   0.1   2   2   8.3e-18   1.2e-16   59.9   0.0     7   117    52   163    51   165 0.91 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i8:1514-2011|+    -            166 414579at33208        -            250   3.9e-36  123.7   0.1   1   2   2.1e-20     3e-19   68.4   0.0     4   117     7   121     4   123 0.96 -
414579at33208_299123_0:003149|TRINITY_DN79765_c9_g1_i8:1514-2011|+    -            166 414579at33208        -            250   3.9e-36  123.7   0.1   2   2   8.3e-18   1.2e-16   59.9   0.0     7   117    52   163    51   165 0.91 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   1   4   2.6e-05   0.00039   18.9   0.0    84   127   137   180   124   189 0.92 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   2   4       1.6        24    3.2   0.0    90   120   198   228   194   237 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   3   4   3.5e-17   5.1e-16   57.8   0.1     4   113   236   345   233   353 0.96 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   4   4   3.5e-11   5.2e-10   38.1   0.4    21   118   370   467   350   468 0.90 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   1   4   2.6e-05   0.00039   18.9   0.0    84   127   137   180   124   189 0.92 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   2   4       1.6        24    3.2   0.0    90   120   198   228   194   237 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   3   4   3.5e-17   5.1e-16   57.8   0.1     4   113   236   345   233   353 0.96 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i7:598-2484|-     -            468 414579at33208        -            250   1.8e-34  118.3   5.2   4   4   3.5e-11   5.2e-10   38.1   0.4    21   118   370   467   350   468 0.90 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   1   4   6.6e-20   9.7e-19   66.7   0.4     4   167   161   325   158   329 0.91 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   2   4   1.9e-11   2.7e-10   39.0   0.1    21   116   262   357   259   359 0.89 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   3   4   6.6e-07   9.6e-06   24.2   0.0    58   120   341   402   326   413 0.83 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   4   4     0.023      0.34    9.3   0.0     7    35   422   450   417   458 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   1   4   6.6e-20   9.7e-19   66.7   0.4     4   167   161   325   158   329 0.91 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   2   4   1.9e-11   2.7e-10   39.0   0.1    21   116   262   357   259   359 0.89 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   3   4   6.6e-07   9.6e-06   24.2   0.0    58   120   341   402   326   413 0.83 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 414579at33208        -            250   2.1e-34  118.0   3.6   4   4     0.023      0.34    9.3   0.0     7    35   422   450   417   458 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-    -            211 414579at33208        -            250   2.2e-34  118.0   0.0   1   3   3.4e-10     5e-09   34.9   0.0    42   121    10    91     2    95 0.84 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-    -            211 414579at33208        -            250   2.2e-34  118.0   0.0   2   3   3.5e-09   5.2e-08   31.6   0.0    72   120    84   132    81   134 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-    -            211 414579at33208        -            250   2.2e-34  118.0   0.0   3   3   3.2e-18   4.7e-17   61.2   0.0     3   115    98   211    96   211 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i16:2914-3516|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i16:2914-3516|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i16:2914-3516|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i1:2914-3516|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i1:2914-3516|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i1:2914-3516|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i20:2927-3529|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i20:2927-3529|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i20:2927-3529|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i21:2859-3461|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i21:2859-3461|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i21:2859-3461|-   -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i2:2872-3474|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i2:2872-3474|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i2:2872-3474|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i5:2927-3529|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i5:2927-3529|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i5:2927-3529|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i7:2869-3471|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i7:2869-3471|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i7:2869-3471|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i8:3401-4003|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i8:3401-4003|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i8:3401-4003|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i9:3456-4058|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   1   3   6.9e-10     1e-08   33.9   0.0    46   121     4    81     1    87 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i9:3456-4058|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   2   3   2.9e-09   4.2e-08   31.9   0.0    72   120    74   122    70   125 0.95 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i9:3456-4058|-    -            201 414579at33208        -            250   2.9e-34  117.6   0.0   3   3   2.8e-18   4.1e-17   61.4   0.0     3   115    88   201    86   201 0.96 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+     -            453 414579at33208        -            250   3.4e-34  117.4   4.9   1   4   4.8e-20   7.1e-19   67.2   0.5     4   169   161   327   158   336 0.91 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+     -            453 414579at33208        -            250   3.4e-34  117.4   4.9   2   4   1.6e-11   2.4e-10   39.2   0.1    20   116   261   357   257   359 0.89 -
