#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
628082at33208_294128_0:003f8a|TRINITY_DN87195_c13_g1_i1:527-772|-    -             82 628082at33208        -             75   5.9e-47  157.0   0.5   1   1   3.2e-49   6.7e-47  156.9   0.5     1    74     6    82     6    82 0.97 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i6:10-183|+      -             58 628082at33208        -             75   6.3e-05   22.4   0.2   1   1   3.6e-07   7.7e-05   22.1   0.2    29    70    10    51     5    54 0.86 -
608011at33208_6945_0:0043c5|TRINITY_DN71819_c12_g2_i1:58-327|+       -             90 628082at33208        -             75   0.00016   21.0   0.1   1   1   7.9e-07   0.00017   21.0   0.1    12    50    10    48     1    76 0.85 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i3:275-571|-     -             99 628082at33208        -             75   0.00019   20.8   0.1   1   1   1.4e-06    0.0003   20.2   0.1    16    48    20    52     6    92 0.82 -
617441at33208_88015_0:0003f7|TRINITY_DN81250_c1_g1_i1:147-323|-      -             59 628082at33208        -             75   0.00021   20.7   0.0   1   1     1e-06   0.00021   20.7   0.0    17    48     4    35     1    53 0.85 -
617441at33208_88015_0:0003f7|TRINITY_DN81250_c1_g1_i7:235-411|-      -             59 628082at33208        -             75   0.00021   20.7   0.0   1   1     1e-06   0.00021   20.7   0.0    17    48     4    35     1    53 0.85 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i5:29-382|-      -            118 628082at33208        -             75   0.00031   20.2   0.1   1   1   2.3e-06   0.00048   19.6   0.1    16    48    39    71    25   110 0.82 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i6:275-628|-     -            118 628082at33208        -             75   0.00031   20.2   0.1   1   1   2.3e-06   0.00048   19.6   0.1    16    48    39    71    25   110 0.82 -
629763at33208_378494_0:00496e|TRINITY_DN70344_c0_g1_i1:95-325|+      -             77 628082at33208        -             75   0.00069   19.0   0.0   1   1   4.1e-06   0.00086   18.7   0.0     5    68     7    70     4    74 0.94 -
629763at33208_378494_0:00496e|TRINITY_DN70344_c0_g1_i2:95-325|+      -             77 628082at33208        -             75   0.00069   19.0   0.0   1   1   4.1e-06   0.00086   18.7   0.0     5    68     7    70     4    74 0.94 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i10:1211-1441|+ -             77 628082at33208        -             75    0.0014   18.1   0.0   1   1   6.9e-06    0.0015   18.0   0.0     3    70     1    69     1    74 0.88 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i2:1211-1441|+  -             77 628082at33208        -             75    0.0014   18.1   0.0   1   1   6.9e-06    0.0015   18.0   0.0     3    70     1    69     1    74 0.88 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i4:1718-1948|+  -             77 628082at33208        -             75    0.0014   18.1   0.0   1   1   6.9e-06    0.0015   18.0   0.0     3    70     1    69     1    74 0.88 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i5:1700-1930|+  -             77 628082at33208        -             75    0.0014   18.1   0.0   1   1   6.9e-06    0.0015   18.0   0.0     3    70     1    69     1    74 0.88 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i7:1262-1492|+  -             77 628082at33208        -             75    0.0014   18.1   0.0   1   1   6.9e-06    0.0015   18.0   0.0     3    70     1    69     1    74 0.88 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i8:1262-1492|+  -             77 628082at33208        -             75    0.0014   18.1   0.0   1   1   6.9e-06    0.0015   18.0   0.0     3    70     1    69     1    74 0.88 -
629763at33208_1841481_0:000a51|TRINITY_DN80838_c14_g1_i3:1062-1229|- -             56 628082at33208        -             75    0.0024   17.3   0.0   1   1   1.2e-05    0.0024   17.3   0.0    22    68     4    50     1    56 0.90 -
629763at33208_1841481_0:000a51|TRINITY_DN80838_c14_g1_i5:1169-1336|- -             56 628082at33208        -             75    0.0024   17.3   0.0   1   1   1.2e-05    0.0024   17.3   0.0    22    68     4    50     1    56 0.90 -
629763at33208_1841481_0:000a51|TRINITY_DN80838_c14_g1_i7:943-1110|-  -             56 628082at33208        -             75    0.0024   17.3   0.0   1   1   1.2e-05    0.0024   17.3   0.0    22    68     4    50     1    56 0.90 -
629763at33208_1841481_0:000a51|TRINITY_DN80838_c14_g1_i8:1038-1205|- -             56 628082at33208        -             75    0.0024   17.3   0.0   1   1   1.2e-05    0.0024   17.3   0.0    22    68     4    50     1    56 0.90 -
629763at33208_1841481_0:000a51|TRINITY_DN80838_c14_g1_i9:1039-1206|- -             56 628082at33208        -             75    0.0024   17.3   0.0   1   1   1.2e-05    0.0024   17.3   0.0    22    68     4    50     1    56 0.90 -
616613at33208_294128_0:0019af|TRINITY_DN82909_c10_g1_i2:288-659|+    -            124 628082at33208        -             75    0.0028   17.1   0.1   1   1   1.9e-05     0.004   16.6   0.1    17    71    15    69     5    73 0.91 -
618339at33208_74869_0:00160a|TRINITY_DN85050_c11_g6_i3:415-672|-     -             86 628082at33208        -             75    0.0068   15.9   0.0   1   1   4.2e-05    0.0089   15.5   0.0    16    49    46    79    36    83 0.81 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i3:60-278|+     -             73 628082at33208        -             75    0.0084   15.6   0.0   1   1   4.4e-05    0.0093   15.4   0.0    21    70    15    65     6    70 0.88 -
621808at33208_166361_0:0018cf|TRINITY_DN75996_c5_g1_i1:153-347|+     -             65 628082at33208        -             75      0.01   15.3   0.4   1   1   6.9e-05     0.014   14.8   0.4    16    48     1    33     1    65 0.79 -
618339at33208_294128_0:003796|TRINITY_DN85050_c11_g6_i1:1174-1527|-  -            118 628082at33208        -             75      0.02   14.4   0.0   1   1   0.00014     0.029   13.8   0.0    17    47    40    70    29    77 0.83 -
629763at33208_62625_0:002482|TRINITY_DN70344_c0_g1_i3:31-171|+       -             47 628082at33208        -             75     0.039   13.4   0.0   1   1   0.00019     0.041   13.4   0.0    29    68     1    40     1    45 0.92 -
621808at33208_13686_0:001c78|TRINITY_DN88950_c2_g1_i1:316-477|+      -             54 628082at33208        -             75     0.079   12.5   0.0   1   1   0.00049       0.1   12.1   0.0     5    47     5    53     3    54 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/628082at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/628082at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/628082at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:54 2026
# [ok]
