#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
495100at33208_136037_0:0016f5|TRINITY_DN72801_c16_g1_i1:400-1986|-  -            371 495100at33208        -            231    3e-112  372.4   0.0   1   1    5e-114  4.4e-112  371.9   0.0    13   230    96   319    93   320 0.97 -
495100at33208_568069_0:003493|TRINITY_DN88835_c2_g1_i2:1388-2212|-  -            275 495100at33208        -            231   1.2e-16   59.7   0.0   1   1   2.4e-18   2.1e-16   58.8   0.0    41   222     8   188     3   199 0.84 -
495100at33208_114398_0:00072b|TRINITY_DN82919_c4_g1_i3:836-1504|-   -            223 495100at33208        -            231   1.7e-16   59.2   0.0   1   1   4.1e-18   3.6e-16   58.1   0.0    69   226     1   150     1   154 0.81 -
495100at33208_114398_0:00072b|TRINITY_DN82919_c4_g1_i6:836-1504|-   -            223 495100at33208        -            231   1.7e-16   59.2   0.0   1   1   4.1e-18   3.6e-16   58.1   0.0    69   226     1   150     1   154 0.81 -
495100at33208_7536_0:002173|TRINITY_DN82919_c4_g1_i5:103-513|-      -            137 495100at33208        -            231   5.5e-16   57.5   0.0   1   1   1.3e-17   1.2e-15   56.4   0.0    69   213     1   137     1   137 0.83 -
495100at33208_7536_0:002173|TRINITY_DN82919_c4_g1_i7:103-513|-      -            137 495100at33208        -            231   5.5e-16   57.5   0.0   1   1   1.3e-17   1.2e-15   56.4   0.0    69   213     1   137     1   137 0.83 -
495100at33208_7245_0:002310|TRINITY_DN71191_c0_g1_i3:1188-1823|+    -            212 495100at33208        -            231   1.1e-15   56.5   0.0   1   1   2.5e-17   2.2e-15   55.5   0.0    69   224     1   144     1   148 0.89 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i1:645-1181|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i2:683-1219|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i3:754-1290|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i4:683-1219|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i5:683-1219|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i6:645-1181|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i7:684-1220|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
365561at33208_407821_0:004e26|TRINITY_DN74051_c0_g1_i8:754-1290|+   -            179 495100at33208        -            231     4e-14   51.4   0.0   1   1   1.5e-15   1.3e-13   49.7   0.0    67   199    54   172    48   174 0.91 -
495100at33208_1041015_0:003acf|TRINITY_DN71310_c0_g1_i1:1309-2055|+ -            249 495100at33208        -            231   1.5e-13   49.5   0.0   1   1   3.3e-15   2.9e-13   48.6   0.0    67   218    36   175    31   192 0.88 -
365561at33208_123851_0:0029cb|TRINITY_DN78492_c12_g1_i2:442-1134|+  -            231 495100at33208        -            231   2.5e-13   48.8   0.0   1   1   4.7e-15   4.1e-13   48.1   0.0    63   221    53   202    27   211 0.82 -
495100at33208_1041015_0:003acf|TRINITY_DN70560_c0_g1_i1:639-1463|+  -            275 495100at33208        -            231   3.2e-13   48.4   0.0   1   1   6.2e-15   5.4e-13   47.7   0.0    60   225    47   200    23   205 0.86 -
495100at33208_1041015_0:003acf|TRINITY_DN70560_c0_g1_i2:659-1483|+  -            275 495100at33208        -            231   3.2e-13   48.4   0.0   1   1   6.2e-15   5.4e-13   47.7   0.0    60   225    47   200    23   205 0.86 -
495100at33208_31033_0:0015f1|TRINITY_DN86967_c11_g1_i3:330-1040|+   -            237 495100at33208        -            231   7.2e-13   47.3   0.0   1   1   1.2e-14   1.1e-12   46.7   0.0    69   222     3   149     1   158 0.85 -
495100at33208_31033_0:0015f1|TRINITY_DN86967_c11_g1_i4:570-1280|+   -            237 495100at33208        -            231   7.2e-13   47.3   0.0   1   1   1.2e-14   1.1e-12   46.7   0.0    69   222     3   149     1   158 0.85 -
495100at33208_535359_0:00137f|TRINITY_DN80638_c7_g1_i2:500-1114|-   -            205 495100at33208        -            231   1.9e-12   45.9   0.0   1   1   7.1e-14   6.2e-12   44.2   0.0    69   223    38   181    33   186 0.90 -
495100at33208_535359_0:00137f|TRINITY_DN80638_c7_g1_i5:500-1114|-   -            205 495100at33208        -            231   1.9e-12   45.9   0.0   1   1   7.1e-14   6.2e-12   44.2   0.0    69   223    38   181    33   186 0.90 -
365561at33208_52612_0:0018bd|TRINITY_DN77084_c4_g1_i11:2143-2553|+  -            137 495100at33208        -            231   2.1e-12   45.8   0.0   1   1   1.2e-13     1e-11   43.5   0.0    69   200     4   123     2   133 0.88 -
365561at33208_52612_0:0018bd|TRINITY_DN77084_c4_g1_i15:1488-1898|+  -            137 495100at33208        -            231   2.1e-12   45.8   0.0   1   1   1.2e-13     1e-11   43.5   0.0    69   200     4   123     2   133 0.88 -
365561at33208_52612_0:0018bd|TRINITY_DN77084_c4_g1_i8:365-775|+     -            137 495100at33208        -            231   2.1e-12   45.8   0.0   1   1   1.2e-13     1e-11   43.5   0.0    69   200     4   123     2   133 0.88 -
365561at33208_143948_0:00219e|TRINITY_DN82030_c10_g3_i2:3178-3690|+ -            171 495100at33208        -            231   5.3e-12   44.4   0.0   1   1   1.2e-13   1.1e-11   43.4   0.0    69   200    48   165    36   169 0.87 -
365561at33208_407821_0:004e26|TRINITY_DN87971_c10_g1_i6:2084-2620|- -            179 495100at33208        -            231   1.9e-11   42.6   0.0   1   2   7.8e-05    0.0069   14.6   0.0    68    89    28    49    23    57 0.87 -
365561at33208_407821_0:004e26|TRINITY_DN87971_c10_g1_i6:2084-2620|- -            179 495100at33208        -            231   1.9e-11   42.6   0.0   2   2   2.3e-08   2.1e-06   26.1   0.0   141   223    87   172    65   178 0.83 -
365561at33208_88015_0:0015c2|TRINITY_DN77812_c9_g1_i3:515-1165|+    -            217 495100at33208        -            231   6.8e-11   40.8   0.0   1   1   1.6e-12   1.4e-10   39.7   0.0    67   200    89   211    79   216 0.85 -
495100at33208_42514_0:0055c7|TRINITY_DN83738_c12_g2_i1:305-1198|-   -            298 495100at33208        -            231   1.7e-10   39.5   0.0   1   1   3.8e-12   3.4e-10   38.5   0.0    42   222    67   237    61   245 0.81 -
495100at33208_144197_0:0021ca|TRINITY_DN83738_c12_g2_i2:445-1131|-  -            229 495100at33208        -            231   3.5e-10   38.5   0.0   1   1   7.4e-12   6.5e-10   37.6   0.0    42   217    60   225    54   229 0.81 -
365561at33208_10228_0:001a60|TRINITY_DN80485_c5_g1_i2:1412-2143|+   -            244 495100at33208        -            231   4.9e-10   38.0   0.0   1   1   1.1e-11   9.3e-10   37.1   0.0    70   214    89   221    63   240 0.83 -
365561at33208_400682_0:0019d8|TRINITY_DN80508_c7_g3_i1:466-1236|+   -            257 495100at33208        -            231     8e-10   37.3   0.0   1   2       7.5   6.6e+02   -1.7   0.0   138   180    63   106    56   111 0.77 -
365561at33208_400682_0:0019d8|TRINITY_DN80508_c7_g3_i1:466-1236|+   -            257 495100at33208        -            231     8e-10   37.3   0.0   2   2   3.5e-11   3.1e-09   35.4   0.0    67   201   126   249   117   257 0.84 -
365561at33208_400682_0:0019d8|TRINITY_DN80508_c7_g3_i2:301-1071|+   -            257 495100at33208        -            231     8e-10   37.3   0.0   1   2       7.5   6.6e+02   -1.7   0.0   138   180    63   106    56   111 0.77 -
365561at33208_400682_0:0019d8|TRINITY_DN80508_c7_g3_i2:301-1071|+   -            257 495100at33208        -            231     8e-10   37.3   0.0   2   2   3.5e-11   3.1e-09   35.4   0.0    67   201   126   249   117   257 0.84 -
365561at33208_400682_0:0019d8|TRINITY_DN80508_c7_g3_i3:301-1071|+   -            257 495100at33208        -            231     8e-10   37.3   0.0   1   2       7.5   6.6e+02   -1.7   0.0   138   180    63   106    56   111 0.77 -
365561at33208_400682_0:0019d8|TRINITY_DN80508_c7_g3_i3:301-1071|+   -            257 495100at33208        -            231     8e-10   37.3   0.0   2   2   3.5e-11   3.1e-09   35.4   0.0    67   201   126   249   117   257 0.84 -
365561at33208_10228_0:001a60|TRINITY_DN79933_c3_g1_i1:435-1178|+    -            248 495100at33208        -            231   1.1e-09   36.9   0.0   1   1   2.7e-11   2.4e-09   35.7   0.0    66   221    92   238    64   246 0.82 -
365561at33208_10228_0:001a60|TRINITY_DN79933_c3_g1_i2:435-1178|+    -            248 495100at33208        -            231   1.1e-09   36.9   0.0   1   1   2.7e-11   2.4e-09   35.7   0.0    66   221    92   238    64   246 0.82 -
365561at33208_10228_0:001a60|TRINITY_DN79933_c3_g1_i3:435-1178|+    -            248 495100at33208        -            231   1.1e-09   36.9   0.0   1   1   2.7e-11   2.4e-09   35.7   0.0    66   221    92   238    64   246 0.82 -
365561at33208_10228_0:001a60|TRINITY_DN79933_c3_g1_i4:435-1178|+    -            248 495100at33208        -            231   1.1e-09   36.9   0.0   1   1   2.7e-11   2.4e-09   35.7   0.0    66   221    92   238    64   246 0.82 -
365561at33208_10228_0:001a60|TRINITY_DN79933_c3_g1_i6:435-1178|+    -            248 495100at33208        -            231   1.1e-09   36.9   0.0   1   1   2.7e-11   2.4e-09   35.7   0.0    66   221    92   238    64   246 0.82 -
365561at33208_10228_0:001a60|TRINITY_DN79933_c3_g1_i7:435-1178|+    -            248 495100at33208        -            231   1.1e-09   36.9   0.0   1   1   2.7e-11   2.4e-09   35.7   0.0    66   221    92   238    64   246 0.82 -
495100at33208_7230_0:001e6d|TRINITY_DN90393_c8_g1_i1:933-1835|-     -            301 495100at33208        -            231   1.3e-09   36.6   0.0   1   1   1.4e-09   1.2e-07   30.2   0.0    70   225   130   276   123   282 0.81 -
495100at33208_7230_0:001e6d|TRINITY_DN90393_c8_g1_i2:1072-1992|-    -            307 495100at33208        -            231   1.4e-09   36.5   0.0   1   1   1.4e-09   1.3e-07   30.1   0.0    70   225   130   276   123   282 0.81 -
365561at33208_8208_0:00382f|TRINITY_DN80485_c4_g2_i1:1-369|+        -            123 495100at33208        -            231   5.9e-09   34.5   0.0   1   1   2.1e-10   1.8e-08   32.8   0.0    73   190     1   107     1   116 0.91 -
365561at33208_6500_0:002cf3|TRINITY_DN79770_c2_g1_i3:1060-1701|+    -            214 495100at33208        -            231     2e-08   32.8   0.0   1   2     0.001     0.089   11.0   0.0    69    89    36    56    30    72 0.86 -
365561at33208_6500_0:002cf3|TRINITY_DN79770_c2_g1_i3:1060-1701|+    -            214 495100at33208        -            231     2e-08   32.8   0.0   2   2   1.9e-06   0.00017   19.9   0.0   137   228    90   189    78   192 0.81 -
365561at33208_6500_0:002cf3|TRINITY_DN79770_c2_g2_i6:902-1543|-     -            214 495100at33208        -            231     2e-08   32.8   0.0   1   2     0.001     0.089   11.0   0.0    69    89    36    56    30    72 0.86 -
365561at33208_6500_0:002cf3|TRINITY_DN79770_c2_g2_i6:902-1543|-     -            214 495100at33208        -            231     2e-08   32.8   0.0   2   2   1.9e-06   0.00017   19.9   0.0   137   228    90   189    78   192 0.81 -
365561at33208_52612_0:0018bd|TRINITY_DN84438_c8_g2_i2:252-740|-     -            163 495100at33208        -            231   7.3e-08   30.9   0.0   1   1   1.9e-08   1.6e-06   26.5   0.0    69   177     3    97     1   163 0.81 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i10:90-890|+     -            267 495100at33208        -            231   2.2e-07   29.4   0.0   1   2   0.00014     0.012   13.8   0.0    65    91    69    95    47   104 0.87 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i10:90-890|+     -            267 495100at33208        -            231   2.2e-07   29.4   0.0   2   2   0.00021     0.018   13.2   0.0   141   218   124   209   111   219 0.76 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i2:90-890|+      -            267 495100at33208        -            231   2.2e-07   29.4   0.0   1   2   0.00014     0.012   13.8   0.0    65    91    69    95    47   104 0.87 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i2:90-890|+      -            267 495100at33208        -            231   2.2e-07   29.4   0.0   2   2   0.00021     0.018   13.2   0.0   141   218   124   209   111   219 0.76 -
365561at33208_407821_0:004e26|TRINITY_DN79770_c2_g1_i4:1108-1554|+  -            149 495100at33208        -            231   2.9e-07   28.9   0.0   1   2   0.00057      0.05   11.8   0.0    69    89    20    40    14    57 0.86 -
365561at33208_407821_0:004e26|TRINITY_DN79770_c2_g1_i4:1108-1554|+  -            149 495100at33208        -            231   2.9e-07   28.9   0.0   2   2   4.6e-05     0.004   15.4   0.0   137   200    74   143    62   147 0.80 -
365561at33208_407821_0:004e26|TRINITY_DN79770_c2_g2_i9:1285-1731|-  -            149 495100at33208        -            231   2.9e-07   28.9   0.0   1   2   0.00057      0.05   11.8   0.0    69    89    20    40    14    57 0.86 -
365561at33208_407821_0:004e26|TRINITY_DN79770_c2_g2_i9:1285-1731|-  -            149 495100at33208        -            231   2.9e-07   28.9   0.0   2   2   4.6e-05     0.004   15.4   0.0   137   200    74   143    62   147 0.80 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i3:492-1472|+    -            327 495100at33208        -            231   4.2e-07   28.4   0.0   1   2   0.00019     0.017   13.4   0.0    65    91   129   155   107   163 0.87 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i3:492-1472|+    -            327 495100at33208        -            231   4.2e-07   28.4   0.0   2   2   0.00031     0.027   12.7   0.0   142   217   185   268   171   279 0.75 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i7:492-1472|+    -            327 495100at33208        -            231   4.2e-07   28.4   0.0   1   2   0.00019     0.017   13.4   0.0    65    91   129   155   107   163 0.87 -
365561at33208_64838_0:000d22|TRINITY_DN86898_c2_g2_i7:492-1472|+    -            327 495100at33208        -            231   4.2e-07   28.4   0.0   2   2   0.00031     0.027   12.7   0.0   142   217   185   268   171   279 0.75 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i10:1287-2045|- -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i11:783-1541|-  -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i12:1003-1761|- -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i1:1287-2045|-  -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i2:1529-2287|-  -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i3:1287-2045|-  -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_378494_0:003cfb|TRINITY_DN91122_c1_g1_i4:1245-2003|-  -            253 495100at33208        -            231   4.7e-07   28.2   0.0   1   1   1.2e-08   1.1e-06   27.1   0.0    66   211    72   220    64   237 0.76 -
495100at33208_7245_0:002310|TRINITY_DN72002_c9_g1_i1:1140-1796|-    -            219 495100at33208        -            231   5.7e-07   28.0   0.0   1   2   1.3e-05    0.0011   17.2   0.0    66    89    30    53    16    62 0.86 -
495100at33208_7245_0:002310|TRINITY_DN72002_c9_g1_i1:1140-1796|-    -            219 495100at33208        -            231   5.7e-07   28.0   0.0   2   2    0.0045      0.39    8.9   0.0   135   203    85   151    70   165 0.75 -
495100at33208_7245_0:002310|TRINITY_DN72002_c9_g1_i3:1140-1796|-    -            219 495100at33208        -            231   5.7e-07   28.0   0.0   1   2   1.3e-05    0.0011   17.2   0.0    66    89    30    53    16    62 0.86 -
495100at33208_7245_0:002310|TRINITY_DN72002_c9_g1_i3:1140-1796|-    -            219 495100at33208        -            231   5.7e-07   28.0   0.0   2   2    0.0045      0.39    8.9   0.0   135   203    85   151    70   165 0.75 -
495100at33208_7245_0:002310|TRINITY_DN72002_c9_g1_i4:1140-1796|-    -            219 495100at33208        -            231   5.7e-07   28.0   0.0   1   2   1.3e-05    0.0011   17.2   0.0    66    89    30    53    16    62 0.86 -
495100at33208_7245_0:002310|TRINITY_DN72002_c9_g1_i4:1140-1796|-    -            219 495100at33208        -            231   5.7e-07   28.0   0.0   2   2    0.0045      0.39    8.9   0.0   135   203    85   151    70   165 0.75 -
495100at33208_441921_0:001e7f|TRINITY_DN91122_c1_g1_i13:1940-2587|- -            216 495100at33208        -            231   7.3e-07   27.6   0.0   1   1   1.9e-08   1.7e-06   26.4   0.0    66   205    68   207    64   216 0.76 -
495100at33208_441921_0:001e7f|TRINITY_DN91122_c1_g1_i5:1698-2345|-  -            216 495100at33208        -            231   7.3e-07   27.6   0.0   1   1   1.9e-08   1.7e-06   26.4   0.0    66   205    68   207    64   216 0.76 -
495100at33208_441921_0:001e7f|TRINITY_DN91122_c1_g1_i6:227-874|-    -            216 495100at33208        -            231   7.3e-07   27.6   0.0   1   1   1.9e-08   1.7e-06   26.4   0.0    66   205    68   207    64   216 0.76 -
495100at33208_441921_0:001e7f|TRINITY_DN91122_c1_g1_i7:1698-2345|-  -            216 495100at33208        -            231   7.3e-07   27.6   0.0   1   1   1.9e-08   1.7e-06   26.4   0.0    66   205    68   207    64   216 0.76 -
495100at33208_441921_0:001e7f|TRINITY_DN91122_c1_g1_i9:1698-2345|-  -            216 495100at33208        -            231   7.3e-07   27.6   0.0   1   1   1.9e-08   1.7e-06   26.4   0.0    66   205    68   207    64   216 0.76 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i11:245-1492|+  -            416 495100at33208        -            231   9.1e-07   27.3   0.0   1   2   0.00027     0.023   12.9   0.0    65    91   223   249   202   257 0.87 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i11:245-1492|+  -            416 495100at33208        -            231   9.1e-07   27.3   0.0   2   2   0.00049     0.043   12.0   0.0   142   217   279   362   265   372 0.75 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i5:259-1506|+   -            416 495100at33208        -            231   9.1e-07   27.3   0.0   1   2   0.00027     0.023   12.9   0.0    65    91   223   249   202   257 0.87 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i5:259-1506|+   -            416 495100at33208        -            231   9.1e-07   27.3   0.0   2   2   0.00049     0.043   12.0   0.0   142   217   279   362   265   372 0.75 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i12:245-1492|+  -            416 495100at33208        -            231   9.2e-07   27.3   0.0   1   2   0.00027     0.023   12.9   0.0    65    91   223   249   202   257 0.87 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i12:245-1492|+  -            416 495100at33208        -            231   9.2e-07   27.3   0.0   2   2   0.00049     0.043   12.0   0.0   142   217   279   362   265   372 0.75 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i8:259-1506|+   -            416 495100at33208        -            231   9.2e-07   27.3   0.0   1   2   0.00027     0.023   12.9   0.0    65    91   223   249   202   257 0.87 -
365561at33208_294128_0:002b02|TRINITY_DN86898_c2_g2_i8:259-1506|+   -            416 495100at33208        -            231   9.2e-07   27.3   0.0   2   2   0.00049     0.043   12.0   0.0   142   217   279   362   265   372 0.75 -
365561at33208_32264_0:000824|TRINITY_DN87078_c11_g1_i1:2334-2687|+  -            118 495100at33208        -            231   1.1e-06   27.1   0.0   1   1   3.4e-08     3e-06   25.6   0.0    69   200     3   115     1   117 0.86 -
495100at33208_7370_0:001c38|TRINITY_DN93263_c8_g1_i1:679-1449|-     -            257 495100at33208        -            231   4.3e-06   25.1   0.0   1   1   9.2e-08   8.1e-06   24.2   0.0    68   174    66   156    55   163 0.86 -
495100at33208_7370_0:001c38|TRINITY_DN93263_c8_g1_i2:555-1325|-     -            257 495100at33208        -            231   4.3e-06   25.1   0.0   1   1   9.2e-08   8.1e-06   24.2   0.0    68   174    66   156    55   163 0.86 -
495100at33208_7370_0:001c38|TRINITY_DN93263_c8_g1_i3:468-1238|-     -            257 495100at33208        -            231   4.3e-06   25.1   0.0   1   1   9.2e-08   8.1e-06   24.2   0.0    68   174    66   156    55   163 0.86 -
495100at33208_7370_0:001c38|TRINITY_DN93263_c8_g1_i4:133-903|-      -            257 495100at33208        -            231   4.3e-06   25.1   0.0   1   1   9.2e-08   8.1e-06   24.2   0.0    68   174    66   156    55   163 0.86 -
365561at33208_225164_0:000b0e|TRINITY_DN80485_c5_g1_i2:743-1411|+   -            223 495100at33208        -            231    0.0014   16.9   0.0   1   1   2.5e-05    0.0022   16.3   0.0    69   201    58   175    44   206 0.75 -
365561at33208_43041_0:00290b|TRINITY_DN86898_c2_g2_i9:501-1094|+    -            198 495100at33208        -            231    0.0023   16.2   0.0   1   2   8.6e-05    0.0076   14.5   0.0    65    91   126   152   102   161 0.87 -
365561at33208_43041_0:00290b|TRINITY_DN86898_c2_g2_i9:501-1094|+    -            198 495100at33208        -            231    0.0023   16.2   0.0   2   2       5.2   4.6e+02   -1.2   0.0   191   204   184   197   169   198 0.74 -
495100at33208_286306_0:003bee|TRINITY_DN84564_c9_g1_i1:1301-1951|+  -            217 495100at33208        -            231    0.0035   15.6   0.1   1   1   0.00031     0.027   12.7   0.1    69   156    23   104    19   179 0.58 -
495100at33208_286306_0:003bee|TRINITY_DN84564_c9_g1_i3:1080-1730|+  -            217 495100at33208        -            231    0.0035   15.6   0.1   1   1   0.00031     0.027   12.7   0.1    69   156    23   104    19   179 0.58 -
371297at33208_6973_0:00177b|TRINITY_DN75089_c2_g4_i1:188-1045|+     -            286 495100at33208        -            231     0.018   13.2   0.0   1   1   0.00052     0.046   11.9   0.0    69    91    13    35     5    50 0.85 -
