#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
621808at33208_294128_0:003f1b|TRINITY_DN85658_c12_g3_i1:164-466|+    -            101 621808at33208        -             82   9.2e-52  172.4   2.4   1   1   4.6e-54   1.1e-51  172.2   2.4     1    82    14    95    14    95 0.99 -
608011at33208_6945_0:0043c5|TRINITY_DN71819_c12_g2_i1:58-327|+       -             90 621808at33208        -             82   0.00027   20.2   0.1   1   1   2.3e-06   0.00053   19.3   0.1    14    47    13    46     6    70 0.86 -
617667at33208_294128_0:0028c4|TRINITY_DN85605_c15_g1_i3:192-479|+    -             96 621808at33208        -             82    0.0005   19.4   0.2   1   1     2e-05    0.0047   16.3   0.2    17    49    14    46     6    70 0.84 -
617667at33208_294128_0:0028c4|TRINITY_DN85605_c15_g1_i4:192-479|+    -             96 621808at33208        -             82    0.0005   19.4   0.2   1   1     2e-05    0.0047   16.3   0.2    17    49    14    46     6    70 0.84 -
617441at33208_294128_0:002944|TRINITY_DN81250_c1_g1_i4:17-199|-      -             61 621808at33208        -             82   0.00057   19.2   0.1   1   1   4.8e-06    0.0011   18.3   0.1    34    82     1    50     1    50 0.77 -
582951at33208_294128_0:0021ef|TRINITY_DN87165_c7_g1_i5:200-421|+     -             74 621808at33208        -             82   0.00067   19.0   0.8   1   1   9.2e-06    0.0021   17.4   0.8    12    48    12    48     7    72 0.89 -
582951at33208_294128_0:0021ef|TRINITY_DN87165_c7_g1_i6:197-418|+     -             74 621808at33208        -             82   0.00067   19.0   0.8   1   1   9.2e-06    0.0021   17.4   0.8    12    48    12    48     7    72 0.89 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i12:89-289|+      -             67 621808at33208        -             82   0.00085   18.7   0.1   1   2   1.2e-05    0.0028   17.0   0.0    12    46     4    38     1    47 0.90 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i12:89-289|+      -             67 621808at33208        -             82   0.00085   18.7   0.1   2   2       2.6     6e+02   -0.1   0.1    68    82    47    61    41    61 0.85 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i2:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   1   2   1.2e-05    0.0028   17.0   0.0    12    46     4    38     1    47 0.90 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i2:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   2   2       2.6     6e+02   -0.1   0.1    68    82    47    61    41    61 0.85 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i3:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   1   2   1.2e-05    0.0028   17.0   0.0    12    46     4    38     1    47 0.90 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i3:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   2   2       2.6     6e+02   -0.1   0.1    68    82    47    61    41    61 0.85 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i5:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   1   2   1.2e-05    0.0028   17.0   0.0    12    46     4    38     1    47 0.90 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i5:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   2   2       2.6     6e+02   -0.1   0.1    68    82    47    61    41    61 0.85 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i6:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   1   2   1.2e-05    0.0028   17.0   0.0    12    46     4    38     1    47 0.90 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i6:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   2   2       2.6     6e+02   -0.1   0.1    68    82    47    61    41    61 0.85 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i7:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   1   2   1.2e-05    0.0028   17.0   0.0    12    46     4    38     1    47 0.90 -
629763at33208_37621_0:001482|TRINITY_DN91153_c6_g2_i7:89-289|+       -             67 621808at33208        -             82   0.00085   18.7   0.1   2   2       2.6     6e+02   -0.1   0.1    68    82    47    61    41    61 0.85 -
617667at33208_114398_0:000b50|TRINITY_DN85605_c15_g1_i1:192-392|+    -             67 621808at33208        -             82   0.00089   18.6   0.1   1   1   7.6e-06    0.0018   17.6   0.1    16    49    13    46     3    67 0.88 -
582951at33208_294128_0:0021ef|TRINITY_DN87165_c7_g1_i2:197-601|+     -            135 621808at33208        -             82    0.0056   16.0   2.8   1   2   3.3e-05    0.0077   15.6   0.5    12    48    12    48     7    72 0.90 -
582951at33208_294128_0:0021ef|TRINITY_DN87165_c7_g1_i2:197-601|+     -            135 621808at33208        -             82    0.0056   16.0   2.8   2   2       4.2   9.8e+02   -0.8   0.1    48    56    88    96    71   121 0.59 -
582951at33208_294128_0:0021ef|TRINITY_DN87165_c7_g1_i3:200-604|+     -            135 621808at33208        -             82    0.0056   16.0   2.8   1   2   3.3e-05    0.0077   15.6   0.5    12    48    12    48     7    72 0.90 -
582951at33208_294128_0:0021ef|TRINITY_DN87165_c7_g1_i3:200-604|+     -            135 621808at33208        -             82    0.0056   16.0   2.8   2   2       4.2   9.8e+02   -0.8   0.1    48    56    88    96    71   121 0.59 -
629763at33208_6334_0:001a7f|TRINITY_DN91536_c13_g2_i1:402-554|+      -             51 621808at33208        -             82    0.0074   15.6   0.4   1   1   0.00084      0.19   11.1   0.4    25    47     5    27     1    50 0.75 -
629763at33208_6334_0:001a7f|TRINITY_DN91536_c13_g2_i3:402-554|+      -             51 621808at33208        -             82    0.0074   15.6   0.4   1   1   0.00084      0.19   11.1   0.4    25    47     5    27     1    50 0.75 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i1:253-480|+     -             76 621808at33208        -             82     0.017   14.5   0.1   1   2   0.00024     0.056   12.8   0.0    11    46    11    46     4    51 0.88 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i1:253-480|+     -             76 621808at33208        -             82     0.017   14.5   0.1   2   2       2.6     6e+02   -0.1   0.1    67    81    54    68    45    69 0.74 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i4:458-685|+     -             76 621808at33208        -             82     0.017   14.5   0.1   1   2   0.00024     0.056   12.8   0.0    11    46    11    46     4    51 0.88 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i4:458-685|+     -             76 621808at33208        -             82     0.017   14.5   0.1   2   2       2.6     6e+02   -0.1   0.1    67    81    54    68    45    69 0.74 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i5:531-758|+     -             76 621808at33208        -             82     0.017   14.5   0.1   1   2   0.00024     0.056   12.8   0.0    11    46    11    46     4    51 0.88 -
629763at33208_294128_0:00226b|TRINITY_DN74035_c8_g3_i5:531-758|+     -             76 621808at33208        -             82     0.017   14.5   0.1   2   2       2.6     6e+02   -0.1   0.1    67    81    54    68    45    69 0.74 -
629763at33208_378494_0:00496e|TRINITY_DN70344_c0_g1_i1:95-325|+      -             77 621808at33208        -             82     0.046   13.1   0.0   1   2   0.00058      0.14   11.6   0.0     4    48     7    51     5    57 0.87 -
629763at33208_378494_0:00496e|TRINITY_DN70344_c0_g1_i1:95-325|+      -             77 621808at33208        -             82     0.046   13.1   0.0   2   2       4.2   9.7e+02   -0.7   0.0    69    81    59    71    52    72 0.74 -
629763at33208_378494_0:00496e|TRINITY_DN70344_c0_g1_i2:95-325|+      -             77 621808at33208        -             82     0.046   13.1   0.0   1   2   0.00058      0.14   11.6   0.0     4    48     7    51     5    57 0.87 -
629763at33208_378494_0:00496e|TRINITY_DN70344_c0_g1_i2:95-325|+      -             77 621808at33208        -             82     0.046   13.1   0.0   2   2       4.2   9.7e+02   -0.7   0.0    69    81    59    71    52    72 0.74 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i10:1211-1441|+ -             77 621808at33208        -             82     0.082   12.3   0.0   1   1   0.00054      0.12   11.7   0.0     4    44     3    43     1    51 0.94 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i2:1211-1441|+  -             77 621808at33208        -             82     0.082   12.3   0.0   1   1   0.00054      0.12   11.7   0.0     4    44     3    43     1    51 0.94 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i4:1718-1948|+  -             77 621808at33208        -             82     0.082   12.3   0.0   1   1   0.00054      0.12   11.7   0.0     4    44     3    43     1    51 0.94 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i5:1700-1930|+  -             77 621808at33208        -             82     0.082   12.3   0.0   1   1   0.00054      0.12   11.7   0.0     4    44     3    43     1    51 0.94 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i7:1262-1492|+  -             77 621808at33208        -             82     0.082   12.3   0.0   1   1   0.00054      0.12   11.7   0.0     4    44     3    43     1    51 0.94 -
608011at33208_1218281_0:0006d5|TRINITY_DN88497_c0_g1_i8:1262-1492|+  -             77 621808at33208        -             82     0.082   12.3   0.0   1   1   0.00054      0.12   11.7   0.0     4    44     3    43     1    51 0.94 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/621808at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/621808at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/621808at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:54 2026
# [ok]
