#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
302279at33208_6850_0:0028ba|TRINITY_DN79341_c9_g1_i1:118-1173|+     -            352 302279at33208        -            304  1.7e-143  476.4   1.3   1   1    6e-142  2.4e-140  466.0   1.3     1   304     1   352     1   352 0.89 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i1:190-993|+    -            268 302279at33208        -            304   8.5e-10   37.3   0.1   1   3   7.2e-05    0.0029   15.9   0.0    64   124    32    87    15    90 0.78 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i1:190-993|+    -            268 302279at33208        -            304   8.5e-10   37.3   0.1   2   3   0.00061     0.024   12.8   0.0    81   124    86   129    83   133 0.87 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i1:190-993|+    -            268 302279at33208        -            304   8.5e-10   37.3   0.1   3   3      0.12       4.8    5.3   0.0   272   297   133   158   124   163 0.83 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i6:190-993|+    -            268 302279at33208        -            304   8.5e-10   37.3   0.1   1   3   7.2e-05    0.0029   15.9   0.0    64   124    32    87    15    90 0.78 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i6:190-993|+    -            268 302279at33208        -            304   8.5e-10   37.3   0.1   2   3   0.00061     0.024   12.8   0.0    81   124    86   129    83   133 0.87 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i6:190-993|+    -            268 302279at33208        -            304   8.5e-10   37.3   0.1   3   3      0.12       4.8    5.3   0.0   272   297   133   158   124   163 0.83 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 302279at33208        -            304   2.8e-09   35.6   0.7   1   2   1.5e-08     6e-07   28.0   0.5    53   167   114   217    85   227 0.70 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 302279at33208        -            304   2.8e-09   35.6   0.7   2   2      0.13       5.1    5.2   0.0    84   182   225   325   218   334 0.70 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   1   5   0.00041     0.016   13.4   0.0    84   127    16    60     9    74 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   2   5      0.05         2    6.5   0.0    98   123    76   100    64   112 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   3   5       1.3        51    1.9   0.0   100   126   121   147   112   156 0.83 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   4   5     0.087       3.5    5.7   0.1   218   296   142   217   126   220 0.69 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   5   5       1.3        52    1.9   0.0   248   296   216   261   194   263 0.84 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i3:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   1   5   0.00041     0.016   13.4   0.0    84   127    16    60     9    74 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i3:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   2   5      0.05         2    6.5   0.0    98   123    76   100    64   112 0.76 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i3:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   3   5       1.3        51    1.9   0.0   100   126   121   147   112   156 0.83 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i3:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   4   5     0.087       3.5    5.7   0.1   218   296   142   217   126   220 0.69 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i3:254-1042|+    -            263 302279at33208        -            304   1.4e-08   33.3   0.5   5   5       1.3        52    1.9   0.0   248   296   216   261   194   263 0.84 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i1:1059-1610|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   1   2   1.9e-08   7.6e-07   27.6   0.4   102   209     7   106     2   120 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i1:1059-1610|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   2   2      0.74        29    2.7   0.0    95   124   127   155   118   175 0.73 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i4:1042-1593|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   1   2   1.9e-08   7.6e-07   27.6   0.4   102   209     7   106     2   120 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i4:1042-1593|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   2   2      0.74        29    2.7   0.0    95   124   127   155   118   175 0.73 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i6:2661-3212|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   1   2   1.9e-08   7.6e-07   27.6   0.4   102   209     7   106     2   120 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i6:2661-3212|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   2   2      0.74        29    2.7   0.0    95   124   127   155   118   175 0.73 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i7:2660-3211|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   1   2   1.9e-08   7.6e-07   27.6   0.4   102   209     7   106     2   120 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i7:2660-3211|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   2   2      0.74        29    2.7   0.0    95   124   127   155   118   175 0.73 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   1   2   1.9e-08   7.6e-07   27.6   0.4   102   209     7   106     2   120 0.81 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 302279at33208        -            304   3.4e-08   32.0   1.1   2   2      0.74        29    2.7   0.0    95   124   127   155   118   175 0.73 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   1   5       2.6     1e+02    0.9   0.0    98   112   177   191   161   199 0.80 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   2   5      0.55        22    3.1   0.0    78   113   199   234   177   244 0.73 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   3   5    0.0036      0.14   10.3   0.0    83   117   246   280   230   290 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   4   5     0.021      0.84    7.8   0.0    85   117   290   322   280   337 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i1:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   5   5      0.15       5.9    5.0   0.0    68   116   362   403   342   449 0.67 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   1   5       2.6     1e+02    0.9   0.0    98   112   177   191   161   199 0.80 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   2   5      0.55        22    3.1   0.0    78   113   199   234   177   244 0.73 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   3   5    0.0036      0.14   10.3   0.0    83   117   246   280   230   290 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   4   5     0.021      0.84    7.8   0.0    85   117   290   322   280   337 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i5:88-1446|+   -            453 302279at33208        -            304   3.5e-08   32.0   0.2   5   5      0.15       5.9    5.0   0.0    68   116   362   403   342   449 0.67 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   1   4      0.42        17    3.5   0.0    70   112   188   233   165   241 0.67 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   2   4    0.0038      0.15   10.2   0.0    83   117   246   280   230   290 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   3   4     0.022      0.86    7.7   0.0    85   117   290   322   280   338 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i4:88-1503|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   4   4      0.15       6.1    4.9   0.0    68   116   362   403   342   451 0.67 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   1   4      0.42        17    3.5   0.0    70   112   188   233   165   241 0.67 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   2   4    0.0038      0.15   10.2   0.0    83   117   246   280   230   290 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   3   4     0.022      0.86    7.7   0.0    85   117   290   322   280   338 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   4.5e-08   31.6   0.3   4   4      0.15       6.1    4.9   0.0    68   116   362   403   342   451 0.67 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+   -            303 302279at33208        -            304   7.2e-08   31.0   2.8   1   2     9e-09   3.6e-07   28.7   0.9    98   297    29   212    11   217 0.83 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i1:908-1816|+   -            303 302279at33208        -            304   7.2e-08   31.0   2.8   2   2       2.1        83    1.2   0.0    97   115   247   265   231   303 0.71 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+   -            303 302279at33208        -            304   7.2e-08   31.0   2.8   1   2     9e-09   3.6e-07   28.7   0.9    98   297    29   212    11   217 0.83 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i3:816-1724|+   -            303 302279at33208        -            304   7.2e-08   31.0   2.8   2   2       2.1        83    1.2   0.0    97   115   247   265   231   303 0.71 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 302279at33208        -            304   7.2e-08   31.0   2.8   1   2     9e-09   3.6e-07   28.7   0.9    98   297    29   212    11   217 0.83 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 302279at33208        -            304   7.2e-08   31.0   2.8   2   2       2.1        83    1.2   0.0    97   115   247   265   231   303 0.71 -
304388at33208_64838_0:000a44|TRINITY_DN92405_c11_g1_i5:127-876|+    -            250 302279at33208        -            304   3.4e-07   28.8   0.2   1   2   4.1e-06   0.00016   20.0   0.0    96   163   102   163    86   172 0.85 -
304388at33208_64838_0:000a44|TRINITY_DN92405_c11_g1_i5:127-876|+    -            250 302279at33208        -            304   3.4e-07   28.8   0.2   2   2    0.0014     0.055   11.7   0.0   239   298   147   203   137   209 0.80 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   4.2e-07   28.5   9.2   1   6      0.91        36    2.4   0.0    90   113    15    38     6    57 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   4.2e-07   28.5   9.2   2   6     0.019      0.78    7.9   0.1    93   112    58    77    34    87 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   4.2e-07   28.5   9.2   3   6       1.6        63    1.6   0.0    97   115   102   120    87   133 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   4.2e-07   28.5   9.2   4   6      0.65        26    2.9   0.0    97   115   142   160   133   176 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   4.2e-07   28.5   9.2   5   6      0.32        13    3.9   0.0    97   116   182   201   168   225 0.69 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   4.2e-07   28.5   9.2   6   6     0.002     0.081   11.1   0.1    97   116   225   244   215   255 0.84 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i1:127-2340|+    -            738 302279at33208        -            304   4.5e-07   28.4   0.1   1   3   2.8e-05    0.0011   17.2   0.0    96   163    95   156    77   159 0.85 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i1:127-2340|+    -            738 302279at33208        -            304   4.5e-07   28.4   0.1   2   3    0.0036      0.14   10.3   0.1   229   298   130   196   121   201 0.78 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i1:127-2340|+    -            738 302279at33208        -            304   4.5e-07   28.4   0.1   3   3       0.4        16    3.6   0.0    70   126   198   257   196   265 0.83 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 302279at33208        -            304   4.5e-07   28.4   0.1   1   3   2.8e-05    0.0011   17.2   0.0    96   163    95   156    77   159 0.85 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 302279at33208        -            304   4.5e-07   28.4   0.1   2   3    0.0036      0.14   10.3   0.1   229   298   130   196   121   201 0.78 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 302279at33208        -            304   4.5e-07   28.4   0.1   3   3       0.4        16    3.6   0.0    70   126   198   257   196   265 0.83 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i1:118-1563|-  -            482 302279at33208        -            304   4.8e-07   28.3   0.7   1   2   5.3e-06   0.00021   19.6   0.1    97   224   228   355   216   362 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i1:118-1563|-  -            482 302279at33208        -            304   4.8e-07   28.3   0.7   2   2     0.032       1.3    7.2   0.1    93   119   359   384   350   397 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 302279at33208        -            304   6.5e-07   27.8   1.3   1   2   5.9e-06   0.00024   19.4   0.1    97   224   228   355   216   362 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 302279at33208        -            304   6.5e-07   27.8   1.3   2   2     0.034       1.4    7.1   0.1    93   119   359   384   350   397 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 302279at33208        -            304   9.6e-07   27.3   0.2   1   3   0.00044     0.018   13.3   0.1    42   112    41   116     4   138 0.76 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 302279at33208        -            304   9.6e-07   27.3   0.2   2   3    0.0073      0.29    9.3   0.0    98   169   144   210   131   222 0.82 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 302279at33208        -            304   9.6e-07   27.3   0.2   3   3       0.2         8    4.6   0.0   188   252   185   245   179   259 0.65 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i1:1333-2112|-  -            260 302279at33208        -            304   9.7e-07   27.3   1.5   1   4      0.91        36    2.4   0.0   240   298     8    66     3    70 0.72 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i1:1333-2112|-  -            260 302279at33208        -            304   9.7e-07   27.3   1.5   2   4       1.8        70    1.5   0.0    93   117    61    85    46    97 0.78 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i1:1333-2112|-  -            260 302279at33208        -            304   9.7e-07   27.3   1.5   3   4     0.021      0.83    7.8   0.0    86   120    99   133    93   148 0.80 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i1:1333-2112|-  -            260 302279at33208        -            304   9.7e-07   27.3   1.5   4   4   0.00072     0.028   12.6   0.1    91   128   152   188   146   210 0.79 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i10:3456-4058|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i11:2869-3471|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i12:3411-4013|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i13:2859-3461|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i14:2872-3474|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i16:2914-3516|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i1:2914-3516|-  -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i20:2927-3529|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i21:2859-3461|- -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i2:2872-3474|-  -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i5:2927-3529|-  -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i7:2869-3471|-  -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i8:3401-4003|-  -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i9:3456-4058|-  -            201 302279at33208        -            304   1.2e-06   27.0   0.2   1   1   5.8e-07   2.3e-05   22.8   0.2    96   293    19   196     3   198 0.76 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i2:976-1812|-    -            279 302279at33208        -            304   1.2e-06   26.9   0.2   1   1   1.4e-05   0.00055   18.2   0.1    47   252    37   236    22   250 0.70 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i3:2914-3546|-  -            211 302279at33208        -            304   1.3e-06   26.9   0.3   1   1   6.3e-07   2.5e-05   22.6   0.3    96   293    29   206    10   208 0.75 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i3:1834-2367|-  -            178 302279at33208        -            304   1.4e-06   26.8   1.1   1   3      0.45        18    3.4   0.1   240   299     8    67     2    70 0.74 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i3:1834-2367|-  -            178 302279at33208        -            304   1.4e-06   26.8   1.1   2   3      0.82        33    2.5   0.0    92   117    60    85    37    98 0.79 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i3:1834-2367|-  -            178 302279at33208        -            304   1.4e-06   26.8   1.1   3   3   1.5e-05    0.0006   18.1   0.1    86   163    99   175    76   178 0.78 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 302279at33208        -            304   1.4e-06   26.8   1.1   1   3      0.45        18    3.4   0.1   240   299     8    67     2    70 0.74 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 302279at33208        -            304   1.4e-06   26.8   1.1   2   3      0.82        33    2.5   0.0    92   117    60    85    37    98 0.79 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 302279at33208        -            304   1.4e-06   26.8   1.1   3   3   1.5e-05    0.0006   18.1   0.1    86   163    99   175    76   178 0.78 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   1.9e-06   26.3   1.4   1   3       6.2   2.5e+02   -0.3   0.0    91   121    74   100    54   119 0.63 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   1.9e-06   26.3   1.4   2   3      0.11       4.4    5.4   0.1   220   281   163   224   140   226 0.80 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   1.9e-06   26.3   1.4   3   3   1.1e-05   0.00046   18.5   0.1    90   126   220   258   208   265 0.81 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 302279at33208        -            304   2.5e-06   25.9   2.1   1   4         2        79    1.3   0.0    98   124    36    63    23    72 0.76 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 302279at33208        -            304   2.5e-06   25.9   2.1   2   4    0.0037      0.15   10.3   0.2    76   166    64   141    47   162 0.69 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 302279at33208        -            304   2.5e-06   25.9   2.1   3   4     0.039       1.6    6.9   0.0    84   117   159   192   152   204 0.81 -
201397at33208_441921_0:000685|TRINITY_DN87761_c2_g1_i1:599-1531|+   -            311 302279at33208        -            304   2.5e-06   25.9   2.1   4   4      0.12       4.9    5.2   0.0    84   126   201   242   194   258 0.76 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   4.8e-06   25.0   3.6   1   4      0.12       4.6    5.3   0.0    81   115   187   221   160   231 0.83 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   4.8e-06   25.0   3.6   2   4       1.9        76    1.3   0.0   138   163   309   334   292   357 0.65 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   4.8e-06   25.0   3.6   3   4      0.82        33    2.5   0.0    95   114   401   420   373   432 0.81 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   4.8e-06   25.0   3.6   4   4    0.0034      0.14   10.3   0.0    86   210   434   553   426   563 0.80 -
