#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 327301at33208        -            257   1.1e-71  240.1   0.0   1   1   1.1e-72   1.9e-71  239.3   0.0     2   249    11   295    10   299 0.86 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257   2.6e-16   58.6   0.3   3   4   0.00091     0.015   13.5   0.0   218   248   226   256   197   261 0.75 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 327301at33208        -            257   2.6e-16   58.6   0.3   4   4      0.77        13    3.9   0.0    30    60   315   345   303   346 0.82 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   1   8      0.19       3.2    5.9   0.0    27    54    41    68     8    82 0.69 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   2   8     0.025      0.41    8.8   0.1   124   181   234   294   210   302 0.81 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   3   8    0.0062       0.1   10.8   0.0    19    59   326   366   298   370 0.76 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   4   8   4.8e-06   8.1e-05   21.0   0.0    77   168   351   451   349   460 0.71 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   5   8    0.0015     0.025   12.8   0.0   136   244   377   496   375   507 0.77 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   6   8      0.91        15    3.7   0.1    79   102   483   506   476   538 0.54 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   7   8       4.2        71    1.5   0.0     4    26   516   538   513   546 0.73 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i5:97-2271|-    -            725 327301at33208        -            257   3.2e-16   58.4   5.3   8   8      0.11       1.8    6.7   0.0    16    68   557   609   550   619 0.83 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   1   8      0.24         4    5.6   0.0    27    54    92   119    58   133 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   2   8       3.4        57    1.8   0.0    36    63   194   221   187   225 0.84 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   3   8     0.031      0.52    8.5   0.1   124   181   285   345   261   355 0.81 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   4   8    0.0082      0.14   10.4   0.0    19    59   377   417   349   421 0.76 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   5   8   3.8e-06   6.3e-05   21.3   0.0    75   168   400   502   386   508 0.71 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   6   8    0.0022     0.037   12.2   0.0   136   244   428   547   426   555 0.77 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   7   8       5.5        92    1.1   0.0     4    26   567   589   564   597 0.73 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 327301at33208        -            257   3.5e-16   58.2   4.7   8   8      0.15       2.4    6.3   0.0    16    68   608   660   601   669 0.83 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   1   8      0.19       3.2    5.9   0.0    27    54    41    68     8    82 0.69 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   2   8     0.024       0.4    8.9   0.1   124   181   228   288   209   298 0.81 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   3   8    0.0061       0.1   10.8   0.0    19    59   320   360   292   364 0.76 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   4   8   2.7e-06   4.5e-05   21.8   0.0    75   168   343   445   329   451 0.71 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   5   8    0.0014     0.023   13.0   0.0   136   244   371   490   368   499 0.77 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   6   8      0.71        12    4.0   0.1    78   101   476   499   454   532 0.61 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   7   8       3.5        59    1.8   0.0     4    26   510   532   507   543 0.66 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i1:97-2537|-    -            719 327301at33208        -            257   4.4e-16   57.9   3.7   8   8      0.11       1.8    6.8   0.0    16    68   551   603   542   612 0.83 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   1   7       0.2       3.4    5.8   0.0    27    54    92   119    58   133 0.68 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   2   7     0.031      0.52    8.5   0.1   124   181   285   345   269   353 0.81 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   3   7     0.007      0.12   10.6   0.0    19    59   377   417   349   421 0.76 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   4   7   3.7e-06   6.3e-05   21.3   0.0    75   168   400   502   392   508 0.71 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   5   7    0.0028     0.047   11.9   0.0   136   244   428   547   428   555 0.76 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   6   7       4.6        77    1.4   0.0     4    26   567   589   564   598 0.73 -
281693at33208_378494_0:004e3c|TRINITY_DN80523_c6_g1_i2:78-2477|-    -            800 327301at33208        -            257   4.9e-16   57.7   5.1   7   7      0.12         2    6.6   0.1    16    68   608   660   599   670 0.84 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   5.8e-16   57.5   3.0   1   4    0.0025     0.042   12.1   0.0    41    93    18    77    13    85 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   5.8e-16   57.5   3.0   2   4       2.8        46    2.1   0.0   225   244    97   116    84   123 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   5.8e-16   57.5   3.0   3   4   2.1e-06   3.4e-05   22.2   0.1    34    93   131   197   118   207 0.78 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 327301at33208        -            257   5.8e-16   57.5   3.0   4   4   2.4e-05   0.00041   18.7   0.0    64    95   211   242   204   248 0.90 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 327301at33208        -            257   9.2e-16   56.9   4.8   1   3     0.091       1.5    7.0   0.1    78    93    19    34     6    41 0.80 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 327301at33208        -            257   9.2e-16   56.9   4.8   2   3   0.00013    0.0023   16.2   0.0   216   247    89   120    87   129 0.76 -
357580at33208_381198_0:002ad9|TRINITY_DN79934_c8_g3_i1:303-776|-    -            158 327301at33208        -            257   9.2e-16   56.9   4.8   3   3    0.0004    0.0067   14.7   0.1   219   243   134   158   128   158 0.92 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   1.5e-15   56.1   5.2   1   3      0.14       2.3    6.4   0.1    78    93    19    34     5    42 0.80 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   1.5e-15   56.1   5.2   2   3   0.00021    0.0036   15.6   0.0   216   247    89   120    86   130 0.75 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 327301at33208        -            257   1.5e-15   56.1   5.2   3   3   0.00031    0.0053   15.0   0.1   219   243   134   158   126   164 0.89 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   1.6e-15   56.1   8.8   1   4   0.00036    0.0061   14.8   0.1   198   249    88   133    81   139 0.80 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   1.6e-15   56.1   8.8   2   4     0.004     0.066   11.4   0.0     4    67   148   220   145   224 0.68 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   1.6e-15   56.1   8.8   3   4   2.9e-06   4.9e-05   21.7   1.5    26   103   221   310   218   313 0.74 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 327301at33208        -            257   1.6e-15   56.1   8.8   4   4     0.024       0.4    8.9   0.3    28    59   307   338   300   340 0.85 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   1.6e-15   56.1   0.6   1   6     0.098       1.7    6.9   0.0    62    93    61    92    32   102 0.67 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   1.6e-15   56.1   0.6   2   6         1        17    3.6   0.0    26    64   190   228   183   234 0.83 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   1.6e-15   56.1   0.6   3   6   0.00072     0.012   13.9   0.0    29    72   237   280   199   298 0.78 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   1.6e-15   56.1   0.6   4   6      0.24       4.1    5.6   0.0    30    65   324   359   318   395 0.85 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   1.6e-15   56.1   0.6   5   6     0.025      0.42    8.8   0.0     4    58   460   515   457   520 0.84 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 327301at33208        -            257   1.6e-15   56.1   0.6   6   6     0.021      0.35    9.1   1.4   152   246   510   605   508   605 0.77 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   1   7      0.24         4    5.6   0.0    27    54    92   119    58   133 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   2   7     0.035       0.6    8.3   0.1   124   181   285   345   268   353 0.81 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   3   7    0.0096      0.16   10.2   0.0    19    58   377   416   349   420 0.76 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   4   7   5.5e-06   9.2e-05   20.8   0.0    76   168   401   502   397   511 0.71 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   5   7    0.0019     0.031   12.5   0.0   136   244   428   547   425   558 0.77 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   6   7       5.3        89    1.2   0.0     4    26   567   589   564   598 0.73 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i4:214-2952|-    -            913 327301at33208        -            257   1.7e-15   56.0   5.0   7   7      0.15       2.4    6.3   0.0    16    68   608   660   601   669 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   1   6       4.9        81    1.3   0.0   225   246   150   171   128   176 0.81 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   2   6       1.4        23    3.1   0.0   219   243   199   223   195   227 0.68 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   3   6    0.0038     0.064   11.5   0.0   189   247   209   268   205   279 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   4   6   0.00029    0.0049   15.1   0.0   193   246   295   350   288   356 0.87 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   5   6      0.24       4.1    5.6   0.0   227   246   382   401   377   404 0.85 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i1:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   6   6   0.00037    0.0062   14.8   0.0    25    67   407   449   402   485 0.88 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   1   6       4.9        81    1.3   0.0   225   246   150   171   128   176 0.81 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   2   6       1.4        23    3.1   0.0   219   243   199   223   195   227 0.68 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   3   6    0.0038     0.064   11.5   0.0   189   247   209   268   205   279 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   4   6   0.00029    0.0049   15.1   0.0   193   246   295   350   288   356 0.87 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   5   6      0.24       4.1    5.6   0.0   227   246   382   401   377   404 0.85 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i5:598-2052|-   -            485 327301at33208        -            257   2.9e-15   55.2   1.8   6   6   0.00037    0.0062   14.8   0.0    25    67   407   449   402   485 0.88 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 327301at33208        -            257   2.1e-14   52.4   2.9   1   5   3.7e-05   0.00063   18.1   0.1   151   246    77   178    71   186 0.75 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 327301at33208        -            257   2.1e-14   52.4   2.9   2   5       2.4        41    2.3   0.0   108   170   427   487   415   497 0.70 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 327301at33208        -            257   2.1e-14   52.4   2.9   3   5      0.25       4.2    5.5   0.0   221   250   510   539   505   541 0.87 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 327301at33208        -            257   2.1e-14   52.4   2.9   4   5     0.011      0.18   10.0   0.1   189   250   615   679   607   685 0.71 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 327301at33208        -            257   2.1e-14   52.4   2.9   5   5      0.25       4.1    5.6   0.0   219   244   690   715   678   719 0.86 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   1   6     0.023      0.39    8.9   0.1   219   243     2    26     1    30 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   2   6    0.0039     0.065   11.5   0.2   219   246    44    71    35    81 0.74 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   3   6   6.1e-05     0.001   17.4   0.0   188   246    95   155    82   165 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   4   6      0.17       2.8    6.1   0.0    37    65   174   202   167   244 0.60 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   5   6       2.3        39    2.4   0.0   228   247   225   244   217   253 0.69 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i10:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   6   6      0.82        14    3.8   0.0     4    25   261   282   257   287 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   1   6     0.023      0.39    8.9   0.1   219   243     2    26     1    30 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   2   6    0.0039     0.065   11.5   0.2   219   246    44    71    35    81 0.74 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   3   6   6.1e-05     0.001   17.4   0.0   188   246    95   155    82   165 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   4   6      0.17       2.8    6.1   0.0    37    65   174   202   167   244 0.60 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   5   6       2.3        39    2.4   0.0   228   247   225   244   217   253 0.69 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i11:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   6   6      0.82        14    3.8   0.0     4    25   261   282   257   287 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   1   6     0.023      0.39    8.9   0.1   219   243     2    26     1    30 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   2   6    0.0039     0.065   11.5   0.2   219   246    44    71    35    81 0.74 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   3   6   6.1e-05     0.001   17.4   0.0   188   246    95   155    82   165 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   4   6      0.17       2.8    6.1   0.0    37    65   174   202   167   244 0.60 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   5   6       2.3        39    2.4   0.0   228   247   225   244   217   253 0.69 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i13:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   6   6      0.82        14    3.8   0.0     4    25   261   282   257   287 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   1   6     0.023      0.39    8.9   0.1   219   243     2    26     1    30 0.89 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i14:89-952|-     -            288 327301at33208        -            257     3e-14   51.9   8.7   2   6    0.0039     0.065   11.5   0.2   219   246    44    71    35    81 0.74 -
