#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
612760at33208_67767_0:00249d|TRINITY_DN84271_c6_g5_i1:404-577|-   -             58 612760at33208        -             88   1.1e-26   91.9   0.1   1   1   1.1e-29   1.2e-26   91.8   0.1    31    88     1    58     1    58 0.98 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+   -            122 612760at33208        -             88      0.15   11.3   8.3   4   5      0.19   2.1e+02    1.3   0.0    71    87    83    99    76   100 0.79 -
590416at33208_9838_0:003f3a|TRINITY_DN88173_c9_g3_i1:663-1028|+   -            122 612760at33208        -             88      0.15   11.3   8.3   5   5      0.42   4.7e+02    0.1   0.0    69    82   109   122   102   122 0.81 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i2:619-1383|+ -            255 612760at33208        -             88       1.7    7.9   8.4   1   4    0.0024       2.7    7.3   0.1    59    86   103   130    78   132 0.88 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i2:619-1383|+ -            255 612760at33208        -             88       1.7    7.9   8.4   2   4       0.7   7.9e+02   -0.6   0.1    73    85   145   157   137   160 0.81 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i2:619-1383|+ -            255 612760at33208        -             88       1.7    7.9   8.4   3   4     0.071        80    2.6   0.1    70    85   198   213   191   216 0.84 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i2:619-1383|+ -            255 612760at33208        -             88       1.7    7.9   8.4   4   4      0.58   6.6e+02   -0.3   0.1    72    85   228   241   222   244 0.78 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i8:947-1711|+ -            255 612760at33208        -             88       1.7    7.9   8.4   1   4    0.0024       2.7    7.3   0.1    59    86   103   130    78   132 0.88 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i8:947-1711|+ -            255 612760at33208        -             88       1.7    7.9   8.4   2   4       0.7   7.9e+02   -0.6   0.1    73    85   145   157   137   160 0.81 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i8:947-1711|+ -            255 612760at33208        -             88       1.7    7.9   8.4   3   4     0.071        80    2.6   0.1    70    85   198   213   191   216 0.84 -
535268at33208_438502_0:001e59|TRINITY_DN91921_c4_g1_i8:947-1711|+ -            255 612760at33208        -             88       1.7    7.9   8.4   4   4      0.58   6.6e+02   -0.3   0.1    72    85   228   241   222   244 0.78 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   1   7      0.37   4.2e+02    0.3   0.1    75    86     2    13     1    15 0.85 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   2   7      0.12   1.3e+02    1.9   0.1    73    87    56    70    46    71 0.84 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   3   7    0.0043       4.8    6.5   1.4    50    85    60    96    53    99 0.84 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   4   7      0.33   3.7e+02    0.5   0.1    70    85   109   124   100   129 0.77 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   5   7       1.4   1.5e+03   -1.5   0.1    70    87   140   157   130   158 0.77 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   6   7    0.0026       2.9    7.2   0.9    56    86   153   184   137   186 0.71 -
535268at33208_438502_0:001e59|TRINITY_DN71073_c0_g1_i1:60-818|+   -            253 612760at33208        -             88       3.2    7.1  22.0   7   7     0.058        66    2.9   0.2    49    84   202   238   189   242 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/612760at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/612760at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/612760at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:54 2026
# [ok]
