#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
367551at33208_174628_0:001fdd|TRINITY_DN89438_c2_g1_i2:354-2072|+    -            573 367551at33208        -            388  2.2e-156  519.9   9.9   1   1  5.5e-158  3.6e-156  519.2   9.9     1   375   146   547   146   559 0.93 -
489997at33208_7130_0:000402|TRINITY_DN84128_c10_g2_i3:653-1762|+     -            370 367551at33208        -            388     3e-68  229.8   0.1   1   1   5.6e-70   3.7e-68  229.5   0.1     7   312    44   369    39   370 0.87 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i1:1126-2424|+    -            433 367551at33208        -            388   2.7e-67  226.6   0.1   1   1   5.4e-69   3.6e-67  226.2   0.1    12   339    75   418    63   430 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i9:1114-2412|+    -            433 367551at33208        -            388   2.7e-67  226.6   0.1   1   1   5.4e-69   3.6e-67  226.2   0.1    12   339    75   418    63   430 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i12:1126-2415|+   -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i14:1114-2403|+   -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i16:1126-2415|+   -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i17:1126-2415|+   -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i2:1114-2403|+    -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i3:1114-2403|+    -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i5:1615-2904|+    -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_64459_0:003025|TRINITY_DN90954_c8_g1_i7:1627-2916|+    -            430 367551at33208        -            388   2.9e-67  226.5   0.1   1   1   5.9e-69   3.9e-67  226.1   0.1    12   339    75   418    63   425 0.85 -
489997at33208_7130_0:000402|TRINITY_DN90768_c8_g2_i3:68-1567|-       -            403 367551at33208        -            388   1.7e-66  224.0   0.0   1   1   3.2e-68   2.1e-66  223.7   0.0    11   338    43   385    35   400 0.89 -
489997at33208_7130_0:000402|TRINITY_DN90768_c8_g2_i7:68-1567|-       -            403 367551at33208        -            388   1.7e-66  224.0   0.0   1   1   3.2e-68   2.1e-66  223.7   0.0    11   338    43   385    35   400 0.89 -
489997at33208_66420_0:0024cc|TRINITY_DN93623_c11_g1_i1:632-1672|-    -            347 367551at33208        -            388   4.3e-65  219.4   0.6   1   1   7.7e-67   5.1e-65  219.1   0.6    12   336     3   336     1   343 0.94 -
255924at33208_52283_0:001261|TRINITY_DN88051_c7_g1_i10:5244-6347|-   -            368 367551at33208        -            388   2.9e-63  213.4   0.6   1   1   5.1e-65   3.4e-63  213.1   0.6     9   336    21   355     8   363 0.90 -
255924at33208_52283_0:001261|TRINITY_DN88051_c7_g1_i14:5243-6346|-   -            368 367551at33208        -            388   2.9e-63  213.4   0.6   1   1   5.1e-65   3.4e-63  213.1   0.6     9   336    21   355     8   363 0.90 -
255924at33208_52283_0:001261|TRINITY_DN88051_c7_g1_i15:5246-6349|-   -            368 367551at33208        -            388   2.9e-63  213.4   0.6   1   1   5.1e-65   3.4e-63  213.1   0.6     9   336    21   355     8   363 0.90 -
255924at33208_52283_0:001261|TRINITY_DN88051_c7_g1_i5:5242-6345|-    -            368 367551at33208        -            388   2.9e-63  213.4   0.6   1   1   5.1e-65   3.4e-63  213.1   0.6     9   336    21   355     8   363 0.90 -
273989at33208_7004_0:001e3f|TRINITY_DN92960_c4_g1_i3:440-2158|-      -            573 367551at33208        -            388   1.1e-62  211.4   0.2   1   1   2.3e-64   1.5e-62  211.0   0.2    13   368    27   413    16   432 0.81 -
255924at33208_67767_0:0025bc|TRINITY_DN82292_c8_g2_i1:5-1048|-       -            348 367551at33208        -            388   1.2e-62  211.3   0.9   1   1   2.1e-64   1.4e-62  211.1   0.9     1   324    10   347    10   348 0.92 -
255924at33208_67767_0:0025bc|TRINITY_DN82292_c8_g2_i2:5-1048|-       -            348 367551at33208        -            388   1.2e-62  211.3   0.9   1   1   2.1e-64   1.4e-62  211.1   0.9     1   324    10   347    10   348 0.92 -
255924at33208_67767_0:0025bc|TRINITY_DN82292_c8_g2_i3:5-1048|-       -            348 367551at33208        -            388   1.2e-62  211.3   0.9   1   1   2.1e-64   1.4e-62  211.1   0.9     1   324    10   347    10   348 0.92 -
367551at33208_7070_0:001deb|TRINITY_DN82434_c7_g3_i2:651-1733|+      -            361 367551at33208        -            388   6.5e-62  208.9   1.6   1   1   1.2e-63   7.8e-62  208.7   1.6    10   335    22   360    13   361 0.87 -
323399at33208_6850_0:00193f|TRINITY_DN90171_c0_g1_i5:229-1707|-      -            493 367551at33208        -            388   1.1e-60  204.9   0.8   1   1     2e-62   1.3e-60  204.6   0.0     4   337    77   428    74   478 0.85 -
323399at33208_6850_0:00193f|TRINITY_DN90171_c0_g1_i6:229-1707|-      -            493 367551at33208        -            388   1.1e-60  204.9   0.8   1   1     2e-62   1.3e-60  204.6   0.0     4   337    77   428    74   478 0.85 -
323399at33208_6850_0:00193f|TRINITY_DN90171_c0_g1_i1:229-1728|-      -            500 367551at33208        -            388   1.2e-60  204.8   0.8   1   1   2.1e-62   1.4e-60  204.5   0.0     4   337    84   435    81   485 0.85 -
323399at33208_6850_0:00193f|TRINITY_DN90171_c0_g1_i4:229-1932|-      -            568 367551at33208        -            388   1.7e-60  204.2   0.8   1   1   3.1e-62   2.1e-60  204.0   0.0     4   337   152   503   149   552 0.85 -
367551at33208_6412_0:00335b|TRINITY_DN83807_c12_g1_i2:322-1164|-     -            281 367551at33208        -            388     8e-60  202.0   0.5   1   1   1.4e-61   9.3e-60  201.8   0.5    87   335    22   280    16   281 0.91 -
367551at33208_6412_0:00335b|TRINITY_DN83807_c12_g1_i3:613-1455|-     -            281 367551at33208        -            388     8e-60  202.0   0.5   1   1   1.4e-61   9.3e-60  201.8   0.5    87   335    22   280    16   281 0.91 -
367551at33208_6669_0:001630|TRINITY_DN82434_c7_g3_i3:654-1718|+      -            355 367551at33208        -            388     9e-60  201.9   1.7   1   1   1.6e-61   1.1e-59  201.6   1.7    10   331    21   354    12   355 0.87 -
367551at33208_438503_0:001f66|TRINITY_DN75395_c9_g1_i1:189-1145|+    -            319 367551at33208        -            388   1.3e-59  201.4   0.1   1   1   2.4e-61   1.6e-59  201.1   0.1    12   297    16   317     7   319 0.86 -
273989at33208_91411_0:0003bb|TRINITY_DN90432_c11_g1_i2:967-2547|+    -            527 367551at33208        -            388   2.6e-58  197.0   0.2   1   2   8.5e-38   5.6e-36  123.5   0.3    13   189    23   220    13   279 0.86 -
273989at33208_91411_0:0003bb|TRINITY_DN90432_c11_g1_i2:967-2547|+    -            527 367551at33208        -            388   2.6e-58  197.0   0.2   2   2   5.6e-22   3.7e-20   71.5   0.0   252   381   336   470   332   475 0.84 -
530431at33208_7574_0:002d19|TRINITY_DN83983_c5_g1_i1:380-2599|-      -            740 367551at33208        -            388     6e-58  195.9   2.4   1   2   2.5e-10   1.7e-08   33.1   0.1    11    54    27    71    18    77 0.90 -
530431at33208_7574_0:002d19|TRINITY_DN83983_c5_g1_i1:380-2599|-      -            740 367551at33208        -            388     6e-58  195.9   2.4   2   2   2.7e-49   1.8e-47  161.4   0.4    58   334   305   619   300   632 0.76 -
323399at33208_6850_0:00193f|TRINITY_DN90171_c0_g1_i3:288-1277|-      -            330 367551at33208        -            388   6.4e-55  185.9   0.0   1   1   1.1e-56   7.3e-55  185.7   0.0    23   333     1   329     1   330 0.86 -
367551at33208_286706_0:0010d9|TRINITY_DN83754_c13_g2_i1:490-1686|-   -            399 367551at33208        -            388   5.9e-54  182.7   2.2   1   2   4.7e-41   3.1e-39  134.2   1.5    12   279    25   310     9   315 0.83 -
367551at33208_286706_0:0010d9|TRINITY_DN83754_c13_g2_i1:490-1686|-   -            399 367551at33208        -            388   5.9e-54  182.7   2.2   2   2   1.3e-14   8.5e-13   47.2   0.0   281   336   339   394   336   398 0.95 -
367551at33208_286706_0:0010d9|TRINITY_DN83754_c13_g2_i2:618-1814|-   -            399 367551at33208        -            388   5.9e-54  182.7   2.2   1   2   4.7e-41   3.1e-39  134.2   1.5    12   279    25   310     9   315 0.83 -
367551at33208_286706_0:0010d9|TRINITY_DN83754_c13_g2_i2:618-1814|-   -            399 367551at33208        -            388   5.9e-54  182.7   2.2   2   2   1.3e-14   8.5e-13   47.2   0.0   281   336   339   394   336   398 0.95 -
367551at33208_37653_0:000128|TRINITY_DN79107_c6_g1_i14:3989-5125|-   -            379 367551at33208        -            388     5e-52  176.4   0.1   1   1   8.2e-54   5.4e-52  176.3   0.1    10   339    23   369     9   379 0.82 -
367551at33208_37653_0:000128|TRINITY_DN79107_c6_g1_i7:3992-5128|-    -            379 367551at33208        -            388     5e-52  176.4   0.1   1   1   8.2e-54   5.4e-52  176.3   0.1    10   339    23   369     9   379 0.82 -
367551at33208_37653_0:000128|TRINITY_DN79107_c6_g1_i8:3991-5127|-    -            379 367551at33208        -            388     5e-52  176.4   0.1   1   1   8.2e-54   5.4e-52  176.3   0.1    10   339    23   369     9   379 0.82 -
303117at33208_6565_0:000b22|TRINITY_DN83204_c11_g2_i5:368-1858|-     -            497 367551at33208        -            388   5.5e-52  176.2   0.8   1   2   3.2e-24   2.1e-22   78.8   0.1    21   154    83   231    54   246 0.76 -
303117at33208_6565_0:000b22|TRINITY_DN83204_c11_g2_i5:368-1858|-     -            497 367551at33208        -            388   5.5e-52  176.2   0.8   2   2   2.2e-29   1.5e-27   95.8   0.1   160   373   262   494   256   497 0.76 -
303117at33208_6565_0:000b22|TRINITY_DN83204_c11_g2_i2:84-1439|-      -            452 367551at33208        -            388     5e-50  169.8   0.8   1   2   2.6e-24   1.8e-22   79.1   0.1    21   154    83   231    54   246 0.76 -
303117at33208_6565_0:000b22|TRINITY_DN83204_c11_g2_i2:84-1439|-      -            452 367551at33208        -            388     5e-50  169.8   0.8   2   2   2.6e-27   1.7e-25   89.0   0.1   160   326   262   443   256   450 0.79 -
489997at33208_7220_0:002df2|TRINITY_DN92234_c6_g3_i2:389-1465|+      -            359 367551at33208        -            388   4.3e-49  166.7   0.0   1   1   7.8e-51   5.2e-49  166.4   0.0    11   325    23   354     8   358 0.84 -
530431at33208_72036_0:0028e2|TRINITY_DN83983_c5_g1_i3:272-1915|-     -            548 367551at33208        -            388   2.2e-48  164.4   0.5   1   1   9.7e-50   6.4e-48  162.8   0.5    58   338    77   395    73   445 0.77 -
367551at33208_9365_0:000c89|TRINITY_DN75395_c9_g1_i2:216-1031|+      -            272 367551at33208        -            388   1.8e-47  161.4   0.3   1   1   3.3e-49   2.2e-47  161.1   0.3    12   255    16   272     7   272 0.86 -
273989at33208_6850_0:001e60|TRINITY_DN80080_c9_g1_i2:192-1475|+      -            428 367551at33208        -            388   1.4e-46  158.4   0.2   1   1   2.9e-48   1.9e-46  158.0   0.2    11   382     9   392     2   398 0.85 -
273989at33208_6850_0:001e60|TRINITY_DN80080_c9_g1_i4:277-1560|+      -            428 367551at33208        -            388   1.4e-46  158.4   0.2   1   1   2.9e-48   1.9e-46  158.0   0.2    11   382     9   392     2   398 0.85 -
489997at33208_51655_0:003adf|TRINITY_DN90768_c8_g2_i2:841-1722|-     -            294 367551at33208        -            388   1.4e-41  142.0   0.0   1   1   2.7e-43   1.8e-41  141.6   0.0    11   239    43   285    35   290 0.87 -
489997at33208_51655_0:003adf|TRINITY_DN90768_c8_g2_i6:841-1722|-     -            294 367551at33208        -            388   1.4e-41  142.0   0.0   1   1   2.7e-43   1.8e-41  141.6   0.0    11   239    43   285    35   290 0.87 -
177858at33208_294128_0:001afc|TRINITY_DN91954_c10_g2_i1:539-2743|-   -            735 367551at33208        -            388   3.1e-41  140.9   0.4   1   3   4.6e-10   3.1e-08   32.2   0.0    12    51    23    62     9    69 0.91 -
177858at33208_294128_0:001afc|TRINITY_DN91954_c10_g2_i1:539-2743|-   -            735 367551at33208        -            388   3.1e-41  140.9   0.4   2   3   5.2e-13   3.4e-11   41.9   0.0    60   203   283   443   276   453 0.72 -
177858at33208_294128_0:001afc|TRINITY_DN91954_c10_g2_i1:539-2743|-   -            735 367551at33208        -            388   3.1e-41  140.9   0.4   3   3   2.5e-19   1.6e-17   62.7   0.0   251   327   536   615   490   621 0.78 -
323399at33208_381198_0:002740|TRINITY_DN88051_c7_g1_i11:5237-6149|-  -            294 367551at33208        -            388   9.5e-41  139.2   2.0   1   1   1.8e-42   1.2e-40  138.9   2.0    58   338     5   281     2   294 0.89 -
323399at33208_381198_0:002740|TRINITY_DN88051_c7_g1_i1:5235-6147|-   -            294 367551at33208        -            388   9.5e-41  139.2   2.0   1   1   1.8e-42   1.2e-40  138.9   2.0    58   338     5   281     2   294 0.89 -
323399at33208_381198_0:002740|TRINITY_DN88051_c7_g1_i3:5237-6149|-   -            294 367551at33208        -            388   9.5e-41  139.2   2.0   1   1   1.8e-42   1.2e-40  138.9   2.0    58   338     5   281     2   294 0.89 -
323399at33208_381198_0:002740|TRINITY_DN88051_c7_g1_i7:5239-6151|-   -            294 367551at33208        -            388   9.5e-41  139.2   2.0   1   1   1.8e-42   1.2e-40  138.9   2.0    58   338     5   281     2   294 0.89 -
323399at33208_381198_0:002740|TRINITY_DN88051_c7_g1_i8:5235-6147|-   -            294 367551at33208        -            388   9.5e-41  139.2   2.0   1   1   1.8e-42   1.2e-40  138.9   2.0    58   338     5   281     2   294 0.89 -
489997at33208_51655_0:003adf|TRINITY_DN71392_c0_g1_i2:162-959|-      -            266 367551at33208        -            388   1.6e-39  135.2   0.2   1   1   2.9e-41   1.9e-39  134.9   0.2     8   203    47   264    35   266 0.80 -
273989at33208_6973_0:004bbe|TRINITY_DN90432_c11_g1_i1:365-1282|+     -            306 367551at33208        -            388   9.9e-37  126.0   0.2   1   1   1.8e-38   1.2e-36  125.7   0.2    13   189    16   213     6   275 0.85 -
273989at33208_6973_0:004bbe|TRINITY_DN90432_c11_g1_i3:365-1282|+     -            306 367551at33208        -            388   9.9e-37  126.0   0.2   1   1   1.8e-38   1.2e-36  125.7   0.2    13   189    16   213     6   275 0.85 -
367551at33208_1507135_0:001993|TRINITY_DN91875_c10_g1_i1:118-615|+   -            166 367551at33208        -            388   1.7e-36  125.2   0.1   1   1     3e-38     2e-36  125.0   0.1    12   153    15   166     3   166 0.86 -
489997at33208_168631_0:002741|TRINITY_DN84128_c10_g2_i4:698-1255|+   -            186 367551at33208        -            388   1.9e-34  118.5   0.0   1   1   3.5e-36   2.3e-34  118.2   0.0     7   148    29   185    24   186 0.84 -
255924at33208_1629725_0:001ae3|TRINITY_DN83754_c13_g2_i3:1206-2069|- -            288 367551at33208        -            388   2.6e-34  118.0   2.6   1   1   4.7e-36   3.1e-34  117.8   2.6    12   243    20   266     4   275 0.80 -
489997at33208_136037_0:000114|TRINITY_DN89218_c8_g1_i3:233-1507|-    -            425 367551at33208        -            388   8.6e-34  116.3   0.0   1   1   2.7e-34   1.8e-32  112.0   0.0    11   353    33   414    24   424 0.79 -
489997at33208_35525_0:004668|TRINITY_DN89218_c8_g1_i2:242-1795|-     -            518 367551at33208        -            388   2.2e-33  115.0   0.0   1   1   6.3e-34   4.2e-32  110.8   0.0    11   351   129   508   120   516 0.79 -
489997at33208_6669_0:00611e|TRINITY_DN89218_c8_g1_i1:227-1805|-      -            425 367551at33208        -            388   7.8e-33  113.2   0.0   1   1   2.4e-33   1.6e-31  108.9   0.0    11   354    33   413    24   423 0.78 -
489997at33208_6669_0:00611e|TRINITY_DN89218_c8_g1_i4:227-1991|-      -            487 367551at33208        -            388   1.4e-32  112.4   0.0   1   1   3.9e-33   2.6e-31  108.2   0.0    11   354    95   475    86   485 0.78 -
367551at33208_6945_0:000574|TRINITY_DN90768_c8_g2_i4:47-679|-        -            211 367551at33208        -            388   7.8e-32  109.9   0.0   1   1   1.3e-33   8.9e-32  109.7   0.0   157   338     1   186     1   204 0.86 -
367551at33208_6945_0:000574|TRINITY_DN87124_c13_g1_i3:83-853|+       -            257 367551at33208        -            388     1e-30  106.2   0.0   1   1   2.2e-32   1.5e-30  105.7   0.0   224   338    73   190    62   202 0.93 -
530431at33208_100784_0:00114f|TRINITY_DN83983_c5_g1_i4:338-1123|-    -            262 367551at33208        -            388   3.4e-28   97.9   0.0   1   1   6.4e-30   4.2e-28   97.6   0.0   219   338     9   131     2   185 0.88 -
273989at33208_418985_0:001ff7|TRINITY_DN81978_c5_g1_i1:84-1358|-     -            425 367551at33208        -            388   5.6e-26   90.6   1.7   1   1   8.7e-27   5.8e-25   87.3   1.7    14   375     5   386     1   402 0.72 -
323399at33208_176057_0:0010db|TRINITY_DN90171_c0_g1_i2:145-696|-     -            184 367551at33208        -            388   3.1e-25   88.2   0.0   1   1   5.8e-27   3.9e-25   87.9   0.0    23   186     1   181     1   183 0.79 -
367551at33208_6945_0:000574|TRINITY_DN90768_c8_g2_i2:47-520|-        -            158 367551at33208        -            388   1.7e-24   85.7   0.0   1   1     3e-26     2e-24   85.5   0.0   224   338    16   133     4   151 0.87 -
367551at33208_6945_0:000574|TRINITY_DN90768_c8_g2_i6:47-520|-        -            158 367551at33208        -            388   1.7e-24   85.7   0.0   1   1     3e-26     2e-24   85.5   0.0   224   338    16   133     4   151 0.87 -
367551at33208_6945_0:000574|TRINITY_DN90768_c8_g2_i5:47-514|-        -            156 367551at33208        -            388   4.6e-24   84.3   0.0   1   1   7.9e-26   5.3e-24   84.1   0.0   223   338    13   131     3   149 0.87 -
273989at33208_407821_0:00647c|TRINITY_DN80080_c9_g1_i3:195-722|+     -            176 367551at33208        -            388   9.3e-24   83.3   0.1   1   1   1.6e-25   1.1e-23   83.1   0.1    12   165     9   176     3   176 0.81 -
367551at33208_6945_0:000574|TRINITY_DN90954_c8_g1_i18:183-740|+      -            186 367551at33208        -            388   1.7e-23   82.5   0.0   1   1   2.7e-25   1.8e-23   82.3   0.0   218   363    21   172     1   179 0.80 -
367551at33208_6945_0:000574|TRINITY_DN90954_c8_g1_i8:183-740|+       -            186 367551at33208        -            388   1.7e-23   82.5   0.0   1   1   2.7e-25   1.8e-23   82.3   0.0   218   363    21   172     1   179 0.80 -
367551at33208_6945_0:000574|TRINITY_DN90954_c8_g1_i15:183-650|+      -            156 367551at33208        -            388   5.3e-22   77.5   0.0   1   1   8.8e-24   5.8e-22   77.4   0.0   217   339    20   146     1   152 0.83 -
323399at33208_57397_0:001107|TRINITY_DN79107_c6_g1_i1:4228-4575|-    -            116 367551at33208        -            388     1e-20   73.3   0.0   1   1   1.7e-22   1.1e-20   73.1   0.0   229   330     2   106     1   115 0.85 -
273989at33208_38123_0:002d0c|TRINITY_DN92995_c4_g1_i9:259-783|+      -            175 367551at33208        -            388   1.7e-20   72.6   0.0   1   1   3.2e-22   2.2e-20   72.2   0.0   248   375     3   130     2   147 0.80 -
273989at33208_7004_0:001e3f|TRINITY_DN92960_c4_g1_i2:330-1262|-      -            311 367551at33208        -            388   2.2e-19   68.9   0.0   1   1   4.3e-21   2.9e-19   68.5   0.0   225   369     1   152     1   170 0.77 -
303117at33208_132908_0:002988|TRINITY_DN83204_c11_g2_i6:95-697|-     -            201 367551at33208        -            388   1.7e-18   66.0   0.1   1   1   3.5e-20   2.3e-18   65.5   0.1    20   128    76   198    48   199 0.74 -
273989at33208_38123_0:002d0c|TRINITY_DN90432_c11_g1_i1:1532-2080|+   -            183 367551at33208        -            388   4.7e-17   61.2   0.0   1   1   8.3e-19   5.5e-17   61.0   0.0   266   382     9   127     1   131 0.82 -
273989at33208_70779_0:0016fb|TRINITY_DN80080_c9_g1_i1:109-756|+      -            216 367551at33208        -            388   7.5e-17   60.6   0.0   1   1   1.5e-18   9.7e-17   60.2   0.0   210   383     8   180     4   185 0.87 -
273989at33208_109280_0:004aa3|TRINITY_DN90432_c11_g1_i3:1533-1766|+  -             78 367551at33208        -            388     3e-16   58.6   0.0   1   1   4.5e-18     3e-16   58.6   0.0   266   333     8    75     1    78 0.89 -
273989at33208_109280_0:004aa3|TRINITY_DN90432_c11_g1_i6:1079-1312|+  -             78 367551at33208        -            388     3e-16   58.6   0.0   1   1   4.5e-18     3e-16   58.6   0.0   266   333     8    75     1    78 0.89 -
