#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
315044at33208_6945_0:00496c|TRINITY_DN90170_c5_g1_i1:173-325|+     -             51 315044at33208        -            407   6.3e-20   70.3   0.1   1   1   1.6e-22   6.7e-20   70.2   0.1   236   282     1    51     1    51 0.88 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i2:1014-3293|+ -            760 315044at33208        -            407     7e-05   20.7   7.7   1   3       1.8   7.8e+02   -2.5   0.0   296   323    18    45    14    57 0.73 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i2:1014-3293|+ -            760 315044at33208        -            407     7e-05   20.7   7.7   2   3   0.00059      0.25    9.0   2.5   275   391    65   184    32   196 0.58 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i2:1014-3293|+ -            760 315044at33208        -            407     7e-05   20.7   7.7   3   3   1.5e-05    0.0066   14.2   1.4   207   331   163   294   133   303 0.79 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i7:1014-4196|+ -            760 315044at33208        -            407     7e-05   20.7   7.7   1   3       1.8   7.8e+02   -2.5   0.0   296   323    18    45    14    57 0.73 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i7:1014-4196|+ -            760 315044at33208        -            407     7e-05   20.7   7.7   2   3   0.00059      0.25    9.0   2.5   275   391    65   184    32   196 0.58 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i7:1014-4196|+ -            760 315044at33208        -            407     7e-05   20.7   7.7   3   3   1.5e-05    0.0066   14.2   1.4   207   331   163   294   133   303 0.79 -
143997at33208_2015173_0:0005be|TRINITY_DN76637_c9_g1_i1:136-765|+  -            210 315044at33208        -            407   9.2e-05   20.3   0.2   1   1   5.7e-07   0.00025   18.9   0.2   212   321    43   156    22   159 0.84 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i4:1-3612|+    -            877 315044at33208        -            407   0.00012   20.0   8.0   1   3       1.3   5.5e+02   -2.0   0.0   295   323    32    60    14    88 0.77 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i4:1-3612|+    -            877 315044at33208        -            407   0.00012   20.0   8.0   2   3   0.00063      0.27    8.9   2.4   275   392    80   200    48   212 0.59 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i4:1-3612|+    -            877 315044at33208        -            407   0.00012   20.0   8.0   3   3   2.4e-05      0.01   13.6   1.7   209   331   180   309   149   318 0.79 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i6:1-2709|+    -            877 315044at33208        -            407   0.00012   20.0   8.0   1   3       1.3   5.5e+02   -2.0   0.0   295   323    32    60    14    88 0.77 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i6:1-2709|+    -            877 315044at33208        -            407   0.00012   20.0   8.0   2   3   0.00063      0.27    8.9   2.4   275   392    80   200    48   212 0.59 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i6:1-2709|+    -            877 315044at33208        -            407   0.00012   20.0   8.0   3   3   2.4e-05      0.01   13.6   1.7   209   331   180   309   149   318 0.79 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i3:1014-4502|+ -            862 315044at33208        -            407   0.00012   20.0   7.9   1   2   0.00098      0.42    8.3   1.0   276   330    66   123    36   165 0.54 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i3:1014-4502|+ -            862 315044at33208        -            407   0.00012   20.0   7.9   2   2   2.5e-05     0.011   13.5   1.6   210   331   166   294   136   303 0.80 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i5:1014-3599|+ -            862 315044at33208        -            407   0.00012   20.0   7.9   1   2   0.00098      0.42    8.3   1.0   276   330    66   123    36   165 0.54 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i5:1014-3599|+ -            862 315044at33208        -            407   0.00012   20.0   7.9   2   2   2.5e-05     0.011   13.5   1.6   210   331   166   294   136   303 0.80 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i8:1014-3751|+ -            862 315044at33208        -            407   0.00014   19.8   7.9   1   2   0.00098      0.42    8.3   1.0   276   330    66   123    36   165 0.54 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i8:1014-3751|+ -            862 315044at33208        -            407   0.00014   19.8   7.9   2   2   2.5e-05     0.011   13.5   1.6   210   331   166   294   136   303 0.80 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i9:1014-4654|+ -            862 315044at33208        -            407   0.00014   19.8   7.9   1   2   0.00098      0.42    8.3   1.0   276   330    66   123    36   165 0.54 -
118209at33208_294128_0:001835|TRINITY_DN82081_c6_g1_i9:1014-4654|+ -            862 315044at33208        -            407   0.00014   19.8   7.9   2   2   2.5e-05     0.011   13.5   1.6   210   331   166   294   136   303 0.80 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+  -            284 315044at33208        -            407   0.00024   19.0   1.9   1   3    0.0001     0.044   11.5   0.2   253   332    67   149     3   149 0.73 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+  -            284 315044at33208        -            407   0.00024   19.0   1.9   2   3   1.4e-06    0.0006   17.7   0.1   212   321    90   203    81   206 0.83 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i2:1747-2598|+  -            284 315044at33208        -            407   0.00024   19.0   1.9   3   3       3.9   1.7e+03   -3.6   0.0   209   243   223   257   216   261 0.66 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+  -            284 315044at33208        -            407   0.00024   19.0   1.9   1   3    0.0001     0.044   11.5   0.2   253   332    67   149     3   149 0.73 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+  -            284 315044at33208        -            407   0.00024   19.0   1.9   2   3   1.4e-06    0.0006   17.7   0.1   212   321    90   203    81   206 0.83 -
143997at33208_48709_0:000d44|TRINITY_DN76637_c9_g1_i3:1747-2598|+  -            284 315044at33208        -            407   0.00024   19.0   1.9   3   3       3.9   1.7e+03   -3.6   0.0   209   243   223   257   216   261 0.66 -
143997at33208_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+      -            293 315044at33208        -            407   0.00025   18.9   0.6   1   2   1.3e-06   0.00057   17.7   0.2   212   321    64   177    43   180 0.84 -
143997at33208_7493_0:0011f1|TRINITY_DN76637_c9_g1_i4:73-951|+      -            293 315044at33208        -            407   0.00025   18.9   0.6   2   2       4.4   1.9e+03   -3.8   0.0   210   243   198   231   191   235 0.64 -
137383at33208_187382_0:0016d9|TRINITY_DN76938_c8_g4_i1:0-614|-     -            205 315044at33208        -            407    0.0016   16.2   1.8   1   1   4.8e-06    0.0021   15.9   1.8   240   332    48   145    27   194 0.81 -
334820at33208_7159_0:001399|TRINITY_DN88830_c8_g1_i3:423-1229|+    -            269 315044at33208        -            407     0.016   12.9   1.3   1   4      0.13        55    1.3   0.0   321   339    19    37    15    40 0.90 -
334820at33208_7159_0:001399|TRINITY_DN88830_c8_g1_i3:423-1229|+    -            269 315044at33208        -            407     0.016   12.9   1.3   2   4    0.0011      0.45    8.2   0.0   277   347    40   113    39   159 0.85 -
334820at33208_7159_0:001399|TRINITY_DN88830_c8_g1_i3:423-1229|+    -            269 315044at33208        -            407     0.016   12.9   1.3   3   4       1.1   4.8e+02   -1.8   0.0   211   238   174   201   150   217 0.81 -
334820at33208_7159_0:001399|TRINITY_DN88830_c8_g1_i3:423-1229|+    -            269 315044at33208        -            407     0.016   12.9   1.3   4   4      0.49   2.1e+02   -0.6   0.0   176   209   228   260   197   268 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/315044at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/315044at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/315044at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:48 2026
# [ok]
