#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
611258at33208_294128_0:002cbc|TRINITY_DN76908_c11_g1_i1:84-767|-     -            228 611258at33208        -            189   3.2e-73  244.3  35.9   1   1   4.1e-75   6.2e-73  243.3  35.9     2   189     3   224     2   224 0.87 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i1:1854-2258|-    -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i2:1780-2184|-    -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i3:1834-2238|-    -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i4:1641-2045|-    -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i7:1854-2258|-    -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i9:1834-2238|-    -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
412930at33208_70779_0:00556b|TRINITY_DN90439_c8_g1_i8:167-571|-      -            135 611258at33208        -            189   2.6e-06   26.0   0.1   1   1   2.1e-08   3.1e-06   25.8   0.1    33    82     9    58     1    72 0.79 -
456998at33208_294128_0:0023f8|TRINITY_DN79417_c11_g1_i3:177-746|+    -            190 611258at33208        -            189   3.2e-06   25.7  14.3   1   1     3e-08   4.6e-06   25.2  14.3    33   162     7   138     2   161 0.72 -
391896at33208_6526_0:001006|TRINITY_DN93485_c13_g1_i7:5391-5690|-    -            100 611258at33208        -            189   3.3e-06   25.7   1.3   1   1   3.2e-08   4.8e-06   25.2   1.0    37    83     3    51     1    81 0.76 -
391896at33208_6526_0:001006|TRINITY_DN93485_c13_g1_i9:6665-6964|-    -            100 611258at33208        -            189   3.3e-06   25.7   1.3   1   1   3.2e-08   4.8e-06   25.2   1.0    37    83     3    51     1    81 0.76 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i11:378-557|+     -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i12:378-557|+     -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i1:378-557|+      -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i3:378-557|+      -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i6:378-557|+      -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i7:378-557|+      -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
412930at33208_10224_0:004e93|TRINITY_DN88261_c8_g1_i9:378-557|+      -             60 611258at33208        -            189   7.6e-06   24.5   0.4   1   1     5e-08   7.6e-06   24.5   0.4    38    83     4    51     1    60 0.73 -
391896at33208_8208_0:0044bd|TRINITY_DN85094_c13_g4_i1:144-476|+      -            111 611258at33208        -            189   1.2e-05   23.9   0.0   1   1   1.1e-07   1.6e-05   23.5   0.0    38   114    11    83     7    97 0.75 -
391896at33208_8208_0:0044bd|TRINITY_DN85094_c13_g4_i3:144-476|+      -            111 611258at33208        -            189   1.2e-05   23.9   0.0   1   1   1.1e-07   1.6e-05   23.5   0.0    38   114    11    83     7    97 0.75 -
456998at33208_294128_0:0023f8|TRINITY_DN79417_c11_g1_i2:177-1037|+   -            287 611258at33208        -            189   1.2e-05   23.9  14.0   1   2   8.1e-08   1.2e-05   23.9  14.0    33   162     7   138     2   156 0.71 -
456998at33208_294128_0:0023f8|TRINITY_DN79417_c11_g1_i2:177-1037|+   -            287 611258at33208        -            189   1.2e-05   23.9  14.0   2   2       1.6   2.3e+02    0.1   0.9   110   140   252   282   193   287 0.68 -
391896at33208_438502_0:005159|TRINITY_DN78422_c8_g1_i4:3884-4117|-   -             78 611258at33208        -            189   3.4e-05   22.4   0.0   1   1   2.5e-07   3.7e-05   22.3   0.0    42    96    10    61     2    71 0.74 -
391896at33208_438502_0:005159|TRINITY_DN78422_c8_g1_i8:4086-4319|-   -             78 611258at33208        -            189   3.4e-05   22.4   0.0   1   1   2.5e-07   3.7e-05   22.3   0.0    42    96    10    61     2    71 0.74 -
391896at33208_438502_0:005159|TRINITY_DN78422_c8_g1_i9:4205-4438|-   -             78 611258at33208        -            189   3.4e-05   22.4   0.0   1   1   2.5e-07   3.7e-05   22.3   0.0    42    96    10    61     2    71 0.74 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i2:2633-4362|-   -            447 611258at33208        -            189   4.9e-05   21.9   0.0   1   2   3.2e-07   4.9e-05   21.9   0.0    36    66    35    68    32    81 0.82 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i2:2633-4362|-   -            447 611258at33208        -            189   4.9e-05   21.9   0.0   2   2      0.99   1.5e+02    0.7  13.3   122   163   220   260   212   268 0.70 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i5:2633-3976|-   -            448 611258at33208        -            189   4.9e-05   21.9   0.0   1   2   3.2e-07   4.9e-05   21.9   0.0    36    66    35    68    32    81 0.82 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i5:2633-3976|-   -            448 611258at33208        -            189   4.9e-05   21.9   0.0   2   2      0.99   1.5e+02    0.7  13.3   122   163   220   260   212   268 0.70 -
391896at33208_34638_0:0003a6|TRINITY_DN93361_c3_g2_i1:687-1838|+     -            384 611258at33208        -            189   8.4e-05   21.1   0.2   1   1   9.8e-07   0.00015   20.3   0.2    37   107    22    89    12    96 0.78 -
391896at33208_34638_0:0003a6|TRINITY_DN93361_c3_g2_i2:687-1838|+     -            384 611258at33208        -            189   8.4e-05   21.1   0.2   1   1   9.8e-07   0.00015   20.3   0.2    37   107    22    89    12    96 0.78 -
391896at33208_34638_0:0003a6|TRINITY_DN93361_c3_g2_i4:688-1839|+     -            384 611258at33208        -            189   8.4e-05   21.1   0.2   1   1   9.8e-07   0.00015   20.3   0.2    37   107    22    89    12    96 0.78 -
407472at33208_6945_0:004891|TRINITY_DN84195_c6_g1_i1:309-602|+       -             98 611258at33208        -            189   0.00013   20.6   0.0   1   1   8.7e-07   0.00013   20.5   0.0    36    86     3    56     1    94 0.77 -
407472at33208_6945_0:004891|TRINITY_DN84195_c6_g1_i3:219-512|+       -             98 611258at33208        -            189   0.00013   20.6   0.0   1   1   8.7e-07   0.00013   20.5   0.0    36    86     3    56     1    94 0.77 -
510522at33208_7159_0:0010f2|TRINITY_DN71136_c0_g1_i1:707-1096|-      -            130 611258at33208        -            189   0.00015   20.3   0.9   1   2   2.2e-06   0.00033   19.2   0.1    38    83     4    52     2    66 0.86 -
510522at33208_7159_0:0010f2|TRINITY_DN71136_c0_g1_i1:707-1096|-      -            130 611258at33208        -            189   0.00015   20.3   0.9   2   2       2.9   4.4e+02   -0.8   0.1   157   172    78    93    56    96 0.80 -
510522at33208_7159_0:0010f2|TRINITY_DN71136_c0_g1_i2:707-1096|-      -            130 611258at33208        -            189   0.00015   20.3   0.9   1   2   2.2e-06   0.00033   19.2   0.1    38    83     4    52     2    66 0.86 -
510522at33208_7159_0:0010f2|TRINITY_DN71136_c0_g1_i2:707-1096|-      -            130 611258at33208        -            189   0.00015   20.3   0.9   2   2       2.9   4.4e+02   -0.8   0.1   157   172    78    93    56    96 0.80 -
445031at33208_6087_0:002f55|TRINITY_DN70914_c0_g1_i1:85-1077|+       -            331 611258at33208        -            189   0.00015   20.3   0.6   1   1   1.9e-06   0.00028   19.4   0.6    45    82    17    53     5    74 0.66 -
391896at33208_294128_0:001145|TRINITY_DN86507_c13_g1_i2:553-1578|-   -            342 611258at33208        -            189   0.00026   19.5   0.9   1   1   3.3e-06   0.00049   18.6   0.9    45    84    24    63    13    85 0.78 -
510522at33208_6573_0:00127a|TRINITY_DN85602_c13_g1_i1:161-886|+      -            242 611258at33208        -            189   0.00027   19.4  19.4   1   2     5e-06   0.00076   18.0   6.3    38   110    18    89    14   132 0.65 -
510522at33208_6573_0:00127a|TRINITY_DN85602_c13_g1_i1:161-886|+      -            242 611258at33208        -            189   0.00027   19.4  19.4   2   2     0.055       8.3    4.8   5.3   129   155   179   205   160   212 0.62 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i3:266-1006|-    -            247 611258at33208        -            189   0.00034   19.1   0.0   1   3   2.3e-06   0.00034   19.1   0.0    44    66     9    31     1    45 0.76 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i3:266-1006|-    -            247 611258at33208        -            189   0.00034   19.1   0.0   2   3       9.9   1.5e+03   -2.5   1.4   138   154   124   140   109   146 0.57 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i3:266-1006|-    -            247 611258at33208        -            189   0.00034   19.1   0.0   3   3      0.42        63    2.0  13.4   122   163   183   223   175   231 0.70 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i6:308-1048|-    -            247 611258at33208        -            189   0.00034   19.1   0.0   1   3   2.3e-06   0.00034   19.1   0.0    44    66     9    31     1    45 0.76 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i6:308-1048|-    -            247 611258at33208        -            189   0.00034   19.1   0.0   2   3       9.9   1.5e+03   -2.5   1.4   138   154   124   140   109   146 0.57 -
412930at33208_294128_0:000be8|TRINITY_DN91123_c1_g2_i6:308-1048|-    -            247 611258at33208        -            189   0.00034   19.1   0.0   3   3      0.42        63    2.0  13.4   122   163   183   223   175   231 0.70 -
407472at33208_1155016_0:000932|TRINITY_DN71934_c13_g1_i3:1937-2116|- -             60 611258at33208        -            189    0.0037   15.8   0.1   1   1   2.4e-05    0.0037   15.8   0.1    44    77    10    45     1    56 0.74 -
407472at33208_1155016_0:000932|TRINITY_DN71934_c13_g1_i5:560-739|-   -             60 611258at33208        -            189    0.0037   15.8   0.1   1   1   2.4e-05    0.0037   15.8   0.1    44    77    10    45     1    56 0.74 -
407472at33208_1155016_0:000932|TRINITY_DN71934_c13_g1_i6:2011-2190|- -             60 611258at33208        -            189    0.0037   15.8   0.1   1   1   2.4e-05    0.0037   15.8   0.1    44    77    10    45     1    56 0.74 -
510522at33208_294128_0:00350b|TRINITY_DN85602_c13_g1_i6:90-722|+     -            211 611258at33208        -            189     0.007   14.9  18.0   1   2   0.00028     0.043   12.3   5.0    49   110     1    58     1    96 0.71 -
510522at33208_294128_0:00350b|TRINITY_DN85602_c13_g1_i6:90-722|+     -            211 611258at33208        -            189     0.007   14.9  18.0   2   2     0.035       5.2    5.5   4.9   129   155   148   174   127   182 0.64 -
601967at33208_52612_0:003263|TRINITY_DN86657_c10_g1_i2:216-752|+     -            179 611258at33208        -            189     0.019   13.4   0.4   1   1    0.0002      0.03   12.8   0.1    36    76    14    56    11    72 0.75 -
391896at33208_400682_0:003314|TRINITY_DN83730_c9_g4_i1:36-1148|+     -            371 611258at33208        -            189     0.021   13.3   0.0   1   1   0.00024     0.036   12.5   0.0    38    72     7    44     4    65 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/611258at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/611258at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/611258at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:54 2026
# [ok]
