#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
566527at33208_294128_0:000477|TRINITY_DN79789_c12_g2_i1:120-839|+ -            240 566527at33208        -            188   6.4e-47  158.2   1.0   1   1     2e-49   1.1e-46  157.5   1.0     1   164     2   187     2   227 0.84 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 566527at33208        -            188   2.6e-17   61.7   0.1   1   4      0.23   1.2e+02    0.8   0.0    25    47    15    37     4    54 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 566527at33208        -            188   2.6e-17   61.7   0.1   2   4      0.26   1.4e+02    0.6   0.0   109   145   108   147    94   153 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 566527at33208        -            188   2.6e-17   61.7   0.1   3   4       4.5   2.4e+03   -3.4   0.0    60    85   253   276   248   301 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i13:718-2826|+  -            703 566527at33208        -            188   2.6e-17   61.7   0.1   4   4   2.8e-17   1.5e-14   52.7   0.0     2   146   304   466   303   476 0.81 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 566527at33208        -            188   2.6e-17   61.7   0.1   1   4      0.23   1.2e+02    0.8   0.0    25    47    15    37     4    54 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 566527at33208        -            188   2.6e-17   61.7   0.1   2   4      0.26   1.4e+02    0.6   0.0   109   145   108   147    94   153 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 566527at33208        -            188   2.6e-17   61.7   0.1   3   4       4.5   2.4e+03   -3.4   0.0    60    85   253   276   248   301 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i6:773-2881|+   -            703 566527at33208        -            188   2.6e-17   61.7   0.1   4   4   2.8e-17   1.5e-14   52.7   0.0     2   146   304   466   303   476 0.81 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   1   4      0.26   1.4e+02    0.6   0.0    25    47    10    32     1    47 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   2   4      0.26   1.4e+02    0.6   0.0   109   145   103   142    89   148 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   3   4       4.5   2.4e+03   -3.4   0.0    60    85   248   271   243   296 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i4:1170-3263|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   4   4   2.8e-17   1.5e-14   52.7   0.0     2   146   299   461   298   471 0.81 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   1   4      0.26   1.4e+02    0.6   0.0    25    47    10    32     1    47 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   2   4      0.26   1.4e+02    0.6   0.0   109   145   103   142    89   148 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   3   4       4.5   2.4e+03   -3.4   0.0    60    85   248   271   243   296 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i9:1115-3208|+  -            698 566527at33208        -            188   2.9e-17   61.5   0.1   4   4   2.8e-17   1.5e-14   52.7   0.0     2   146   299   461   298   471 0.81 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 566527at33208        -            188   6.7e-17   60.3   0.1   1   4      0.23   1.2e+02    0.8   0.0    25    47    15    37     4    54 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 566527at33208        -            188   6.7e-17   60.3   0.1   2   4      0.26   1.4e+02    0.6   0.0   109   145   108   147    94   153 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 566527at33208        -            188   6.7e-17   60.3   0.1   3   4       4.5   2.4e+03   -3.4   0.0    60    85   253   276   248   301 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i7:773-3074|+   -            703 566527at33208        -            188   6.7e-17   60.3   0.1   4   4   7.4e-17   3.9e-14   51.3   0.0     2   146   304   466   303   476 0.82 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 566527at33208        -            188   7.5e-17   60.2   0.1   1   4      0.26   1.4e+02    0.6   0.0    25    47    10    32     1    47 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 566527at33208        -            188   7.5e-17   60.2   0.1   2   4      0.26   1.4e+02    0.6   0.0   109   145   103   142    89   148 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 566527at33208        -            188   7.5e-17   60.2   0.1   3   4       4.5   2.4e+03   -3.4   0.0    60    85   248   271   243   296 0.65 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i8:1170-3456|+  -            698 566527at33208        -            188   7.5e-17   60.2   0.1   4   4   7.3e-17   3.9e-14   51.3   0.0     2   146   299   461   298   471 0.82 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 566527at33208        -            188     6e-16   57.3   0.1   1   3      0.26   1.4e+02    0.6   0.0    25    47    10    32     1    47 0.79 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 566527at33208        -            188     6e-16   57.3   0.1   2   3      0.26   1.4e+02    0.7   0.0   109   145   103   142    89   148 0.78 -
566527at33208_6973_0:0062d6|TRINITY_DN78203_c6_g1_i3:1170-3274|+  -            696 566527at33208        -            188     6e-16   57.3   0.1   3   3   6.2e-16   3.3e-13   48.3   0.0     9   146   304   459   297   469 0.81 -
566527at33208_246812_0:002588|TRINITY_DN83438_c11_g2_i1:198-506|+ -            103 566527at33208        -            188   1.1e-14   53.2   0.0   1   1   2.2e-17   1.2e-14   53.0   0.0     4    92     3    98     1   103 0.78 -
495329at33208_7200_0:00101c|TRINITY_DN92598_c7_g1_i3:88-258|-     -             57 566527at33208        -            188   1.5e-05   23.4   0.0   1   1   3.8e-08     2e-05   22.9   0.0    20    57     1    38     1    51 0.89 -
332870at33208_7460_0:000e08|TRINITY_DN79250_c8_g7_i2:88-780|+     -            231 566527at33208        -            188     0.001   17.3   0.0   1   1     3e-06    0.0016   16.7   0.0     6    47    20    63    16    89 0.87 -
332870at33208_294128_0:00128b|TRINITY_DN79250_c8_g7_i1:132-788|+  -            219 566527at33208        -            188    0.0023   16.2   0.0   1   1   6.5e-06    0.0035   15.6   0.0     7    47     1    43     1    69 0.88 -
332870at33208_8255_0:001402|TRINITY_DN78028_c12_g1_i1:103-861|+   -            253 566527at33208        -            188     0.017   13.4   0.0   1   1   5.4e-05     0.029   12.6   0.0     6    46     3    45     1    53 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/566527at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/566527at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/566527at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:53 2026
# [ok]
