#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
227979at33208_211228_0:0013d5|TRINITY_DN84811_c8_g2_i3:952-3102|-  -            717 227979at33208        -            609  2.8e-260  864.1   4.7   1   1  8.9e-263  3.5e-260  863.8   4.7     1   599     1   661     1   671 0.95 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i1:136-8467|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i2:136-8470|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i4:136-8343|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i8:136-8112|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   1   7      0.23        90    0.4   0.1   347   414   276   343   270   393 0.80 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   2   7   5.2e-05     0.021   12.4   0.0    16   111  1371  1464  1360  1471 0.86 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   3   7    0.0012      0.48    7.9   0.0    67   245  1499  1678  1489  1699 0.78 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   4   7     0.038        15    3.0   0.0    63   119  1734  1790  1713  1824 0.81 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   5   7     0.018         7    4.1   0.0    20   113  1923  2012  1909  2036 0.82 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   6   7      0.18        72    0.7   0.0   280   397  2085  2208  2025  2219 0.75 -
14776at33208_294128_0:0041f7|TRINITY_DN93566_c4_g2_i9:136-8340|-   -           2659 227979at33208        -            609   8.1e-11   40.2   0.1   7   7       2.1   8.4e+02   -2.8   0.0   339   400  2305  2366  2264  2381 0.81 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-    -            589 227979at33208        -            609   3.5e-06   24.9   1.2   1   3    0.0065       2.6    5.5   0.1    81   149   151   221   122   250 0.69 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-    -            589 227979at33208        -            609   3.5e-06   24.9   1.2   2   3   9.4e-05     0.037   11.6   0.0    54   115   394   454   368   458 0.88 -
56573at33208_7741_0:000f0c|TRINITY_DN90009_c5_g2_i3:1201-2967|-    -            589 227979at33208        -            609   3.5e-06   24.9   1.2   3   3     0.025       9.7    3.6   0.1    86   115   467   496   457   510 0.89 -
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+   -           1081 227979at33208        -            609   3.8e-05   21.4   0.9   1   3      0.18        72    0.7   0.1   345   412   233   304    96   320 0.58 -
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+   -           1081 227979at33208        -            609   3.8e-05   21.4   0.9   2   3   3.5e-06    0.0014   16.3   0.0    56   115   363   422   352   426 0.89 -
56573at33208_294128_0:0022f9|TRINITY_DN85566_c11_g1_i1:25-3267|+   -           1081 227979at33208        -            609   3.8e-05   21.4   0.9   3   3      0.36   1.4e+02   -0.2   0.0   118   221   468   494   434   549 0.54 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|-  -            883 227979at33208        -            609   0.00021   19.0   0.1   1   5     0.015       5.8    4.3   0.0   170   223   114   167    79   230 0.65 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|-  -            883 227979at33208        -            609   0.00021   19.0   0.1   2   5      0.31   1.2e+02   -0.0   0.0    61   111   309   360   299   392 0.65 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|-  -            883 227979at33208        -            609   0.00021   19.0   0.1   3   5       0.2        78    0.6   0.1   353   418   417   484   410   505 0.64 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|-  -            883 227979at33208        -            609   0.00021   19.0   0.1   4   5     0.087        34    1.8   0.0   353   419   640   712   633   732 0.81 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i2:1270-4222|-  -            883 227979at33208        -            609   0.00021   19.0   0.1   5   5     0.024       9.5    3.6   0.0    40   111   801   872   787   876 0.89 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i8:1270-4047|-   -            926 227979at33208        -            609   0.00028   18.6   0.1   1   5     0.015       6.1    4.3   0.0   170   223   116   169    81   233 0.65 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i8:1270-4047|-   -            926 227979at33208        -            609   0.00028   18.6   0.1   2   5      0.34   1.3e+02   -0.2   0.0    60   111   351   403   342   434 0.67 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i8:1270-4047|-   -            926 227979at33208        -            609   0.00028   18.6   0.1   3   5      0.21        83    0.5   0.1   353   418   460   527   453   548 0.64 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i8:1270-4047|-   -            926 227979at33208        -            609   0.00028   18.6   0.1   4   5     0.092        36    1.7   0.0   353   419   683   755   676   775 0.81 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i8:1270-4047|-   -            926 227979at33208        -            609   0.00028   18.6   0.1   5   5     0.026        10    3.5   0.0    40   111   844   915   830   919 0.89 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-   -            969 227979at33208        -            609   0.00035   18.3   0.1   1   5     0.017       6.5    4.2   0.0   170   223   114   167    79   230 0.66 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-   -            969 227979at33208        -            609   0.00035   18.3   0.1   2   5      0.36   1.4e+02   -0.2   0.0    60   111   308   360   299   391 0.67 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-   -            969 227979at33208        -            609   0.00035   18.3   0.1   3   5      0.22        87    0.4   0.1   353   418   417   484   410   505 0.64 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-   -            969 227979at33208        -            609   0.00035   18.3   0.1   4   5     0.098        38    1.6   0.0   353   419   640   712   633   732 0.81 -
56573at33208_218467_0:002b51|TRINITY_DN80034_c5_g1_i6:822-4032|-   -            969 227979at33208        -            609   0.00035   18.3   0.1   5   5     0.027        10    3.5   0.0    40   111   801   872   787   877 0.89 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i4:621-3857|-    -           1079 227979at33208        -            609   0.00059   17.5   0.1   1   5     0.019       7.5    4.0   0.0   170   223   116   169    81   232 0.66 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i4:621-3857|-    -           1079 227979at33208        -            609   0.00059   17.5   0.1   2   5      0.41   1.6e+02   -0.4   0.0    60   111   351   403   342   434 0.67 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i4:621-3857|-    -           1079 227979at33208        -            609   0.00059   17.5   0.1   3   5      0.26     1e+02    0.2   0.1   353   418   460   527   453   547 0.64 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i4:621-3857|-    -           1079 227979at33208        -            609   0.00059   17.5   0.1   4   5      0.11        44    1.4   0.0   353   419   683   755   676   775 0.81 -
56573at33208_30069_0:0013a1|TRINITY_DN80034_c5_g1_i4:621-3857|-    -           1079 227979at33208        -            609   0.00059   17.5   0.1   5   5      0.03        12    3.3   0.0    40   111   844   915   830   920 0.89 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i4:168-3713|-  -           1182 227979at33208        -            609    0.0018   16.0   0.5   1   3      0.18        69    0.8   0.0    47   115   519   587   497   607 0.77 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i4:168-3713|-  -           1182 227979at33208        -            609    0.0018   16.0   0.5   2   3   0.00012     0.048   11.2   0.1     9   122   728   840   723   851 0.86 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i4:168-3713|-  -           1182 227979at33208        -            609    0.0018   16.0   0.5   3   3       1.6   6.3e+02   -2.4   0.0   359   424   885   953   881   989 0.82 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i5:168-3800|-  -           1211 227979at33208        -            609    0.0019   15.9   0.4   1   3       0.2        80    0.6   0.0    47   115   548   616   526   624 0.76 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i5:168-3800|-  -           1211 227979at33208        -            609    0.0019   15.9   0.4   2   3   0.00013      0.05   11.2   0.1     9   122   757   869   752   880 0.86 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i5:168-3800|-  -           1211 227979at33208        -            609    0.0019   15.9   0.4   3   3       1.7   6.7e+02   -2.5   0.0   359   424   914   982   911  1018 0.82 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i6:168-3858|-  -           1211 227979at33208        -            609    0.0019   15.9   0.4   1   3       0.2        80    0.6   0.0    47   115   548   616   526   624 0.76 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i6:168-3858|-  -           1211 227979at33208        -            609    0.0019   15.9   0.4   2   3   0.00013      0.05   11.2   0.1     9   122   757   869   752   880 0.86 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i6:168-3858|-  -           1211 227979at33208        -            609    0.0019   15.9   0.4   3   3       1.7   6.7e+02   -2.5   0.0   359   424   914   982   911  1018 0.82 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|-  -            663 227979at33208        -            609    0.0029   15.3   1.9   1   4      0.14        56    1.1   0.0   341   413    21    98    10   113 0.71 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|-  -            663 227979at33208        -            609    0.0029   15.3   1.9   2   4      0.78   3.1e+02   -1.4   0.0    64   103   159   198   145   215 0.81 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|-  -            663 227979at33208        -            609    0.0029   15.3   1.9   3   4     0.067        26    2.2   0.0    79   152   215   291   204   303 0.67 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|-  -            663 227979at33208        -            609    0.0029   15.3   1.9   4   4   0.00091      0.36    8.3   0.1    43   131   416   504   371   540 0.65 -
56573at33208_133901_0:002399|TRINITY_DN80034_c5_g1_i3:726-2777|-   -            684 227979at33208        -            609      0.01   13.4   0.0   1   5         1   3.9e+02   -1.7   0.0    60    97    33    70    11    76 0.69 -
56573at33208_133901_0:002399|TRINITY_DN80034_c5_g1_i3:726-2777|-   -            684 227979at33208        -            609      0.01   13.4   0.0   2   5      0.14        55    1.1   0.1   353   418   100   167    93   189 0.64 -
56573at33208_133901_0:002399|TRINITY_DN80034_c5_g1_i3:726-2777|-   -            684 227979at33208        -            609      0.01   13.4   0.0   3   5       3.9   1.5e+03   -3.7   0.0    63   106   216   259   212   264 0.67 -
56573at33208_133901_0:002399|TRINITY_DN80034_c5_g1_i3:726-2777|-   -            684 227979at33208        -            609      0.01   13.4   0.0   4   5     0.061        24    2.3   0.0   353   419   323   395   316   416 0.81 -
56573at33208_133901_0:002399|TRINITY_DN80034_c5_g1_i3:726-2777|-   -            684 227979at33208        -            609      0.01   13.4   0.0   5   5     0.017       6.6    4.1   0.0    40   111   484   555   470   560 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/227979at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/227979at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/227979at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:48 2026
# [ok]
