#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
65302at33208_136037_0:002690|TRINITY_DN89515_c8_g1_i2:88-3486|+   -           1133 65302at33208         -            976         0 1478.0   2.5   1   1         0         0 1471.8   2.5     1   976     4  1133     4  1133 0.89 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i1:1211-5416|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   2   4   2.5e-11   3.3e-08   30.7   0.0   290   424   447   607   413   645 0.74 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i1:1211-5416|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   3   4      0.34   4.4e+02   -2.8   0.0   607   635   975  1003   973  1006 0.92 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i1:1211-5416|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   4   4   2.1e-17   2.7e-14   50.9   0.0   707   966  1118  1397  1081  1402 0.80 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   1   4   0.00021      0.27    7.9   0.0   231   301   325   397   227   406 0.65 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   2   4   2.5e-11   3.3e-08   30.7   0.0   290   424   447   607   413   645 0.74 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   3   4      0.34   4.4e+02   -2.8   0.0   607   635   975  1003   973  1006 0.92 -
65302at33208_6832_0:00190c|TRINITY_DN93117_c2_g1_i5:1212-5417|-   -           1402 65302at33208         -            976   1.9e-27   94.5   0.0   4   4   2.1e-17   2.7e-14   50.9   0.0   707   966  1118  1397  1081  1402 0.80 -
57158at33208_156304_0:002735|TRINITY_DN84498_c11_g3_i1:527-1720|- -            398 65302at33208         -            976   1.9e-19   67.9   0.0   1   1     4e-22   5.2e-19   66.5   0.0   710   959   117   384   107   394 0.79 -
57158at33208_56086_0:004b04|TRINITY_DN84498_c11_g3_i4:322-891|-   -            190 65302at33208         -            976    0.0084   12.9   0.0   1   1   1.1e-05     0.014   12.1   0.0     6    87    10    95     4   126 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/65302at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/65302at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/65302at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:55 2026
# [ok]
