#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
465092at33208_294128_0:002584|TRINITY_DN74081_c3_g1_i3:6-1286|-      -            427 465092at33208        -            222  4.4e-114  378.5   1.8   1   1  1.1e-116  5.2e-114  378.3   1.8     3   222     1   237     1   237 0.95 -
561878at33208_13686_0:000f17|TRINITY_DN87389_c7_g2_i4:480-1469|-     -            330 465092at33208        -            222   3.7e-07   28.9   0.0   1   1   1.5e-09   7.1e-07   28.0   0.0    45   132    86   168    74   234 0.80 -
561878at33208_13686_0:000f17|TRINITY_DN87389_c7_g2_i6:480-1469|-     -            330 465092at33208        -            222   3.7e-07   28.9   0.0   1   1   1.5e-09   7.1e-07   28.0   0.0    45   132    86   168    74   234 0.80 -
561878at33208_13686_0:000f17|TRINITY_DN87389_c7_g2_i9:480-1469|-     -            330 465092at33208        -            222   3.7e-07   28.9   0.0   1   1   1.5e-09   7.1e-07   28.0   0.0    45   132    86   168    74   234 0.80 -
611258at33208_6238_0:0000ea|TRINITY_DN78099_c7_g2_i3:51-1622|+       -            524 465092at33208        -            222     0.046   12.2   0.0   1   1   0.00015     0.071   11.6   0.0    43    83   436   476   412   494 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/465092at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/hmmer_output/initial_run_results/465092at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_downloads/lineages/metazoa_odb10/hmms/465092at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/busco_output/busco_p_monodon_metazoa_odb10/run_metazoa_odb10/metaeuk_output/initial_results/Trinity.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis
# Date:            Tue Feb 17 15:06:52 2026
# [ok]
