knockdown_PmSTAT-UP	WSSV_infection-UP
	TRINITY_DN72302_c3_g2
	TRINITY_DN91273_c9_g2
	TRINITY_DN75179_c3_g2
	TRINITY_DN86840_c4_g1
	TRINITY_DN91050_c1_g1
	TRINITY_DN77224_c1_g2
	TRINITY_DN86171_c2_g5
	TRINITY_DN73096_c6_g1
	TRINITY_DN86840_c7_g1
	TRINITY_DN86840_c2_g1
	TRINITY_DN76545_c9_g1
	TRINITY_DN84453_c15_g1
	TRINITY_DN87286_c10_g1
	TRINITY_DN72591_c1_g1
	TRINITY_DN72398_c10_g2
	TRINITY_DN90134_c4_g1
	TRINITY_DN93681_c8_g1
	TRINITY_DN90969_c13_g3
	TRINITY_DN88499_c6_g1
	TRINITY_DN75179_c3_g6
	TRINITY_DN75179_c3_g1
	TRINITY_DN75949_c10_g1
	TRINITY_DN79044_c3_g1
	TRINITY_DN90491_c7_g1
	TRINITY_DN91505_c3_g1
	TRINITY_DN76458_c10_g1
	TRINITY_DN88570_c5_g2
	TRINITY_DN72803_c1_g2
	TRINITY_DN86412_c1_g2
	TRINITY_DN89752_c3_g2
	TRINITY_DN72803_c1_g1
	TRINITY_DN75179_c8_g1
	TRINITY_DN80803_c3_g1
	TRINITY_DN85290_c15_g2
	TRINITY_DN93344_c4_g10
	TRINITY_DN88085_c7_g1
	TRINITY_DN71414_c21_g1
	TRINITY_DN91154_c2_g1
	TRINITY_DN78747_c0_g2
	TRINITY_DN91775_c10_g1
	TRINITY_DN70994_c1_g1
	TRINITY_DN93024_c5_g1
	TRINITY_DN93344_c5_g10
	TRINITY_DN81250_c1_g1
	TRINITY_DN75179_c2_g1
	TRINITY_DN73052_c14_g1
	TRINITY_DN81998_c5_g2
	TRINITY_DN72763_c1_g3
	TRINITY_DN93344_c5_g2
	TRINITY_DN91374_c4_g1
	TRINITY_DN90515_c2_g1
	TRINITY_DN75179_c5_g1
	TRINITY_DN85095_c2_g2
	TRINITY_DN93344_c5_g7
	TRINITY_DN77350_c12_g1
	TRINITY_DN93681_c7_g1
	TRINITY_DN91649_c4_g5
	TRINITY_DN93344_c5_g3
	TRINITY_DN88319_c5_g1
	TRINITY_DN83886_c9_g1
	TRINITY_DN76457_c5_g1
	TRINITY_DN90447_c9_g1
	TRINITY_DN85417_c2_g1
	TRINITY_DN81637_c8_g2
	TRINITY_DN81713_c7_g1
	TRINITY_DN90565_c0_g3
	TRINITY_DN90447_c9_g2
	TRINITY_DN74035_c8_g3
	TRINITY_DN92499_c2_g4
	TRINITY_DN75504_c12_g1
	TRINITY_DN83804_c8_g1
	TRINITY_DN90168_c7_g1
	TRINITY_DN85243_c1_g1
	TRINITY_DN74993_c15_g3
	TRINITY_DN77224_c2_g1
	TRINITY_DN85596_c1_g1
	TRINITY_DN93344_c7_g1
	TRINITY_DN86171_c3_g1
	TRINITY_DN93344_c6_g1
	TRINITY_DN91691_c7_g1
	TRINITY_DN72763_c2_g1
	TRINITY_DN78526_c5_g1
	TRINITY_DN89316_c6_g2
	TRINITY_DN75949_c4_g2
	TRINITY_DN84095_c9_g2
	TRINITY_DN84919_c0_g1
	TRINITY_DN75949_c4_g3
	TRINITY_DN76399_c10_g1
	TRINITY_DN11295_c0_g1
	TRINITY_DN91641_c8_g1
	TRINITY_DN85095_c2_g1
	TRINITY_DN92200_c12_g3
	TRINITY_DN86171_c2_g3
	TRINITY_DN77007_c3_g1
	TRINITY_DN92598_c7_g1
	TRINITY_DN90117_c3_g1
