knockdown_PmSTAT-UP	WSSV_infection-UP
	TRINITY_DN78394_c14_g1_i3
	TRINITY_DN90218_c9_g1_i1
	TRINITY_DN91936_c4_g2_i1
	TRINITY_DN90095_c11_g1_i1
	TRINITY_DN93288_c13_g1_i1
	TRINITY_DN88490_c2_g1_i3
	TRINITY_DN84918_c10_g1_i1
	TRINITY_DN89641_c0_g1_i8
	TRINITY_DN77661_c14_g1_i3
	TRINITY_DN92810_c0_g2_i6
	TRINITY_DN81092_c8_g1_i1
	TRINITY_DN92810_c0_g2_i3
	TRINITY_DN77656_c6_g3_i1
	TRINITY_DN89641_c2_g1_i1
	TRINITY_DN91050_c6_g3_i2
	TRINITY_DN92810_c0_g2_i4
	TRINITY_DN80251_c5_g1_i6
	TRINITY_DN85076_c9_g3_i3
	TRINITY_DN89025_c3_g3_i6
	TRINITY_DN93346_c12_g1_i1
	TRINITY_DN92721_c14_g5_i1
	TRINITY_DN91050_c6_g4_i2
	TRINITY_DN81575_c12_g1_i3
	TRINITY_DN85060_c5_g1_i7
	TRINITY_DN93025_c5_g6_i1
	TRINITY_DN85608_c12_g1_i2
	TRINITY_DN91147_c9_g1_i5
	TRINITY_DN76218_c9_g2_i3
	TRINITY_DN72369_c2_g1_i4
	TRINITY_DN90515_c1_g1_i1
	TRINITY_DN93288_c12_g1_i1
	TRINITY_DN88237_c18_g1_i1
	TRINITY_DN90515_c1_g1_i5
	TRINITY_DN92810_c0_g2_i8
	TRINITY_DN92149_c10_g1_i4
	TRINITY_DN77007_c2_g1_i8
	TRINITY_DN91050_c5_g1_i2
	TRINITY_DN93288_c11_g1_i3
	TRINITY_DN86211_c3_g1_i2
	TRINITY_DN74923_c8_g2_i7
	TRINITY_DN82871_c7_g2_i1
	TRINITY_DN91374_c4_g1_i4
	TRINITY_DN81387_c14_g1_i1
	TRINITY_DN91154_c2_g1_i2
	TRINITY_DN93673_c13_g1_i9
	TRINITY_DN93006_c7_g1_i8
	TRINITY_DN83538_c7_g1_i1
	TRINITY_DN90446_c1_g1_i4
	TRINITY_DN89122_c12_g1_i1
	TRINITY_DN91050_c6_g4_i5
	TRINITY_DN89641_c0_g1_i2
	TRINITY_DN85375_c3_g2_i1
	TRINITY_DN85878_c16_g2_i3
	TRINITY_DN91129_c4_g2_i10
	TRINITY_DN72369_c2_g1_i8
	TRINITY_DN93148_c9_g1_i35
	TRINITY_DN87959_c7_g1_i3
	TRINITY_DN89025_c3_g3_i7
	TRINITY_DN92211_c1_g5_i5
	TRINITY_DN93288_c11_g1_i1
	TRINITY_DN81389_c3_g2_i1
	TRINITY_DN90044_c0_g2_i1
	TRINITY_DN91870_c3_g3_i4
	TRINITY_DN91194_c9_g2_i7
	TRINITY_DN93024_c5_g1_i5
	TRINITY_DN90485_c13_g1_i5
	TRINITY_DN71712_c13_g1_i2
	TRINITY_DN72369_c2_g1_i10
	TRINITY_DN80410_c15_g5_i2
	TRINITY_DN77552_c10_g1_i10
	TRINITY_DN72369_c2_g1_i9
	TRINITY_DN77298_c10_g1_i3
	TRINITY_DN86053_c6_g1_i4
	TRINITY_DN92057_c1_g1_i14
	TRINITY_DN78727_c13_g2_i1
