#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
302279at33208_6850_0:0028ba|TRINITY_DN79341_c9_g1_i1:118-1173|+     -            352 302279at33208        -            304  5.1e-144  476.4   1.3   1   1  1.7e-142  7.3e-141  466.0   1.3     1   304     1   352     1   352 0.89 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   1.4e-08   31.6   0.3   2   4    0.0011     0.046   10.2   0.0    83   117   246   280   230   290 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   1.4e-08   31.6   0.3   3   4    0.0061      0.27    7.7   0.0    85   117   290   322   280   338 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 302279at33208        -            304   1.4e-08   31.6   0.3   4   4     0.043       1.9    4.9   0.0    68   116   362   403   342   451 0.67 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 302279at33208        -            304   2.2e-08   31.0   2.8   1   2   2.5e-09   1.1e-07   28.7   0.9    98   297    29   212    11   217 0.83 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 302279at33208        -            304   2.2e-08   31.0   2.8   2   2      0.59        26    1.2   0.0    97   115   247   265   231   303 0.71 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   1.3e-07   28.5   9.2   1   6      0.26        11    2.4   0.0    90   113    15    38     6    57 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   1.3e-07   28.5   9.2   2   6    0.0055      0.24    7.9   0.1    93   112    58    77    34    87 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   1.3e-07   28.5   9.2   3   6      0.45        19    1.6   0.0    97   115   102   120    87   133 0.79 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   1.3e-07   28.5   9.2   4   6      0.18       7.9    2.9   0.0    97   115   142   160   133   176 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   1.3e-07   28.5   9.2   5   6     0.089       3.9    3.9   0.0    97   116   182   201   168   225 0.69 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 302279at33208        -            304   1.3e-07   28.5   9.2   6   6   0.00058     0.025   11.1   0.1    97   116   225   244   215   255 0.84 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 302279at33208        -            304   1.4e-07   28.4   0.1   1   3   7.8e-06   0.00034   17.2   0.0    96   163    95   156    77   159 0.85 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 302279at33208        -            304   1.4e-07   28.4   0.1   2   3     0.001     0.044   10.3   0.1   229   298   130   196   121   201 0.78 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 302279at33208        -            304   1.4e-07   28.4   0.1   3   3      0.11       4.9    3.6   0.0    70   126   198   257   196   265 0.83 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 302279at33208        -            304     2e-07   27.8   1.3   1   2   1.7e-06   7.2e-05   19.4   0.1    97   224   228   355   216   362 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 302279at33208        -            304     2e-07   27.8   1.3   2   2    0.0096      0.42    7.1   0.1    93   119   359   384   350   397 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 302279at33208        -            304     3e-07   27.3   0.2   1   3   0.00013    0.0054   13.3   0.1    42   112    41   116     4   138 0.76 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 302279at33208        -            304     3e-07   27.3   0.2   2   3    0.0021     0.089    9.3   0.0    98   169   144   210   131   222 0.82 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 302279at33208        -            304     3e-07   27.3   0.2   3   3     0.056       2.5    4.6   0.0   188   252   185   245   179   259 0.65 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 302279at33208        -            304   3.6e-07   27.0   0.2   1   1   1.6e-07   7.1e-06   22.8   0.2    96   293    19   196     3   198 0.76 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 302279at33208        -            304   4.2e-07   26.8   1.1   1   3      0.13       5.5    3.4   0.1   240   299     8    67     2    70 0.74 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 302279at33208        -            304   4.2e-07   26.8   1.1   2   3      0.23        10    2.5   0.0    92   117    60    85    37    98 0.79 -
361100at33208_29159_0:003236|TRINITY_DN79703_c11_g1_i4:1834-2367|-  -            178 302279at33208        -            304   4.2e-07   26.8   1.1   3   3   4.3e-06   0.00019   18.1   0.1    86   163    99   175    76   178 0.78 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   5.9e-07   26.3   1.4   1   4       1.8        76   -0.3   0.0    91   121    74   100    54   119 0.63 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   5.9e-07   26.3   1.4   2   4     0.031       1.4    5.4   0.1   220   281   163   224   140   226 0.80 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   5.9e-07   26.3   1.4   3   4   3.2e-06   0.00014   18.5   0.1    90   126   220   258   208   265 0.81 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 302279at33208        -            304   5.9e-07   26.3   1.4   4   4       9.5   4.1e+02   -2.8   0.0   272   291   318   337   312   338 0.85 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   1.5e-06   25.0   3.6   1   5       4.8   2.1e+02   -1.8   0.0   274   302   149   176   145   179 0.79 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   1.5e-06   25.0   3.6   2   5     0.033       1.4    5.3   0.0    81   115   187   221   160   231 0.83 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   1.5e-06   25.0   3.6   3   5      0.54        24    1.3   0.0   138   163   309   334   292   357 0.65 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   1.5e-06   25.0   3.6   4   5      0.23        10    2.5   0.0    95   114   401   420   373   432 0.81 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 302279at33208        -            304   1.5e-06   25.0   3.6   5   5   0.00097     0.042   10.3   0.0    86   210   434   553   426   563 0.80 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 302279at33208        -            304     3e-06   24.0   0.1   1   3   9.1e-05    0.0039   13.7   0.0    92   124   106   139    85   144 0.79 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 302279at33208        -            304     3e-06   24.0   0.1   2   3     0.065       2.8    4.3   0.0    89   116   145   172   139   184 0.85 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 302279at33208        -            304     3e-06   24.0   0.1   3   3      0.52        23    1.4   0.0    96   112   236   252   219   265 0.85 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+    -            235 302279at33208        -            304   3.1e-06   23.9   0.0   1   2       1.4        62   -0.1   0.0    98   111    21    34     8    41 0.84 -
365323at33208_10020_0:0021f6|TRINITY_DN82317_c5_g2_i8:369-1073|+    -            235 302279at33208        -            304   3.1e-06   23.9   0.0   2   2   3.8e-07   1.7e-05   21.5   0.0    65   170    76   182    63   224 0.74 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 302279at33208        -            304   5.3e-06   23.2   0.4   1   3     0.009      0.39    7.2   0.1    79   118    75   115     2   126 0.78 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 302279at33208        -            304   5.3e-06   23.2   0.4   2   3     0.075       3.2    4.2   0.0    91   115   127   151   123   171 0.83 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+    -            275 302279at33208        -            304   5.3e-06   23.2   0.4   3   3    0.0061      0.26    7.7   0.0    80   116   215   251   202   260 0.85 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 302279at33208        -            304   1.3e-05   21.9   8.5   1   2     0.034       1.5    5.3   0.4   221   297     6    79     2    82 0.79 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 302279at33208        -            304   1.3e-05   21.9   8.5   2   2     6e-06   0.00026   17.6   3.1    51   296    71   321    64   327 0.65 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 302279at33208        -            304   1.3e-05   21.8   0.1   1   3      0.08       3.5    4.1   0.0   140   186    42    91    35   127 0.69 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 302279at33208        -            304   1.3e-05   21.8   0.1   2   3   0.00039     0.017   11.7   0.0    89   116   126   153    93   168 0.73 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 302279at33208        -            304   1.3e-05   21.8   0.1   3   3      0.16       6.7    3.1   0.0    93   118   172   197   163   210 0.85 -
304388at33208_48498_0:001761|TRINITY_DN88016_c0_g6_i1:100-951|+     -            284 302279at33208        -            304   1.5e-05   21.7   0.0   1   2     0.029       1.2    5.5   0.0    93   184    78   174    24   183 0.76 -
304388at33208_48498_0:001761|TRINITY_DN88016_c0_g6_i1:100-951|+     -            284 302279at33208        -            304   1.5e-05   21.7   0.0   2   2   4.1e-05    0.0018   14.9   0.1    65   127   184   255   165   268 0.66 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+  -            303 302279at33208        -            304   1.6e-05   21.6   0.5   1   2   5.7e-05    0.0025   14.4   0.1    72   113    85   126    37   133 0.77 -
439736at33208_1155016_0:003035|TRINITY_DN89819_c0_g1_i2:328-1236|+  -            303 302279at33208        -            304   1.6e-05   21.6   0.5   2   2     0.056       2.4    4.6   0.0   230   253   146   169   131   180 0.76 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 302279at33208        -            304   1.6e-05   21.6   0.1   1   4       1.8        76   -0.4   0.0   236   286    19    67     6    86 0.70 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 302279at33208        -            304   1.6e-05   21.6   0.1   2   4   8.2e-05    0.0036   13.9   0.2    99   204   109   205   102   212 0.81 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 302279at33208        -            304   1.6e-05   21.6   0.1   3   4      0.55        24    1.3   0.0   144   159   231   246   227   253 0.86 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 302279at33208        -            304   1.6e-05   21.6   0.1   4   4       1.7        74   -0.3   0.0    89   112   268   291   261   304 0.79 -
447320at33208_294128_0:0029f4|TRINITY_DN81725_c7_g1_i5:82-1241|-    -            332 302279at33208        -            304   3.1e-05   20.7   0.0   1   2      0.01      0.45    7.0   0.0   129   174     2    47     1    51 0.88 -
447320at33208_294128_0:0029f4|TRINITY_DN81725_c7_g1_i5:82-1241|-    -            332 302279at33208        -            304   3.1e-05   20.7   0.0   2   2   0.00039     0.017   11.6   0.0    70   127   137   195   113   237 0.75 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 302279at33208        -            304   3.4e-05   20.5   0.0   1   2    0.0023     0.098    9.1   0.0    71   111    34    76    10    82 0.79 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 302279at33208        -            304   3.4e-05   20.5   0.0   2   2    0.0022     0.096    9.2   0.0    66   115   153   205   130   213 0.79 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 302279at33208        -            304   3.5e-05   20.5   1.4   1   3    0.0012     0.051   10.1   0.0    59   126    51   125    28   134 0.67 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 302279at33208        -            304   3.5e-05   20.5   1.4   2   3      0.33        14    2.0   0.0    96   117   138   159   128   173 0.75 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 302279at33208        -            304   3.5e-05   20.5   1.4   3   3      0.03       1.3    5.4   0.2    97   167   231   295   222   311 0.65 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 302279at33208        -            304   3.6e-05   20.4   0.2   1   4     0.027       1.2    5.6   0.0   135   164    91   120    83   127 0.73 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 302279at33208        -            304   3.6e-05   20.4   0.2   2   4       1.7        75   -0.3   0.0    90   115   137   162   125   169 0.85 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 302279at33208        -            304   3.6e-05   20.4   0.2   3   4    0.0044      0.19    8.2   0.0    63   116   158   206   144   223 0.77 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 302279at33208        -            304   3.6e-05   20.4   0.2   4   4      0.29        13    2.2   0.0   176   208   258   287   228   297 0.80 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 302279at33208        -            304   3.7e-05   20.4   1.9   1   4     0.085       3.7    4.0   0.1    98   116    22    40     9    70 0.68 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 302279at33208        -            304   3.7e-05   20.4   1.9   2   4       1.3        56    0.1   0.0    98   117    63    82    39    93 0.67 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 302279at33208        -            304   3.7e-05   20.4   1.9   3   4   0.00073     0.032   10.8   0.1    61   114   130   190   114   201 0.68 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 302279at33208        -            304   3.7e-05   20.4   1.9   4   4      0.35        15    1.9   0.0    98   124   220   245   208   257 0.72 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 302279at33208        -            304   4.8e-05   20.0   0.7   1   4       1.6        71   -0.2   0.0    84   117   180   213   170   225 0.84 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 302279at33208        -            304   4.8e-05   20.0   0.7   2   4   0.00013    0.0056   13.2   0.1    93   174   291   371   270   374 0.78 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 302279at33208        -            304   4.8e-05   20.0   0.7   3   4      0.42        18    1.7   0.0   100   121   393   414   382   429 0.77 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 302279at33208        -            304   4.8e-05   20.0   0.7   4   4       9.3   4.1e+02   -2.7   0.0    97   129   483   516   479   519 0.72 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 302279at33208        -            304   4.9e-05   20.0   2.8   1   4       1.7        72   -0.3   0.0    99   123    50    75    37    83 0.76 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 302279at33208        -            304   4.9e-05   20.0   2.8   2   4    0.0031      0.13    8.7   0.3    76   167    77   155    60   181 0.69 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 302279at33208        -            304   4.9e-05   20.0   2.8   3   4     0.025       1.1    5.7   0.0    84   117   172   205   148   217 0.83 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 302279at33208        -            304   4.9e-05   20.0   2.8   4   4     0.092         4    3.9   0.0    84   126   214   255   207   276 0.76 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 302279at33208        -            304   5.1e-05   19.9   3.4   1   3       2.9   1.2e+02   -1.0   0.2    84   111   153   181   143   187 0.71 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 302279at33208        -            304   5.1e-05   19.9   3.4   2   3     5e-05    0.0022   14.6   0.3    98   164   334   393   320   394 0.82 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 302279at33208        -            304   5.1e-05   19.9   3.4   3   3    0.0002    0.0088   12.6   0.2    97   161   375   431   365   464 0.70 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 302279at33208        -            304   7.1e-05   19.4   9.0   1   5    0.0018     0.079    9.4   0.4   191   300   113   225   105   229 0.85 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 302279at33208        -            304   7.1e-05   19.4   9.0   2   5     0.012      0.51    6.8   0.4    68   128   174   241   148   251 0.64 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 302279at33208        -            304   7.1e-05   19.4   9.0   3   5      0.75        33    0.9   0.2    94   112   276   294   262   305 0.83 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 302279at33208        -            304   7.1e-05   19.4   9.0   4   5   0.00038     0.016   11.7   0.1    96   162   319   382   308   386 0.83 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 302279at33208        -            304   7.1e-05   19.4   9.0   5   5       7.8   3.4e+02   -2.5   0.0    95   110   406   421   386   423 0.62 -
419914at33208_51655_0:000fd6|TRINITY_DN91534_c7_g1_i7:328-1056|+    -            243 302279at33208        -            304   0.00011   18.9   1.0   1   1   9.2e-06    0.0004   17.0   1.0    95   253    40   199    29   241 0.76 -
357580at33208_29159_0:0010fb|TRINITY_DN80976_c6_g1_i4:627-1184|+    -            186 302279at33208        -            304   0.00013   18.7   0.1   1   1   3.4e-05    0.0015   15.1   0.1    85   151    62   128    33   185 0.67 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 302279at33208        -            304   0.00017   18.2   0.1   1   3     0.047         2    4.8   0.0    84   126    17    59    12    82 0.78 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 302279at33208        -            304   0.00017   18.2   0.1   2   3    0.0021     0.092    9.2   0.0    94   219   111   227    98   254 0.73 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+     -            292 302279at33208        -            304   0.00017   18.2   0.1   3   3       5.9   2.6e+02   -2.1   0.0    98   113   241   256   233   277 0.74 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 302279at33208        -            304   0.00021   17.9   1.2   1   4     0.032       1.4    5.4   0.0   198   254    16    69     3   100 0.73 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 302279at33208        -            304   0.00021   17.9   1.2   2   4     0.039       1.7    5.1   0.1    84   121   138   177    94   183 0.64 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 302279at33208        -            304   0.00021   17.9   1.2   3   4       0.3        13    2.2   0.0    95   116   206   227   196   239 0.81 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 302279at33208        -            304   0.00021   17.9   1.2   4   4      0.94        41    0.5   0.0   232   251   245   264   223   265 0.66 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 302279at33208        -            304   0.00024   17.7   0.8   1   3     0.026       1.1    5.7   0.1    90   114    90   114    33   137 0.68 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 302279at33208        -            304   0.00024   17.7   0.8   2   3    0.0045      0.19    8.2   0.2    69   112   108   154    66   214 0.58 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 302279at33208        -            304   0.00024   17.7   0.8   3   3      0.24        10    2.5   0.0    93   125   223   254   214   283 0.78 -
357580at33208_133434_0:001ead|TRINITY_DN75507_c5_g2_i8:977-1660|+   -            228 302279at33208        -            304   0.00028   17.5   0.0   1   1     1e-05   0.00045   16.8   0.0    78   170     8    94     1   138 0.68 -
414579at33208_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-    -            196 302279at33208        -            304   0.00029   17.4   0.1   1   3       1.6        69   -0.2   0.0    98   134     5    43     2    50 0.71 -
414579at33208_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-    -            196 302279at33208        -            304   0.00029   17.4   0.1   2   3       1.3        56    0.1   0.0   191   240    51    98    40   117 0.62 -
414579at33208_7224_0:001618|TRINITY_DN82840_c8_g1_i1:1824-2411|-    -            196 302279at33208        -            304   0.00029   17.4   0.1   3   3   0.00014    0.0061   13.1   0.0    97   122   141   168   127   176 0.80 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 302279at33208        -            304   0.00043   16.9   0.2   1   2   0.00063     0.027   11.0   0.0    71   183     3   114     1   115 0.70 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+    -            141 302279at33208        -            304   0.00043   16.9   0.2   2   2   0.00097     0.042   10.3   0.0    97   160    74   132    61   138 0.82 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 302279at33208        -            304   0.00046   16.8   0.1   1   2     0.063       2.7    4.4   0.0    83   116   164   197   151   211 0.73 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 302279at33208        -            304   0.00046   16.8   0.1   2   2    0.0033      0.14    8.6   0.1    93   136   263   305   255   329 0.70 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 302279at33208        -            304   0.00047   16.8   0.1   1   2    0.0037      0.16    8.4   0.0    99   162     6    64     3    70 0.69 -
414579at33208_7739_0:0053f4|TRINITY_DN86919_c6_g1_i6:118-834|-      -            239 302279at33208        -            304   0.00047   16.8   0.1   2   2     0.019      0.82    6.1   0.0    98   119    92   113    69   124 0.70 -
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 302279at33208        -            304   0.00054   16.6   0.0   1   2     0.028       1.2    5.6   0.0   229   264   128   163    17   185 0.77 -
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 302279at33208        -            304   0.00054   16.6   0.0   2   2     0.025       1.1    5.7   0.0    97   129   189   221   177   252 0.68 -
