#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-       -            156 111730at33208        -            629     4e-76  254.0   0.4   1   1   1.9e-77   4.4e-76  253.8   0.4   161   311     2   156     1   156 0.96 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   7.9e-22   74.6   4.9   3   6   1.1e-05   0.00027   16.7   0.1   157   196   230   269   195   299 0.64 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   7.9e-22   74.6   4.9   4   6    0.0091      0.21    7.1   0.0    82   117   318   353   295   357 0.93 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   7.9e-22   74.6   4.9   5   6     4e-07   9.5e-06   21.5   0.0   122   195   485   561   452   568 0.80 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 111730at33208        -            629   7.9e-22   74.6   4.9   6   6      0.43        10    1.6   0.1     9    35   577   603   568   605 0.65 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 111730at33208        -            629   2.6e-20   69.6   0.0   1   3   3.5e-06   8.3e-05   18.4   0.0   128   194    19    86    13    93 0.92 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 111730at33208        -            629   2.6e-20   69.6   0.0   2   3   8.8e-12   2.1e-10   36.9   0.0    86   201    97   219    93   226 0.87 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 111730at33208        -            629   2.6e-20   69.6   0.0   3   3    0.0012     0.029   10.0   0.0    54   113   231   292   227   292 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 111730at33208        -            629   3.8e-20   69.0   3.0   1   3   9.3e-13   2.2e-11   40.1   0.3    85   195    51   170    48   176 0.88 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 111730at33208        -            629   3.8e-20   69.0   3.0   2   3   8.3e-06    0.0002   17.1   0.0   122   195   179   253   176   257 0.90 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 111730at33208        -            629   3.8e-20   69.0   3.0   3   3     0.001     0.025   10.2   0.0   165   201   271   309   253   335 0.75 -
111730at33208_9258_0:002637|TRINITY_DN78597_c13_g2_i1:80-409|+        -            110 111730at33208        -            629   1.7e-18   63.5   0.0   1   1   8.2e-20   1.9e-18   63.4   0.0   381   459     8   105     2   110 0.80 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 111730at33208        -            629   2.5e-18   63.0   0.0   1   2   2.6e-14   6.1e-13   45.2   0.2    63   222    29   200    15   206 0.83 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 111730at33208        -            629   2.5e-18   63.0   0.0   2   2   2.3e-05   0.00054   15.7   0.0   127   196   225   295   217   303 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 111730at33208        -            629   3.2e-17   59.4   8.7   1   3   1.8e-07   4.1e-06   22.7   0.0   126   223     5   106     2   113 0.88 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 111730at33208        -            629   3.2e-17   59.4   8.7   2   3   1.7e-09   3.9e-08   29.4   0.2    84   195    82   202    79   211 0.86 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 111730at33208        -            629   3.2e-17   59.4   8.7   3   3   2.5e-08     6e-07   25.4   4.1    85   193   169   287   167   288 0.78 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 111730at33208        -            629   1.6e-15   53.8   3.3   1   3   1.1e-10   2.6e-09   33.2   0.1   163   273     2   118     1   129 0.84 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 111730at33208        -            629   1.6e-15   53.8   3.3   2   3   5.5e-05    0.0013   14.4   0.1   128   201    92   166    89   183 0.71 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 111730at33208        -            629   1.6e-15   53.8   3.3   3   3    0.0046      0.11    8.1   0.2   242   268   185   211   176   212 0.76 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 111730at33208        -            629   3.8e-15   52.5   0.1   1   2     2e-10   4.7e-09   32.4   0.0    59   228    56   238    40   246 0.77 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 111730at33208        -            629   3.8e-15   52.5   0.1   2   2   4.5e-06   0.00011   18.0   0.0   161   222   250   314   241   318 0.86 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 111730at33208        -            629   9.8e-15   51.2   1.4   1   3   2.2e-08   5.3e-07   25.6   0.2    60   194    77   218    55   221 0.89 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 111730at33208        -            629   9.8e-15   51.2   1.4   2   3   0.00026    0.0062   12.2   0.0     9   116   418   532   413   535 0.79 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 111730at33208        -            629   9.8e-15   51.2   1.4   3   3      0.01      0.24    6.9   0.0    99   196   612   717   609   727 0.60 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629   1.5e-14   50.5   1.6   1   4     0.022      0.51    5.9   0.0    90   123   215   249   204   258 0.82 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629   1.5e-14   50.5   1.6   2   4   3.6e-11   8.4e-10   34.9   0.6    89   197   264   380   256   398 0.82 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629   1.5e-14   50.5   1.6   3   4     0.039      0.91    5.0   0.0    53   130   401   484   379   493 0.81 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 111730at33208        -            629   1.5e-14   50.5   1.6   4   4     0.042      0.99    4.9   0.0    77   116   472   511   463   512 0.92 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629     8e-14   48.2   7.9   1   4   0.00033    0.0078   11.9   0.3   157   196     4    44     1    47 0.85 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629     8e-14   48.2   7.9   2   4   3.7e-09   8.7e-08   28.2   0.0    78   194    46   171    43   205 0.86 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629     8e-14   48.2   7.9   3   4     0.019      0.46    6.0   0.1   162   202   227   269   184   271 0.69 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 111730at33208        -            629     8e-14   48.2   7.9   4   4   0.00084      0.02   10.5   1.3    62   116   247   303   232   303 0.78 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 111730at33208        -            629   8.7e-14   48.0   1.3   1   2   2.1e-11     5e-10   35.6   0.1    83   195     7   126     3   130 0.87 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 111730at33208        -            629   8.7e-14   48.0   1.3   2   2   0.00043      0.01   11.5   0.2    93   202   145   259   134   285 0.81 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   1.2e-13   47.6  13.0   1   4   1.1e-07   2.5e-06   23.4   0.3   162   225     4    74     1    76 0.82 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   1.2e-13   47.6  13.0   2   4   0.00012    0.0028   13.3   0.1   158   196    45    83    42    90 0.89 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   1.2e-13   47.6  13.0   3   4   0.00058     0.014   11.1   0.5   161   225    92   163    88   178 0.77 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 111730at33208        -            629   1.2e-13   47.6  13.0   4   4   0.00045     0.011   11.4   0.0   127   194   246   324   240   326 0.73 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 111730at33208        -            629   1.5e-13   47.3   0.1   1   2     1e-07   2.4e-06   23.4   0.0    99   195    16   119     2   126 0.82 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 111730at33208        -            629   1.5e-13   47.3   0.1   2   2   2.3e-07   5.4e-06   22.3   0.0   160   224   126   194   119   199 0.80 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 111730at33208        -            629   1.4e-12   44.1   2.4   1   3   1.3e-06     3e-05   19.8   0.2    87   194     7   119     2   124 0.44 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 111730at33208        -            629   1.4e-12   44.1   2.4   2   3     0.052       1.2    4.6   0.0   164   193   155   184   143   195 0.88 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+      -            306 111730at33208        -            629   1.4e-12   44.1   2.4   3   3   5.5e-06   0.00013   17.7   0.3     9   113   200   304   193   306 0.79 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 111730at33208        -            629   1.8e-12   43.7   0.4   1   4   5.7e-07   1.3e-05   21.0   0.0   152   195    20    63    10    70 0.88 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 111730at33208        -            629   1.8e-12   43.7   0.4   2   4      0.15       3.5    3.1   0.0   169   199    81   111    73   114 0.88 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 111730at33208        -            629   1.8e-12   43.7   0.4   3   4   1.5e-05   0.00035   16.3   0.6    79   162   110   189    82   193 0.78 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 111730at33208        -            629   1.8e-12   43.7   0.4   4   4      0.46        11    1.5   0.0   177   197   173   193   168   201 0.85 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 111730at33208        -            629   3.5e-12   42.7   0.3   1   2   3.6e-09   8.5e-08   28.2   0.0    94   222    22   162    16   168 0.84 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 111730at33208        -            629   3.5e-12   42.7   0.3   2   2   0.00017    0.0039   12.8   0.2   159   223   178   245   164   248 0.81 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 111730at33208        -            629   6.6e-12   41.8   2.2   1   3   0.00015    0.0035   13.0   0.0    82   122    78   118    42   135 0.78 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 111730at33208        -            629   6.6e-12   41.8   2.2   2   3   1.5e-08   3.4e-07   26.2   0.5     9   144   178   327   175   343 0.80 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 111730at33208        -            629   6.6e-12   41.8   2.2   3   3     0.017       0.4    6.2   0.2    10    38   310   339   302   356 0.67 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 111730at33208        -            629     8e-12   41.5   0.2   1   2     3e-06     7e-05   18.6   0.0   160   195    45    80    29    94 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 111730at33208        -            629     8e-12   41.5   0.2   2   2   5.7e-07   1.3e-05   21.0   0.3   143   197   112   166    95   167 0.89 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 111730at33208        -            629   1.1e-11   41.1   4.9   1   2   1.6e-07   3.8e-06   22.8   0.4   155   221    33   104     4   106 0.80 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 111730at33208        -            629   1.1e-11   41.1   4.9   2   2   2.4e-08   5.6e-07   25.5   1.6    85   193    82   201    79   201 0.85 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 111730at33208        -            629   1.6e-11   40.6   9.1   1   3       3.1        73   -1.3   0.1   178   198    64    84    61    87 0.83 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 111730at33208        -            629   1.6e-11   40.6   9.1   2   3   0.00012    0.0029   13.3   0.1   160   268    94   208    89   213 0.82 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 111730at33208        -            629   1.6e-11   40.6   9.1   3   3   2.3e-10   5.5e-09   32.2   1.2    77   193   214   337   205   340 0.90 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 111730at33208        -            629   4.2e-11   39.2   4.7   1   2   8.2e-08   1.9e-06   23.8   0.1    98   267     6   190     1   197 0.74 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 111730at33208        -            629   4.2e-11   39.2   4.7   2   2   1.6e-05   0.00038   16.2   1.8    83   174   211   310   208   312 0.83 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 111730at33208        -            629   5.5e-11   38.8   3.2   1   5       1.4        33   -0.1   0.0    31   111    37   118    20   138 0.63 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 111730at33208        -            629   5.5e-11   38.8   3.2   2   5       2.2        51   -0.8   0.0   164   188   143   167    64   175 0.56 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 111730at33208        -            629   5.5e-11   38.8   3.2   3   5    0.0076      0.18    7.4   0.0   162   222   299   364   281   373 0.82 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 111730at33208        -            629   5.5e-11   38.8   3.2   4   5   8.8e-07   2.1e-05   20.4   0.3    87   269   387   586   378   589 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 111730at33208        -            629   5.5e-11   38.8   3.2   5   5      0.16       3.7    3.0   0.0   241   289   620   667   611   684 0.81 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 111730at33208        -            629   5.7e-11   38.7   1.1   1   4     0.068       1.6    4.2   0.0   163   195     3    35     1    45 0.87 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 111730at33208        -            629   5.7e-11   38.7   1.1   2   4   0.00019    0.0045   12.6   0.7   161   222    43   107    37   115 0.68 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 111730at33208        -            629   5.7e-11   38.7   1.1   3   4   0.00011    0.0027   13.4   0.0   129   214   147   236   134   243 0.68 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 111730at33208        -            629   5.7e-11   38.7   1.1   4   4     0.071       1.7    4.2   0.0    84   115   280   311   262   314 0.90 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 111730at33208        -            629   6.3e-11   38.6   0.4   1   2   4.3e-08     1e-06   24.7   0.1     8   116    82   195    77   198 0.79 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 111730at33208        -            629   6.3e-11   38.6   0.4   2   2   8.4e-06    0.0002   17.1   0.1   143   231   187   281   187   295 0.81 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+      -            141 111730at33208        -            629   3.3e-10   36.2   0.0   1   2   1.2e-07   2.9e-06   23.2   0.0   154   224     6    80     2    91 0.85 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+      -            141 111730at33208        -            629   3.3e-10   36.2   0.0   2   2   0.00042      0.01   11.5   0.0   161   196    96   134    80   137 0.85 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 111730at33208        -            629   4.6e-10   35.7   2.0   1   2   3.1e-07   7.4e-06   21.8   0.0   127   214     7   100     4   108 0.89 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 111730at33208        -            629   4.6e-10   35.7   2.0   2   2   0.00014    0.0034   13.0   0.6    67   122   116   172   109   184 0.80 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+   -            173 111730at33208        -            629   5.5e-10   35.5   2.6   1   2   1.5e-06   3.7e-05   19.5   0.1   128   200    17    94    10   102 0.82 -
357580at33208_286706_0:002341|TRINITY_DN88363_c11_g1_i3:1361-1879|+   -            173 111730at33208        -            629   5.5e-10   35.5   2.6   2   2   1.7e-07   4.1e-06   22.7   0.3    87   194    54   172    49   173 0.82 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 111730at33208        -            629   6.4e-10   35.3  11.6   1   5   6.7e-05    0.0016   14.1   0.1   127   195    63   133    24   143 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 111730at33208        -            629   6.4e-10   35.3  11.6   2   5      0.43        10    1.6   0.1    81   121   184   224   164   236 0.75 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 111730at33208        -            629   6.4e-10   35.3  11.6   3   5       1.7        41   -0.4   0.0   155   193   372   411   347   419 0.77 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 111730at33208        -            629   6.4e-10   35.3  11.6   4   5    0.0015     0.036    9.6   0.3   160   194   479   513   453   520 0.84 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 111730at33208        -            629   6.4e-10   35.3  11.6   5   5   9.1e-06   0.00021   17.0   2.0    88   196   484   599   483   608 0.73 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 111730at33208        -            629   7.7e-10   35.0   3.6   1   2      0.01      0.24    7.0   0.0   164   195     3    34     1    39 0.84 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 111730at33208        -            629   7.7e-10   35.0   3.6   2   2   1.5e-08   3.5e-07   26.2   2.6    78   216    36   185    34   192 0.84 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 111730at33208        -            629   8.7e-10   34.8   0.6   1   3   3.7e-11   8.7e-10   34.8   0.6   127   275    20   169    16   176 0.92 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 111730at33208        -            629   8.7e-10   34.8   0.6   2   3       5.9   1.4e+02   -2.2   0.2   303   323   330   350   232   401 0.48 -
119591at33208_294128_0:000d84|TRINITY_DN82556_c9_g1_i14:116-4148|+    -           1204 111730at33208        -            629   8.7e-10   34.8   0.6   3   3      0.92        22    0.5   0.1   429   565   475   629   448   643 0.52 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 111730at33208        -            629   1.2e-09   34.3   7.2   1   4       7.1   1.7e+02   -2.4   0.1   105   124    78    97    54   102 0.63 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 111730at33208        -            629   1.2e-09   34.3   7.2   2   4     0.018      0.41    6.2   0.0   160   195   160   196   123   201 0.85 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 111730at33208        -            629   1.2e-09   34.3   7.2   3   4   1.4e-08   3.2e-07   26.3   0.6   127   195   168   242   166   246 0.83 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 111730at33208        -            629   1.2e-09   34.3   7.2   4   4    0.0016     0.037    9.6   0.0   151   195   243   288   242   292 0.75 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 111730at33208        -            629   1.9e-09   33.7   0.2   1   3      0.14       3.3    3.2   0.0   129   200     2    78     1    84 0.72 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 111730at33208        -            629   1.9e-09   33.7   0.2   2   3   1.6e-06   3.8e-05   19.5   0.0   130   224    49   150    39   177 0.77 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 111730at33208        -            629   1.9e-09   33.7   0.2   3   3   0.00052     0.012   11.2   0.1   170   225   178   237   163   243 0.84 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 111730at33208        -            629   2.6e-09   33.3   0.0   1   2   5.8e-06   0.00014   17.7   0.0    77   196     9   137     4   180 0.80 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 111730at33208        -            629   2.6e-09   33.3   0.0   2   2   0.00022    0.0051   12.5   0.0   131   225   200   303   197   306 0.71 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 111730at33208        -            629   2.8e-09   33.1   0.5   1   3       5.8   1.4e+02   -2.2   0.0    95   116     4    25     1    27 0.71 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 111730at33208        -            629   2.8e-09   33.1   0.5   2   3   0.00011    0.0027   13.4   0.0    85   195    46   160    36   169 0.86 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 111730at33208        -            629   2.8e-09   33.1   0.5   3   3   4.1e-06   9.7e-05   18.1   0.0   162   198   169   205   160   218 0.69 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 111730at33208        -            629     4e-09   32.6   2.5   1   2       2.6        60   -1.0   0.0    98   116     2    20     1    23 0.89 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-      -            268 111730at33208        -            629     4e-09   32.6   2.5   2   2   6.5e-10   1.5e-08   30.7   1.9   122   272    71   236    36   248 0.83 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+      -            120 111730at33208        -            629   7.4e-09   31.7   0.0   1   1   1.4e-09   3.4e-08   29.6   0.0    85   194     4   120     1   120 0.74 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 111730at33208        -            629   9.6e-09   31.4   0.1   1   3      0.49        11    1.4   0.0    85   122    99   136    95   144 0.82 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 111730at33208        -            629   9.6e-09   31.4   0.1   2   3   4.1e-06   9.7e-05   18.2   0.0     8   117   164   281   157   292 0.78 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 111730at33208        -            629   9.6e-09   31.4   0.1   3   3    0.0086       0.2    7.2   0.0   163   200   293   332   283   349 0.86 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+        -            212 111730at33208        -            629   1.3e-08   31.0   0.2   1   3   2.6e-05    0.0006   15.5   0.0   163   194     3    35     1    39 0.88 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+        -            212 111730at33208        -            629   1.3e-08   31.0   0.2   2   3   0.00045     0.011   11.4   0.0   128   196    59   129    55   161 0.67 -
357580at33208_7038_0:000004|TRINITY_DN88922_c5_g1_i4:331-966|+        -            212 111730at33208        -            629   1.3e-08   31.0   0.2   3   3         4        93   -1.6   0.0   327   347   170   190   167   196 0.79 -
