#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 266808at33208        -            354  6.4e-167  552.2   0.9   1   1  1.3e-165  2.8e-164  543.5   0.9     2   354     4   418     3   418 0.90 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 266808at33208        -            354   5.4e-25   85.4   0.1   2   2   0.00021    0.0045   13.3   0.0   144   211   243   315   240   317 0.83 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 266808at33208        -            354     7e-25   85.0   0.6   1   3   1.9e-11   4.1e-10   36.4   0.3   153   262     9   126     5   132 0.61 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 266808at33208        -            354     7e-25   85.0   0.6   2   3   3.9e-11   8.5e-10   35.4   0.2    57   180    95   214    89   217 0.86 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 266808at33208        -            354     7e-25   85.0   0.6   3   3   3.2e-06   6.9e-05   19.2   0.0    58   139   243   327   234   327 0.86 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 266808at33208        -            354   1.8e-24   83.7  11.4   1   5   4.8e-05     0.001   15.4   0.0   150   231    59   146    51   180 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 266808at33208        -            354   1.8e-24   83.7  11.4   2   5   0.00015    0.0032   13.8   0.1   207   267   166   226   152   232 0.78 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 266808at33208        -            354   1.8e-24   83.7  11.4   3   5   5.7e-08   1.2e-06   25.0   0.2   152   264   342   459   310   468 0.73 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 266808at33208        -            354   1.8e-24   83.7  11.4   4   5     0.029      0.63    6.2   0.3   226   261   479   513   466   520 0.76 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 266808at33208        -            354   1.8e-24   83.7  11.4   5   5   1.6e-08   3.5e-07   26.8   0.1   194   274   532   610   521   620 0.90 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 266808at33208        -            354     2e-24   83.5  16.9   1   3   0.00013    0.0028   13.9   0.2   201   269    64   136    58   142 0.86 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 266808at33208        -            354     2e-24   83.5  16.9   2   3   4.5e-15   9.8e-14   48.3   1.2   102   275    93   268    90   271 0.83 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 266808at33208        -            354     2e-24   83.5  16.9   3   3   8.2e-14   1.8e-12   44.2   3.6   152   257   226   334   223   339 0.88 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 266808at33208        -            354   3.2e-24   82.8   0.0   1   2   3.4e-06   7.4e-05   19.1   0.1   194   265     9    78     4    84 0.91 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 266808at33208        -            354   3.2e-24   82.8   0.0   2   2     5e-19   1.1e-17   61.4   0.0    56   260    84   287    76   288 0.80 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 266808at33208        -            354   4.6e-24   82.3   1.4   1   3     0.062       1.4    5.1   0.0   105   145   137   178   119   187 0.75 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 266808at33208        -            354   4.6e-24   82.3   1.4   2   3   1.7e-08   3.6e-07   26.7   0.1   192   271   199   275   192   282 0.88 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 266808at33208        -            354   4.6e-24   82.3   1.4   3   3     3e-14   6.6e-13   45.6   0.7   118   275   288   438   278   449 0.86 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 266808at33208        -            354   2.1e-23   80.2   6.8   1   5    0.0051      0.11    8.7   0.0   149   227    52   135    35   145 0.81 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 266808at33208        -            354   2.1e-23   80.2   6.8   2   5    0.0071      0.16    8.2   0.4   192   265   148   221   144   227 0.90 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 266808at33208        -            354   2.1e-23   80.2   6.8   3   5   5.2e-14   1.1e-12   44.8   0.0   105   271   299   469   275   476 0.80 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 266808at33208        -            354   2.1e-23   80.2   6.8   4   5   6.7e-05    0.0015   14.9   0.0   153   267   475   595   463   617 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 266808at33208        -            354   2.1e-23   80.2   6.8   5   5      0.28         6    3.0   0.1   218   263   608   653   591   672 0.77 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 266808at33208        -            354   9.2e-22   74.8   0.1   1   3     2e-06   4.3e-05   19.9   0.0   152   228     5    87     1    92 0.86 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 266808at33208        -            354   9.2e-22   74.8   0.1   2   3   8.3e-14   1.8e-12   44.2   0.0   193   272    94   171    87   175 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 266808at33208        -            354   9.2e-22   74.8   0.1   3   3    0.0086      0.19    8.0   0.0   105   135   170   201   166   201 0.84 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 266808at33208        -            354   1.3e-21   74.2   2.6   1   4   0.00069     0.015   11.6   0.0   190   266   215   247   203   264 0.62 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 266808at33208        -            354   1.3e-21   74.2   2.6   2   4   4.9e-11   1.1e-09   35.1   0.2   190   281   265   355   252   359 0.88 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 266808at33208        -            354   1.3e-21   74.2   2.6   3   4   2.4e-05   0.00053   16.3   0.4   193   230   353   390   348   403 0.80 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 266808at33208        -            354   1.3e-21   74.2   2.6   4   4     0.002     0.043   10.1   0.0   111   216   402   511   394   513 0.85 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 266808at33208        -            354   7.1e-21   71.8   2.2   1   4   5.6e-05    0.0012   15.2   0.0   203   274    11    81     5    84 0.78 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 266808at33208        -            354   7.1e-21   71.8   2.2   2   4   9.5e-05    0.0021   14.4   0.0   234   264    83   113    80   119 0.89 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 266808at33208        -            354   7.1e-21   71.8   2.2   3   4    0.0096      0.21    7.8   0.0   148   216   121   194   117   200 0.70 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 266808at33208        -            354   7.1e-21   71.8   2.2   4   4   8.6e-10   1.9e-08   31.0   1.4   190   277   218   304   168   309 0.87 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 266808at33208        -            354     1e-20   71.3   5.5   1   2   7.4e-18   1.6e-16   57.5   1.4   194   351    18   170     8   172 0.86 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 266808at33208        -            354     1e-20   71.3   5.5   2   2     4e-05   0.00086   15.6   0.1   166   260   209   303   184   303 0.79 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 266808at33208        -            354   1.6e-20   70.7   0.4   1   2   1.8e-06   3.8e-05   20.1   0.0   236   274     8    46     2    50 0.90 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 266808at33208        -            354   1.6e-20   70.7   0.4   2   2   8.2e-15   1.8e-13   47.5   0.1   108   230    46   172    44   212 0.73 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 266808at33208        -            354   2.7e-20   69.9   7.1   1   3   1.3e-09   2.8e-08   30.4   0.1   192   275    16    97     5   101 0.91 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 266808at33208        -            354   2.7e-20   69.9   7.1   2   3   5.7e-07   1.2e-05   21.7   0.2   192   275   100   181    96   184 0.84 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 266808at33208        -            354   2.7e-20   69.9   7.1   3   3   2.7e-07     6e-06   22.7   1.1   232   342   178   284   155   293 0.77 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 266808at33208        -            354   5.6e-20   68.9   0.0   1   2   2.5e-11   5.4e-10   36.0   0.0   149   270    14   140     4   146 0.84 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 266808at33208        -            354   5.6e-20   68.9   0.0   2   2   7.6e-10   1.6e-08   31.2   0.2   153   261   145   254   139   256 0.86 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 266808at33208        -            354   7.6e-19   65.2   4.1   1   2   0.00016    0.0035   13.6   0.1   197   273     6    84     1    95 0.57 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 266808at33208        -            354   7.6e-19   65.2   4.1   2   2   2.2e-18   4.7e-17   59.3   1.4   139   351    33   243    29   243 0.87 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 266808at33208        -            354     1e-18   64.7   0.0   1   2   2.2e-05   0.00047   16.5   0.2   175   273     7   105     1   110 0.68 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 266808at33208        -            354     1e-18   64.7   0.0   2   2   6.8e-15   1.5e-13   47.8   0.0    81   268    81   274    68   289 0.84 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 266808at33208        -            354     1e-18   64.7   0.6   1   4       5.1   1.1e+02   -1.2   0.0   192   231    18    56    12    61 0.77 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 266808at33208        -            354     1e-18   64.7   0.6   2   4   5.4e-07   1.2e-05   21.8   0.1   195   264    63   129    27   139 0.91 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 266808at33208        -            354     1e-18   64.7   0.6   3   4   2.4e-05   0.00053   16.3   0.0   193   234   145   186   132   200 0.87 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 266808at33208        -            354     1e-18   64.7   0.6   4   4   2.8e-07   6.2e-06   22.7   0.0   153   222   224   298   209   313 0.79 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 266808at33208        -            354   5.9e-18   62.2   0.0   1   1   6.9e-18   1.5e-16   57.6   0.0    66   270     5   210     4   222 0.83 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-     -            613 266808at33208        -            354   1.6e-16   57.5   0.0   1   3   9.7e-06   0.00021   17.6   0.0   144   190   264   310   256   336 0.71 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-     -            613 266808at33208        -            354   1.6e-16   57.5   0.0   2   3       9.9   2.2e+02   -2.1   0.0   150   170   401   421   392   441 0.70 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-     -            613 266808at33208        -            354   1.6e-16   57.5   0.0   3   3   2.2e-11   4.8e-10   36.2   0.0   112   260   451   613   447   613 0.75 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 266808at33208        -            354   1.9e-16   57.3   2.1   1   4      0.17       3.7    3.7   0.0   234   263    35    64    19    68 0.78 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 266808at33208        -            354   1.9e-16   57.3   2.1   2   4   4.9e-08   1.1e-06   25.2   1.7   154   271    36   158    33   169 0.80 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 266808at33208        -            354   1.9e-16   57.3   2.1   3   4   1.8e-08   3.8e-07   26.7   0.0   152   258   171   280   157   293 0.80 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 266808at33208        -            354   1.9e-16   57.3   2.1   4   4       1.4        30    0.7   0.0   122   190   269   335   254   339 0.75 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-     -            216 266808at33208        -            354   1.1e-15   54.8   0.0   1   2   2.5e-05   0.00055   16.3   0.0   235   276     5    46     2    52 0.91 -
502128at33208_7091_0:002d19|TRINITY_DN82468_c10_g1_i3:2906-3553|-     -            216 266808at33208        -            354   1.1e-15   54.8   0.0   2   2   1.7e-11   3.7e-10   36.6   0.0    70   216    56   215    48   216 0.75 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 266808at33208        -            354   1.9e-15   54.0   0.8   1   2     8e-09   1.7e-07   27.8   0.0   148   341    42   231    36   233 0.78 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 266808at33208        -            354   1.9e-15   54.0   0.8   2   2   6.8e-10   1.5e-08   31.3   0.1   101   228   164   294   159   368 0.69 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+      -            275 266808at33208        -            354     3e-15   53.3   0.2   1   2   2.3e-06     5e-05   19.7   0.1   196   296    25   133    19   143 0.73 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+      -            275 266808at33208        -            354     3e-15   53.3   0.2   2   2   7.4e-10   1.6e-08   31.2   0.0   199   273   176   248   142   270 0.84 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+      -            275 266808at33208        -            354   2.1e-14   50.5   0.2   1   3   7.6e-08   1.7e-06   24.6   0.0   156   261     2   108     1   113 0.76 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+      -            275 266808at33208        -            354   2.1e-14   50.5   0.2   2   3   7.5e-06   0.00016   18.0   0.0   105   213    76   187    69   193 0.75 -
235430at33208_37621_0:000821|TRINITY_DN84958_c6_g2_i4:636-1460|+      -            275 266808at33208        -            354   2.1e-14   50.5   0.2   3   3   3.4e-05   0.00073   15.9   0.0   193   245   222   272   215   275 0.87 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+      -            299 266808at33208        -            354   2.9e-14   50.1   0.2   1   3     0.011      0.24    7.6   0.0   236   267    38    69    27    72 0.78 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+      -            299 266808at33208        -            354   2.9e-14   50.1   0.2   2   3   2.8e-08   6.1e-07   26.0   0.0   105   200    73   170    70   180 0.79 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+      -            299 266808at33208        -            354   2.9e-14   50.1   0.2   3   3   0.00024    0.0052   13.1   0.1   130   216   180   271   172   275 0.72 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-    -            645 266808at33208        -            354     3e-14   50.0   0.1   1   2   6.4e-05    0.0014   15.0   0.0   109   233   179   325   168   332 0.69 -
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-    -            645 266808at33208        -            354     3e-14   50.0   0.1   2   2   9.2e-10     2e-08   30.9   0.2   194   344   334   490   326   498 0.80 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 266808at33208        -            354   5.5e-14   49.2   3.6   1   2     0.087       1.9    4.6   0.0   209   351    63   112    22   122 0.59 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 266808at33208        -            354   5.5e-14   49.2   3.6   2   2   1.1e-13   2.3e-12   43.8   1.5   112   267   180   342   173   355 0.79 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+     -            168 266808at33208        -            354   5.9e-14   49.1   0.0   1   2   4.5e-09   9.8e-08   28.6   0.0   197   271    14    92     6    96 0.89 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+     -            168 266808at33208        -            354   5.9e-14   49.1   0.0   2   2   5.7e-08   1.2e-06   25.0   0.0   198   263    63   126    57   133 0.88 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 266808at33208        -            354   8.4e-14   48.6   6.2   1   3       0.4       8.6    2.5   0.1   301   351   118   177    99   180 0.61 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 266808at33208        -            354   8.4e-14   48.6   6.2   2   3     0.055       1.2    5.3   0.3   304   351   175   223   160   226 0.78 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 266808at33208        -            354   8.4e-14   48.6   6.2   3   3   1.5e-13   3.2e-12   43.4   0.3   102   260   259   421   246   424 0.83 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+      -            538 266808at33208        -            354   9.3e-14   48.4   0.1   1   1   7.5e-15   1.6e-13   47.6   0.1   107   268   319   487   270   536 0.76 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 266808at33208        -            354   1.2e-13   48.0   0.0   1   2   4.3e-11   9.3e-10   35.3   0.0   152   264     5   128     3   134 0.80 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 266808at33208        -            354   1.2e-13   48.0   0.0   2   2    0.0012     0.025   10.8   0.0   104   144   134   174   129   192 0.83 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-     -            329 266808at33208        -            354   1.7e-13   47.6   0.8   1   3   9.8e-08   2.1e-06   24.2   0.1    32    91    24    83    12    96 0.90 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-     -            329 266808at33208        -            354   1.7e-13   47.6   0.8   2   3    0.0043     0.093    8.9   0.1   198   255   102   157    84   169 0.72 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-     -            329 266808at33208        -            354   1.7e-13   47.6   0.8   3   3   0.00052     0.011   12.0   0.0   154   263   179   292   147   296 0.75 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 266808at33208        -            354   2.7e-13   46.9   0.1   1   4      0.28       6.2    3.0   0.0   212   276   121   186    89   200 0.59 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 266808at33208        -            354   2.7e-13   46.9   0.1   2   4   0.00028    0.0061   12.8   0.0   126   261   161   299   138   306 0.77 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 266808at33208        -            354   2.7e-13   46.9   0.1   3   4      0.55        12    2.0   0.0   236   268   482   514   437   519 0.78 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 266808at33208        -            354   2.7e-13   46.9   0.1   4   4   6.5e-08   1.4e-06   24.8   0.0    68   181   529   631   520   642 0.79 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+     -            265 266808at33208        -            354   3.1e-13   46.7   0.2   1   2   5.5e-06   0.00012   18.5   0.8   196   279    14    96     2   170 0.74 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+     -            265 266808at33208        -            354   3.1e-13   46.7   0.2   2   2   1.3e-07   2.8e-06   23.8   0.0    71   167   171   263   158   265 0.85 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-     -            184 266808at33208        -            354   3.2e-13   46.7   6.1   1   2   1.8e-07   3.9e-06   23.3   0.3   203   269     2    67     1    70 0.86 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-     -            184 266808at33208        -            354   3.2e-13   46.7   6.1   2   2   2.4e-08   5.1e-07   26.2   1.3   152   250    72   174    67   184 0.77 -
