#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 357580at33208        -            253  1.1e-119  395.4   0.4   1   1  1.1e-120  2.2e-119  394.5   0.4     1   253    49   345    49   345 0.92 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 357580at33208        -            253   1.1e-27   94.1   9.9   1   2   2.3e-19   4.6e-18   62.5   2.2   100   229     5   135     2   138 0.91 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 357580at33208        -            253   1.1e-27   94.1   9.9   2   2   1.8e-13   3.7e-12   43.2   1.0   127   232    79   180    76   194 0.91 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 357580at33208        -            253   6.2e-27   91.6   5.8   1   3   3.9e-07   7.9e-06   22.4   0.1   120   229   123   241   115   247 0.79 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 357580at33208        -            253   6.2e-27   91.6   5.8   2   3   1.3e-10   2.6e-09   33.9   0.1   132   247   232   342   228   348 0.91 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 357580at33208        -            253   6.2e-27   91.6   5.8   3   3   4.1e-12   8.3e-11   38.8   0.1   148   250   365   463   345   466 0.83 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 357580at33208        -            253   1.5e-26   90.3   8.0   1   6   2.7e-05   0.00055   16.4   0.0   135   242    61   169    43   182 0.77 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 357580at33208        -            253   1.5e-26   90.3   8.0   2   6    0.0065      0.13    8.6   0.0   175   237   189   251   179   255 0.85 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 357580at33208        -            253   1.5e-26   90.3   8.0   3   6     7e-06   0.00014   18.3   0.0    15    73   210   277   199   303 0.75 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 357580at33208        -            253   1.5e-26   90.3   8.0   4   6   0.00076     0.015   11.7   0.0   131   167   319   355   315   367 0.90 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 357580at33208        -            253   1.5e-26   90.3   8.0   5   6      0.68        14    2.0   0.1   113   130   379   396   369   421 0.81 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 357580at33208        -            253   1.5e-26   90.3   8.0   6   6   1.8e-12   3.6e-11   39.9   0.2   110   244   455   595   433   604 0.76 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 357580at33208        -            253   4.1e-26   88.9   3.3   1   2   0.00032    0.0064   12.9   0.0    36    88    11    66     5    71 0.77 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 357580at33208        -            253   4.1e-26   88.9   3.3   2   2   1.6e-23   3.3e-22   76.1   2.3    35   248    52   289    49   293 0.82 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 357580at33208        -            253   6.8e-26   88.2  12.0   1   3   2.4e-09   4.9e-08   29.7   0.2   152   234    63   139    59   143 0.84 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 357580at33208        -            253   6.8e-26   88.2  12.0   2   3   4.1e-08   8.4e-07   25.6   0.3   115   166   143   197   140   205 0.82 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 357580at33208        -            253   6.8e-26   88.2  12.0   3   3   0.00036    0.0073   12.7   0.1    36    68   211   244   198   253 0.60 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 357580at33208        -            253   1.2e-25   87.4   0.2   1   4   0.00017    0.0033   13.8   0.0   193   244    16    67     2    69 0.87 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 357580at33208        -            253   1.2e-25   87.4   0.2   2   4   2.1e-06   4.3e-05   20.1   0.0   196   236    61   101    58   105 0.92 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 357580at33208        -            253   1.2e-25   87.4   0.2   3   4   3.9e-11   7.8e-10   35.6   0.0   114   168   104   163   101   169 0.89 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 357580at33208        -            253   1.2e-25   87.4   0.2   4   4   3.6e-10   7.2e-09   32.4   0.0   191   247   140   196   140   199 0.95 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 357580at33208        -            253   1.2e-24   84.0   0.0   1   2   0.00011    0.0022   14.4   0.0   188   241     3    56     1    61 0.93 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 357580at33208        -            253   1.2e-24   84.0   0.0   2   2     2e-20     4e-19   66.0   0.0    83   229    63   219    57   223 0.86 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 357580at33208        -            253   1.6e-24   83.7  13.3   1   3   1.4e-17   2.8e-16   56.7   8.0    16   252    11   283     3   284 0.77 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 357580at33208        -            253   1.6e-24   83.7  13.3   2   3   4.4e-12   8.8e-11   38.7   0.2    31   164   164   324   160   337 0.68 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 357580at33208        -            253   1.6e-24   83.7  13.3   3   3       6.2   1.2e+02   -1.1   0.0   148   176   370   398   359   408 0.59 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 357580at33208        -            253   6.3e-24   81.7   0.1   1   2   6.2e-07   1.3e-05   21.8   0.0   188   237    49    98    34   106 0.89 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 357580at33208        -            253   6.3e-24   81.7   0.1   2   2   3.7e-15   7.4e-14   48.7   0.1    53   164   106   243   100   243 0.81 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 357580at33208        -            253   1.3e-23   80.7   6.2   1   3   1.6e-10   3.2e-09   33.6   0.2   132   236     8   109     3   112 0.82 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 357580at33208        -            253   1.3e-23   80.7   6.2   2   3   7.5e-07   1.5e-05   21.5   0.0   197   247   115   165   104   172 0.85 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 357580at33208        -            253   1.3e-23   80.7   6.2   3   3   5.9e-09   1.2e-07   28.4   0.5   137   238   186   288   164   296 0.83 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   1   7      0.21       4.3    3.7   0.0   191   229    73   110    24   113 0.68 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   2   7   9.3e-11   1.9e-09   34.3   0.1   189   245   112   168   109   174 0.93 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   3   7   8.9e-05    0.0018   14.7   0.1   115   173   163   226   163   229 0.85 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   4   7     0.025       0.5    6.7   0.0    99   131   416   447   401   538 0.60 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   5   7       1.5        30    0.9   0.0   144   166   512   534   497   601 0.62 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   6   7     0.079       1.6    5.1   0.0   102   164   562   629   551   633 0.76 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 357580at33208        -            253   1.9e-23   80.2  11.2   7   7   6.6e-06   0.00013   18.4   0.1    34    97   641   716   633   723 0.73 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 357580at33208        -            253   2.4e-23   79.9   1.0   1   3   2.4e-07   4.9e-06   23.1   0.0   190   245   169   224   162   227 0.88 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 357580at33208        -            253   2.4e-23   79.9   1.0   2   3   3.9e-13   7.9e-12   42.1   0.1   115   243   219   348   217   354 0.82 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 357580at33208        -            253   2.4e-23   79.9   1.0   3   3   0.00025    0.0051   13.2   0.0    59   103   353   405   346   457 0.71 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 357580at33208        -            253   9.5e-23   77.9   7.8   1   3   8.6e-07   1.7e-05   21.3   0.1   114   212    66   171    58   184 0.75 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 357580at33208        -            253   9.5e-23   77.9   7.8   2   3   5.5e-10   1.1e-08   31.8   0.0   189   246   190   247   183   253 0.93 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 357580at33208        -            253   9.5e-23   77.9   7.8   3   3   3.5e-09   7.1e-08   29.1   2.2   114   211   240   338   237   340 0.87 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 357580at33208        -            253   2.3e-22   76.6  12.2   1   2     3e-17   6.1e-16   55.6   3.7   102   245    10   162     7   172 0.85 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 357580at33208        -            253   2.3e-22   76.6  12.2   2   2   9.8e-05     0.002   14.6   0.3   127   211   176   272   169   307 0.68 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 357580at33208        -            253   2.3e-21   73.3   1.3   1   2   2.5e-13     5e-12   42.8   0.0   134   235     2   100     1   112 0.89 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 357580at33208        -            253   2.3e-21   73.3   1.3   2   2   2.8e-09   5.6e-08   29.5   0.2    14    88   111   191   102   195 0.85 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 357580at33208        -            253   6.9e-21   71.8   2.4   1   3   3.2e-12   6.4e-11   39.1   0.0   133   236     1   100     1   102 0.95 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 357580at33208        -            253   6.9e-21   71.8   2.4   2   3   3.4e-11   6.8e-10   35.8   0.1   132   222    84   170    83   181 0.85 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 357580at33208        -            253   6.9e-21   71.8   2.4   3   3     0.086       1.7    4.9   0.1   136   162   186   212   180   212 0.77 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 357580at33208        -            253   9.4e-21   71.4   0.2   1   3     0.016      0.33    7.3   0.1   120   166     4    50     2    58 0.87 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 357580at33208        -            253   9.4e-21   71.4   0.2   2   3   3.2e-07   6.5e-06   22.7   0.1    98   168    61   138    51   147 0.83 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 357580at33208        -            253   9.4e-21   71.4   0.2   3   3   8.5e-12   1.7e-10   37.7   0.0   114   246   160   303   151   308 0.75 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 357580at33208        -            253   2.5e-20   69.9   1.0   1   3   3.5e-07     7e-06   22.6   0.0   140   222   217   303   209   310 0.77 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 357580at33208        -            253   2.5e-20   69.9   1.0   2   3   3.8e-10   7.7e-09   32.3   0.2   103   168   310   380   303   390 0.85 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 357580at33208        -            253   2.5e-20   69.9   1.0   3   3   0.00096     0.019   11.3   0.0   186   245   445   504   407   509 0.92 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 357580at33208        -            253   5.6e-20   68.8   8.9   1   5   0.00012    0.0024   14.3   0.0   185   236   106   157    48   177 0.73 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 357580at33208        -            253   5.6e-20   68.8   8.9   2   5   4.9e-05   0.00099   15.6   0.1   128   171   183   226   163   283 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 357580at33208        -            253   5.6e-20   68.8   8.9   3   5    0.0032     0.064    9.6   0.1    90   214   329   459   316   468 0.74 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 357580at33208        -            253   5.6e-20   68.8   8.9   4   5   9.1e-08   1.8e-06   24.5   0.3   135   245   428   547   426   554 0.80 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 357580at33208        -            253   5.6e-20   68.8   8.9   5   5   0.00031    0.0063   12.9   0.1   153   225   543   611   541   620 0.82 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 357580at33208        -            253   8.4e-20   68.2   3.8   1   3      0.04       0.8    6.0   0.0   189   240    10    61     4    69 0.87 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 357580at33208        -            253   8.4e-20   68.2   3.8   2   3   4.8e-08   9.8e-07   25.4   0.5   134   245    43   149    42   153 0.82 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 357580at33208        -            253   8.4e-20   68.2   3.8   3   3   6.3e-16   1.3e-14   51.3   0.2    84   246   103   281   102   284 0.83 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 357580at33208        -            253   1.3e-19   67.6   0.1   1   2   0.00016    0.0032   13.9   0.0   177   247    82   152    69   153 0.91 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 357580at33208        -            253   1.3e-19   67.6   0.1   2   2   2.3e-17   4.7e-16   56.0   0.1    52   198   147   311   143   318 0.81 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 357580at33208        -            253   1.6e-19   67.4   6.3   1   2   1.2e-10   2.5e-09   33.9   0.1   190   245   159   215   127   222 0.85 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 357580at33208        -            253   1.6e-19   67.4   6.3   2   2   1.4e-10   2.8e-09   33.7   2.7    36   214   275   483   271   485 0.64 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 357580at33208        -            253   2.6e-19   66.6   3.7   1   3   7.1e-08   1.4e-06   24.9   0.1   110   217     5   116     2   137 0.79 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 357580at33208        -            253   2.6e-19   66.6   3.7   2   3   1.6e-06   3.2e-05   20.5   0.0   134   244    79   186    75   196 0.71 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 357580at33208        -            253   2.6e-19   66.6   3.7   3   3   2.1e-11   4.2e-10   36.5   0.8   131   234   211   311   196   312 0.92 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 357580at33208        -            253     3e-19   66.4   6.8   1   6    0.0074      0.15    8.4   0.0   144   249    21   120     8   123 0.53 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 357580at33208        -            253     3e-19   66.4   6.8   2   6      0.37       7.5    2.9   0.1   105   165   112   173    97   222 0.66 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 357580at33208        -            253     3e-19   66.4   6.8   3   6    0.0036     0.073    9.5   0.1   129   236   295   400   279   406 0.84 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 357580at33208        -            253     3e-19   66.4   6.8   4   6   1.1e-11   2.2e-10   37.4   0.0   106   236   395   528   393   532 0.83 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 357580at33208        -            253     3e-19   66.4   6.8   5   6     0.038      0.77    6.1   0.1   149   207   531   585   526   601 0.82 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 357580at33208        -            253     3e-19   66.4   6.8   6   6      0.43       8.7    2.7   0.0   179   220   618   660   608   675 0.71 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 357580at33208        -            253   5.7e-19   65.5   0.5   1   3   7.2e-07   1.4e-05   21.6   0.0   103   165    21    99    11   114 0.80 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 357580at33208        -            253   5.7e-19   65.5   0.5   2   3       5.4   1.1e+02   -0.9   0.0    47    74   127   155   103   163 0.74 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 357580at33208        -            253   5.7e-19   65.5   0.5   3   3   2.5e-11   5.1e-10   36.2   0.1   102   204   168   275   162   275 0.88 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 357580at33208        -            253   1.4e-17   61.0   0.8   1   2   9.9e-12     2e-10   37.5   0.1   123   215    29   121     3   126 0.83 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 357580at33208        -            253   1.4e-17   61.0   0.8   2   2   2.7e-07   5.5e-06   23.0   0.0    92   164   122   201   120   201 0.83 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 357580at33208        -            253   1.6e-17   60.8   2.8   1   2   1.8e-06   3.5e-05   20.3   0.0   176   238    51   117    44   131 0.72 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+   -            337 357580at33208        -            253   1.6e-17   60.8   2.8   2   2   7.6e-12   1.5e-10   37.9   0.3   103   243   191   334   179   337 0.76 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 357580at33208        -            253   1.2e-16   57.9   1.1   1   3     1e-07   2.1e-06   24.4   0.0   188   245    39    98    31   101 0.88 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 357580at33208        -            253   1.2e-16   57.9   1.1   2   3    0.0059      0.12    8.8   0.0   202   236    97   131    95   135 0.87 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 357580at33208        -            253   1.2e-16   57.9   1.1   3   3   1.9e-07   3.8e-06   23.5   0.2    83   135   135   197   131   213 0.74 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 357580at33208        -            253   1.4e-16   57.7   1.1   1   2   1.7e-15   3.3e-14   49.9   0.8    33   214     4   190     1   196 0.80 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 357580at33208        -            253   1.4e-16   57.7   1.1   2   2     0.051         1    5.7   0.0   196   241   218   264   206   265 0.52 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 357580at33208        -            253   2.1e-16   57.1   0.7   1   3    0.0017     0.033   10.6   0.0   139   216    19    94    12    96 0.79 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 357580at33208        -            253   2.1e-16   57.1   0.7   2   3   3.5e-10   7.1e-09   32.4   0.0   110   208    71   169    62   176 0.79 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 357580at33208        -            253   2.1e-16   57.1   0.7   3   3   4.2e-06   8.5e-05   19.1   0.1   104   212   148   255   144   257 0.77 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 357580at33208        -            253   2.5e-16   56.8   0.2   1   2       0.1         2    4.7   0.0   189   225     1    37     1    43 0.87 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 357580at33208        -            253   2.5e-16   56.8   0.2   2   2   4.6e-11   9.2e-10   35.3   0.0   139   244   170   284   119   285 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 357580at33208        -            253   8.8e-16   55.1   2.0   1   2   0.00015    0.0031   14.0   0.0   206   245    32    71    16    75 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 357580at33208        -            253   8.8e-16   55.1   2.0   2   2   1.8e-05   0.00037   17.0   0.7   204   245   114   155   114   166 0.55 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 357580at33208        -            253   9.5e-16   54.9   3.1   1   3   8.6e-07   1.7e-05   21.3   0.2   133   247     2   111     1   116 0.79 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 357580at33208        -            253   9.5e-16   54.9   3.1   2   3   7.6e-08   1.5e-06   24.8   0.1   104   167   147   215   135   225 0.84 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 357580at33208        -            253   9.5e-16   54.9   3.1   3   3       0.2       4.1    3.7   0.0   220   238   280   298   264   309 0.85 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 357580at33208        -            253   1.3e-15   54.6   1.2   1   2    0.0033     0.067    9.6   0.0   199   247    26    81    18    86 0.71 -
365323at33208_29029_0:0017a1|TRINITY_DN80667_c15_g1_i2:152-889|+    -            246 357580at33208        -            253   1.3e-15   54.6   1.2   2   2   2.7e-13   5.4e-12   42.6   0.5   111   224    92   202    84   218 0.86 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 357580at33208        -            253   6.3e-15   52.3   6.0   1   4   8.4e-05    0.0017   14.8   0.1   130   240    93   200    66   212 0.72 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 357580at33208        -            253   6.3e-15   52.3   6.0   2   4    0.0012     0.024   11.1   0.0   103   170   230   304   219   356 0.71 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 357580at33208        -            253   6.3e-15   52.3   6.0   3   4       0.7        14    2.0   0.1   112   167   491   550   481   557 0.80 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 357580at33208        -            253   6.3e-15   52.3   6.0   4   4     2e-07     4e-06   23.4   0.5   130   171   555   596   547   635 0.81 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 357580at33208        -            253   9.9e-15   51.6   2.8   1   3   4.2e-05   0.00084   15.8   0.5    35    90    54   111    49   126 0.80 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 357580at33208        -            253   9.9e-15   51.6   2.8   2   3   7.1e-06   0.00014   18.3   0.0    35    74   138   180   131   204 0.87 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 357580at33208        -            253   9.9e-15   51.6   2.8   3   3    0.0009     0.018   11.4   0.0   188   245   228   285   219   291 0.90 -
