#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
177718at33208_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 177718at33208        -            400  1.2e-161  535.3   0.6   1   1  8.8e-163  2.4e-161  534.3   0.6     7   400   166   626   161   626 0.88 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 177718at33208        -            400   1.4e-15   54.3   9.5   2   6   0.00048     0.013   11.6   0.1   155   224   143   221   135   230 0.72 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 177718at33208        -            400   1.4e-15   54.3   9.5   3   6      0.37        10    2.1   0.0   106   150   402   447   389   503 0.72 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 177718at33208        -            400   1.4e-15   54.3   9.5   4   6     0.025      0.67    6.0   0.0    21    62   506   548   494   565 0.80 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 177718at33208        -            400   1.4e-15   54.3   9.5   5   6     4e-06   0.00011   18.5   0.1   158   230   600   682   586   689 0.74 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 177718at33208        -            400   1.4e-15   54.3   9.5   6   6      0.44        12    1.8   0.1    21    48   688   715   678   719 0.50 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 177718at33208        -            400   2.7e-15   53.4   2.2   1   4    0.0021     0.056    9.5   0.0   159   203   102   146    97   162 0.83 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 177718at33208        -            400   2.7e-15   53.4   2.2   2   4   4.6e-05    0.0012   15.0   0.0    22    86   166   227   159   246 0.81 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 177718at33208        -            400   2.7e-15   53.4   2.2   3   4   4.4e-08   1.2e-06   24.9   0.1   163   224   256   328   244   336 0.80 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 177718at33208        -            400   2.7e-15   53.4   2.2   4   4       1.9        50   -0.2   0.0   123   151   390   420   383   421 0.61 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 177718at33208        -            400   9.8e-14   48.2   5.9   1   3      0.41        11    2.0   0.0    28    51    63    86    49   113 0.67 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 177718at33208        -            400   9.8e-14   48.2   5.9   2   3   3.8e-09     1e-07   28.4   1.5   118   224    95   213    88   216 0.74 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 177718at33208        -            400   9.8e-14   48.2   5.9   3   3     1e-05   0.00028   17.1   0.1   116   193   219   307   216   314 0.79 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 177718at33208        -            400   7.2e-13   45.4   5.0   1   4     0.002     0.054    9.6   0.0   117   189    96   171    83   189 0.72 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 177718at33208        -            400   7.2e-13   45.4   5.0   2   4   8.9e-08   2.4e-06   23.9   0.1   163   226   187   259   176   265 0.76 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 177718at33208        -            400   7.2e-13   45.4   5.0   3   4   5.7e-07   1.5e-05   21.2   0.5   158   224   224   299   218   309 0.78 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 177718at33208        -            400   7.2e-13   45.4   5.0   4   4   0.00072     0.019   11.0   0.7   125   187   272   337   264   340 0.64 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 177718at33208        -            400   7.5e-13   45.3   8.6   1   3    0.0005     0.013   11.5   0.4   171   222    19    77     7    90 0.66 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 177718at33208        -            400   7.5e-13   45.3   8.6   2   3   5.1e-07   1.4e-05   21.4   0.6   119   223    88   198    87   208 0.77 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 177718at33208        -            400   7.5e-13   45.3   8.6   3   3   0.00018    0.0048   13.0   0.1   193   224   212   242   199   250 0.86 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 177718at33208        -            400   8.2e-13   45.2   1.2   1   4     0.048       1.3    5.0   0.1   166   192    11    37     2    75 0.68 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 177718at33208        -            400   8.2e-13   45.2   1.2   2   4   3.9e-06    0.0001   18.5   0.1   119   191    45   120    39   127 0.77 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 177718at33208        -            400   8.2e-13   45.2   1.2   3   4     2e-10   5.4e-09   32.6   0.1   118   206    86   177    80   193 0.85 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 177718at33208        -            400   8.2e-13   45.2   1.2   4   4       2.8        76   -0.8   0.0   163   184   190   211   181   212 0.77 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 177718at33208        -            400   1.1e-12   44.8   1.1   1   3   9.4e-08   2.5e-06   23.8   0.0    26   223    69   269    54   276 0.75 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 177718at33208        -            400   1.1e-12   44.8   1.1   2   3     0.016      0.43    6.6   0.0    19    54   324   359   311   403 0.61 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 177718at33208        -            400   1.1e-12   44.8   1.1   3   3    0.0011     0.029   10.4   0.1   116   222   483   604   466   605 0.69 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 177718at33208        -            400   2.6e-12   43.5   0.4   1   3     0.012      0.32    7.0   0.0    17    83    79   140    63   149 0.61 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 177718at33208        -            400   2.6e-12   43.5   0.4   2   3   3.9e-10     1e-08   31.7   0.0   152   227   160   244   152   252 0.80 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 177718at33208        -            400   2.6e-12   43.5   0.4   3   3       1.2        32    0.4   0.0   127   181   259   314   252   317 0.66 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 177718at33208        -            400   3.5e-12   43.1   0.2   1   3     0.044       1.2    5.1   0.0    18    51     4    37     1    53 0.71 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 177718at33208        -            400   3.5e-12   43.1   0.2   2   3   4.4e-06   0.00012   18.3   0.0   158   224    46   121    39   128 0.65 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 177718at33208        -            400   3.5e-12   43.1   0.2   3   3   1.5e-09   4.1e-08   29.7   0.1   118   199    87   171    79   201 0.75 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 177718at33208        -            400   2.6e-11   40.2   2.0   1   4     0.038         1    5.4   0.0    23    51   165   193   156   202 0.88 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 177718at33208        -            400   2.6e-11   40.2   2.0   2   4   0.00012    0.0032   13.6   0.0    16    55   284   323   277   330 0.84 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 177718at33208        -            400   2.6e-11   40.2   2.0   3   4     0.025      0.66    6.0   0.0   139   194   349   404   325   411 0.71 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 177718at33208        -            400   2.6e-11   40.2   2.0   4   4     0.056       1.5    4.8   0.0    22    47   422   447   416   458 0.87 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 177718at33208        -            400   5.9e-11   39.1   0.8   1   4      0.06       1.6    4.7   0.0   157   193    15    52     6    65 0.81 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 177718at33208        -            400   5.9e-11   39.1   0.8   2   4     4e-05    0.0011   15.2   0.0   118   188   111   183   108   187 0.76 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 177718at33208        -            400   5.9e-11   39.1   0.8   3   4   0.00067     0.018   11.1   0.0   120   192   153   231   150   250 0.77 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 177718at33208        -            400   5.9e-11   39.1   0.8   4   4   0.00026     0.007   12.5   0.0   134   188   264   321   238   322 0.81 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 177718at33208        -            400   7.1e-11   38.8   2.9   1   4      0.28       7.4    2.5   0.0    22    48     6    32     1    41 0.86 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 177718at33208        -            400   7.1e-11   38.8   2.9   2   4   2.6e-07   6.9e-06   22.4   0.3   118   224    43   162    38   168 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 177718at33208        -            400   7.1e-11   38.8   2.9   3   4    0.0045      0.12    8.4   0.1    19    61   172   214   166   263 0.61 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 177718at33208        -            400   7.1e-11   38.8   2.9   4   4       1.3        34    0.3   0.0    23    47   263   287   254   288 0.88 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 177718at33208        -            400   8.2e-11   38.6   2.7   1   2   9.2e-05    0.0025   14.0   0.2   137   190    34    91    21    97 0.66 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 177718at33208        -            400   8.2e-11   38.6   2.7   2   2   3.3e-07   8.9e-06   22.0   0.2   117   221    99   220    94   230 0.68 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 177718at33208        -            400   8.8e-11   38.5   4.3   1   4   0.00015     0.004   13.3   0.1   164   223     2    74     1    80 0.71 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 177718at33208        -            400   8.8e-11   38.5   4.3   2   4   1.9e-06     5e-05   19.6   0.7   119   227    42   164    33   175 0.70 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 177718at33208        -            400   8.8e-11   38.5   4.3   3   4     0.088       2.3    4.2   0.1    23    48   177   202   174   208 0.81 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 177718at33208        -            400   8.8e-11   38.5   4.3   4   4    0.0055      0.15    8.1   0.0    16    47   211   243   204   243 0.83 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 177718at33208        -            400     1e-10   38.3   1.3   1   2      0.53        14    1.6   0.0    67    94   195   222   152   226 0.63 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 177718at33208        -            400     1e-10   38.3   1.3   2   2   4.8e-11   1.3e-09   34.7   0.5   118   247   274   415   265   430 0.79 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 177718at33208        -            400   1.4e-10   37.8   0.7   1   4   1.2e-06   3.2e-05   20.2   0.0   166   222     1    66     1    73 0.76 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 177718at33208        -            400   1.4e-10   37.8   0.7   2   4     0.049       1.3    5.0   0.0    21    51    38    68    30   105 0.83 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 177718at33208        -            400   1.4e-10   37.8   0.7   3   4         3        81   -0.9   0.0   261   293    76   108    69   117 0.78 -
357580at33208_7950_0:00107f|TRINITY_DN91433_c7_g1_i1:242-1096|+     -            285 177718at33208        -            400   1.4e-10   37.8   0.7   4   4   0.00021    0.0055   12.8   0.1   121   189   168   251   156   257 0.71 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 177718at33208        -            400   2.6e-10   37.0   8.4   1   4   2.6e-05   0.00069   15.8   0.8   117   222   137   266   128   271 0.69 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 177718at33208        -            400   2.6e-10   37.0   8.4   2   4    0.0042      0.11    8.5   0.9   138   197   215   274   200   306 0.79 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 177718at33208        -            400   2.6e-10   37.0   8.4   3   4     0.092       2.5    4.1   0.0   117   166   316   366   311   371 0.68 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 177718at33208        -            400   2.6e-10   37.0   8.4   4   4   9.5e-06   0.00025   17.2   0.2   133   192   368   428   361   468 0.81 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 177718at33208        -            400   3.2e-10   36.6   1.0   1   2   1.5e-05   0.00039   16.6   0.5    22   177    59   199    51   222 0.82 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 177718at33208        -            400   3.2e-10   36.6   1.0   2   2   9.5e-05    0.0025   13.9   0.0   126   208   228   313   223   317 0.71 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 177718at33208        -            400     4e-10   36.3   4.7   1   3     0.042       1.1    5.2   0.0   158   191     3    36     1    42 0.71 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 177718at33208        -            400     4e-10   36.3   4.7   2   3   3.2e-06   8.6e-05   18.8   0.1    15    83    42   105    38   105 0.81 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 177718at33208        -            400     4e-10   36.3   4.7   3   3   3.3e-05   0.00089   15.4   1.2   117   191    85   162    79   180 0.85 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 177718at33208        -            400   4.6e-10   36.1   0.6   1   1   6.2e-10   1.6e-08   31.0   0.6    44   203    86   256    71   337 0.77 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 177718at33208        -            400   6.8e-10   35.6   3.0   1   4       5.3   1.4e+02   -1.7   0.0   168   189     1    22     1    47 0.75 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 177718at33208        -            400   6.8e-10   35.6   3.0   2   4     0.091       2.4    4.1   0.1   163   190    77   104    68   115 0.81 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 177718at33208        -            400   6.8e-10   35.6   3.0   3   4   5.1e-06   0.00014   18.1   0.1    18    88   113   186   104   197 0.80 -
414579at33208_7038_0:000196|TRINITY_DN93328_c6_g1_i6:2964-3767|-    -            268 177718at33208        -            400   6.8e-10   35.6   3.0   4   4   0.00029    0.0079   12.3   0.1   146   191   196   239   187   246 0.83 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 177718at33208        -            400   8.2e-10   35.3  11.2   1   5   6.7e-07   1.8e-05   21.0   4.1   118   221     5   125     1   126 0.72 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 177718at33208        -            400   8.2e-10   35.3  11.2   2   5     0.019       0.5    6.4   0.1    16    75    93   150    86   163 0.70 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 177718at33208        -            400   8.2e-10   35.3  11.2   3   5       1.4        37    0.2   0.0    20    47   142   169   132   181 0.80 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 177718at33208        -            400   8.2e-10   35.3  11.2   4   5    0.0023     0.061    9.4   0.0    16    48   182   214   177   217 0.89 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 177718at33208        -            400   8.2e-10   35.3  11.2   5   5      0.29       7.8    2.4   0.1   174   189   310   325   243   327 0.71 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 177718at33208        -            400   9.1e-10   35.2   1.5   1   3    0.0051      0.14    8.2   0.0   159   193   213   247   203   258 0.82 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 177718at33208        -            400   9.1e-10   35.2   1.5   2   3   7.5e-05     0.002   14.3   0.0   161   226   265   340   247   346 0.76 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 177718at33208        -            400   9.1e-10   35.2   1.5   3   3    0.0019     0.051    9.6   0.1   158   193   347   382   341   395 0.82 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 177718at33208        -            400   9.4e-10   35.1   0.4   1   2   0.00086     0.023   10.8   0.2   165   200     3    38     1    78 0.81 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 177718at33208        -            400   9.4e-10   35.1   0.4   2   2   1.3e-06   3.4e-05   20.1   0.0   122   226    90   206    87   221 0.75 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 177718at33208        -            400   1.2e-09   34.7   6.9   1   3     0.026      0.69    5.9   0.0    34    79   112   159   103   190 0.56 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 177718at33208        -            400   1.2e-09   34.7   6.9   2   3      0.44        12    1.9   0.1    20    49   196   225   187   245 0.83 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 177718at33208        -            400   1.2e-09   34.7   6.9   3   3     6e-09   1.6e-07   27.7   1.6   114   229   259   388   225   393 0.76 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 177718at33208        -            400   1.4e-09   34.5   5.8   1   3     0.077       2.1    4.3   0.0   159   192    12    45     5    70 0.74 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 177718at33208        -            400   1.4e-09   34.5   5.8   2   3   7.3e-08     2e-06   24.2   0.2   140   233    76   177    51   180 0.75 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 177718at33208        -            400   1.4e-09   34.5   5.8   3   3     0.013      0.36    6.9   0.3   163   223   182   253   178   285 0.80 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 177718at33208        -            400   1.6e-09   34.4   8.0   1   4      0.84        22    0.9   0.0   191   229    30    70    20    75 0.67 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 177718at33208        -            400   1.6e-09   34.4   8.0   2   4   1.9e-07   5.1e-06   22.8   1.6   106   192    66   152    52   169 0.79 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 177718at33208        -            400   1.6e-09   34.4   8.0   3   4     0.032      0.87    5.6   0.0    17    49   168   200   159   209 0.82 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 177718at33208        -            400   1.6e-09   34.4   8.0   4   4   0.00042     0.011   11.8   0.1   139   247   191   297   187   323 0.72 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 177718at33208        -            400   2.1e-09   33.9   7.5   1   4     0.021      0.55    6.2   0.0    22    49   106   133    84   143 0.86 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 177718at33208        -            400   2.1e-09   33.9   7.5   2   4      0.81        22    1.0   0.0   183   225   181   224   164   234 0.67 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 177718at33208        -            400   2.1e-09   33.9   7.5   3   4      0.01      0.27    7.2   0.2   127   230   348   465   335   472 0.72 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 177718at33208        -            400   2.1e-09   33.9   7.5   4   4   1.4e-06   3.6e-05   20.0   0.7   116   224   480   600   465   608 0.76 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 177718at33208        -            400   4.2e-09   33.0   4.1   1   2   7.2e-08   1.9e-06   24.2   0.3   119   193     3    80     2    85 0.86 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 177718at33208        -            400   4.2e-09   33.0   4.1   2   2    0.0017     0.046    9.8   0.4   173   221   110   166    90   175 0.71 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 177718at33208        -            400   5.7e-09   32.5   1.6   1   2   0.00056     0.015   11.4   0.0    18   223    32    64    17    75 0.52 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 177718at33208        -            400   5.7e-09   32.5   1.6   2   2   1.1e-08     3e-07   26.9   1.6   120   264    33   196    30   200 0.74 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 177718at33208        -            400   8.8e-09   31.9   1.5   1   2     2e-08   5.3e-07   26.0   0.2   141   228    39   138    27   167 0.69 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 177718at33208        -            400   8.8e-09   31.9   1.5   2   2     0.059       1.6    4.7   0.1   196   251   186   250   152   256 0.70 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 177718at33208        -            400   8.9e-09   31.9   0.3   1   2   1.9e-05    0.0005   16.2   0.2    53   258     5   212     2   220 0.62 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 177718at33208        -            400   8.9e-09   31.9   0.3   2   2    0.0026      0.07    9.2   0.0   159   194   238   273   227   307 0.76 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 177718at33208        -            400   2.5e-08   30.4   0.0   1   2     0.013      0.33    6.9   0.0   149   223    76   160    54   168 0.66 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 177718at33208        -            400   2.5e-08   30.4   0.0   2   2   5.5e-07   1.5e-05   21.3   0.0   116   256   167   325   160   336 0.70 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 177718at33208        -            400   5.1e-08   29.4   3.9   1   2   1.9e-06   5.2e-05   19.5   1.1   140   229     9   109     1   112 0.74 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 177718at33208        -            400   5.1e-08   29.4   3.9   2   2   0.00068     0.018   11.1   0.1   118   185   113   182   110   184 0.84 -
