#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 398013at33208        -            280    9e-155  511.2   0.3   1   1  3.8e-156    1e-154  510.9   0.3     1   279     2   309     2   310 0.95 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 398013at33208        -            280   3.2e-18   63.2   0.1   2   5   3.5e-05   0.00095   15.7   0.0    79   131   225   278   218   284 0.89 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 398013at33208        -            280   3.2e-18   63.2   0.1   3   5     6e-07   1.7e-05   21.5   0.0    93   158   281   349   277   358 0.77 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 398013at33208        -            280   3.2e-18   63.2   0.1   4   5    0.0016     0.044   10.3   0.0    81   160   352   430   349   437 0.82 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 398013at33208        -            280   3.2e-18   63.2   0.1   5   5       0.2       5.5    3.4   0.0    23    48   423   448   416   456 0.85 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 398013at33208        -            280   9.6e-18   61.6   0.0   1   4       2.6        71   -0.3   0.0    24    48    59    83    50    89 0.70 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 398013at33208        -            280   9.6e-18   61.6   0.0   2   4     0.063       1.7    5.0   0.0    20    50    98   128    91   135 0.75 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 398013at33208        -            280   9.6e-18   61.6   0.0   3   4   8.7e-12   2.4e-10   37.4   0.0    16   130   136   255   128   261 0.85 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 398013at33208        -            280   9.6e-18   61.6   0.0   4   4   0.00013    0.0035   13.9   0.0   207   278   262   342   257   344 0.77 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 398013at33208        -            280   2.2e-17   60.5  10.4   1   4       1.7        47    0.3   0.0   228   248    64    84    58    95 0.76 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 398013at33208        -            280   2.2e-17   60.5  10.4   2   4   4.4e-12   1.2e-10   38.3   0.5    95   250    95   260    88   265 0.75 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 398013at33208        -            280   2.2e-17   60.5  10.4   3   4   0.00082     0.023   11.2   0.1    97   133   265   302   259   305 0.83 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 398013at33208        -            280   2.2e-17   60.5  10.4   4   4   0.00014    0.0037   13.8   0.4    15    48   305   338   303   340 0.94 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 398013at33208        -            280   3.1e-17   60.0   9.9   1   2   2.2e-10   6.1e-09   32.7   1.6    32   133    17   123     8   126 0.82 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 398013at33208        -            280   3.1e-17   60.0   9.9   2   2   2.8e-12   7.7e-11   39.0   1.5    14   146    41   178    40   220 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 398013at33208        -            280   1.4e-15   54.5   0.3   1   3   2.3e-06   6.2e-05   19.6   0.0    90   145    72   128    47   134 0.85 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 398013at33208        -            280   1.4e-15   54.5   0.3   2   3   6.4e-05    0.0018   14.8   0.0   110   169   135   198   130   202 0.80 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 398013at33208        -            280   1.4e-15   54.5   0.3   3   3   2.5e-07   6.8e-06   22.8   0.0    79   166   189   278   189   311 0.70 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 398013at33208        -            280   1.4e-15   54.5   0.3   1   5     0.046       1.3    5.5   0.0    96   131   137   173   123   190 0.82 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 398013at33208        -            280   1.4e-15   54.5   0.3   2   5       1.2        32    0.9   0.0   225   253   205   233   195   248 0.81 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 398013at33208        -            280   1.4e-15   54.5   0.3   3   5       0.1       2.8    4.4   0.0   113   148   251   286   235   304 0.79 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 398013at33208        -            280   1.4e-15   54.5   0.3   4   5    0.0017     0.046   10.2   0.0   114   146   369   401   359   403 0.89 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 398013at33208        -            280   1.4e-15   54.5   0.3   5   5   0.00014    0.0038   13.7   0.0   222   248   402   428   399   437 0.88 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 398013at33208        -            280   1.7e-15   54.3   0.6   1   4   5.2e-05    0.0014   15.1   0.0   220   273     9    68     2    76 0.73 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 398013at33208        -            280   1.7e-15   54.3   0.6   2   4   2.8e-06   7.8e-05   19.3   0.0    77   133    66   123    56   136 0.76 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 398013at33208        -            280   1.7e-15   54.3   0.6   3   4   1.3e-05   0.00035   17.1   0.0   222   252   137   167   127   178 0.76 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 398013at33208        -            280   1.7e-15   54.3   0.6   4   4       1.7        46    0.4   0.1    23   240   190   211   161   212 0.69 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 398013at33208        -            280   2.8e-15   53.6   0.0   1   1   1.8e-15   4.9e-14   49.5   0.0    69   244    72   254    20   255 0.78 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 398013at33208        -            280   3.6e-15   53.2   0.5   1   2   9.6e-10   2.7e-08   30.7   0.0   115   246    13   155     5   162 0.78 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 398013at33208        -            280   3.6e-15   53.2   0.5   2   2   1.9e-06   5.3e-05   19.8   0.4   107   249   133   293   120   296 0.70 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 398013at33208        -            280   1.8e-14   50.9   0.0   1   2   4.5e-12   1.2e-10   38.3   0.0    22   170     7   163     1   163 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 398013at33208        -            280   1.8e-14   50.9   0.0   2   2   1.1e-05    0.0003   17.4   0.0   217   274   133   196   125   201 0.73 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 398013at33208        -            280   4.5e-14   49.6   0.5   1   4       3.4        93   -0.7   0.0    35    57    80   102    73   108 0.79 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 398013at33208        -            280   4.5e-14   49.6   0.5   2   4   3.5e-09   9.7e-08   28.8   0.0    23   136   109   227   102   250 0.78 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 398013at33208        -            280   4.5e-14   49.6   0.5   3   4       2.2        60   -0.0   0.0   134   169   273   308   264   313 0.85 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 398013at33208        -            280   4.5e-14   49.6   0.5   4   4   0.00014    0.0038   13.7   0.0    24   128   606   716   590   724 0.83 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 398013at33208        -            280   4.5e-14   49.6   1.0   1   3   4.6e-07   1.3e-05   21.9   0.0   221   276   219   272   208   276 0.83 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 398013at33208        -            280   4.5e-14   49.6   1.0   2   3      0.04       1.1    5.7   0.0   219   246   267   294   254   302 0.82 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 398013at33208        -            280   4.5e-14   49.6   1.0   3   3   4.4e-08   1.2e-06   25.2   0.4    26   137   270   387   269   403 0.78 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+      -            141 398013at33208        -            280   9.8e-14   48.5   0.0   1   1   4.4e-15   1.2e-13   48.2   0.0    95   201    13   124     4   138 0.85 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 398013at33208        -            280   1.6e-13   47.8   3.1   1   5    0.0025     0.069    9.6   0.0   132   247     9   126     3   138 0.65 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 398013at33208        -            280   1.6e-13   47.8   3.1   2   5       7.7   2.1e+02   -1.8   0.0    28    51   197   220   187   226 0.65 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 398013at33208        -            280   1.6e-13   47.8   3.1   3   5    0.0049      0.13    8.7   0.0   183   247   359   420   349   425 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 398013at33208        -            280   1.6e-13   47.8   3.1   4   5   6.4e-07   1.8e-05   21.4   0.0    16   157   427   579   421   589 0.52 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 398013at33208        -            280   1.6e-13   47.8   3.1   5   5      0.47        13    2.2   0.1    23    59   626   663   611   679 0.73 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 398013at33208        -            280   1.8e-13   47.6   0.3   1   2     0.013      0.36    7.3   0.1    30   144   126   240   110   248 0.83 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 398013at33208        -            280   1.8e-13   47.6   0.3   2   2   4.3e-12   1.2e-10   38.4   0.0    24   169   281   432   271   437 0.82 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 398013at33208        -            280   4.4e-13   46.3   0.3   1   1   2.7e-13   7.4e-12   42.3   0.3    27   243     5   243     1   243 0.76 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 398013at33208        -            280   7.6e-13   45.6   3.5   1   6     0.013      0.36    7.3   0.0   201   245    43    92    26   100 0.62 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 398013at33208        -            280   7.6e-13   45.6   3.5   2   6       0.5        14    2.1   0.0    25   246   200   225   186   239 0.65 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 398013at33208        -            280   7.6e-13   45.6   3.5   3   6    0.0051      0.14    8.6   0.0   221   249   244   272   216   284 0.72 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 398013at33208        -            280   7.6e-13   45.6   3.5   4   6    0.0052      0.14    8.6   0.1    83   167   307   394   296   483 0.61 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 398013at33208        -            280   7.6e-13   45.6   3.5   5   6    0.0012     0.034   10.6   0.1    97   248   365   520   342   524 0.64 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 398013at33208        -            280   7.6e-13   45.6   3.5   6   6    0.0022     0.059    9.8   0.1   186   247   493   563   491   579 0.56 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 398013at33208        -            280   1.1e-12   45.1   0.1   1   2   2.9e-10   7.9e-09   32.4   0.0    18   134    32   155    20   164 0.79 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+     -            213 398013at33208        -            280   1.1e-12   45.1   0.1   2   2    0.0024     0.065    9.7   0.0   112   142   175   205   165   210 0.84 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 398013at33208        -            280   1.2e-12   45.0   1.9   1   3   1.4e-08   3.8e-07   26.9   0.8    55   244    12   214     5   215 0.74 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 398013at33208        -            280   1.2e-12   45.0   1.9   2   3       1.5        41    0.5   0.0    26    48   192   214   178   228 0.67 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+    -            303 398013at33208        -            280   1.2e-12   45.0   1.9   3   3   0.00086     0.024   11.1   0.0   210   249   226   266   200   270 0.70 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 398013at33208        -            280   1.9e-12   44.3   1.7   1   5    0.0016     0.045   10.2   0.0   222   254   149   181   131   184 0.89 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 398013at33208        -            280   1.9e-12   44.3   1.7   2   5      0.03      0.82    6.1   0.0   222   248   201   227   189   230 0.84 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 398013at33208        -            280   1.9e-12   44.3   1.7   3   5   1.1e-05    0.0003   17.4   0.2     9   145   226   365   224   383 0.76 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 398013at33208        -            280   1.9e-12   44.3   1.7   4   5     0.022       0.6    6.5   0.0   104   145   373   415   363   418 0.77 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+    -            458 398013at33208        -            280   1.9e-12   44.3   1.7   5   5       1.7        46    0.4   0.0    23    38   418   433   414   445 0.88 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 398013at33208        -            280     3e-12   43.6   1.6   1   3       3.7     1e+02   -0.8   0.0    15    50    14    49     8    69 0.76 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 398013at33208        -            280     3e-12   43.6   1.6   2   3   0.00023    0.0064   13.0   0.1    96   139   110   153   105   165 0.82 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 398013at33208        -            280     3e-12   43.6   1.6   3   3   1.6e-07   4.4e-06   23.4   0.3   108   245   163   322   152   322 0.73 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+     -            168 398013at33208        -            280   3.7e-12   43.3   0.0   1   2   5.2e-12   1.4e-10   38.1   0.0    91   203     1   118     1   125 0.77 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+     -            168 398013at33208        -            280   3.7e-12   43.3   0.0   2   2       1.5        42    0.5   0.0    98   122   140   165   137   168 0.78 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+     -            265 398013at33208        -            280   3.9e-12   43.2   0.3   1   3   3.3e-08     9e-07   25.6   0.0    97   172     6    81     2   124 0.85 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+     -            265 398013at33208        -            280   3.9e-12   43.2   0.3   2   3     0.086       2.4    4.6   0.0   117   169   131   189   110   197 0.57 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+     -            265 398013at33208        -            280   3.9e-12   43.2   0.3   3   3    0.0033     0.092    9.2   0.0   108   151   214   260   199   264 0.75 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-     -            184 398013at33208        -            280   6.3e-12   42.6   0.7   1   1   7.3e-13     2e-11   40.9   0.7    13   166    23   184    12   184 0.79 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 398013at33208        -            280   6.3e-12   42.6   4.6   1   6      0.16       4.5    3.7   0.0   105   130   104   129    98   146 0.82 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 398013at33208        -            280   6.3e-12   42.6   4.6   2   6      0.65        18    1.7   0.1   112   131   163   182   134   197 0.63 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 398013at33208        -            280   6.3e-12   42.6   4.6   3   6      0.44        12    2.2   0.0    97   131   193   228   185   240 0.77 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 398013at33208        -            280   6.3e-12   42.6   4.6   4   6   0.00037      0.01   12.3   0.0    97   171   263   338   256   342 0.86 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 398013at33208        -            280   6.3e-12   42.6   4.6   5   6   4.4e-05    0.0012   15.4   0.0    95   132   346   385   341   394 0.83 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+       -            424 398013at33208        -            280   6.3e-12   42.6   4.6   6   6      0.27       7.4    3.0   0.0    98   126   393   421   387   424 0.60 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 398013at33208        -            280   7.3e-12   42.4   0.7   1   2   0.00042     0.012   12.2   0.3    20   130    34   151    14   165 0.72 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 398013at33208        -            280   7.3e-12   42.4   0.7   2   2   1.7e-09   4.6e-08   29.9   0.0    16   206   116   322   112   333 0.76 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 398013at33208        -            280   1.7e-11   41.1   0.5   1   5      0.41        11    2.4   0.0    20    48     8    36     2    49 0.61 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 398013at33208        -            280   1.7e-11   41.1   0.5   2   5   0.00037      0.01   12.4   0.0    96   141    49    95    18   103 0.68 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 398013at33208        -            280   1.7e-11   41.1   0.5   3   5   1.9e-06   5.2e-05   19.9   0.0    96   207    93   212    86   216 0.78 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 398013at33208        -            280   1.7e-11   41.1   0.5   4   5       5.5   1.5e+02   -1.4   0.0    25    50   249   274   239   289 0.74 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 398013at33208        -            280   1.7e-11   41.1   0.5   5   5       1.1        31    0.9   0.0    20    48   295   324   278   327 0.68 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 398013at33208        -            280   2.8e-11   40.4   0.3   1   2     0.088       2.4    4.6   0.0    19    54   102   137    94   146 0.79 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 398013at33208        -            280   2.8e-11   40.4   0.3   2   2   1.6e-10   4.4e-09   33.2   0.1    93   247   157   328   144   338 0.81 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 398013at33208        -            280   2.9e-11   40.4   1.8   1   3       1.1        29    1.0   0.0    97   130    82   116    51   141 0.61 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 398013at33208        -            280   2.9e-11   40.4   1.8   2   3   7.5e-09   2.1e-07   27.7   0.5    22   139   179   305   173   308 0.73 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-     -            430 398013at33208        -            280   2.9e-11   40.4   1.8   3   3    0.0016     0.043   10.3   0.0   210   247   302   339   300   357 0.72 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 398013at33208        -            280   3.7e-11   40.0   2.0   1   4      0.18       4.9    3.5   0.0    92   137    95   142    73   179 0.71 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 398013at33208        -            280   3.7e-11   40.0   2.0   2   4    0.0042      0.12    8.9   0.1    96   137   188   230   163   272 0.83 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 398013at33208        -            280   3.7e-11   40.0   2.0   3   4     0.054       1.5    5.3   0.0    39   130   361   459   328   474 0.61 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-      -            797 398013at33208        -            280   3.7e-11   40.0   2.0   4   4   1.1e-05   0.00031   17.3   0.0    12   135   477   605   466   622 0.65 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 398013at33208        -            280   1.3e-10   38.2   0.1   1   2   4.8e-07   1.3e-05   21.8   0.0    72   160   146   235    96   247 0.64 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 398013at33208        -            280   1.3e-10   38.2   0.1   2   2    0.0014     0.039   10.4   0.1    96   139   251   295   235   322 0.64 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+     -            337 398013at33208        -            280   3.7e-10   36.7   0.0   1   4    0.0039      0.11    9.0   0.0    14    49    52    87    48   112 0.78 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+     -            337 398013at33208        -            280   3.7e-10   36.7   0.0   2   4       2.8        77   -0.4   0.0   216   251   104   142    99   147 0.66 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+     -            337 398013at33208        -            280   3.7e-10   36.7   0.0   3   4      0.65        18    1.7   0.0   186   244   193   257   175   262 0.65 -
357580at33208_7574_0:003c5e|TRINITY_DN72062_c12_g1_i3:1014-2024|+     -            337 398013at33208        -            280   3.7e-10   36.7   0.0   4   4   7.3e-07     2e-05   21.2   0.0   206   271   262   335   235   337 0.76 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 398013at33208        -            280   1.6e-09   34.6   0.0   1   2   5.9e-09   1.6e-07   28.1   0.0    55   209    45   201     3   204 0.73 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 398013at33208        -            280   1.6e-09   34.6   0.0   2   2    0.0083      0.23    7.9   0.0    22   126   175   287   165   288 0.66 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+      -            275 398013at33208        -            280   2.1e-09   34.3   0.1   1   3    0.0024     0.065    9.7   0.0    94   134    12    53     4    61 0.84 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+      -            275 398013at33208        -            280   2.1e-09   34.3   0.1   2   3     0.098       2.7    4.4   0.0    97   132    68   104    65   147 0.76 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+      -            275 398013at33208        -            280   2.1e-09   34.3   0.1   3   3   2.8e-05   0.00076   16.0   0.0    79   136   187   245   171   261 0.81 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-     -            153 398013at33208        -            280   2.2e-09   34.2   0.4   1   2     0.013      0.37    7.2   0.0   227   275     5    59     2    64 0.72 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-     -            153 398013at33208        -            280   2.2e-09   34.2   0.4   2   2   1.4e-08   3.8e-07   26.9   0.2    27   129    43   152    39   153 0.73 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-     -            324 398013at33208        -            280   3.6e-09   33.5   0.0   1   3       3.3        91   -0.6   0.0   115   141    20    49     8    67 0.73 -
433216at33208_7038_0:001085|TRINITY_DN81296_c10_g1_i2:2764-3735|-     -            324 398013at33208        -            280   3.6e-09   33.5   0.0   2   3   0.00011    0.0031   14.0   0.0   220   255   157   193   148   205 0.80 -
