#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
462325at33208_294128_0:002083|TRINITY_DN80721_c7_g1_i4:1151-2632|- -            395 462325at33208        -            295  1.2e-118  393.0   0.8   1   1  7.7e-119    1e-116  386.7   0.8     1   295     5   385     5   385 0.84 -
462325at33208_7962_0:00b4d5|TRINITY_DN77833_c3_g1_i6:32-415|+      -            128 462325at33208        -            295   1.7e-16   57.7   0.0   1   1   1.8e-18   2.4e-16   57.2   0.0   201   295     1   121     1   121 0.76 -
462325at33208_438503_0:0024e9|TRINITY_DN87347_c2_g1_i3:1-267|-     -             89 462325at33208        -            295     3e-16   56.9   0.0   1   1   2.7e-18   3.5e-16   56.6   0.0   200   271     2    82     1    88 0.86 -
462325at33208_50429_0:0032dd|TRINITY_DN84603_c13_g1_i2:1453-2127|- -            225 462325at33208        -            295   6.3e-15   52.5   0.0   1   1   7.4e-17   9.8e-15   51.9   0.0     1   159     2   196     2   224 0.76 -
462325at33208_7719_0:002e72|TRINITY_DN92836_c9_g1_i1:149-1246|+    -            366 462325at33208        -            295   9.8e-13   45.3   0.0   1   2   2.1e-08   2.8e-06   24.1   0.0    72   162    78   179    60   215 0.77 -
462325at33208_7719_0:002e72|TRINITY_DN92836_c9_g1_i1:149-1246|+    -            366 462325at33208        -            295   9.8e-13   45.3   0.0   2   2   1.5e-06    0.0002   18.1   0.0   235   269   284   318   274   351 0.91 -
462325at33208_7962_0:00b4d5|TRINITY_DN84603_c13_g1_i2:316-666|-    -            117 462325at33208        -            295   1.7e-12   44.5   0.0   1   1   1.7e-14   2.3e-12   44.1   0.0   205   295     3   117     1   117 0.78 -
462325at33208_7962_0:00b4d5|TRINITY_DN92465_c8_g1_i1:1-222|-       -             74 462325at33208        -            295   9.6e-12   42.1   0.0   1   1   8.7e-14   1.2e-11   41.8   0.0   201   264     1    73     1    74 0.87 -
462325at33208_7962_0:00b4d5|TRINITY_DN85904_c3_g1_i1:14-253|-      -             80 462325at33208        -            295     2e-11   41.0   0.0   1   1   1.9e-13   2.5e-11   40.7   0.0   213   268     1    65     1    74 0.81 -
462325at33208_259920_0:0016e9|TRINITY_DN73906_c1_g2_i3:3-332|+     -            110 462325at33208        -            295   3.1e-11   40.4   0.0   1   1   3.8e-13     5e-11   39.7   0.0   219   295     1   103     1   103 0.77 -
462325at33208_9258_0:000ed5|TRINITY_DN92997_c2_g1_i1:8-199|-       -             64 462325at33208        -            295   4.2e-09   33.4   0.0   1   1   3.9e-11   5.2e-09   33.1   0.0   206   259     2    64     1    64 0.80 -
462325at33208_9258_0:000ed5|TRINITY_DN92997_c1_g2_i1:34-204|+      -             57 462325at33208        -            295   2.8e-08   30.7   0.0   1   1   2.5e-10   3.4e-08   30.4   0.0   201   248     1    57     1    57 0.81 -
462325at33208_279965_0:000081|TRINITY_DN92997_c1_g1_i1:62-295|-    -             78 462325at33208        -            295   4.2e-08   30.1   0.0   1   1   5.3e-10     7e-08   29.4   0.0   242   295     1    71     1    71 0.73 -
462325at33208_7962_0:00b4d5|TRINITY_DN73906_c1_g1_i1:17-247|-      -             77 462325at33208        -            295   4.6e-07   26.7   0.0   1   1   5.4e-09   7.2e-07   26.1   0.0   244   295     1    69     1    69 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/462325at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/462325at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/462325at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:26 2026
# [ok]
