#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
227979at33208_211228_0:0013d5|TRINITY_DN84811_c8_g2_i3:952-3102|- -            717 227979at33208        -            609  8.6e-261  864.1   4.7   1   1  2.7e-263  1.1e-260  863.8   4.7     1   599     1   661     1   671 0.95 -
63697at33208_294128_0:003c01|TRINITY_DN86809_c12_g1_i4:168-3713|- -           1182 227979at33208        -            609   0.00054   16.0   0.5   3   3      0.49   1.9e+02   -2.4   0.0   359   424   885   953   881   989 0.82 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 227979at33208        -            609   0.00088   15.3   1.9   1   4     0.043        17    1.1   0.0   341   413    21    98    10   113 0.71 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 227979at33208        -            609   0.00088   15.3   1.9   2   4      0.24        94   -1.4   0.0    64   103   159   198   145   215 0.81 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 227979at33208        -            609   0.00088   15.3   1.9   3   4      0.02       8.1    2.2   0.0    79   152   215   291   204   303 0.67 -
14776at33208_74869_0:000d2b|TRINITY_DN85959_c16_g1_i5:1185-3173|- -            663 227979at33208        -            609   0.00088   15.3   1.9   4   4   0.00028      0.11    8.3   0.1    43   131   416   504   371   540 0.65 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/227979at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/227979at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/227979at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:25 2026
# [ok]
