#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
581717at33208_6669_0:00081f|TRINITY_DN74244_c12_g1_i2:358-1305|-    -            316 581717at33208        -            249     1e-63  212.2   0.4   1   1   3.1e-63     1e-61  205.7   0.4    33   232    81   315    35   316 0.79 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   3.5e-13   46.7   4.0   3   5       0.4        14    2.2   0.0   180   225   559   605   536   615 0.81 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   3.5e-13   46.7   4.0   4   5    0.0026     0.087    9.4   0.1   144   210   606   674   591   679 0.75 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 581717at33208        -            249   3.5e-13   46.7   4.0   5   5   0.00055     0.018   11.6   0.0   175   212   681   718   673   733 0.88 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   8.4e-13   45.5   0.0   1   4     0.088       2.9    4.4   0.0   173   210    47    84    37   102 0.85 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   8.4e-13   45.5   0.0   2   4       2.1        71   -0.1   0.0   178   217    95   134    88   154 0.66 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   8.4e-13   45.5   0.0   3   4   1.9e-06   6.5e-05   19.6   0.0   123   211   158   254   146   265 0.77 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 581717at33208        -            249   8.4e-13   45.5   0.0   4   4   3.9e-05    0.0013   15.4   0.0   156   206   289   341   284   346 0.82 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   8.6e-13   45.4   0.0   1   6       0.1       3.5    4.1   0.0   183   213     1    31     1    42 0.85 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   8.6e-13   45.4   0.0   2   6     0.067       2.3    4.8   0.0   175   212    35    72    31    75 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   8.6e-13   45.4   0.0   3   6   0.00016    0.0054   13.3   0.0   172   214    74   116    69   125 0.91 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   8.6e-13   45.4   0.0   4   6      0.16       5.3    3.5   0.0   173   213   117   157   115   166 0.83 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   8.6e-13   45.4   0.0   5   6     0.026      0.86    6.1   0.0   184   225   171   212   166   223 0.87 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 581717at33208        -            249   8.6e-13   45.4   0.0   6   6      0.01      0.34    7.5   0.0   167   206   241   282   218   288 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   1.3e-11   41.6   0.2   1   5    0.0028     0.095    9.3   0.0   175   213   156   194   152   199 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   1.3e-11   41.6   0.2   2   5   5.4e-05    0.0018   14.9   0.1   177   220   200   243   194   255 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   1.3e-11   41.6   0.2   3   5    0.0058       0.2    8.2   0.1   171   214   236   279   233   282 0.93 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   1.3e-11   41.6   0.2   4   5     0.002     0.068    9.7   0.1   164   223   269   331   258   347 0.74 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 581717at33208        -            249   1.3e-11   41.6   0.2   5   5       4.4   1.5e+02   -1.2   0.0   192   211   431   450   419   458 0.52 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   1.6e-11   41.3   0.2   1   4   4.3e-06   0.00015   18.5   0.1   152   213    51   114    41   123 0.84 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   1.6e-11   41.3   0.2   2   4      0.97        33    1.0   0.0   177   219   120   163   113   175 0.76 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   1.6e-11   41.3   0.2   3   4   0.00012    0.0041   13.7   0.0   157   213   184   242   155   257 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 581717at33208        -            249   1.6e-11   41.3   0.2   4   4   0.00016    0.0053   13.4   0.0   159   213   186   242   182   317 0.75 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 581717at33208        -            249   8.8e-11   38.9   0.0   1   4       6.9   2.3e+02   -1.8   0.1    75    88    21    34     6    36 0.83 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 581717at33208        -            249   8.8e-11   38.9   0.0   2   4   1.1e-05   0.00036   17.2   0.0   154   213    61   122    46   128 0.89 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 581717at33208        -            249   8.8e-11   38.9   0.0   3   4      0.01      0.34    7.5   0.0   172   212   123   163   118   167 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 581717at33208        -            249   8.8e-11   38.9   0.0   4   4   0.00013    0.0042   13.7   0.0   165   206   156   199   153   201 0.89 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 581717at33208        -            249   9.5e-11   38.7   0.8   1   5    0.0045      0.15    8.6   0.0   179   219    11    51     4    54 0.83 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 581717at33208        -            249   9.5e-11   38.7   0.8   2   5     0.053       1.8    5.1   0.0   173   210    47    84    44    88 0.87 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 581717at33208        -            249   9.5e-11   38.7   0.8   3   5   4.5e-05    0.0015   15.2   0.0   171   229    87   145    80   155 0.83 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 581717at33208        -            249   9.5e-11   38.7   0.8   4   5      0.02      0.66    6.5   0.0   187   232   147   190   132   196 0.74 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 581717at33208        -            249   9.5e-11   38.7   0.8   5   5       1.4        47    0.4   0.0   154   201   236   286   220   289 0.70 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 581717at33208        -            249   1.4e-10   38.2   4.3   1   4       1.1        38    0.7   0.0   192   209    63    80    54    84 0.67 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 581717at33208        -            249   1.4e-10   38.2   4.3   2   4    0.0087      0.29    7.7   0.0   173   213    92   132    89   140 0.89 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 581717at33208        -            249   1.4e-10   38.2   4.3   3   4   1.7e-05   0.00057   16.5   0.2   130   214   177   259   167   267 0.78 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 581717at33208        -            249   1.4e-10   38.2   4.3   4   4     0.012       0.4    7.2   0.2   160   209   287   338   271   340 0.81 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   1   7    0.0082      0.27    7.8   0.0   176   212     3    39     1    54 0.82 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   2   7     0.025      0.85    6.1   0.0   181   212    53    84    47    89 0.91 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   3   7     0.067       2.2    4.8   0.0   174   212    90   128    86   136 0.85 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   4   7     0.092       3.1    4.3   0.0   175   211   136   172   129   176 0.85 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   5   7     0.046       1.5    5.3   0.0   174   209   179   214   171   218 0.88 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   6   7       1.2        40    0.7   0.0   120   137   258   275   239   302 0.67 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 581717at33208        -            249   1.6e-10   38.0   0.0   7   7       4.2   1.4e+02   -1.1   0.0    45    59   310   324   293   327 0.66 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 581717at33208        -            249   8.5e-10   35.6   0.7   1   3     1e-05   0.00034   17.3   0.0   155   211    19    77     3    83 0.78 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 581717at33208        -            249   8.5e-10   35.6   0.7   2   3     0.065       2.2    4.8   0.0   173   213    81   121    78   125 0.89 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 581717at33208        -            249   8.5e-10   35.6   0.7   3   3   0.00057     0.019   11.6   0.0   173   213   123   163   113   180 0.85 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   1.1e-09   35.2   0.0   1   5     0.027      0.91    6.1   0.0   173   212    10    49     2    57 0.90 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   1.1e-09   35.2   0.0   2   5     0.019      0.65    6.5   0.0   175   213    65   103    55   114 0.85 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   1.1e-09   35.2   0.0   3   5     0.023      0.76    6.3   0.0   180   215   165   200   130   209 0.84 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   1.1e-09   35.2   0.0   4   5     0.073       2.4    4.6   0.0   182   217   209   244   199   253 0.84 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 581717at33208        -            249   1.1e-09   35.2   0.0   5   5      0.02      0.67    6.5   0.0   175   202   248   275   241   275 0.87 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 581717at33208        -            249     2e-09   34.4   0.1   1   3   0.00036     0.012   12.2   0.0   161   211    29    81    18    86 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 581717at33208        -            249     2e-09   34.4   0.1   2   3    0.0049      0.16    8.5   0.0   168   213    80   125    74   130 0.90 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 581717at33208        -            249     2e-09   34.4   0.1   3   3   0.00015    0.0049   13.5   0.1   171   210   125   164   122   166 0.93 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 581717at33208        -            249   3.6e-09   33.6   0.0   1   2     0.031         1    5.9   0.0   151   216    53   120    45   130 0.86 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 581717at33208        -            249   3.6e-09   33.6   0.0   2   2   4.3e-08   1.4e-06   25.1   0.0   121   235   193   322   176   324 0.68 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 581717at33208        -            249   9.5e-09   32.2   0.0   1   3     0.029      0.97    6.0   0.0   173   224    13    64     6    85 0.80 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 581717at33208        -            249   9.5e-09   32.2   0.0   2   3   0.00075     0.025   11.2   0.0   165   212    92   138    73   147 0.83 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 581717at33208        -            249   9.5e-09   32.2   0.0   3   3    0.0018     0.059    9.9   0.0    75   135   162   223   158   302 0.86 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 581717at33208        -            249   1.4e-08   31.6   0.1   1   3      0.04       1.4    5.5   0.1   110   142    39    72    15    80 0.57 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 581717at33208        -            249   1.4e-08   31.6   0.1   2   3   5.3e-05    0.0018   14.9   0.0   172   215    69   112    51   118 0.76 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 581717at33208        -            249   1.4e-08   31.6   0.1   3   3   0.00069     0.023   11.3   0.0   173   210   113   151   111   153 0.88 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   1.8e-08   31.3   0.0   1   4       3.2   1.1e+02   -0.8   0.0   177   202     2    27     1    28 0.88 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   1.8e-08   31.3   0.0   2   4    0.0008     0.027   11.1   0.0   174   224    41    92    39   111 0.86 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   1.8e-08   31.3   0.0   3   4       0.6        20    1.7   0.0   155   223   157   227   143   235 0.82 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 581717at33208        -            249   1.8e-08   31.3   0.0   4   4   0.00015    0.0051   13.4   0.0   175   212   279   316   251   323 0.82 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   2.5e-08   30.8   0.0   1   6      0.58        19    1.7   0.0   134   215    93   175    80   188 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   2.5e-08   30.8   0.0   2   6       2.4        79   -0.3   0.0   184   215   199   230   195   237 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   2.5e-08   30.8   0.0   3   6      0.28       9.3    2.7   0.0   176   213   232   269   210   283 0.81 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   2.5e-08   30.8   0.0   4   6       6.1   2.1e+02   -1.7   0.0   191   211   288   308   282   315 0.76 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   2.5e-08   30.8   0.0   5   6    0.0026     0.087    9.4   0.0   171   207   310   346   295   362 0.89 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 581717at33208        -            249   2.5e-08   30.8   0.0   6   6    0.0025     0.083    9.5   0.0   170   219   385   434   361   439 0.83 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 581717at33208        -            249   3.7e-08   30.3   0.0   1   2      0.27       8.9    2.8   0.0   178   214     2    38     1    47 0.87 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 581717at33208        -            249   3.7e-08   30.3   0.0   2   2   6.7e-08   2.2e-06   24.4   0.0   142   231    49   141    37   147 0.76 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 581717at33208        -            249   4.2e-08   30.1   0.0   1   2   1.6e-05   0.00053   16.6   0.0   155   233   112   194    86   200 0.86 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 581717at33208        -            249   4.2e-08   30.1   0.0   2   2   0.00074     0.025   11.2   0.0   154   211   236   295   187   304 0.73 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   1.3e-07   28.5   5.0   1   5   0.00025    0.0084   12.7   0.1   173   230     2    59     1    62 0.80 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   1.3e-07   28.5   5.0   2   5     0.031         1    5.8   0.2   173   213    42    80    40    87 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   1.3e-07   28.5   5.0   3   5      0.16       5.5    3.5   0.1   175   211    84   118    60   125 0.62 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   1.3e-07   28.5   5.0   4   5     0.006       0.2    8.2   0.1   169   219   118   167   111   196 0.81 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 581717at33208        -            249   1.3e-07   28.5   5.0   5   5      0.36        12    2.4   0.1   109   136   215   241   173   250 0.56 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   2.4e-07   27.6   0.2   1   4   0.00071     0.024   11.2   0.0    73    90    47    64    28    73 0.78 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   2.4e-07   27.6   0.2   2   4      0.86        29    1.1   0.0   175   215    72   112    65   127 0.80 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   2.4e-07   27.6   0.2   3   4   0.00034     0.012   12.3   0.1   172   228   111   168    90   183 0.80 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 581717at33208        -            249   2.4e-07   27.6   0.2   4   4    0.0013     0.043   10.4   0.0   151   228   130   210   122   213 0.78 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   2.7e-07   27.4   0.5   1   4      0.45        15    2.0   0.0   146   177   148   179   135   204 0.73 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   2.7e-07   27.4   0.5   2   4     0.014      0.48    6.9   0.0   154   208   241   298   228   304 0.88 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   2.7e-07   27.4   0.5   3   4       2.4        80   -0.3   0.0    74    91   493   510   476   515 0.84 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 581717at33208        -            249   2.7e-07   27.4   0.5   4   4   0.00031      0.01   12.4   0.3   123   212   510   593   503   600 0.78 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 581717at33208        -            249   4.2e-07   26.8   0.0   1   3      0.34        11    2.5   0.0   189   211    16    38     1    42 0.53 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 581717at33208        -            249   4.2e-07   26.8   0.0   2   3    0.0019     0.062    9.9   0.0   164   212    33    81    10    84 0.80 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 581717at33208        -            249   4.2e-07   26.8   0.0   3   3   1.6e-05   0.00052   16.7   0.0   162   209    73   120    72   120 0.94 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 581717at33208        -            249   4.4e-07   26.7   0.4   1   3    0.0018     0.059    9.9   0.0   171   210   185   224   128   249 0.87 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 581717at33208        -            249   4.4e-07   26.7   0.4   2   3   0.00013    0.0045   13.6   0.1   154   231   332   413   318   419 0.76 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 581717at33208        -            249   4.4e-07   26.7   0.4   3   3   0.00095     0.032   10.8   0.1    63   137   364   433   355   454 0.82 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   4.9e-07   26.6   0.2   1   4   3.4e-05    0.0012   15.5   0.0   108   153    40    85     8    97 0.80 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   4.9e-07   26.6   0.2   2   4      0.52        18    1.8   0.0    75    90    97   112    93   117 0.88 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   4.9e-07   26.6   0.2   3   4       1.3        43    0.6   0.0   155   199   139   185   113   186 0.75 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 581717at33208        -            249   4.9e-07   26.6   0.2   4   4      0.24       7.9    3.0   0.0   152   220   231   299   216   310 0.69 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   6.7e-07   26.1   0.0   1   5      0.24       8.2    2.9   0.0   148   199   115   170    60   174 0.59 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   6.7e-07   26.1   0.0   2   5       1.3        44    0.5   0.0   181   213   239   271   235   285 0.88 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   6.7e-07   26.1   0.0   3   5      0.22       7.3    3.1   0.0   168   220   312   364   295   384 0.85 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   6.7e-07   26.1   0.0   4   5      0.17       5.6    3.5   0.0    73   132   458   514   455   522 0.56 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 581717at33208        -            249   6.7e-07   26.1   0.0   5   5     0.017      0.58    6.7   0.0   183   222   534   573   526   581 0.85 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 581717at33208        -            249   1.1e-06   25.5   0.0   1   2   2.4e-05   0.00081   16.0   0.0   177   218   162   204   157   213 0.82 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 581717at33208        -            249   1.1e-06   25.5   0.0   2   2     0.024       0.8    6.2   0.1    75   128   228   281   201   294 0.55 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 581717at33208        -            249   1.6e-06   24.9   1.4   1   3    0.0036      0.12    8.9   0.1   154   210   101   159    36   169 0.74 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 581717at33208        -            249   1.6e-06   24.9   1.4   2   3    0.0025     0.084    9.4   0.0   120   212   101   204    93   224 0.55 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 581717at33208        -            249   1.6e-06   24.9   1.4   3   3   0.00064     0.022   11.4   0.2   163   213   235   287   186   308 0.69 -
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 581717at33208        -            249     6e-06   23.0   0.1   1   3     0.098       3.3    4.2   0.0    73   134    48   104    29   109 0.61 -
