#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 578734at33208        -            193     6e-60  199.3   7.8   1   1     3e-61   2.4e-59  197.3   7.8     3   193     6   238     1   238 0.86 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   9.7e-29   97.5  32.4   3   5   6.6e-12   5.2e-10   36.4   0.2    68   148   190   279   189   283 0.89 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   9.7e-29   97.5  32.4   4   5     5e-11     4e-09   33.5   1.5    67   148   212   302   211   304 0.83 -
453056at33208_8255_0:001b1c|TRINITY_DN92834_c4_g1_i6:162-1256|+      -            365 578734at33208        -            193   9.7e-29   97.5  32.4   5   5   7.9e-07   6.3e-05   19.8   2.0    54   113   291   353   288   364 0.83 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   1.2e-26   90.7  24.5   1   4   0.00015     0.012   12.4   0.1    66   112     9    58     2    64 0.85 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   1.2e-26   90.7  24.5   2   4   9.9e-14   7.9e-12   42.3   3.4    39   149    61   173    58   177 0.87 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   1.2e-26   90.7  24.5   3   4   2.5e-12     2e-10   37.7   4.4    62   152   195   294   172   307 0.81 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-    -            352 578734at33208        -            193   1.2e-26   90.7  24.5   4   4    0.0016      0.13    9.0   0.2   122   148   312   338   301   345 0.64 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   1.1e-19   67.9  16.7   1   5      0.16        13    2.5   0.0    81   107     3    30     1    36 0.83 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   1.1e-19   67.9  16.7   2   5   1.5e-06   0.00012   18.9   1.4    72   148    39   124    31   126 0.73 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   1.1e-19   67.9  16.7   3   5   8.7e-08   6.9e-06   22.9   5.3    20   129    82   228    79   233 0.60 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   1.1e-19   67.9  16.7   4   5   2.8e-05    0.0023   14.7   0.6    75   148   235   320   231   324 0.58 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 578734at33208        -            193   1.1e-19   67.9  16.7   5   5     0.001      0.08    9.7   0.0    71   114   330   377   325   391 0.82 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 578734at33208        -            193   4.6e-19   65.9   9.5   1   3   1.5e-08   1.2e-06   25.4   0.8    77   149    13    96     2    97 0.76 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 578734at33208        -            193   4.6e-19   65.9   9.5   2   3   2.1e-09   1.7e-07   28.2   1.1    55   116    62   126    59   129 0.87 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 578734at33208        -            193   4.6e-19   65.9   9.5   3   3   4.2e-11   3.4e-09   33.7   1.7    67   149   120   210   119   226 0.89 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+    -            303 578734at33208        -            193   8.3e-19   65.1   5.2   1   2     1e-05   0.00079   16.2   0.2    94   150     5    67     1    85 0.75 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+    -            303 578734at33208        -            193   8.3e-19   65.1   5.2   2   2   4.9e-16   3.9e-14   49.8   1.0    29   171   148   299   122   301 0.83 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 578734at33208        -            193   1.5e-18   64.2  11.5   1   3   1.8e-05    0.0014   15.4   0.4   115   149    66   100     2   101 0.77 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 578734at33208        -            193   1.5e-18   64.2  11.5   2   3   6.5e-07   5.2e-05   20.1   0.4    66   111   100   148    99   150 0.89 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 578734at33208        -            193   1.5e-18   64.2  11.5   3   3   1.9e-11   1.5e-09   34.8   1.4    67   150   147   239   144   243 0.87 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 578734at33208        -            193   9.3e-17   58.4  16.7   1   2     1e-10   8.2e-09   32.5   3.1    68   138     4    84     1    84 0.70 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 578734at33208        -            193   9.3e-17   58.4  16.7   2   2   2.2e-12   1.7e-10   37.9   5.9    66   142    26   111    26   126 0.83 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 578734at33208        -            193   9.8e-17   58.3   0.4   1   3     6e-08   4.8e-06   23.4   0.0    63   113     9    62     1    64 0.87 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 578734at33208        -            193   9.8e-17   58.3   0.4   2   3   2.3e-08   1.8e-06   24.8   0.1    66   112    58   107    58   110 0.89 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 578734at33208        -            193   9.8e-17   58.3   0.4   3   3   3.9e-05    0.0031   14.3   0.0    67   112   105   153   104   158 0.80 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   1.7e-16   57.5   2.5   1   5   3.7e-05    0.0029   14.3   0.1    32   114     2    86     1    89 0.58 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   1.7e-16   57.5   2.5   2   5   9.6e-06   0.00076   16.3   0.0    71   151    87   175    84   197 0.75 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   1.7e-16   57.5   2.5   3   5   0.00045     0.036   10.8   0.0    72   149   180   266   177   267 0.81 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   1.7e-16   57.5   2.5   4   5   3.2e-05    0.0025   14.6   0.1    50   111   236   292   204   314 0.72 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 578734at33208        -            193   1.7e-16   57.5   2.5   5   5     0.057       4.5    4.0   0.1    71   106   350   389   330   389 0.78 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 578734at33208        -            193   6.9e-16   55.5  28.5   1   6     0.014       1.1    5.9   0.1    75   112     1    42     1    47 0.83 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 578734at33208        -            193   6.9e-16   55.5  28.5   2   6   0.00049     0.039   10.7   0.4    72   112    46    90    41    94 0.80 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 578734at33208        -            193   6.9e-16   55.5  28.5   3   6   1.1e-06   8.9e-05   19.3   2.7    24   112    95   186    92   191 0.80 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 578734at33208        -            193   6.9e-16   55.5  28.5   4   6   1.8e-06   0.00015   18.6   2.8    72   146   190   276   185   280 0.76 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 578734at33208        -            193   6.9e-16   55.5  28.5   5   6    0.0011     0.085    9.6   0.2    67   110   256   305   237   326 0.76 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 578734at33208        -            193   6.9e-16   55.5  28.5   6   6   1.4e-05    0.0011   15.8   0.4    42   109   290   363   268   365 0.78 -
514121at33208_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+      -            271 578734at33208        -            193     1e-15   55.0   6.7   1   3     5e-06    0.0004   17.2   2.3    45   119    33    86     8    86 0.58 -
514121at33208_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+      -            271 578734at33208        -            193     1e-15   55.0   6.7   2   3   2.5e-09     2e-07   27.9   0.9    64   148    74   170    68   172 0.81 -
514121at33208_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+      -            271 578734at33208        -            193     1e-15   55.0   6.7   3   3   9.5e-06   0.00076   16.3   0.0    68   101   173   206   171   212 0.94 -
578734at33208_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 578734at33208        -            193   3.8e-15   53.1  16.1   1   2   1.3e-09     1e-07   28.9   5.0    66   148     9    99     4   100 0.84 -
578734at33208_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 578734at33208        -            193   3.8e-15   53.1  16.1   2   2   5.6e-12   4.4e-10   36.6   3.4    67   151    56   149    54   169 0.80 -
382000at33208_294128_0:003989|TRINITY_DN75758_c13_g1_i1:209-1210|+   -            334 578734at33208        -            193   2.2e-14   50.7  14.6   1   3   0.00019     0.015   12.0   2.0    66   109   121   167   108   169 0.72 -
382000at33208_294128_0:003989|TRINITY_DN75758_c13_g1_i1:209-1210|+   -            334 578734at33208        -            193   2.2e-14   50.7  14.6   2   3   1.5e-10   1.2e-08   31.9   6.4    25   111   129   217   126   239 0.76 -
382000at33208_294128_0:003989|TRINITY_DN75758_c13_g1_i1:209-1210|+   -            334 578734at33208        -            193   2.2e-14   50.7  14.6   3   3   6.1e-05    0.0049   13.6   0.8    66   131   261   331   247   334 0.76 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+      -            238 578734at33208        -            193   1.5e-13   47.9  10.2   1   4   7.9e-07   6.3e-05   19.8   0.2    76   114    21    63     5    65 0.82 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+      -            238 578734at33208        -            193   1.5e-13   47.9  10.2   2   4    0.0012     0.094    9.4   0.3    70   113    63   110    61   116 0.80 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+      -            238 578734at33208        -            193   1.5e-13   47.9  10.2   3   4   0.00053     0.042   10.6   0.2    38   112    88   160    84   165 0.65 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+      -            238 578734at33208        -            193   1.5e-13   47.9  10.2   4   4   1.3e-06   0.00011   19.0   0.2    14    95   155   235   150   237 0.68 -
578734at33208_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 578734at33208        -            193   1.2e-12   45.0   6.5   1   3   0.00056     0.044   10.5   0.2    74   112    21    64     4    65 0.69 -
578734at33208_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 578734at33208        -            193   1.2e-12   45.0   6.5   2   3   1.8e-06   0.00014   18.7   0.3   113   149    47    84    43    85 0.85 -
578734at33208_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 578734at33208        -            193   1.2e-12   45.0   6.5   3   3   2.7e-09   2.1e-07   27.8   0.3    67   119    85   140    84   153 0.91 -
567650at33208_37621_0:000465|TRINITY_DN85551_c9_g1_i1:424-1650|-     -            409 578734at33208        -            193   1.4e-12   44.8  12.3   1   2   9.9e-09   7.8e-07   26.0   5.8    31   143   112   230   100   239 0.78 -
567650at33208_37621_0:000465|TRINITY_DN85551_c9_g1_i1:424-1650|-     -            409 578734at33208        -            193   1.4e-12   44.8  12.3   2   2   2.2e-07   1.8e-05   21.6   0.9    67   122   240   298   233   305 0.83 -
514121at33208_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-       -            115 578734at33208        -            193   2.1e-10   37.6   3.8   1   1   9.5e-11   7.6e-09   32.6   3.8    34   139     3   114     1   115 0.73 -
514121at33208_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+      -            171 578734at33208        -            193   1.1e-09   35.3   5.4   1   1   2.3e-11   1.8e-09   34.6   5.3    16   151    13   152     4   167 0.79 -
578734at33208_13249_0:0026b7|TRINITY_DN93731_c3_g2_i1:2882-3256|-    -            125 578734at33208        -            193   1.2e-09   35.1   5.2   1   1     6e-10   4.8e-08   30.0   5.2    38   115    14   105     1   125 0.68 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 578734at33208        -            193   1.5e-09   34.9  15.4   1   4   0.00083     0.066    9.9   1.1    98   149    56   115    26   118 0.69 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 578734at33208        -            193   1.5e-09   34.9  15.4   2   4   2.1e-06   0.00017   18.4   0.4    72   118   122   172   116   192 0.77 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 578734at33208        -            193   1.5e-09   34.9  15.4   3   4    0.0006     0.048   10.4   0.4    26   113   173   264   169   272 0.66 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 578734at33208        -            193   1.5e-09   34.9  15.4   4   4     0.039       3.1    4.5   0.1    79   114   299   339   270   347 0.61 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+      -            193 578734at33208        -            193     4e-09   33.5   9.5   1   2   4.3e-05    0.0034   14.1   2.8    31   150    23    79     6   119 0.56 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+      -            193 578734at33208        -            193     4e-09   33.5   9.5   2   2   1.5e-07   1.2e-05   22.2   1.2    34   113   114   191    96   193 0.71 -
567650at33208_7739_0:005234|TRINITY_DN74490_c13_g1_i2:141-440|+      -            100 578734at33208        -            193   4.5e-09   33.3   4.9   1   1   1.6e-10   1.3e-08   31.8   4.8    22   106    15   100     4   100 0.72 -
514121at33208_286706_0:003544|TRINITY_DN93731_c3_g2_i1:1620-2321|-   -            234 578734at33208        -            193   9.1e-09   32.3   9.3   1   3   5.2e-05    0.0041   13.9   0.1    75   111     1    41     1    47 0.81 -
514121at33208_286706_0:003544|TRINITY_DN93731_c3_g2_i1:1620-2321|-   -            234 578734at33208        -            193   9.1e-09   32.3   9.3   2   3     0.011      0.87    6.3   0.0    45    78    51    86    43    95 0.60 -
514121at33208_286706_0:003544|TRINITY_DN93731_c3_g2_i1:1620-2321|-   -            234 578734at33208        -            193   9.1e-09   32.3   9.3   3   3   0.00016     0.012   12.3   3.8    28   112   138   228   134   233 0.70 -
382000at33208_535359_0:001041|TRINITY_DN75291_c12_g2_i1:253-825|+    -            191 578734at33208        -            193   4.5e-08   30.0   2.3   1   2   8.3e-05    0.0066   13.2   0.7    43   112     5    70     1    75 0.68 -
382000at33208_535359_0:001041|TRINITY_DN75291_c12_g2_i1:253-825|+    -            191 578734at33208        -            193   4.5e-08   30.0   2.3   2   2   2.3e-05    0.0018   15.0   0.0    78   131    81   138    76   150 0.79 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+  -            143 578734at33208        -            193   5.8e-08   29.7   4.3   1   2   1.4e-05    0.0011   15.7   0.1    63   112    15    67     4    71 0.78 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+  -            143 578734at33208        -            193   5.8e-08   29.7   4.3   2   2   3.1e-07   2.5e-05   21.1   1.5    23   128    24   142    19   143 0.57 -
553585at33208_29159_0:00578f|TRINITY_DN83605_c10_g1_i6:2517-2789|-   -             91 578734at33208        -            193   3.3e-07   27.2   5.7   1   2   0.00048     0.038   10.7   0.5    79   111     1    35     1    38 0.83 -
553585at33208_29159_0:00578f|TRINITY_DN83605_c10_g1_i6:2517-2789|-   -             91 578734at33208        -            193   3.3e-07   27.2   5.7   2   2   8.5e-07   6.8e-05   19.7   0.9    71   111    37    79    35    88 0.88 -
578734at33208_680683_0:002abd|TRINITY_DN92851_c12_g1_i1:448-939|+    -            164 578734at33208        -            193   4.8e-07   26.7   6.2   1   1   1.2e-08   9.4e-07   25.7   6.2    32   149     9   137     5   141 0.77 -
514121at33208_121845_0:002a7b|TRINITY_DN78702_c6_g4_i1:18-188|-      -             57 578734at33208        -            193   6.5e-07   26.3   0.2   1   1   1.2e-05   0.00092   16.0   0.1    67    97    26    56    25    57 0.92 -
514121at33208_8208_0:003036|TRINITY_DN83407_c11_g1_i1:3625-4026|-    -            134 578734at33208        -            193   1.1e-05   22.3   7.0   1   2    0.0095      0.75    6.5   0.1    77   112     2    41     1    44 0.82 -
514121at33208_8208_0:003036|TRINITY_DN83407_c11_g1_i1:3625-4026|-    -            134 578734at33208        -            193   1.1e-05   22.3   7.0   2   2   6.7e-06   0.00053   16.8   2.9    73   146    46   131    41   134 0.48 -
553585at33208_6087_0:000cda|TRINITY_DN78231_c3_g2_i1:132-518|+       -            129 578734at33208        -            193   5.5e-05   20.0   3.2   1   2   0.00061     0.048   10.4   0.2    68   109    21    61     4    62 0.87 -
553585at33208_6087_0:000cda|TRINITY_DN78231_c3_g2_i1:132-518|+       -            129 578734at33208        -            193   5.5e-05   20.0   3.2   2   2   3.7e-06   0.00029   17.6   0.6    25    65    46    93    36   123 0.71 -
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 578734at33208        -            193   6.4e-05   19.8   3.9   1   3   1.6e-06   0.00013   18.8   1.0    88   149    34   101     2   105 0.82 -
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 578734at33208        -            193   6.4e-05   19.8   3.9   2   3     0.054       4.3    4.0   0.4    25    49    86   110    85   156 0.64 -
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 578734at33208        -            193   6.4e-05   19.8   3.9   3   3         1        80   -0.1   0.0    23    48   136   161   126   181 0.78 -
382000at33208_28588_0:00096d|TRINITY_DN49419_c0_g1_i2:507-1067|-     -            187 578734at33208        -            193   6.8e-05   19.7  11.3   1   2   3.5e-05    0.0028   14.4   7.7    70   148    78   164     6   165 0.68 -
382000at33208_28588_0:00096d|TRINITY_DN49419_c0_g1_i2:507-1067|-     -            187 578734at33208        -            193   6.8e-05   19.7  11.3   2   2    0.0042      0.33    7.6   1.7    37    90   122   166   119   187 0.56 -
578734at33208_70779_0:0023d6|TRINITY_DN91745_c1_g1_i2:1062-1463|-    -            134 578734at33208        -            193   0.00053   16.8   0.9   1   2      0.77        61    0.2   0.0   101   109    10    18     3    23 0.53 -
578734at33208_70779_0:0023d6|TRINITY_DN91745_c1_g1_i2:1062-1463|-    -            134 578734at33208        -            193   0.00053   16.8   0.9   2   2   2.6e-05    0.0021   14.8   0.8    67   123    22    83     8    95 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/578734at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/578734at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/578734at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:27 2026
# [ok]
