#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 361203at33208        -            388    3e-123  408.8   5.5   1   1    3e-124  7.1e-123  407.6   5.5    24   388     1   424     1   424 0.84 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 361203at33208        -            388   1.1e-12   44.9   0.0   4   4   0.00019    0.0045   13.2   0.0   216   267   192   243   178   243 0.90 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 361203at33208        -            388   1.1e-12   44.8   4.2   1   5       0.1       2.4    4.3   0.0    59    96    48    84    45    90 0.83 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 361203at33208        -            388   1.1e-12   44.8   4.2   2   5     0.014      0.32    7.1   0.0   234   268    92   126    87   132 0.88 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 361203at33208        -            388   1.1e-12   44.8   4.2   3   5    0.0011     0.025   10.8   0.1    59    98   133   172   129   187 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 361203at33208        -            388   1.1e-12   44.8   4.2   4   5      0.65        15    1.6   0.0    80    97   195   212   179   216 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 361203at33208        -            388   1.1e-12   44.8   4.2   5   5   1.6e-05   0.00038   16.8   0.1    59   185   217   342   204   345 0.63 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 361203at33208        -            388   1.6e-12   44.3   4.3   1   5   0.00013    0.0031   13.8   0.1    62   123   158   233   153   245 0.77 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 361203at33208        -            388   1.6e-12   44.3   4.3   2   5   1.2e-06   2.9e-05   20.5   0.1   204   321   211   331   208   335 0.81 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 361203at33208        -            388   1.6e-12   44.3   4.3   3   5      0.24       5.6    3.0   0.0    60    95   324   357   321   361 0.86 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 361203at33208        -            388   1.6e-12   44.3   4.3   4   5    0.0011     0.027   10.7   0.0    58    95   363   398   359   404 0.90 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 361203at33208        -            388   1.6e-12   44.3   4.3   5   5      0.36       8.5    2.4   0.0   236   269   416   449   400   454 0.78 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 361203at33208        -            388   1.9e-12   44.1   4.3   1   3    0.0009     0.021   11.0   0.0    62    98     1    36     1    45 0.85 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 361203at33208        -            388   1.9e-12   44.1   4.3   2   3    0.0019     0.045    9.9   0.1   238   268    45    75    39    84 0.62 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 361203at33208        -            388   1.9e-12   44.1   4.3   3   3   5.1e-08   1.2e-06   25.0   0.4   226   312    75   165    73   177 0.82 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 361203at33208        -            388   7.5e-12   42.1   0.3   1   2      0.05       1.2    5.3   0.0    64    97     6    38     1    41 0.58 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 361203at33208        -            388   7.5e-12   42.1   0.3   2   2   9.4e-13   2.2e-11   40.6   0.2   214   305    24   119    11   120 0.87 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 361203at33208        -            388   9.3e-12   41.8   0.4   1   2   1.1e-07   2.5e-06   23.9   0.0   239   315     4    84     2    91 0.86 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 361203at33208        -            388   9.3e-12   41.8   0.4   2   2   2.8e-05   0.00067   16.0   0.5    62   136    86   180    84   189 0.71 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 361203at33208        -            388   6.5e-11   39.0   0.2   1   2   4.8e-06   0.00011   18.5   0.0   195   271    33   113    11   121 0.85 -
207599at33208_6279_0:001be8|TRINITY_DN92405_c11_g1_i2:148-2361|+    -            738 361203at33208        -            388   6.5e-11   39.0   0.2   2   2     5e-06   0.00012   18.4   0.1   202   305   129   241   119   245 0.80 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 361203at33208        -            388   6.8e-11   39.0   0.0   1   1   1.7e-08   4.1e-07   26.5   0.0    85   270    34   222    31   224 0.71 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 361203at33208        -            388   7.1e-11   38.9   2.0   1   1   1.1e-11   2.5e-10   37.1   2.0   158   302    29   181     4   184 0.74 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 361203at33208        -            388   7.7e-11   38.8   0.2   1   4       1.2        28    0.8   0.0   234   268    13    47     4    68 0.82 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 361203at33208        -            388   7.7e-11   38.8   0.2   2   4     0.012      0.28    7.3   0.0   232   272   106   145   102   151 0.76 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 361203at33208        -            388   7.7e-11   38.8   0.2   3   4   6.9e-05    0.0016   14.7   0.0    64    97   152   185   145   188 0.93 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 361203at33208        -            388   7.7e-11   38.8   0.2   4   4    0.0025     0.058    9.6   0.0   280   307   295   322   253   322 0.80 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 361203at33208        -            388   1.4e-10   38.0   0.3   1   2   6.9e-07   1.6e-05   21.3   0.0    58   112    74   134    60   145 0.77 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 361203at33208        -            388   1.4e-10   38.0   0.3   2   2    0.0001    0.0023   14.2   0.0   144   263   193   316   182   317 0.81 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 361203at33208        -            388   1.4e-10   37.9   1.5   1   3    0.0014     0.034   10.4   0.3    64    97   319   352   314   359 0.93 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 361203at33208        -            388   1.4e-10   37.9   1.5   2   3    0.0016     0.037   10.2   0.0    61    96   359   394   354   417 0.88 -
304388at33208_35525_0:0020d8|TRINITY_DN86640_c10_g1_i3:39-1652|+    -            538 361203at33208        -            388   1.4e-10   37.9   1.5   3   3   6.7e-05    0.0016   14.7   0.0   211   272   422   484   408   536 0.71 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 361203at33208        -            388   1.4e-10   37.9   0.6   1   3    0.0039     0.091    8.9   0.0    61    98    13    49     8    54 0.81 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 361203at33208        -            388   1.4e-10   37.9   0.6   2   3   0.00075     0.017   11.3   0.1    60    95    65    99    60   105 0.86 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 361203at33208        -            388   1.4e-10   37.9   0.6   3   3   0.00016    0.0038   13.5   0.0    59    98   201   239   197   260 0.84 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 361203at33208        -            388   1.8e-10   37.6   9.7   1   4       1.3        31    0.6   0.1    80    97   111   128    98   138 0.77 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 361203at33208        -            388   1.8e-10   37.6   9.7   2   4    0.0081      0.19    7.9   0.2   239   337   146   255   128   259 0.65 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 361203at33208        -            388   1.8e-10   37.6   9.7   3   4   9.9e-05    0.0023   14.2   0.1   234   318   263   344   252   353 0.75 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 361203at33208        -            388   1.8e-10   37.6   9.7   4   4   4.1e-08   9.7e-07   25.3   0.1   203   307   312   423   308   424 0.75 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 361203at33208        -            388   3.1e-10   36.8   0.1   1   3   7.7e-06   0.00018   17.8   0.0    51   102   149   199   119   208 0.82 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 361203at33208        -            388   3.1e-10   36.8   0.1   2   3   0.00011    0.0025   14.1   0.0   215   308   225   327   210   363 0.77 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 361203at33208        -            388   3.1e-10   36.8   0.1   3   3      0.89        21    1.2   0.0   202   268   349   416   339   421 0.82 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 361203at33208        -            388   7.7e-10   35.5   0.0   1   3   9.2e-05    0.0022   14.3   0.0   203   267    67   130    62   137 0.84 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 361203at33208        -            388   7.7e-10   35.5   0.0   2   3    0.0014     0.032   10.4   0.0    58    97    95   133    91   149 0.80 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+  -            257 361203at33208        -            388   7.7e-10   35.5   0.0   3   3   5.8e-06   0.00014   18.2   0.0   215   301   161   249   132   255 0.80 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 361203at33208        -            388   1.1e-09   34.9   0.0   1   3    0.0016     0.037   10.2   0.0   201   268     7    72     3    75 0.78 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 361203at33208        -            388   1.1e-09   34.9   0.0   2   3   2.3e-05   0.00054   16.3   0.0   219   315    65   169    64   172 0.80 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+    -            201 361203at33208        -            388   1.1e-09   34.9   0.0   3   3    0.0032     0.075    9.2   0.0   237   267   171   201   163   201 0.89 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 361203at33208        -            388   1.2e-09   34.9   1.0   1   4    0.0056      0.13    8.4   0.0   108   136    27    55     9    64 0.80 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 361203at33208        -            388   1.2e-09   34.9   1.0   2   4   1.6e-05   0.00037   16.8   0.0    60    98    91   128    83   138 0.86 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 361203at33208        -            388   1.2e-09   34.9   1.0   3   4      0.33       7.8    2.6   0.0   228   323   129   224   127   230 0.73 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 361203at33208        -            388   1.2e-09   34.9   1.0   4   4      0.54        13    1.9   0.0    79    96   235   252   229   257 0.84 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 361203at33208        -            388   1.2e-09   34.8   5.5   1   5    0.0035     0.081    9.1   0.1    62    97   102   136    98   143 0.83 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 361203at33208        -            388   1.2e-09   34.8   5.5   2   5      0.17       3.9    3.5   0.0    59    98   141   179   135   182 0.86 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 361203at33208        -            388   1.2e-09   34.8   5.5   3   5      0.11       2.7    4.1   0.0    62   100   186   223   180   230 0.70 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 361203at33208        -            388   1.2e-09   34.8   5.5   4   5       2.1        50   -0.1   0.0    93   122   508   533   501   550 0.76 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 361203at33208        -            388   1.2e-09   34.8   5.5   5   5      0.21       4.8    3.3   0.0   277   306   601   630   545   641 0.69 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 361203at33208        -            388   1.3e-09   34.8   0.0   1   4      0.49        11    2.0   0.0   239   268    17    46     5    68 0.57 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 361203at33208        -            388   1.3e-09   34.8   0.0   2   4   0.00046     0.011   12.0   0.0   159   231    65   140    50   144 0.80 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 361203at33208        -            388   1.3e-09   34.8   0.0   3   4     0.018      0.41    6.8   0.0   151   208   143   201   139   215 0.77 -
361203at33208_7237_0:002fcb|TRINITY_DN82560_c3_g1_i5:763-1602|+     -            280 361203at33208        -            388   1.3e-09   34.8   0.0   4   4    0.0022      0.05    9.8   0.0   286   307   251   273   231   279 0.78 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 361203at33208        -            388   1.3e-09   34.7   0.1   1   3    0.0073      0.17    8.0   0.0   237   268    45    76     8   112 0.78 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 361203at33208        -            388   1.3e-09   34.7   0.1   2   3   1.2e-06   2.7e-05   20.5   0.0   199   268   145   213   130   239 0.89 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 361203at33208        -            388   1.3e-09   34.7   0.1   3   3      0.28       6.6    2.8   0.1   237   268   282   313   251   322 0.78 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 361203at33208        -            388   2.4e-09   33.9   0.0   1   2    0.0036     0.084    9.0   0.0    61   100    35    81    33    87 0.75 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 361203at33208        -            388   2.4e-09   33.9   0.0   2   2   3.6e-07   8.4e-06   22.2   0.0   165   269    95   202    89   215 0.61 -
