#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+    -            232 553585at33208        -            207   1.5e-89  296.3   7.9   1   1   4.8e-89   6.7e-87  287.7   7.9     1   207     1   231     1   231 0.89 -
382000at33208_28588_0:00096d|TRINITY_DN49419_c0_g1_i2:507-1067|-    -            187 553585at33208        -            207   3.3e-08   30.6  13.3   2   3    0.0009      0.13    9.1   0.7    47   116    46   114    43   114 0.77 -
382000at33208_28588_0:00096d|TRINITY_DN49419_c0_g1_i2:507-1067|-    -            187 553585at33208        -            207   3.3e-08   30.6  13.3   3   3   4.9e-09   6.8e-07   26.4   6.1    27   113    93   179    87   187 0.73 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-  -            365 553585at33208        -            207   1.9e-07   28.1  21.5   1   5   2.1e-05    0.0029   14.5   2.8    31   120    40   131    17   140 0.84 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-  -            365 553585at33208        -            207   1.9e-07   28.1  21.5   2   5    0.0029      0.41    7.5   0.4    47    97   104   156   102   167 0.82 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-  -            365 553585at33208        -            207   1.9e-07   28.1  21.5   3   5   0.00085      0.12    9.2   2.3    46    98   151   205   133   223 0.75 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-  -            365 553585at33208        -            207   1.9e-07   28.1  21.5   4   5     0.035       4.8    4.0   0.6    38    97   215   276   206   283 0.83 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-  -            365 553585at33208        -            207   1.9e-07   28.1  21.5   5   5   0.00034     0.048   10.5   0.1    52    97   313   360   290   364 0.85 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+  -            389 553585at33208        -            207   2.4e-07   27.8   4.9   1   4     0.035       4.8    4.0   0.1    46    95     2    52     1    60 0.74 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+  -            389 553585at33208        -            207   2.4e-07   27.8   4.9   2   4   2.1e-05    0.0029   14.5   0.1    44   105    47   111    40   117 0.88 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+  -            389 553585at33208        -            207   2.4e-07   27.8   4.9   3   4     0.038       5.3    3.8   0.0    42   110   116   183   105   198 0.80 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+  -            389 553585at33208        -            207   2.4e-07   27.8   4.9   4   4    0.0047      0.65    6.8   0.2    59   149   225   313   207   368 0.62 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+    -            357 553585at33208        -            207   2.7e-07   27.6  13.2   1   4    0.0035      0.49    7.2   0.6    43   120    32   112     4   118 0.70 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+    -            357 553585at33208        -            207   2.7e-07   27.6  13.2   2   4   1.6e-08   2.2e-06   24.7   3.6    38   116   123   206   106   229 0.85 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+    -            357 553585at33208        -            207   2.7e-07   27.6  13.2   3   4         1   1.4e+02   -0.9   0.1    67    98   227   258   211   309 0.70 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+    -            357 553585at33208        -            207   2.7e-07   27.6  13.2   4   4      0.48        66    0.2   0.0    70   103   304   338   286   356 0.72 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+     -            193 553585at33208        -            207   3.3e-06   24.1   5.9   1   3     3e-06   0.00042   17.2   0.7    45    99    23    77     7    88 0.91 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+     -            193 553585at33208        -            207   3.3e-06   24.1   5.9   2   3     0.017       2.4    5.0   0.1    45    92   103   152    99   154 0.68 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+     -            193 553585at33208        -            207   3.3e-06   24.1   5.9   3   3     0.031       4.3    4.1   0.1    43    81   152   192   147   193 0.72 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-   -            352 553585at33208        -            207   1.9e-05   21.6  19.8   1   5     0.021       2.9    4.7   0.5    59    99    38    78    31    93 0.71 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-   -            352 553585at33208        -            207   1.9e-05   21.6  19.8   2   5    0.0094       1.3    5.8   2.3    40   124    89   174    84   180 0.75 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-   -            352 553585at33208        -            207   1.9e-05   21.6  19.8   3   5     0.086        12    2.7   0.3    50    91   146   188   136   201 0.68 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-   -            352 553585at33208        -            207   1.9e-05   21.6  19.8   4   5   1.5e-05    0.0021   15.0   1.6    41   114   209   284   199   287 0.76 -
234290at33208_13249_0:001070|TRINITY_DN88999_c6_g1_i4:3422-4477|-   -            352 553585at33208        -            207   1.9e-05   21.6  19.8   5   5     0.022       3.1    4.6   0.0    57    81   320   344   297   350 0.63 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+    -            133 553585at33208        -            207   4.1e-05   20.5   2.1   1   1   3.8e-07   5.2e-05   20.2   2.1    39   116    11    90     1   117 0.86 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-  -            641 553585at33208        -            207     6e-05   20.0  19.4   1   4   0.00096      0.13    9.1   2.2    41   115   206   282   191   291 0.76 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-  -            641 553585at33208        -            207     6e-05   20.0  19.4   2   4     0.029         4    4.2   0.3    40   102   274   334   261   348 0.78 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-  -            641 553585at33208        -            207     6e-05   20.0  19.4   3   4   0.00068     0.095    9.5   0.4    44   116   324   399   315   405 0.83 -
234290at33208_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-  -            641 553585at33208        -            207     6e-05   20.0  19.4   4   4    0.0025      0.34    7.7   2.9    38   101   482   546   460   597 0.68 -
514121at33208_121845_0:002a7b|TRINITY_DN78702_c6_g4_i1:18-188|-     -             57 553585at33208        -            207   9.8e-05   19.3   0.0   1   1   7.1e-07   9.9e-05   19.3   0.0    38    78     9    50     1    56 0.83 -
514121at33208_8208_0:003036|TRINITY_DN83407_c11_g1_i1:3625-4026|-   -            134 553585at33208        -            207   0.00013   18.8   2.8   1   1   2.1e-06    0.0003   17.7   2.8    30   120    38   130    16   134 0.84 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+ -            143 553585at33208        -            207   0.00016   18.6   1.4   1   3    0.0067      0.93    6.3   0.1    65    97     6    38     3    43 0.87 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+ -            143 553585at33208        -            207   0.00016   18.6   1.4   2   3   0.00026     0.036   10.9   0.1    29    81    39    93    37   103 0.79 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+ -            143 553585at33208        -            207   0.00016   18.6   1.4   3   3      0.72     1e+02   -0.3   0.0    43    58   106   121   100   141 0.73 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+   -            303 553585at33208        -            207   0.00028   17.8   7.5   1   3   0.00042     0.058   10.2   0.7    44   105    10    71     4    94 0.83 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+   -            303 553585at33208        -            207   0.00028   17.8   7.5   2   3      0.15        21    1.9   0.1    59    87   189   217   139   244 0.64 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+   -            303 553585at33208        -            207   0.00028   17.8   7.5   3   3    0.0014       0.2    8.5   0.3    41    97   239   296   219   300 0.76 -
578734at33208_680683_0:002abd|TRINITY_DN92851_c12_g1_i1:448-939|+   -            164 553585at33208        -            207    0.0055   13.6   1.2   1   2      0.25        35    1.2   0.1    64    95    55    85    32    92 0.65 -
578734at33208_680683_0:002abd|TRINITY_DN92851_c12_g1_i1:448-939|+   -            164 553585at33208        -            207    0.0055   13.6   1.2   2   2   8.3e-05     0.012   12.5   1.0    42   114    78   151    56   158 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/553585at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/553585at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/553585at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:26 2026
# [ok]
