#                                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-     -            312 361100at33208        -            270  4.2e-131  433.6   5.5   1   1  4.2e-132    9e-131  432.5   5.5     1   270    10   312    10   312 0.92 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 361100at33208        -            270   5.1e-28   95.5   0.1   3   5   2.5e-07   5.3e-06   23.3   0.0   181   220    94   133    89   136 0.93 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 361100at33208        -            270   5.1e-28   95.5   0.1   4   5   3.6e-11   7.7e-10   35.9   0.0    27   139   140   254   135   255 0.83 -
433216at33208_125878_0:00323d|TRINITY_DN73621_c6_g1_i3:47-922|+       -            292 361100at33208        -            270   5.1e-28   95.5   0.1   5   5    0.0034     0.074    9.8   0.0    24    95   221   291   218   292 0.84 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 361100at33208        -            270   7.1e-23   78.7   0.5   1   3   3.4e-05   0.00072   16.4   0.0   182   219   136   173   128   176 0.89 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 361100at33208        -            270   7.1e-23   78.7   0.5   2   3   6.7e-08   1.4e-06   25.2   0.2    72   218   196   351   192   354 0.78 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-     -            468 361100at33208        -            270   7.1e-23   78.7   0.5   3   3   7.1e-09   1.5e-07   28.4   0.0     5   102   371   467   367   468 0.76 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 361100at33208        -            270   5.6e-22   75.7   0.0   1   3   6.2e-05    0.0013   15.5   0.0   207   268    74   138    65   140 0.87 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 361100at33208        -            270   5.6e-22   75.7   0.0   2   3         5   1.1e+02   -0.6   0.0   201   218   144   161   133   174 0.64 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+       -            506 361100at33208        -            270   5.6e-22   75.7   0.0   3   3   1.5e-17   3.2e-16   56.8   0.0     2   147   187   332   186   344 0.88 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 361100at33208        -            270   7.5e-22   75.3   0.6   1   3   2.9e-12   6.2e-11   39.5   0.0     3   118   177   292   176   301 0.86 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 361100at33208        -            270   7.5e-22   75.3   0.6   2   3     7e-08   1.5e-06   25.1   0.0     4   104   304   402   301   414 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+     -            472 361100at33208        -            270   7.5e-22   75.3   0.6   3   3     0.078       1.7    5.3   0.0   194   219   427   452   420   455 0.85 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 361100at33208        -            270     9e-22   75.1   2.9   1   3   9.6e-07   2.1e-05   21.4   0.0   223   268     8    55     1    57 0.89 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 361100at33208        -            270     9e-22   75.1   2.9   2   3   2.1e-08   4.4e-07   26.9   0.0     3    49   104   151   102   163 0.84 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-    -            212 361100at33208        -            270     9e-22   75.1   2.9   3   3     0.064       1.4    5.6   0.1   185   211   185   211   179   212 0.84 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 361100at33208        -            270   9.2e-22   75.0   0.4   1   3   9.2e-07     2e-05   21.5   0.0   182   266    50   146    44   149 0.62 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 361100at33208        -            270   9.2e-22   75.0   0.4   2   3   9.5e-11     2e-09   34.5   0.1     2   111   155   267   154   272 0.89 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+     -            346 361100at33208        -            270   9.2e-22   75.0   0.4   3   3   0.00023    0.0048   13.6   0.0   187   218   274   305   262   311 0.85 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 361100at33208        -            270   3.9e-21   73.0   0.0   1   3   4.8e-05     0.001   15.8   0.1   192   220     3    31     1    43 0.92 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 361100at33208        -            270   3.9e-21   73.0   0.0   2   3     3e-11   6.3e-10   36.2   0.0     3   107    63   166    61   170 0.92 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+      -            223 361100at33208        -            270   3.9e-21   73.0   0.0   3   3   9.8e-06   0.00021   18.1   0.0    69   107   170   208   165   219 0.78 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 361100at33208        -            270   6.5e-21   72.2   0.4   1   6     0.085       1.8    5.2   0.0    35   102    28    93    16   104 0.81 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 361100at33208        -            270   6.5e-21   72.2   0.4   2   6       2.2        46    0.6   0.0   225   269   112   161   107   162 0.72 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 361100at33208        -            270   6.5e-21   72.2   0.4   3   6         1        22    1.6   0.0   184   218   192   226   176   229 0.73 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 361100at33208        -            270   6.5e-21   72.2   0.4   4   6     2e-05   0.00042   17.1   0.0   183   217   235   269   216   278 0.84 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 361100at33208        -            270   6.5e-21   72.2   0.4   5   6   0.00048      0.01   12.6   0.0    68   109   321   362   309   431 0.76 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-    -            605 361100at33208        -            270   6.5e-21   72.2   0.4   6   6   3.2e-07   6.9e-06   23.0   0.2     4   141   461   605   459   605 0.83 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 361100at33208        -            270   1.4e-20   71.2   0.4   1   3   5.6e-05    0.0012   15.6   0.0   215   266    39    92     1    96 0.66 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 361100at33208        -            270   1.4e-20   71.2   0.4   2   3   3.3e-14   7.2e-13   45.9   0.0     3   109   103   209   101   219 0.93 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-      -            243 361100at33208        -            270   1.4e-20   71.2   0.4   3   3     0.029      0.63    6.7   0.0   185   214   214   243   208   243 0.83 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 361100at33208        -            270   3.9e-20   69.7   0.0   1   2     7e-11   1.5e-09   35.0   0.0     2   106    20   124    19   126 0.93 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|-   -            201 361100at33208        -            270   3.9e-20   69.7   0.0   2   2   3.8e-10   8.1e-09   32.6   0.0    64   131   124   192   121   201 0.84 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 361100at33208        -            270   1.3e-19   68.0   0.4   1   3   0.00076     0.016   11.9   0.0   193   235   220   261   208   276 0.60 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 361100at33208        -            270   1.3e-19   68.0   0.4   2   3   7.6e-14   1.6e-12   44.7   0.0     3   121   279   398   277   416 0.91 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-    -            513 361100at33208        -            270   1.3e-19   68.0   0.4   3   3     0.012      0.25    8.0   0.0    77   138   447   511   400   513 0.79 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 361100at33208        -            270   1.4e-19   67.8   0.0   1   4     4e-10   8.6e-09   32.5   0.0     3   152    80   231    78   252 0.83 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 361100at33208        -            270   1.4e-19   67.8   0.0   2   4    0.0014      0.03   11.1   0.0    10   106   438   539   431   570 0.80 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 361100at33208        -            270   1.4e-19   67.8   0.0   3   4    0.0054      0.12    9.1   0.1   167   216   580   631   546   638 0.66 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+     -            947 361100at33208        -            270   1.4e-19   67.8   0.0   4   4   1.8e-05   0.00039   17.2   0.1     2   101   616   716   615   721 0.88 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 361100at33208        -            270     2e-19   67.4   8.2   1   3   3.7e-05   0.00079   16.2   0.1     3    41    23    62    21    64 0.89 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 361100at33208        -            270     2e-19   67.4   8.2   2   3     0.022      0.46    7.1   0.1     4    32    64    93    62   100 0.53 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-      -            257 361100at33208        -            270     2e-19   67.4   8.2   3   3     2e-13   4.3e-12   43.3   1.7     3   143   103   243   101   250 0.84 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 361100at33208        -            270   2.6e-19   67.0   0.9   1   4   0.00099     0.021   11.5   0.1    25   154    92   231    68   236 0.76 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 361100at33208        -            270   2.6e-19   67.0   0.9   2   4     0.089       1.9    5.1   0.1    66   104   297   335   284   380 0.79 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 361100at33208        -            270   2.6e-19   67.0   0.9   3   4   1.6e-11   3.4e-10   37.1   0.0    61   218   378   550   344   567 0.76 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-      -            913 361100at33208        -            270   2.6e-19   67.0   0.9   4   4     0.054       1.2    5.8   0.0    65   114   616   665   607   675 0.84 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 361100at33208        -            270   1.3e-18   64.7   1.5   1   2      0.24       5.2    3.7   0.0    75   105    37    67    27    87 0.64 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+     -            680 361100at33208        -            270   1.3e-18   64.7   1.5   2   2     6e-17   1.3e-15   54.9   0.3     4   256    94   365    92   371 0.74 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 361100at33208        -            270   2.4e-18   63.8   0.0   1   2       5.2   1.1e+02   -0.7   0.0   225   267    17    64     7    67 0.66 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+       -            318 361100at33208        -            270   2.4e-18   63.8   0.0   2   2   6.1e-19   1.3e-17   61.4   0.0     4   228    73   307    72   317 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 361100at33208        -            270   1.3e-17   61.4   0.3   1   4   3.2e-07   6.8e-06   23.0   0.1     4   141    56   198    41   199 0.49 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 361100at33208        -            270   1.3e-17   61.4   0.3   2   4   1.1e-08   2.4e-07   27.7   0.0    62   118   200   256   198   285 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 361100at33208        -            270   1.3e-17   61.4   0.3   3   4      0.56        12    2.5   0.0   223   268   256   301   245   303 0.85 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+     -            317 361100at33208        -            270   1.3e-17   61.4   0.3   4   4       1.6        34    1.0   0.0   182   210   288   316   265   317 0.76 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 361100at33208        -            270   1.5e-17   61.2   8.2   1   3   7.3e-14   1.6e-12   44.8   0.3     2   111    19   128    18   131 0.93 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 361100at33208        -            270   1.5e-17   61.2   8.2   2   3   1.1e-06   2.4e-05   21.2   0.1     4    48   105   150   103   154 0.90 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-     -            224 361100at33208        -            270   1.5e-17   61.2   8.2   3   3   0.00048      0.01   12.6   0.3   185   218   129   162   125   183 0.61 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 361100at33208        -            270   2.7e-17   60.4   4.0   1   4   4.6e-09   9.9e-08   29.0   0.2     2   101    22   126    21   136 0.88 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 361100at33208        -            270   2.7e-17   60.4   4.0   2   4   1.5e-06   3.3e-05   20.8   0.0    27   100   140   214   130   222 0.93 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 361100at33208        -            270   2.7e-17   60.4   4.0   3   4     0.067       1.4    5.5   0.1   183   217   240   274   232   287 0.82 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+      -            327 361100at33208        -            270   2.7e-17   60.4   4.0   4   4      0.29       6.3    3.4   0.0   175   216   283   325   275   327 0.81 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 361100at33208        -            270   3.1e-17   60.2   0.4   1   5     0.022      0.47    7.1   0.0   182   217    98   133    93   137 0.87 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 361100at33208        -            270   3.1e-17   60.2   0.4   2   5   1.7e-07   3.6e-06   23.9   0.0    26   106   161   242   155   245 0.91 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 361100at33208        -            270   3.1e-17   60.2   0.4   3   5   3.3e-11   7.1e-10   36.1   0.0     2   111   178   292   177   297 0.85 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 361100at33208        -            270   3.1e-17   60.2   0.4   4   5    0.0011     0.025   11.3   0.0    74   116   299   341   294   388 0.71 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+     -            421 361100at33208        -            270   3.1e-17   60.2   0.4   5   5       5.1   1.1e+02   -0.6   0.0   195   217   396   418   376   421 0.77 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 361100at33208        -            270     1e-16   58.5   0.2   1   5      0.13       2.9    4.6   0.0    69    99     3    33     1    38 0.77 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 361100at33208        -            270     1e-16   58.5   0.2   2   5   1.2e-05   0.00025   17.9   0.1    62   124    38   100    33   119 0.84 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 361100at33208        -            270     1e-16   58.5   0.2   3   5       0.5        11    2.7   0.0    57   103   126   174   103   179 0.65 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 361100at33208        -            270     1e-16   58.5   0.2   4   5   1.9e-07   4.1e-06   23.7   0.0    71   121   184   234   176   238 0.92 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+     -            325 361100at33208        -            270     1e-16   58.5   0.2   5   5      0.29       6.3    3.4   0.0    75   101   288   314   274   324 0.83 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 361100at33208        -            270   1.3e-16   58.2   9.3   1   3   5.1e-08   1.1e-06   25.6   0.0     4   106   116   218   113   226 0.86 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 361100at33208        -            270   1.3e-16   58.2   9.3   2   3   0.00027    0.0059   13.4   0.0   182   218   221   257   217   261 0.78 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-    -            341 361100at33208        -            270   1.3e-16   58.2   9.3   3   3   2.4e-06   5.2e-05   20.1   3.2   183   242   264   332   259   339 0.80 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 361100at33208        -            270   1.4e-16   58.0   0.4   1   4   0.00048      0.01   12.6   0.0   217   269   149   204   126   205 0.79 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 361100at33208        -            270   1.4e-16   58.0   0.4   2   4       0.2       4.2    4.0   0.0   194   216   202   224   200   229 0.91 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 361100at33208        -            270   1.4e-16   58.0   0.4   3   4   4.3e-10   9.1e-09   32.4   0.1     4   123   293   413   292   419 0.83 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-     -            486 361100at33208        -            270   1.4e-16   58.0   0.4   4   4    0.0072      0.15    8.7   0.0    25   103   399   483   396   485 0.80 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 361100at33208        -            270   1.6e-16   57.8   0.0   1   4   1.2e-09   2.5e-08   31.0   0.0     2   142    35   178    34   181 0.83 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 361100at33208        -            270   1.6e-16   57.8   0.0   2   4   3.8e-07   8.1e-06   22.7   0.0     4   110   123   232   121   238 0.81 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 361100at33208        -            270   1.6e-16   57.8   0.0   3   4    0.0011     0.023   11.4   0.0   226   264   245   286   239   292 0.55 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-     -            312 361100at33208        -            270   1.6e-16   57.8   0.0   4   4    0.0062      0.13    8.9   0.0     5    47   256   300   253   305 0.88 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 361100at33208        -            270   2.7e-16   57.1   1.3   1   3   6.7e-08   1.4e-06   25.2   0.0   185   268     3    98     1   100 0.80 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 361100at33208        -            270   2.7e-16   57.1   1.3   2   3   0.00069     0.015   12.0   0.0     3    36   112   146   111   156 0.70 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+       -            214 361100at33208        -            270   2.7e-16   57.1   1.3   3   3   1.5e-05   0.00031   17.5   0.1     4    41   154   192   151   199 0.87 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 361100at33208        -            270   3.9e-16   56.6   0.1   1   2     0.011      0.23    8.1   0.0    74   102    15    43     4    63 0.63 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-      -            303 361100at33208        -            270   3.9e-16   56.6   0.1   2   2   1.8e-12   3.9e-11   40.2   0.0     4   120    71   186    68   254 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 361100at33208        -            270   1.2e-15   54.9   0.0   1   3   1.2e-06   2.7e-05   21.1   0.0   124   216    17   116     2   121 0.84 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 361100at33208        -            270   1.2e-15   54.9   0.0   2   3   3.7e-12   7.9e-11   39.2   0.0     3   151   102   257   101   267 0.81 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-      -            288 361100at33208        -            270   1.2e-15   54.9   0.0   3   3       1.1        23    1.6   0.0     2    15   274   287   273   288 0.92 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+      -            141 361100at33208        -            270   1.7e-15   54.5   0.0   1   2      0.12       2.5    4.7   0.0   244   267     2    25     1    28 0.90 -
414579at33208_9135_0:0039b5|TRINITY_DN93240_c4_g1_i8:1278-1700|+      -            141 361100at33208        -            270   1.7e-15   54.5   0.0   2   2   8.2e-15   1.8e-13   47.9   0.0     4   102    34   134    30   141 0.91 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 361100at33208        -            270     3e-15   53.7   0.0   1   2     0.091       1.9    5.1   0.0    63   105     6    50     3    67 0.78 -
447320at33208_54380_0:0011ad|TRINITY_DN88422_c3_g1_i29:1874-2644|+    -            257 361100at33208        -            270     3e-15   53.7   0.0   2   2   1.7e-12   3.7e-11   40.2   0.1    34   216    66   255    65   256 0.81 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 361100at33208        -            270   3.1e-15   53.6   0.9   1   3       4.7     1e+02   -0.5   0.0   227   264    67   104    66   109 0.66 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 361100at33208        -            270   3.1e-15   53.6   0.9   2   3   1.9e-05    0.0004   17.2   0.1     8   215    79   299    76   306 0.74 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-     -            888 361100at33208        -            270   3.1e-15   53.6   0.9   3   3   6.9e-10   1.5e-08   31.7   0.0     3   122   494   612   489   639 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 361100at33208        -            270   3.2e-15   53.6   1.3   1   4   2.3e-06     5e-05   20.1   0.0    66   141     3    81     1    84 0.83 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 361100at33208        -            270   3.2e-15   53.6   1.3   2   4      0.14         3    4.5   0.0     3    25    66    88    64    97 0.78 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 361100at33208        -            270   3.2e-15   53.6   1.3   3   4   0.00016    0.0034   14.2   0.1    76   109    97   130    88   132 0.88 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-     -            167 361100at33208        -            270   3.2e-15   53.6   1.3   4   4   2.9e-05   0.00061   16.6   0.0   183   217   131   165   128   167 0.93 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 361100at33208        -            270   6.8e-15   52.5   0.1   1   3     0.036      0.76    6.4   0.0   200   218    32    50    12    75 0.66 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 361100at33208        -            270   6.8e-15   52.5   0.1   2   3   1.8e-08   3.9e-07   27.1   0.0     3   108   128   235   126   245 0.85 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+      -            322 361100at33208        -            270   6.8e-15   52.5   0.1   3   3   5.6e-05    0.0012   15.6   0.0    42   100   263   321   253   322 0.79 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 361100at33208        -            270   1.3e-14   51.6   0.3   1   2   8.4e-06   0.00018   18.3   0.0    51   120    24    93     2   102 0.80 -
357580at33208_7493_0:001a21|TRINITY_DN82628_c4_g1_i7:1211-1813|+      -            201 361100at33208        -            270   1.3e-14   51.6   0.3   2   2   2.4e-09   5.1e-08   30.0   0.1     2    99   101   201   100   201 0.92 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 361100at33208        -            270   4.3e-14   49.9   0.9   1   2       2.5        54    0.4   0.0    35   142    66    93    49   109 0.52 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-       -            339 361100at33208        -            270   4.3e-14   49.9   0.9   2   2   9.5e-15     2e-13   47.7   0.2     3   153   135   302   134   309 0.76 -
