#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 197652at33208        -            436  7.2e-225  744.1  11.0   1   1  5.1e-222  1.2e-220  730.2  11.0     1   436     3   509     3   509 0.91 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 197652at33208        -            436   1.7e-24   83.8   0.4   1   4   9.7e-11   2.2e-09   34.0   0.1   261   336    30   108    11   112 0.85 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 197652at33208        -            436   1.7e-24   83.8   0.4   2   4    0.0019     0.044    9.9   0.0   296   348   110   162   107   171 0.83 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 197652at33208        -            436   1.7e-24   83.8   0.4   3   4   6.3e-10   1.4e-08   31.3   0.0   277   335   184   242   168   246 0.93 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 197652at33208        -            436   1.7e-24   83.8   0.4   4   4      0.13         3    3.9   0.0   256   337   246   328   243   336 0.91 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 197652at33208        -            436   5.1e-24   82.2   2.6   1   3     0.015      0.35    7.0   0.0   307   335    14    42     4    54 0.83 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 197652at33208        -            436   5.1e-24   82.2   2.6   2   3   4.8e-13   1.1e-11   41.6   0.0   272   337    63   128    42   134 0.89 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 197652at33208        -            436   5.1e-24   82.2   2.6   3   3   2.6e-09   6.1e-08   29.2   0.4   245   336   155   253   139   265 0.75 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 197652at33208        -            436   1.3e-23   80.8  10.7   1   3   7.7e-11   1.8e-09   34.3   0.5   270   341    11    82     2    86 0.87 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 197652at33208        -            436   1.3e-23   80.8  10.7   2   3   1.3e-08   3.1e-07   26.9   0.1   283   336    66   119    66   121 0.96 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 197652at33208        -            436   1.3e-23   80.8  10.7   3   3     3e-12     7e-11   38.9   0.7   256   337    80   162    78   183 0.85 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 197652at33208        -            436   1.2e-22   77.7  12.1   1   3      0.43       9.8    2.2   0.0   198   225    63    90    47    97 0.83 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 197652at33208        -            436   1.2e-22   77.7  12.1   2   3   1.2e-17   2.9e-16   56.7   0.3   196   340   109   260    98   264 0.87 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 197652at33208        -            436   1.2e-22   77.7  12.1   3   3   1.6e-07   3.6e-06   23.4   3.6   289   352   251   317   251   328 0.87 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 197652at33208        -            436   4.7e-22   75.7   0.1   1   3   1.1e-08   2.6e-07   27.1   0.0   269   336    10    77     1    83 0.92 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 197652at33208        -            436   4.7e-22   75.7   0.1   2   3   1.9e-05   0.00043   16.6   0.0   185   222    87   124    82   128 0.82 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 197652at33208        -            436   4.7e-22   75.7   0.1   3   3   1.2e-07   2.6e-06   23.8   0.1   180   251   124   209   121   211 0.72 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 197652at33208        -            436     2e-21   73.7   0.6   1   3     0.032      0.74    5.9   0.0   302   339   137   174   131   188 0.76 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 197652at33208        -            436     2e-21   73.7   0.6   2   3   8.5e-12     2e-10   37.5   0.0   187   343   196   357   184   367 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 197652at33208        -            436     2e-21   73.7   0.6   3   3   3.7e-08   8.6e-07   25.4   0.1   280   339   370   429   361   449 0.91 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 197652at33208        -            436   4.3e-21   72.6   0.1   1   4    0.0049      0.11    8.6   0.1   190   254     7    71     2    71 0.88 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 197652at33208        -            436   4.3e-21   72.6   0.1   2   4   4.3e-13   9.9e-12   41.7   0.1   182   338    41   205    33   207 0.81 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 197652at33208        -            436   4.3e-21   72.6   0.1   3   4   2.1e-11   4.9e-10   36.1   0.0   186   336    86   247    78   254 0.85 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 197652at33208        -            436   4.3e-21   72.6   0.1   4   4       1.9        43    0.1   0.1   305   334   259   288   249   288 0.89 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 197652at33208        -            436   2.1e-20   70.3   1.5   1   3   1.2e-09   2.7e-08   30.4   0.0   261   335     9    86     3    94 0.88 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 197652at33208        -            436   2.1e-20   70.3   1.5   2   3   3.4e-06   7.8e-05   19.0   0.1   279   334   116   171    88   176 0.85 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 197652at33208        -            436   2.1e-20   70.3   1.5   3   3   4.7e-06   0.00011   18.5   0.0   191   254   237   301   191   302 0.76 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 197652at33208        -            436   6.2e-20   68.8   3.9   1   3   1.5e-08   3.5e-07   26.7   0.3   256   336     1    78     1    87 0.86 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 197652at33208        -            436   6.2e-20   68.8   3.9   2   3   1.2e-06   2.8e-05   20.5   0.0   256   337    81   159    78   164 0.85 -
222489at33208_34638_0:00004d|TRINITY_DN77528_c5_g4_i1:271-1041|-    -            257 197652at33208        -            436   6.2e-20   68.8   3.9   3   3   2.7e-07   6.2e-06   22.6   0.1   255   338   160   243   158   251 0.76 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 197652at33208        -            436   1.2e-19   67.8   9.9   1   4   6.8e-05    0.0016   14.7   0.2   274   337    75   137    70   139 0.92 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 197652at33208        -            436   1.2e-19   67.8   9.9   2   4     1e-08   2.3e-07   27.3   0.1   260   335   143   219   136   226 0.92 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 197652at33208        -            436   1.2e-19   67.8   9.9   3   4      0.15       3.6    3.6   0.0   288   338   480   537   462   553 0.79 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 197652at33208        -            436   1.2e-19   67.8   9.9   4   4     6e-08   1.4e-06   24.8   0.1   269   337   606   676   599   689 0.91 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 197652at33208        -            436   7.6e-19   65.2   3.1   1   4    0.0075      0.17    8.0   0.0   289   336    46    94    30   104 0.78 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 197652at33208        -            436   7.6e-19   65.2   3.1   2   4   1.4e-09   3.1e-08   30.2   0.1   182   336   190   355   185   360 0.77 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 197652at33208        -            436   7.6e-19   65.2   3.1   3   4      0.24       5.5    3.0   0.0   284   334   465   516   454   527 0.64 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 197652at33208        -            436   7.6e-19   65.2   3.1   4   4   3.7e-05   0.00085   15.6   0.1   188   255   533   601   524   605 0.55 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 197652at33208        -            436   3.6e-18   63.0   0.6   1   3   9.7e-08   2.2e-06   24.1   0.2   271   338    47   114    35   127 0.91 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 197652at33208        -            436   3.6e-18   63.0   0.6   2   3   3.9e-10   8.8e-09   32.0   0.0   226   339   131   243   127   251 0.85 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 197652at33208        -            436   3.6e-18   63.0   0.6   3   3      0.14       3.1    3.8   0.0   280   329   267   316   254   317 0.85 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 197652at33208        -            436   6.1e-18   62.2   0.0   1   2       6.1   1.4e+02   -1.6   0.0   197   216    16    35     2    45 0.66 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 197652at33208        -            436   6.1e-18   62.2   0.0   2   2   8.8e-19     2e-17   60.5   0.0   185   333    46   201    42   201 0.91 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 197652at33208        -            436   2.2e-17   60.3   0.2   1   3    0.0021     0.049    9.8   0.0   272   334    23    85     7    90 0.87 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 197652at33208        -            436   2.2e-17   60.3   0.2   2   3   4.2e-10   9.7e-09   31.9   0.1   263   336    96   171    87   201 0.83 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 197652at33208        -            436   2.2e-17   60.3   0.2   3   3     7e-05    0.0016   14.7   0.0   189   220   267   298   257   305 0.82 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 197652at33208        -            436   6.9e-17   58.7   7.1   1   5    0.0024     0.056    9.6   0.0   269   335   149   218   136   231 0.88 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 197652at33208        -            436   6.9e-17   58.7   7.1   2   5      0.72        17    1.4   0.0   292   387   263   361   256   368 0.61 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 197652at33208        -            436   6.9e-17   58.7   7.1   3   5    0.0046      0.11    8.7   0.0   301   336   384   419   366   426 0.70 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 197652at33208        -            436   6.9e-17   58.7   7.1   4   5   1.5e-12   3.4e-11   40.0   0.3   186   380   388   600   385   607 0.74 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 197652at33208        -            436   6.9e-17   58.7   7.1   5   5      0.43       9.9    2.2   0.1   190   236   626   672   602   686 0.77 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 197652at33208        -            436     7e-17   58.7   2.3   1   3      0.72        17    1.4   0.0   302   334     4    36     1    46 0.85 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 197652at33208        -            436     7e-17   58.7   2.3   2   3   1.5e-15   3.5e-14   49.8   0.4   179   334    45   214    40   226 0.84 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 197652at33208        -            436     7e-17   58.7   2.3   3   3     0.094       2.2    4.3   0.0   303   334   292   324   242   327 0.80 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 197652at33208        -            436   1.3e-16   57.8   2.9   1   3   1.4e-08   3.1e-07   26.9   0.1   244   334   131   223   117   230 0.85 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 197652at33208        -            436   1.3e-16   57.8   2.9   2   3   0.00094     0.022   10.9   0.0   277   335   290   348   270   355 0.91 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 197652at33208        -            436   1.3e-16   57.8   2.9   3   3   2.4e-08   5.6e-07   26.1   0.2   263   341   317   396   308   419 0.83 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 197652at33208        -            436   6.3e-16   55.5   1.1   1   2     4e-06   9.3e-05   18.7   0.0   240   339     8   115     4   121 0.87 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 197652at33208        -            436   6.3e-16   55.5   1.1   2   2   3.2e-10   7.4e-09   32.2   0.5   184   341   122   295   116   305 0.77 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 197652at33208        -            436   1.2e-15   54.7   0.2   1   3     0.026      0.61    6.2   0.0   291   334     6    49     2    53 0.90 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 197652at33208        -            436   1.2e-15   54.7   0.2   2   3   5.5e-06   0.00013   18.3   0.1   267   337    68   138    50   142 0.81 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 197652at33208        -            436   1.2e-15   54.7   0.2   3   3   1.8e-08   4.2e-07   26.5   0.0   271   336   201   269   190   303 0.86 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 197652at33208        -            436   1.4e-15   54.5   2.3   1   3   6.4e-10   1.5e-08   31.3   0.0   188   336    47   203    35   232 0.86 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 197652at33208        -            436   1.4e-15   54.5   2.3   2   3   3.8e-06   8.7e-05   18.8   0.1   252   337   242   286   205   299 0.59 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 197652at33208        -            436   1.4e-15   54.5   2.3   3   3   4.3e-06   9.8e-05   18.7   0.1   253   297   243   288   228   323 0.72 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 197652at33208        -            436   1.3e-14   51.2   0.2   1   3       6.5   1.5e+02   -1.7   0.0   136   167    29    62     9    73 0.68 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 197652at33208        -            436   1.3e-14   51.2   0.2   2   3     0.005      0.12    8.5   0.0   185   215   101   131    91   140 0.86 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 197652at33208        -            436   1.3e-14   51.2   0.2   3   3   2.7e-12   6.3e-11   39.1   0.0   186   337   163   328   148   335 0.78 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 197652at33208        -            436   5.4e-14   49.2   0.0   1   4   0.00022     0.005   13.0   0.0   299   338     2    41     1    49 0.88 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 197652at33208        -            436   5.4e-14   49.2   0.0   2   4     0.075       1.7    4.7   0.1   270   335    57   120    40   129 0.74 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 197652at33208        -            436   5.4e-14   49.2   0.0   3   4   1.5e-06   3.4e-05   20.2   0.0   252   332   144   225    90   243 0.73 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 197652at33208        -            436   5.4e-14   49.2   0.0   4   4    0.0061      0.14    8.3   0.0   187   253   240   304   223   305 0.80 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 197652at33208        -            436   1.9e-13   47.4   0.2   1   4   1.6e-06   3.6e-05   20.1   0.0   264   335    43   117     4   119 0.78 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 197652at33208        -            436   1.9e-13   47.4   0.2   2   4   5.9e-06   0.00014   18.2   0.0   276   334   100   158    91   162 0.91 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 197652at33208        -            436   1.9e-13   47.4   0.2   3   4      0.51        12    1.9   0.0   190   215   177   202   159   209 0.77 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 197652at33208        -            436   1.9e-13   47.4   0.2   4   4    0.0068      0.16    8.1   0.0   179   214   208   243   202   243 0.89 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 197652at33208        -            436   2.6e-13   46.9   0.0   1   2   8.5e-05    0.0019   14.4   0.0   304   337     3    36     1    53 0.78 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 197652at33208        -            436   2.6e-13   46.9   0.0   2   2   1.1e-09   2.4e-08   30.5   0.0   186   318    46   192    40   202 0.81 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 197652at33208        -            436   5.1e-13   46.0   9.8   1   5    0.0047      0.11    8.6   0.2   283   342   167   228    46   234 0.77 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 197652at33208        -            436   5.1e-13   46.0   9.8   2   5      0.53        12    1.9   0.0   278   324   313   359   301   380 0.78 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 197652at33208        -            436   5.1e-13   46.0   9.8   3   5       0.2       4.6    3.3   0.1   281   345   401   469   379   482 0.69 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 197652at33208        -            436   5.1e-13   46.0   9.8   4   5     0.019      0.44    6.6   0.1   303   340   482   519   472   524 0.88 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 197652at33208        -            436   5.1e-13   46.0   9.8   5   5     3e-08     7e-07   25.7   0.0   264   337   526   600   523   608 0.89 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 197652at33208        -            436   1.2e-12   44.7   0.0   1   1   8.3e-14   1.9e-12   44.1   0.0   183   337     4   166     2   167 0.85 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 197652at33208        -            436   4.1e-12   43.0   0.1   1   4    0.0024     0.055    9.6   0.0   301   337    13    49     8    58 0.87 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 197652at33208        -            436   4.1e-12   43.0   0.1   2   4   0.00018    0.0042   13.3   0.1   302   336    67   101    63   137 0.93 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 197652at33208        -            436   4.1e-12   43.0   0.1   3   4     3e-05   0.00069   15.9   0.0   281   339   183   241   120   254 0.84 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 197652at33208        -            436   4.1e-12   43.0   0.1   4   4     2e-05   0.00046   16.5   0.0   255   314   198   258   180   275 0.60 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 197652at33208        -            436   6.8e-12   42.2   0.0   1   2    0.0057      0.13    8.4   0.0   270   335     4    77     1    93 0.76 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 197652at33208        -            436   6.8e-12   42.2   0.0   2   2   5.8e-10   1.3e-08   31.4   0.0   262   336   128   203   116   212 0.91 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 197652at33208        -            436   9.9e-12   41.7   0.1   1   4    0.0029     0.066    9.3   0.0   276   335     6    68     2    75 0.85 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 197652at33208        -            436   9.9e-12   41.7   0.1   2   4     0.071       1.6    4.8   0.0   189   216    94   121    82   130 0.87 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 197652at33208        -            436   9.9e-12   41.7   0.1   3   4     0.019      0.43    6.7   0.0   303   336   134   167   122   180 0.59 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 197652at33208        -            436   9.9e-12   41.7   0.1   4   4   2.6e-05    0.0006   16.1   0.0   267   333   196   264   179   265 0.83 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 197652at33208        -            436   1.1e-11   41.5   0.0   1   2   1.5e-08   3.4e-07   26.8   0.0   269   335    13    79     2    83 0.94 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 197652at33208        -            436   1.1e-11   41.5   0.0   2   2   0.00018    0.0042   13.3   0.0   299   333    85   119    79   120 0.93 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 197652at33208        -            436   1.3e-11   41.3   0.1   1   4   2.3e-05   0.00054   16.2   0.0   279   337   177   235   158   250 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 197652at33208        -            436   1.3e-11   41.3   0.1   2   4   0.00013     0.003   13.8   0.1   279   335   261   317   235   321 0.87 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 197652at33208        -            436   1.3e-11   41.3   0.1   3   4     0.022       0.5    6.5   0.0   255   334   320   398   317   406 0.88 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 197652at33208        -            436   1.3e-11   41.3   0.1   4   4         4        93   -1.0   0.0   311   334   425   448   419   454 0.80 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 197652at33208        -            436   1.5e-11   41.1   8.1   1   3   1.4e-07   3.2e-06   23.5   0.5   230   340   154   271   149   280 0.68 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 197652at33208        -            436   1.5e-11   41.1   8.1   2   3   2.5e-09   5.7e-08   29.3   1.8   177   335   185   348   176   360 0.85 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 197652at33208        -            436   1.5e-11   41.1   8.1   3   3     0.043      0.99    5.5   0.0   198   220   380   402   358   407 0.82 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 197652at33208        -            436   4.8e-11   39.5   2.2   1   2   2.6e-12   6.1e-11   39.1   1.1   206   343     7   152     1   165 0.77 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 197652at33208        -            436   4.8e-11   39.5   2.2   2   2       1.7        38    0.3   0.0   367   399   151   184   148   184 0.65 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 197652at33208        -            436   6.4e-11   39.0   0.9   1   3      0.02      0.45    6.6   0.0   204   334   160   299   133   312 0.57 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 197652at33208        -            436   6.4e-11   39.0   0.9   2   3      0.36       8.3    2.4   0.0   263   333   269   345   262   360 0.49 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 197652at33208        -            436   6.4e-11   39.0   0.9   3   3   5.9e-09   1.4e-07   28.1   0.1   191   337   438   593   424   599 0.73 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 197652at33208        -            436   1.3e-10   38.0   2.1   1   3     0.045         1    5.4   0.2   279   330    20    74     7    89 0.82 -
