#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
514121at33208_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+      -            271 514121at33208        -            220   2.8e-88  292.3   8.9   1   1   7.2e-90   5.7e-88  291.3   8.9    20   215    41   252     5   256 0.90 -
382000at33208_294128_0:003989|TRINITY_DN75758_c13_g1_i1:209-1210|+   -            334 514121at33208        -            220   4.3e-43  144.5  28.1   1   2   1.9e-22   1.5e-20   70.8  11.0    43   178   111   248   106   250 0.95 -
382000at33208_294128_0:003989|TRINITY_DN75758_c13_g1_i1:209-1210|+   -            334 514121at33208        -            220   4.3e-43  144.5  28.1   2   2   1.8e-27   1.4e-25   87.2   9.1    33   191   147   313   145   321 0.89 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 514121at33208        -            220   6.5e-37  124.3  16.5   1   3       2.1   1.7e+02   -1.3   0.0    44    63    17    36     2    55 0.70 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 514121at33208        -            220   6.5e-37  124.3  16.5   2   3     5e-18     4e-16   56.4   1.5    18   100    63   147    43   150 0.92 -
234290at33208_8022_0:00a187|TRINITY_DN91669_c1_g1_i4:590-1333|+      -            248 514121at33208        -            220   6.5e-37  124.3  16.5   3   3   2.2e-25   1.7e-23   80.4   7.7    42   172   112   242   111   245 0.96 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 514121at33208        -            220   2.2e-35  119.3  17.5   1   2   2.6e-17   2.1e-15   54.0   1.5    26    98    44   118    32   118 0.92 -
567650at33208_8030_0:007bd5|TRINITY_DN91790_c7_g1_i2:4400-5101|-     -            234 514121at33208        -            220   2.2e-35  119.3  17.5   2   2   1.5e-24   1.2e-22   77.7   8.7    36   176    79   218    78   225 0.97 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+    -            303 514121at33208        -            220   2.7e-30  102.7   7.3   1   2   3.3e-10   2.6e-08   30.8   0.4    36    96     3    63     1    88 0.72 -
234290at33208_45351_0:002fa0|TRINITY_DN91669_c1_g1_i4:1569-2477|+    -            303 514121at33208        -            220   2.7e-30  102.7   7.3   2   2   9.5e-24   7.6e-22   75.1   1.4    42   178   148   286   122   301 0.90 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 514121at33208        -            220   6.4e-29   98.2   2.6   1   2   1.2e-25   9.5e-24   81.3   1.4    46   179     5   138     1   144 0.95 -
234290at33208_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+       -            178 514121at33208        -            220   6.4e-29   98.2   2.6   2   2     1e-07   7.9e-06   22.7   0.0    32    80   106   154   105   167 0.87 -
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 514121at33208        -            220   5.1e-27   92.0   9.0   1   2   6.1e-09   4.9e-07   26.7   0.6    42    98    19    75     7    77 0.86 -
578734at33208_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 514121at33208        -            220   5.1e-27   92.0   9.0   2   2   1.5e-22   1.2e-20   71.2   5.7    20   166    64   213    64   219 0.92 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 514121at33208        -            220   1.1e-26   90.9  34.5   1   4   5.1e-11   4.1e-09   33.4   5.7    42   168    21   149     8   150 0.89 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 514121at33208        -            220   1.1e-26   90.9  34.5   2   4   1.6e-10   1.3e-08   31.8   5.3    63   171   112   228   109   232 0.84 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 514121at33208        -            220   1.1e-26   90.9  34.5   3   4   3.5e-09   2.8e-07   27.4   1.8    37   128   161   254   152   255 0.88 -
234290at33208_6185_0:001494|TRINITY_DN80899_c8_g1_i1:331-1509|+      -            393 514121at33208        -            220   1.1e-26   90.9  34.5   4   4   4.9e-12   3.9e-10   36.8   0.4    34   172   230   376   214   378 0.79 -
578734at33208_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 514121at33208        -            220     1e-24   84.4   7.8   1   2   9.5e-18   7.6e-16   55.5   3.1    19    99    23   107     9   109 0.86 -
578734at33208_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 514121at33208        -            220     1e-24   84.4   7.8   2   2   2.1e-12   1.6e-10   38.0   0.2    32    94    86   149    84   157 0.47 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 514121at33208        -            220     2e-24   83.5  27.5   1   4   1.4e-06   0.00011   18.9   0.2   112   174     4    69     1    71 0.81 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 514121at33208        -            220     2e-24   83.5  27.5   2   4   2.6e-10     2e-08   31.2  10.4    37   174    71   213    68   215 0.86 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 514121at33208        -            220     2e-24   83.5  27.5   3   4   8.5e-10   6.8e-08   29.5   1.1    36   123   214   304   211   316 0.81 -
234290at33208_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-   -            365 514121at33208        -            220     2e-24   83.5  27.5   4   4   3.6e-05    0.0029   14.3   0.2    62    98   325   362   310   364 0.80 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 514121at33208        -            220   2.7e-22   76.6   9.2   1   2     4e-11   3.1e-09   33.8   0.3    52    99     1    49     1    50 0.94 -
578734at33208_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 514121at33208        -            220   2.7e-22   76.6   9.2   2   2   3.8e-15     3e-13   47.0   4.1    30    98    49   117    48   123 0.95 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 514121at33208        -            220   1.7e-21   73.9  20.8   1   3   4.7e-13   3.7e-11   40.1   7.6    41   170    55   189    29   192 0.85 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 514121at33208        -            220   1.7e-21   73.9  20.8   2   3   2.8e-15   2.2e-13   47.4   5.2    37   173   123   265   121   276 0.86 -
234290at33208_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+     -            357 514121at33208        -            220   1.7e-21   73.9  20.8   3   3      0.03       2.4    4.8   0.0    81   101   316   336   282   356 0.65 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 514121at33208        -            220   4.7e-20   69.2  10.6   1   5   3.1e-08   2.5e-06   24.3   0.3    45   100     2    58     1    80 0.83 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 514121at33208        -            220   4.7e-20   69.2  10.6   2   5   3.4e-05    0.0027   14.4   0.3    17   141    90   214    78   221 0.74 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 514121at33208        -            220   4.7e-20   69.2  10.6   3   5   3.1e-08   2.5e-06   24.4   0.2    45   171   141   269   140   274 0.78 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 514121at33208        -            220   4.7e-20   69.2  10.6   4   5   5.4e-09   4.3e-07   26.8   0.2    37   100   226   291   206   336 0.76 -
234290at33208_240206_0:002dd7|TRINITY_DN84755_c16_g1_i1:355-1521|+   -            389 514121at33208        -            220   4.7e-20   69.2  10.6   5   5    0.0067      0.53    6.9   0.1    58    96   350   389   313   389 0.84 -
578734at33208_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 514121at33208        -            220   2.8e-19   66.7   6.4   1   1   1.6e-20   1.3e-18   64.5   6.4    19   166    19   168    13   169 0.78 -
567650at33208_37621_0:000465|TRINITY_DN85551_c9_g1_i1:424-1650|-     -            409 514121at33208        -            220   1.1e-18   64.8   9.9   1   2   8.4e-10   6.7e-08   29.5   2.1   108   170   152   215   143   221 0.91 -
567650at33208_37621_0:000465|TRINITY_DN85551_c9_g1_i1:424-1650|-     -            409 514121at33208        -            220   1.1e-18   64.8   9.9   2   2   5.3e-13   4.2e-11   40.0   1.1   111   193   227   311   215   318 0.68 -
578734at33208_13249_0:0026b7|TRINITY_DN93731_c3_g2_i1:2882-3256|-    -            125 514121at33208        -            220   1.1e-17   61.5   6.3   1   3   1.1e-08   8.6e-07   25.8   0.2    45    85     1    41     1    48 0.91 -
578734at33208_13249_0:0026b7|TRINITY_DN93731_c3_g2_i1:2882-3256|-    -            125 514121at33208        -            220   1.1e-17   61.5   6.3   2   3   0.00011     0.009   12.7   0.0   151   177    59    85    45    87 0.88 -
578734at33208_13249_0:0026b7|TRINITY_DN93731_c3_g2_i1:2882-3256|-    -            125 514121at33208        -            220   1.1e-17   61.5   6.3   3   3   4.6e-10   3.6e-08   30.3   0.4    32    79    78   125    77   125 0.97 -
514121at33208_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-       -            115 514121at33208        -            220   4.3e-16   56.3   3.0   1   2   7.6e-14     6e-12   42.7   1.1   115   178     1    65     1    69 0.95 -
514121at33208_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-       -            115 514121at33208        -            220   4.3e-16   56.3   3.0   2   2   2.1e-05    0.0017   15.1   0.0    39    89    64   114    62   115 0.79 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+      -            238 514121at33208        -            220   3.6e-15   53.3   9.9   1   2   1.5e-12   1.2e-10   38.5   7.0    20   170    22   183    15   183 0.82 -
453056at33208_8255_0:001b1c|TRINITY_DN79934_c8_g1_i2:311-1024|+      -            238 514121at33208        -            220   3.6e-15   53.3   9.9   2   2   0.00047     0.037   10.7   0.0    19    54   192   230   184   237 0.61 -
567650at33208_7739_0:005234|TRINITY_DN74490_c13_g1_i2:141-440|+      -            100 514121at33208        -            220     6e-14   49.2   2.7   1   1     1e-12   8.3e-11   39.0   0.6    19    71    44    98    42   100 0.87 -
514121at33208_286706_0:003544|TRINITY_DN93731_c3_g2_i1:1620-2321|-   -            234 514121at33208        -            220   6.9e-14   49.0   8.8   1   3   5.8e-09   4.6e-07   26.7   0.1    62   127     1    66     1    78 0.85 -
514121at33208_286706_0:003544|TRINITY_DN93731_c3_g2_i1:1620-2321|-   -            234 514121at33208        -            220   6.9e-14   49.0   8.8   2   3     0.086       6.8    3.3   0.3   109   125   148   164   104   172 0.67 -
514121at33208_286706_0:003544|TRINITY_DN93731_c3_g2_i1:1620-2321|-   -            234 514121at33208        -            220   6.9e-14   49.0   8.8   3   3   9.1e-08   7.2e-06   22.8   0.8    41   175   189   232   183   234 0.54 -
514121at33208_121845_0:002a7b|TRINITY_DN78702_c6_g4_i1:18-188|-      -             57 514121at33208        -            220   6.9e-13   45.8   0.6   1   1   9.4e-15   7.4e-13   45.7   0.6   123   177     2    57     1    57 0.94 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+      -            193 514121at33208        -            220   7.1e-12   42.5   9.2   1   2   1.4e-06   0.00011   18.9   0.5    44   108    23    87     6    91 0.87 -
514121at33208_7719_0:000d63|TRINITY_DN71258_c0_g1_i1:504-1082|+      -            193 514121at33208        -            220   7.1e-12   42.5   9.2   2   2   1.4e-08   1.1e-06   25.5   2.9    66   151   102   193    99   193 0.80 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+  -            143 514121at33208        -            220   1.8e-11   41.2   3.2   1   2   1.5e-10   1.2e-08   31.9   0.5    41   129     5    94     2    98 0.76 -
578734at33208_29088_0:003240|TRINITY_DN72727_c13_g1_i14:1257-1685|+  -            143 514121at33208        -            220   1.8e-11   41.2   3.2   2   2     1e-05    0.0008   16.1   0.1    63   105    51    92    45   143 0.64 -
578734at33208_680683_0:002abd|TRINITY_DN92851_c12_g1_i1:448-939|+    -            164 514121at33208        -            220   1.2e-10   38.5   1.9   1   1     2e-12   1.6e-10   38.0   1.9    45   168     9   137     4   153 0.79 -
514121at33208_8208_0:003036|TRINITY_DN83407_c11_g1_i1:3625-4026|-    -            134 514121at33208        -            220     6e-10   36.2   4.9   1   2   2.3e-07   1.8e-05   21.5   0.1   112   174     3    68     1    70 0.85 -
514121at33208_8208_0:003036|TRINITY_DN83407_c11_g1_i1:3625-4026|-    -            134 514121at33208        -            220     6e-10   36.2   4.9   2   2   8.2e-06   0.00065   16.4   1.5    37    96    70   131    68   134 0.83 -
382000at33208_535359_0:001041|TRINITY_DN75291_c12_g2_i1:253-825|+    -            191 514121at33208        -            220   4.6e-09   33.3   2.0   1   2   3.2e-08   2.5e-06   24.3   0.2    21    78     7    69     2    78 0.84 -
382000at33208_535359_0:001041|TRINITY_DN75291_c12_g2_i1:253-825|+    -            191 514121at33208        -            220   4.6e-09   33.3   2.0   2   2    0.0019      0.15    8.7   0.1    21    57    81   120    72   144 0.69 -
553585at33208_6087_0:000cda|TRINITY_DN78231_c3_g2_i1:132-518|+       -            129 514121at33208        -            220     9e-07   25.8   4.8   1   1     4e-08   3.2e-06   24.0   4.7    20   104     4    89     2   121 0.78 -
553585at33208_29159_0:00578f|TRINITY_DN83605_c10_g1_i6:2517-2789|-   -             91 514121at33208        -            220   1.1e-06   25.5  11.5   1   2   6.2e-07     5e-05   20.1   4.0    23    78     2    57     1    59 0.91 -
553585at33208_29159_0:00578f|TRINITY_DN83605_c10_g1_i6:2517-2789|-   -             91 514121at33208        -            220   1.1e-06   25.5  11.5   2   2   0.00056     0.044   10.4   1.1    35    68    59    91    56    91 0.89 -
514121at33208_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+      -            171 514121at33208        -            220   1.3e-05   22.0  11.3   1   2   3.4e-06   0.00027   17.7   4.9    59   148    20   109     1   111 0.53 -
514121at33208_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+      -            171 514121at33208        -            220   1.3e-05   22.0  11.3   2   2   0.00032     0.026   11.2   1.5    23    93    97   169    93   170 0.84 -
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 514121at33208        -            220    0.0019   14.9   4.4   1   3    0.0005     0.039   10.6   2.8    37   100    39   102    22   109 0.74 -
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 514121at33208        -            220    0.0019   14.9   4.4   2   3   7.3e-05    0.0058   13.3   3.7    20    77    65   127    47   169 0.68 -
553585at33208_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 514121at33208        -            220    0.0019   14.9   4.4   3   3       9.7   7.7e+02   -3.4   0.0    17    44   189   216   185   222 0.71 -
578734at33208_70779_0:0023d6|TRINITY_DN91745_c1_g1_i2:1062-1463|-    -            134 514121at33208        -            220     0.002   14.8   1.8   1   2   3.7e-05    0.0029   14.3   0.9    91   145    10    68     3    96 0.52 -
578734at33208_70779_0:0023d6|TRINITY_DN91745_c1_g1_i2:1062-1463|-    -            134 514121at33208        -            220     0.002   14.8   1.8   2   2       2.7   2.1e+02   -1.6   0.0    20    33   103   116    89   122 0.75 -
285146at33208_121845_0:0034c8|TRINITY_DN78802_c0_g5_i2:1314-2807|+   -            498 514121at33208        -            220     0.011   12.4   0.6   1   1   0.00026      0.02   11.5   0.6    39   122   396   482   386   497 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/514121at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/514121at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/514121at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:26 2026
# [ok]
