#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
359532at33208_7574_0:005035|TRINITY_DN93032_c15_g1_i6:111-1160|+    -            350 359532at33208        -            410  7.1e-136  450.4   2.2   1   1  5.9e-138  8.6e-136  450.1   2.2     1   316     1   345     1   349 0.91 -
409006at33208_29031_0:00078e|TRINITY_DN73758_c15_g1_i2:324-1862|+   -            513 359532at33208        -            410   8.2e-05   18.7   0.1   2   2   2.2e-05    0.0032   13.4   0.0   100   239   339   470   333   483 0.74 -
205220at33208_100784_0:001a5c|TRINITY_DN85278_c10_g1_i2:1638-2069|+ -            144 359532at33208        -            410    0.0002   17.4   0.2   1   2   0.00028     0.041    9.8   0.1    72   114    20    59     4    77 0.66 -
205220at33208_100784_0:001a5c|TRINITY_DN85278_c10_g1_i2:1638-2069|+ -            144 359532at33208        -            410    0.0002   17.4   0.2   2   2    0.0044      0.64    5.9   0.0   340   385    80   122    70   136 0.81 -
409006at33208_29031_0:00078e|TRINITY_DN87279_c11_g1_i4:269-1708|+   -            480 359532at33208        -            410   0.00055   16.0   0.0   1   1     7e-05      0.01   11.8   0.0   182   239   310   366   307   423 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/359532at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/359532at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/359532at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:25 2026
# [ok]
