#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
537718at33208_6669_0:00507f|TRINITY_DN85821_c14_g1_i1:201-1097|+    -            299 537718at33208        -            243   3.1e-65  217.4   3.0   1   1   5.3e-66   1.2e-64  215.5   3.0     1   242     1   298     1   299 0.84 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   3.8e-22   76.3   3.2   1   4   4.4e-06    0.0001   19.2   0.0    36    89    78   132    72   149 0.85 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   3.8e-22   76.3   3.2   2   4   0.00047     0.011   12.6   0.0    36    90   161   218   144   230 0.80 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   3.8e-22   76.3   3.2   3   4      0.94        22    1.8   0.0    99   131   503   535   495   571 0.77 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 537718at33208        -            243   3.8e-22   76.3   3.2   4   4   1.5e-11   3.5e-10   37.1   0.1    35   129   614   715   592   719 0.86 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   7.6e-22   75.3   0.7   1   4      0.02      0.45    7.3   0.0   104   130    58    84    48    90 0.82 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   7.6e-22   75.3   0.7   2   4   3.8e-05   0.00087   16.2   0.3    37   104    69   142    67   151 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   7.6e-22   75.3   0.7   3   4   1.4e-11   3.2e-10   37.3   0.1    35   130   153   253   137   288 0.80 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 537718at33208        -            243   7.6e-22   75.3   0.7   4   4     9e-06   0.00021   18.2   0.0    36    87   287   340   260   344 0.88 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 537718at33208        -            243   8.3e-22   75.2   0.3   1   3   9.4e-13   2.2e-11   41.1   0.0    26   131   160   276   156   286 0.85 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 537718at33208        -            243   8.3e-22   75.2   0.3   2   3   1.9e-09   4.3e-08   30.3   0.0    28   133   291   402   279   409 0.78 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 537718at33208        -            243   8.3e-22   75.2   0.3   3   3     0.004     0.093    9.6   0.0    38    88   344   395   341   449 0.81 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   9.9e-22   75.0   6.6   1   4       2.1        49    0.6   0.0    36    50    65    79    61    93 0.85 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   9.9e-22   75.0   6.6   2   4   4.9e-07   1.1e-05   22.4   0.0   100   172    98   179    90   190 0.80 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   9.9e-22   75.0   6.6   3   4   1.9e-09   4.3e-08   30.3   0.1    36   101   197   267   187   280 0.82 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 537718at33208        -            243   9.9e-22   75.0   6.6   4   4   6.7e-07   1.5e-05   21.9   0.4    37    89   282   336   279   339 0.93 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 537718at33208        -            243   2.3e-21   73.7   2.8   1   3   2.2e-17   5.1e-16   56.2   1.8    35   135    17   123     3   128 0.90 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 537718at33208        -            243   2.3e-21   73.7   2.8   2   3   9.4e-05    0.0022   14.9   0.0    20    77   125   186   122   195 0.79 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 537718at33208        -            243   2.3e-21   73.7   2.8   3   3       2.6        60    0.3   0.0    37    49   207   219   202   223 0.63 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 537718at33208        -            243   5.5e-21   72.5   1.8   1   3   4.2e-11   9.7e-10   35.7   0.3    37   135    54   158    47   170 0.91 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 537718at33208        -            243   5.5e-21   72.5   1.8   2   3     2e-08   4.5e-07   27.0   0.0    38    96   183   244   180   265 0.87 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 537718at33208        -            243   5.5e-21   72.5   1.8   3   3      0.05       1.1    6.0   0.0    36    86   266   316   257   317 0.86 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243     2e-19   67.4   0.4   1   4       1.2        26    1.5   0.0   100   135     7    43     2    59 0.61 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243     2e-19   67.4   0.4   2   4   0.00014    0.0032   14.3   0.0    37    87    65   115    44   128 0.89 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243     2e-19   67.4   0.4   3   4   2.8e-06   6.5e-05   19.9   0.1   101   153   157   214   144   232 0.64 -
235430at33208_6087_0:002c27|TRINITY_DN89883_c1_g1_i8:2302-3219|+    -            306 537718at33208        -            243     2e-19   67.4   0.4   4   4   2.2e-08   5.1e-07   26.8   0.0    25    88   237   305   227   306 0.90 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 537718at33208        -            243   5.3e-19   66.0   0.0   1   2   1.6e-06   3.7e-05   20.7   0.0    36   113    19   102     2   104 0.81 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 537718at33208        -            243   5.3e-19   66.0   0.0   2   2   8.9e-13   2.1e-11   41.2   0.0    27   128    89   201    89   201 0.87 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 537718at33208        -            243     1e-18   65.1   0.2   1   3      0.12       2.9    4.7   0.0    35    57   153   175   139   186 0.83 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 537718at33208        -            243     1e-18   65.1   0.2   2   3   5.5e-06   0.00013   18.9   0.0    36   102   209   278   196   288 0.86 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 537718at33208        -            243     1e-18   65.1   0.2   3   3     2e-11   4.5e-10   36.8   0.1    36   174   291   435   273   462 0.80 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 537718at33208        -            243   2.7e-18   63.7   0.4   1   4     0.015      0.35    7.7   0.0   113   135    17    39     2    47 0.78 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 537718at33208        -            243   2.7e-18   63.7   0.4   2   4   0.00074     0.017   12.0   0.0    31    74    55    98    43   100 0.90 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 537718at33208        -            243   2.7e-18   63.7   0.4   3   4   1.3e-11     3e-10   37.4   0.0    36    89   102   157   100   177 0.92 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 537718at33208        -            243   2.7e-18   63.7   0.4   4   4      0.84        19    2.0   0.0    64    85   186   209   173   212 0.61 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 537718at33208        -            243   2.8e-17   60.4   0.6   1   5       4.2        96   -0.3   0.0    46    91    44    92    39   102 0.75 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 537718at33208        -            243   2.8e-17   60.4   0.6   2   5   7.8e-06   0.00018   18.4   0.0    38   134   168   272   149   279 0.84 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 537718at33208        -            243   2.8e-17   60.4   0.6   3   5       4.8   1.1e+02   -0.5   0.0    27    53   370   396   359   443 0.63 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 537718at33208        -            243   2.8e-17   60.4   0.6   4   5   0.00023    0.0053   13.6   0.0    35    89   457   514   449   525 0.84 -
179485at33208_104688_0:000c28|TRINITY_DN73327_c12_g1_i2:628-2442|-  -            605 537718at33208        -            243   2.8e-17   60.4   0.6   5   5     1e-05   0.00023   18.1   0.0    27    87   531   599   516   605 0.82 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 537718at33208        -            243   2.8e-17   60.3   1.9   1   3   6.9e-05    0.0016   15.3   0.1    38   130    19   116    15   124 0.79 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 537718at33208        -            243   2.8e-17   60.3   1.9   2   3   0.00051     0.012   12.5   0.0    26    73   127   181   117   185 0.82 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 537718at33208        -            243   2.8e-17   60.3   1.9   3   3   3.6e-09   8.2e-08   29.4   1.1    36   128   186   287   182   288 0.84 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 537718at33208        -            243     7e-17   59.1   3.5   1   3     3e-06     7e-05   19.8   0.0    63   144    11   100     3   112 0.59 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 537718at33208        -            243     7e-17   59.1   3.5   2   3   1.2e-05   0.00027   17.8   0.0    36    88   114   169   110   196 0.87 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 537718at33208        -            243     7e-17   59.1   3.5   3   3   2.1e-06   4.9e-05   20.3   0.4    34   128   197   303   176   303 0.72 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 537718at33208        -            243   8.5e-17   58.8   6.6   1   4   8.9e-08     2e-06   24.8   0.4   100   172     6    90     2    93 0.80 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 537718at33208        -            243   8.5e-17   58.8   6.6   2   4   1.3e-06     3e-05   21.0   0.2    63   130    51   126    44   131 0.62 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 537718at33208        -            243   8.5e-17   58.8   6.6   3   4   7.4e-07   1.7e-05   21.8   0.0    26    87   140   210   132   217 0.76 -
365323at33208_127582_0:0002e9|TRINITY_DN92254_c0_g4_i1:77-1057|+    -            327 537718at33208        -            243   8.5e-17   58.8   6.6   4   4      0.12       2.8    4.7   0.0    38    87   259   320   251   327 0.48 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 537718at33208        -            243   1.5e-16   58.0   1.6   1   4   7.2e-09   1.6e-07   28.4   0.0   100   157   270   332   262   354 0.81 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 537718at33208        -            243   1.5e-16   58.0   1.6   2   4       3.4        77   -0.0   0.0   138   156   403   421   394   424 0.87 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 537718at33208        -            243   1.5e-16   58.0   1.6   3   4       2.9        66    0.2   0.0    88   113   473   501   424   506 0.65 -
261614at33208_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-   -            613 537718at33208        -            243   1.5e-16   58.0   1.6   4   4   2.6e-07   5.9e-06   23.3   0.0    40   128   506   613   496   613 0.78 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 537718at33208        -            243     2e-16   57.6   0.1   1   3   0.00027    0.0061   13.4   0.1    68   138    15    94     6   100 0.78 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 537718at33208        -            243     2e-16   57.6   0.1   2   3   1.8e-08   4.1e-07   27.1   0.1    39   161    73   205    73   224 0.80 -
502128at33208_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 537718at33208        -            243     2e-16   57.6   0.1   3   3   2.1e-05   0.00049   17.0   0.0    35    91   235   294   216   313 0.83 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 537718at33208        -            243   2.6e-16   57.2   2.6   1   4      0.88        20    1.9   0.2    63   122   141   206   123   208 0.68 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 537718at33208        -            243   2.6e-16   57.2   2.6   2   4   1.1e-07   2.6e-06   24.5   0.9    24   102   194   279   185   286 0.80 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 537718at33208        -            243   2.6e-16   57.2   2.6   3   4   6.4e-05    0.0015   15.4   0.1    36   101   292   361   277   366 0.81 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 537718at33208        -            243   2.6e-16   57.2   2.6   4   4   0.00028    0.0064   13.4   0.0    35   106   381   455   368   458 0.78 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 537718at33208        -            243   3.1e-16   57.0   7.1   1   6    0.0011     0.025   11.4   0.0   104   172    58   130    42   140 0.68 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 537718at33208        -            243   3.1e-16   57.0   7.1   2   6       3.5        80   -0.1   0.0    36    91   158   218   153   223 0.62 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 537718at33208        -            243   3.1e-16   57.0   7.1   3   6      0.01      0.24    8.2   0.4    61   151   299   402   286   403 0.74 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 537718at33208        -            243   3.1e-16   57.0   7.1   4   6   1.5e-09   3.5e-08   30.6   0.0    23   134   384   508   378   514 0.88 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 537718at33208        -            243   3.1e-16   57.0   7.1   5   6   0.00021    0.0049   13.7   0.0    31   133   482   593   465   596 0.71 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 537718at33208        -            243   3.1e-16   57.0   7.1   6   6       3.3        76    0.0   0.0    35    59   635   659   616   671 0.76 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 537718at33208        -            243   6.9e-16   55.8   2.1   1   2   5.9e-10   1.4e-08   31.9   0.3    36   136    18   133    14   140 0.77 -
357580at33208_6412_0:003197|TRINITY_DN93438_c7_g1_i18:2567-3202|+   -            212 537718at33208        -            243   6.9e-16   55.8   2.1   2   2   2.3e-07   5.4e-06   23.4   0.1    37    88   157   210   143   212 0.93 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 537718at33208        -            243   2.4e-15   54.0   0.4   1   3   3.1e-06     7e-05   19.8   0.0    36    89     7    65     2    74 0.85 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 537718at33208        -            243   2.4e-15   54.0   0.4   2   3   9.4e-07   2.2e-05   21.5   0.0    29    95    98   170    92   176 0.79 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 537718at33208        -            243   2.4e-15   54.0   0.4   3   3    0.0048      0.11    9.3   0.2    74   129   205   265   192   265 0.66 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 537718at33208        -            243   2.7e-15   53.9   0.6   1   2   1.6e-07   3.6e-06   24.0   0.1    56   127   155   234    93   246 0.69 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 537718at33208        -            243   2.7e-15   53.9   0.6   2   2     5e-08   1.2e-06   25.6   0.0    62   136   250   332   221   339 0.74 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 537718at33208        -            243   2.7e-15   53.9   0.0   1   3   9.5e-09   2.2e-07   28.0   0.1    36   130    34   136     6   147 0.84 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 537718at33208        -            243   2.7e-15   53.9   0.0   2   3       2.3        53    0.5   0.0    39    54   163   178   158   228 0.63 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 537718at33208        -            243   2.7e-15   53.9   0.0   3   3   1.5e-06   3.4e-05   20.8   0.0    35    83   251   300   242   309 0.87 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   4.8e-15   53.1   3.2   1   4    0.0047      0.11    9.3   0.0   139   196    47   112    41   112 0.76 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   4.8e-15   53.1   3.2   2   4   2.5e-08   5.8e-07   26.6   0.0    21   138    86   210    83   230 0.86 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   4.8e-15   53.1   3.2   3   4      0.26       5.9    3.6   0.0   104   134   217   246   209   249 0.88 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 537718at33208        -            243   4.8e-15   53.1   3.2   4   4   3.6e-06   8.3e-05   19.5   0.2    46   114   236   309   228   316 0.79 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 537718at33208        -            243   1.4e-14   51.5   0.3   1   3   0.00089      0.02   11.7   0.0    36   107    11    92     4    99 0.60 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 537718at33208        -            243   1.4e-14   51.5   0.3   2   3   4.3e-10   9.8e-09   32.4   0.0    23   155    39   184    32   187 0.82 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 537718at33208        -            243   1.4e-14   51.5   0.3   3   3   1.2e-05   0.00027   17.9   0.0    37   128   144   243   141   243 0.79 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 537718at33208        -            243   9.7e-14   48.8  12.3   1   3   8.2e-06   0.00019   18.4   1.1    35   132   116   223    95   226 0.76 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 537718at33208        -            243   9.7e-14   48.8  12.3   2   3   0.00068     0.016   12.1   0.8    36   129   397   513   368   538 0.70 -
111746at33208_7950_0:002c3a|TRINITY_DN87686_c12_g1_i5:199-2867|-    -            797 537718at33208        -            243   9.7e-14   48.8  12.3   3   3   1.4e-05   0.00032   17.6   0.1    36    97   540   604   534   652 0.85 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 537718at33208        -            243   2.8e-13   47.3   3.5   1   3   9.2e-10   2.1e-08   31.3   0.1    22   134   211   340   206   341 0.78 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 537718at33208        -            243   2.8e-13   47.3   3.5   2   3     2e-07   4.6e-06   23.7   0.4    38   107   322   396   318   404 0.87 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 537718at33208        -            243   2.8e-13   47.3   3.5   3   3      0.71        16    2.2   0.0    92   128   474   511   411   512 0.57 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 537718at33208        -            243     3e-13   47.2   0.3   1   2      0.25       5.8    3.7   0.0    45    76    31    62     7    67 0.84 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 537718at33208        -            243     3e-13   47.2   0.3   2   2   8.3e-14   1.9e-12   44.5   0.2    26   130    49   164    41   166 0.86 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   3.5e-13   47.0   1.1   1   4    0.0037     0.085    9.7   0.0    37    82    11    57     8    70 0.90 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   3.5e-13   47.0   1.1   2   4   2.8e-06   6.5e-05   19.9   0.0    36   133    95   199    85   225 0.84 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   3.5e-13   47.0   1.1   3   4      0.56        13    2.5   0.1   204   228   222   246   200   261 0.57 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 537718at33208        -            243   3.5e-13   47.0   1.1   4   4    0.0013      0.03   11.2   0.0    35    75   272   312   255   312 0.93 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 537718at33208        -            243   3.7e-13   46.9   0.0   1   3   3.3e-07   7.5e-06   23.0   0.0   106   165    12    78     2   100 0.52 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 537718at33208        -            243   3.7e-13   46.9   0.0   2   3      0.18       4.1    4.2   0.0    42    72   132   163   119   168 0.82 -
357580at33208_30019_0:0008bb|TRINITY_DN77348_c7_g1_i3:1808-2602|+   -            265 537718at33208        -            243   3.7e-13   46.9   0.0   3   3   4.2e-05   0.00097   16.0   0.0    36   118   172   265   166   265 0.73 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 537718at33208        -            243   4.1e-13   46.7   0.7   1   3      0.38       8.7    3.1   0.0   100   137     8    45     1    64 0.70 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 537718at33208        -            243   4.1e-13   46.7   0.7   2   3   3.4e-08   7.8e-07   26.2   0.1    36   103    73   141    43   147 0.84 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 537718at33208        -            243   4.1e-13   46.7   0.7   3   3   9.4e-05    0.0022   14.9   0.0    38   128   163   254   157   255 0.81 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 537718at33208        -            243   7.2e-13   45.9   0.2   1   3     2e-06   4.5e-05   20.4   0.2    61   152     2   103     1   123 0.76 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 537718at33208        -            243   7.2e-13   45.9   0.2   2   3   4.9e-06   0.00011   19.1   0.0    34   111   154   236   136   238 0.85 -
458807at33208_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+   -            325 537718at33208        -            243   7.2e-13   45.9   0.2   3   3      0.47        11    2.8   0.0   100   126   283   310   267   315 0.64 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 537718at33208        -            243   7.8e-13   45.8   0.7   1   3     0.068       1.6    5.5   0.0   107   134    19    46     8    54 0.80 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 537718at33208        -            243   7.8e-13   45.8   0.7   2   3   4.1e-07   9.5e-06   22.6   0.0    37   136    69   174    64   198 0.81 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 537718at33208        -            243   7.8e-13   45.8   0.7   3   3   0.00014    0.0033   14.3   0.1    70   120   230   285   201   293 0.74 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   1.4e-12   45.0   1.6   1   4      0.27       6.2    3.6   0.0    68   130    65   127    51   137 0.78 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 537718at33208        -            243   1.4e-12   45.0   1.6   2   4       5.7   1.3e+02   -0.8   0.0   108   138   148   180   136   183 0.73 -
