#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
449139at33208_294128_0:002fdc|TRINITY_DN88572_c7_g1_i6:31-1345|-    -            415 449139at33208        -            321  3.7e-158  523.1   1.0   1   1    2e-159  5.3e-158  522.6   1.0     6   320    68   415    65   415 0.91 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 449139at33208        -            321     5e-20   69.3   0.9   1   5   0.00033    0.0089   12.6   0.0   132   173    44    85    17    94 0.86 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 449139at33208        -            321     5e-20   69.3   0.9   2   5       0.1       2.7    4.4   0.0    92   129    93   129    86   134 0.76 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 449139at33208        -            321     5e-20   69.3   0.9   3   5     2e-06   5.4e-05   19.9   0.0    88   174   131   213   126   216 0.91 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 449139at33208        -            321     5e-20   69.3   0.9   4   5    0.0005     0.014   12.0   0.0   139   191   220   273   215   275 0.78 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 449139at33208        -            321     5e-20   69.3   0.9   5   5   1.7e-05   0.00045   16.8   0.0    49   127   272   345   261   346 0.78 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 449139at33208        -            321   1.5e-18   64.4  10.4   1   4   1.6e-05   0.00043   16.9   0.3   109   174    63   131    57   136 0.84 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 449139at33208        -            321   1.5e-18   64.4  10.4   2   4      0.24       6.4    3.2   0.0   238   276   136   173   131   187 0.83 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 449139at33208        -            321   1.5e-18   64.4  10.4   3   4   8.7e-14   2.3e-12   44.1   0.2    30   173   160   298   146   304 0.81 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 449139at33208        -            321   1.5e-18   64.4  10.4   4   4   1.3e-07   3.5e-06   23.8   0.6    94   169   265   336   264   339 0.91 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 449139at33208        -            321   1.8e-17   60.9   0.6   1   3   3.7e-06   9.9e-05   19.0   0.0    93   174     1    79     1    81 0.94 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 449139at33208        -            321   1.8e-17   60.9   0.6   2   3   1.7e-12   4.7e-11   39.8   0.0    67   173    60   162    55   169 0.91 -
380583at33208_225164_0:005929|TRINITY_DN87264_c2_g1_i15:3469-4071|- -            201 449139at33208        -            321   1.8e-17   60.9   0.6   3   3     0.018      0.49    6.9   0.0    89   125   166   201   162   201 0.88 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 449139at33208        -            321     4e-16   56.4   3.6   1   3   2.7e-12   7.3e-11   39.1   0.1    88   173     4    87     1   102 0.89 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 449139at33208        -            321     4e-16   56.4   3.6   2   3   3.4e-05   0.00091   15.8   0.3   103   180   104   180    90   278 0.78 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 449139at33208        -            321     4e-16   56.4   3.6   3   3      0.45        12    2.3   0.1    86   277   220   265   191   303 0.51 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 449139at33208        -            321   6.6e-16   55.7   0.9   1   2   2.1e-06   5.5e-05   19.8   0.0    69   132     2    65     1    71 0.84 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 449139at33208        -            321   6.6e-16   55.7   0.9   2   2   7.2e-13     2e-11   41.0   0.4     8   158    27   172    24   184 0.85 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 449139at33208        -            321   1.4e-15   54.7   0.2   1   1   7.8e-17   2.1e-15   54.1   0.2    14   173    12   165     3   167 0.88 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 449139at33208        -            321   1.5e-15   54.6   0.0   1   2   2.1e-12   5.7e-11   39.5   0.1    13   173    17   178    15   185 0.87 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 449139at33208        -            321   1.5e-15   54.6   0.0   2   2    0.0019     0.053   10.0   0.0    92   156   186   248   179   263 0.73 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 449139at33208        -            321   1.7e-15   54.4   0.1   1   3    0.0021     0.056   10.0   0.0   139   187    99   147    93   152 0.90 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 449139at33208        -            321   1.7e-15   54.4   0.1   2   3     0.014      0.39    7.2   0.0    89   127   156   193   150   205 0.82 -
266808at33208_294128_0:002843|TRINITY_DN87964_c7_g1_i3:208-1747|+   -            421 449139at33208        -            321   1.7e-15   54.4   0.1   3   3   2.3e-10   6.2e-09   32.8   0.0    68   173   221   327   208   335 0.83 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 449139at33208        -            321     6e-15   52.6   1.2   1   3   1.3e-05   0.00036   17.2   0.0   143   171    13    41     4    47 0.86 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 449139at33208        -            321     6e-15   52.6   1.2   2   3   2.2e-09   5.9e-08   29.6   0.1    86   214    44   172    41   179 0.75 -
414579at33208_13735_0:0004c1|TRINITY_DN71312_c0_g1_i1:153-1061|-    -            303 449139at33208        -            321     6e-15   52.6   1.2   3   3     0.044       1.2    5.6   0.0    35   127   162   252   135   261 0.68 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 449139at33208        -            321   7.3e-15   52.3   0.2   1   3    0.0042      0.11    9.0   0.0    70   131   177   237   166   239 0.76 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 449139at33208        -            321   7.3e-15   52.3   0.2   2   3   9.1e-09   2.4e-07   27.6   0.1    87   174   236   319   233   339 0.89 -
222489at33208_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+   -            472 449139at33208        -            321   7.3e-15   52.3   0.2   3   3   0.00017    0.0046   13.5   0.0    79   177   353   454   322   465 0.76 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 449139at33208        -            321     3e-14   50.3   1.1   1   2   1.1e-09   2.9e-08   30.6   0.2    70   175    49   152    36   166 0.85 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 449139at33208        -            321     3e-14   50.3   1.1   2   2   2.8e-05   0.00075   16.1   0.0   110   174   183   244   161   257 0.84 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 449139at33208        -            321   4.4e-14   49.7   0.8   1   3     0.046       1.2    5.5   0.0   109   173   152   226   125   233 0.68 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 449139at33208        -            321   4.4e-14   49.7   0.8   2   3   1.3e-07   3.4e-06   23.8   0.0     9   124   235   346   228   364 0.84 -
365323at33208_13164_0:0033ac|TRINITY_DN86682_c13_g1_i6:598-2484|-   -            468 449139at33208        -            321   4.4e-14   49.7   0.8   3   3   1.8e-05   0.00047   16.8   0.0   111   174   367   427   360   437 0.86 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 449139at33208        -            321   4.7e-14   49.6   0.5   1   3   0.00095     0.026   11.1   0.0   140   174    15    49    10    61 0.88 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 449139at33208        -            321   4.7e-14   49.6   0.5   2   3   4.1e-05    0.0011   15.6   0.1   136   173    64   101    57   114 0.89 -
357580at33208_6239_0:00073f|TRINITY_DN76578_c9_g1_i6:2155-2979|+    -            275 449139at33208        -            321   4.7e-14   49.6   0.5   3   3   1.7e-06   4.5e-05   20.1   0.0   101   175   170   240   120   275 0.61 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 449139at33208        -            321   1.7e-13   47.8   3.7   1   3     8e-05    0.0022   14.6   0.0    13   126     6   115     1   120 0.74 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 449139at33208        -            321   1.7e-13   47.8   3.7   2   3   1.7e-07   4.6e-06   23.4   0.1    91   175   123   205   116   220 0.86 -
365323at33208_29058_0:001c12|TRINITY_DN84760_c5_g1_i6:976-1839|-    -            288 449139at33208        -            321   1.7e-13   47.8   3.7   3   3     0.002     0.054   10.0   0.8    91   170   210   287   205   288 0.84 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 449139at33208        -            321   1.8e-13   47.7   0.4   1   3      0.23       6.2    3.2   0.0    85   128   140   183   120   188 0.86 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 449139at33208        -            321   1.8e-13   47.7   0.4   2   3   0.00017    0.0047   13.5   0.0    66   125   164   222   155   233 0.79 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 449139at33208        -            321   1.8e-13   47.7   0.4   3   3   4.1e-09   1.1e-07   28.7   0.0    84   175   306   393   290   405 0.85 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 449139at33208        -            321   2.4e-13   47.3   2.9   1   5      0.86        23    1.4   0.1    91   131    94   131    74   136 0.73 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 449139at33208        -            321   2.4e-13   47.3   2.9   2   5     0.033      0.89    6.0   0.0   110   140   155   185   137   204 0.83 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 449139at33208        -            321   2.4e-13   47.3   2.9   3   5    0.0047      0.13    8.8   0.0    90   179   264   354   230   368 0.80 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 449139at33208        -            321   2.4e-13   47.3   2.9   4   5      0.21       5.8    3.3   0.0   122   174   458   510   447   520 0.89 -
164767at33208_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-   -            888 449139at33208        -            321   2.4e-13   47.3   2.9   5   5   2.6e-07   6.9e-06   22.8   0.0    65   137   530   601   519   602 0.91 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 449139at33208        -            321   3.9e-13   46.6   0.0   1   2   6.2e-09   1.7e-07   28.1   0.0     9   133    19   142    14   150 0.85 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 449139at33208        -            321   3.9e-13   46.6   0.0   2   2   2.3e-05   0.00062   16.4   0.0    31   137   166   278   152   301 0.69 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 449139at33208        -            321   4.9e-13   46.3   0.1   1   3   4.2e-05    0.0011   15.5   0.0    91   173    37   118     3   120 0.78 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 449139at33208        -            321   4.9e-13   46.3   0.1   2   3     2e-08   5.5e-07   26.4   0.0    86   171   119   202   116   208 0.91 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 449139at33208        -            321   4.9e-13   46.3   0.1   3   3      0.29       7.9    2.9   0.0    83   125   202   243   198   243 0.80 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 449139at33208        -            321   5.3e-13   46.2   0.4   1   3   4.9e-07   1.3e-05   21.9   0.0    62   175     4   114     1   137 0.85 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 449139at33208        -            321   5.3e-13   46.2   0.4   2   3    0.0088      0.24    7.9   0.0   258   319   138   194   131   196 0.87 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 449139at33208        -            321   5.3e-13   46.2   0.4   3   3   0.00033    0.0088   12.6   0.1    84   174   204   291   203   307 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 449139at33208        -            321   1.5e-12   44.7   0.7   1   3   0.00032    0.0087   12.6   0.0    87   173   254   337   229   339 0.79 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 449139at33208        -            321   1.5e-12   44.7   0.7   2   3   1.1e-06   3.1e-05   20.7   0.0    88   141   340   392   336   397 0.87 -
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 449139at33208        -            321   1.5e-12   44.7   0.7   3   3     0.012      0.32    7.5   0.0    12   125   398   511   393   512 0.81 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 449139at33208        -            321   1.7e-12   44.6   8.4   1   5      0.65        18    1.8   0.0   119   172    86   135    75   138 0.68 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 449139at33208        -            321   1.7e-12   44.6   8.4   2   5   2.8e-08   7.5e-07   26.0   0.6    71   173   122   220   105   229 0.87 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 449139at33208        -            321   1.7e-12   44.6   8.4   3   5      0.26       6.9    3.1   0.0   138   173   412   446   371   454 0.84 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 449139at33208        -            321   1.7e-12   44.6   8.4   4   5      0.48        13    2.2   0.0   153   183   515   545   502   554 0.81 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 449139at33208        -            321   1.7e-12   44.6   8.4   5   5    0.0002    0.0053   13.3   0.2    32   171   580   715   560   725 0.68 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 449139at33208        -            321   1.8e-12   44.4   1.0   1   5         5   1.4e+02   -1.2   0.0   277   320    48    90    42    91 0.71 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 449139at33208        -            321   1.8e-12   44.4   1.0   2   5      0.32       8.6    2.8   0.0   168   227    87   151    83   157 0.67 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 449139at33208        -            321   1.8e-12   44.4   1.0   3   5   2.8e-11   7.5e-10   35.8   0.0    91   197   160   267   153   269 0.91 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 449139at33208        -            321   1.8e-12   44.4   1.0   4   5      0.09       2.4    4.6   0.0    96   128   257   289   251   294 0.86 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 449139at33208        -            321   1.8e-12   44.4   1.0   5   5         5   1.3e+02   -1.1   0.0    98   117   317   336   308   338 0.81 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 449139at33208        -            321   1.9e-12   44.4   0.0   1   2   1.9e-05   0.00051   16.7   0.0   107   143    14    47     2    78 0.75 -
433216at33208_116153_0:000248|TRINITY_DN75784_c6_g1_i2:2020-2655|-  -            212 449139at33208        -            321   1.9e-12   44.4   0.0   2   2   4.5e-08   1.2e-06   25.3   0.0    69   218    61   209    48   211 0.78 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 449139at33208        -            321   2.3e-12   44.1   0.2   1   4     0.034      0.93    5.9   0.0   148   176    24    52     7    62 0.73 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 449139at33208        -            321   2.3e-12   44.1   0.2   2   4   3.3e-05   0.00089   15.9   0.1    96   138   111   153   102   157 0.86 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 449139at33208        -            321   2.3e-12   44.1   0.2   3   4   0.00013    0.0036   13.9   0.0    99   161   156   217   152   231 0.84 -
357580at33208_6500_0:003d1f|TRINITY_DN92257_c8_g1_i9:2558-3523|+    -            322 449139at33208        -            321   2.3e-12   44.1   0.2   4   4      0.27       7.3    3.0   0.0   259   320   263   321   257   322 0.67 -
414579at33208_9974_0:005197|TRINITY_DN79765_c9_g1_i4:1514-1873|+    -            120 449139at33208        -            321   6.4e-12   42.6   0.0   1   1   5.7e-13   1.5e-11   41.4   0.0    52   171     9   120     1   120 0.92 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 449139at33208        -            321   6.5e-12   42.6   0.1   1   3   2.3e-07   6.2e-06   23.0   0.1    70   168    55   149    43   156 0.85 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 449139at33208        -            321   6.5e-12   42.6   0.1   2   3     0.006      0.16    8.4   0.0    95   174   122   199   115   202 0.81 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 449139at33208        -            321   6.5e-12   42.6   0.1   3   3   2.2e-05   0.00059   16.5   0.0    69   164   182   274   172   293 0.64 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 449139at33208        -            321   8.7e-12   42.2   0.4   1   3   0.00027    0.0072   12.9   0.0   140   176    31    67    25    75 0.90 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 449139at33208        -            321   8.7e-12   42.2   0.4   2   3     2e-07   5.4e-06   23.2   0.2    89   174    70   151    63   157 0.82 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 449139at33208        -            321   8.7e-12   42.2   0.4   3   3       0.1       2.8    4.4   0.0    89   131   154   195   150   200 0.85 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 449139at33208        -            321   1.6e-11   41.3   0.2   1   3   1.6e-06   4.2e-05   20.2   0.0    25   144    59   173    48   178 0.84 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 449139at33208        -            321   1.6e-11   41.3   0.2   2   3   0.00014    0.0038   13.8   0.0   105   133   180   208   169   214 0.82 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 449139at33208        -            321   1.6e-11   41.3   0.2   3   3      0.13       3.6    4.0   0.1    79   133   237   290   224   294 0.70 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 449139at33208        -            321   2.7e-11   40.6   0.1   1   3     0.011      0.29    7.6   0.0    68   129    11    79     3    85 0.76 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 449139at33208        -            321   2.7e-11   40.6   0.1   2   3   3.9e-05    0.0011   15.6   0.0   102   173    94   161    88   164 0.86 -
357580at33208_217634_0:002edc|TRINITY_DN91122_c1_g3_i1:234-902|+    -            223 449139at33208        -            321   2.7e-11   40.6   0.1   3   3   0.00011     0.003   14.1   0.0    88   134   164   209   161   222 0.86 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 449139at33208        -            321   7.2e-11   39.2   2.3   1   2       4.9   1.3e+02   -1.1   0.0   108   142   153   187   146   208 0.82 -
453052at33208_1049336_0:003627|TRINITY_DN73002_c10_g2_i3:96-1469|+  -            458 449139at33208        -            321   7.2e-11   39.2   2.3   2   2   3.5e-10   9.6e-09   32.2   2.1    63   319   203   443   189   444 0.80 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 449139at33208        -            321   9.1e-11   38.8   0.4   1   4    0.0052      0.14    8.6   0.0   102   129    60    87    49    90 0.81 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 449139at33208        -            321   9.1e-11   38.8   0.4   2   4   0.00014    0.0038   13.8   0.0    89   163    97   171    90   180 0.91 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 449139at33208        -            321   9.1e-11   38.8   0.4   3   4   0.00045     0.012   12.1   0.0   136   178   221   264   207   276 0.78 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 449139at33208        -            321   9.1e-11   38.8   0.4   4   4       7.8   2.1e+02   -1.8   0.0    95   119   283   307   279   307 0.91 -
537718at33208_88015_0:0009f5|TRINITY_DN82372_c8_g1_i4:3018-3476|-   -            153 449139at33208        -            321   2.5e-10   37.4   0.2   1   1   2.2e-10     6e-09   32.9   0.2    24   172     6   151     2   153 0.77 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 449139at33208        -            321   4.7e-10   36.5   3.6   1   3   3.2e-06   8.7e-05   19.2   0.2    58   171     6   116     2   120 0.89 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 449139at33208        -            321   4.7e-10   36.5   3.6   2   3     0.027      0.73    6.3   0.1    67   127   100   161    91   170 0.83 -
357580at33208_158441_0:0021ca|TRINITY_DN79845_c2_g1_i13:190-993|+   -            268 449139at33208        -            321   4.7e-10   36.5   3.6   3   3   0.00028    0.0076   12.8   0.1   120   178   202   263   197   267 0.71 -
361203at33208_294128_0:0021eb|TRINITY_DN81477_c5_g1_i2:884-2479|-   -            430 449139at33208        -            321   7.8e-10   35.8   1.1   1   2     0.011      0.29    7.6   0.0    94   180    39   122    22   155 0.86 -
