#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 448514at33208        -            271   2.6e-44  149.0   0.1   1   1   1.5e-45   3.2e-44  148.7   0.1     3    98    79   179    77   179 0.93 -
414579at33208_7897_0:002f6b|TRINITY_DN93367_c10_g1_i2:89-952|-      -            288 448514at33208        -            271   2.4e-19   67.1   9.0   5   5     0.056       1.2    5.8   0.0   238   261   253   276   245   286 0.87 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 448514at33208        -            271   5.3e-18   62.7   3.5   1   5     0.019      0.41    7.4   0.0    81   122    68   110    45   114 0.70 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 448514at33208        -            271   5.3e-18   62.7   3.5   2   5   9.3e-08     2e-06   24.7   0.6    29   100    97   173    88   179 0.77 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 448514at33208        -            271   5.3e-18   62.7   3.5   3   5   1.7e-08   3.8e-07   27.1   2.1     4    98   114   212   113   213 0.83 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 448514at33208        -            271   5.3e-18   62.7   3.5   4   5   5.9e-06   0.00013   18.8   0.0    33   109   185   267   180   288 0.75 -
357580at33208_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 448514at33208        -            271   5.3e-18   62.7   3.5   5   5    0.0038     0.083    9.6   0.0    40    94   285   342   280   346 0.75 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 448514at33208        -            271   1.5e-17   61.2   9.2   1   3   5.9e-10   1.3e-08   32.0   0.6    42   100    18    79     2    80 0.83 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 448514at33208        -            271   1.5e-17   61.2   9.2   2   3   8.1e-09   1.8e-07   28.2   1.1     3    77    62   137    60   141 0.79 -
357580at33208_43700_0:00268d|TRINITY_DN79934_c8_g3_i2:3048-3719|-   -            224 448514at33208        -            271   1.5e-17   61.2   9.2   3   3   1.2e-05   0.00025   17.9   0.7    28    79   129   181   123   198 0.87 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 448514at33208        -            271   7.9e-17   58.9   2.2   1   4       1.4        30    1.2   0.0   243   267     1    25     1    29 0.92 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 448514at33208        -            271   7.9e-17   58.9   2.2   2   4   4.9e-07   1.1e-05   22.4   0.0    15    99    29   119    26   126 0.83 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 448514at33208        -            271   7.9e-17   58.9   2.2   3   4   3.3e-07   7.3e-06   22.9   0.0     9    61   109   162   101   172 0.87 -
357580at33208_54969_0:0008c2|TRINITY_DN79895_c5_g1_i1:920-1648|-    -            243 448514at33208        -            271   7.9e-17   58.9   2.2   4   4   0.00011    0.0024   14.7   0.1    33    77   177   222   169   243 0.80 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 448514at33208        -            271     2e-16   57.6   2.0   1   3     0.069       1.5    5.5   0.0    22    65    52    98    47   105 0.78 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 448514at33208        -            271     2e-16   57.6   2.0   2   3   6.7e-05    0.0015   15.4   0.1    27    64   163   202   141   206 0.82 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 448514at33208        -            271     2e-16   57.6   2.0   3   3   5.3e-11   1.2e-09   35.4   0.0    20   107   203   298   198   305 0.83 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 448514at33208        -            271   2.2e-16   57.4   4.2   1   3   1.2e-08   2.7e-07   27.6   0.1    29    96     4    75     2    75 0.85 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 448514at33208        -            271   2.2e-16   57.4   4.2   2   3    0.0092       0.2    8.4   0.2    45    96    63   125    58   128 0.63 -
365323at33208_6500_0:001815|TRINITY_DN84398_c2_g1_i4:479-1120|+     -            214 448514at33208        -            271   2.2e-16   57.4   4.2   3   3   2.1e-07   4.6e-06   23.6   0.1     5    77   114   186   111   201 0.90 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 448514at33208        -            271   4.6e-16   56.4   3.2   1   5      0.69        15    2.2   0.0   205   253    58   109    35   123 0.56 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 448514at33208        -            271   4.6e-16   56.4   3.2   2   5       6.7   1.5e+02   -1.0   0.2    40    98   156   219   141   224 0.73 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 448514at33208        -            271   4.6e-16   56.4   3.2   3   5       1.9        41    0.8   0.0   240   267   303   330   290   334 0.79 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 448514at33208        -            271   4.6e-16   56.4   3.2   4   5   4.2e-06   9.1e-05   19.3   0.0    24   102   383   465   366   475 0.85 -
281693at33208_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-    -            913 448514at33208        -            271   4.6e-16   56.4   3.2   5   5     1e-08   2.2e-07   27.9   0.0    45   137   491   588   475   592 0.87 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 448514at33208        -            271   4.9e-16   56.3   0.1   1   2   1.1e-12   2.4e-11   40.9   0.0     2    98   102   203   101   209 0.89 -
235430at33208_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+     -            506 448514at33208        -            271   4.9e-16   56.3   0.1   2   2   0.00054     0.012   12.4   0.0    10    61   235   287   228   318 0.90 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 448514at33208        -            271   1.1e-15   55.1   9.1   1   3     0.012      0.26    8.0   0.1    24    77    28    84    24    88 0.79 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 448514at33208        -            271   1.1e-15   55.1   9.1   2   3   1.3e-09   2.8e-08   30.8   1.8    26   102    74   154    70   173 0.83 -
201397at33208_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 448514at33208        -            271   1.1e-15   55.1   9.1   3   3   2.2e-06   4.7e-05   20.3   0.1     2   133   185   320   184   325 0.82 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 448514at33208        -            271   1.7e-15   54.5   7.0   1   4   0.00013    0.0029   14.4   0.1    39    99    75   137    32   142 0.87 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 448514at33208        -            271   1.7e-15   54.5   7.0   2   4    0.0015     0.033   10.9   0.6    28    97   146   219   141   228 0.80 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 448514at33208        -            271   1.7e-15   54.5   7.0   3   4       3.3        72   -0.0   0.0    84   144   521   584   509   602 0.75 -
99987at33208_294128_0:0027fb|TRINITY_DN77327_c10_g2_i3:177-3017|+   -            947 448514at33208        -            271   1.7e-15   54.5   7.0   4   4   7.2e-09   1.6e-07   28.4   0.1     7    96   621   715   606   724 0.79 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 448514at33208        -            271   1.9e-15   54.3   8.9   1   3     0.034      0.74    6.5   0.1    61   100    90   132    62   140 0.76 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 448514at33208        -            271   1.9e-15   54.3   8.9   2   3      0.68        15    2.2   0.0   246   268   148   170   142   172 0.88 -
433216at33208_294128_0:0047ce|TRINITY_DN92485_c10_g1_i1:623-1645|-  -            341 448514at33208        -            271   1.9e-15   54.3   8.9   3   3     4e-14   8.8e-13   45.6   3.6    12   136   208   336   198   339 0.89 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 448514at33208        -            271   1.4e-14   51.6   1.8   1   2     2e-07   4.3e-06   23.7   0.0     6    81    27   103    23   106 0.89 -
537718at33208_88015_0:0009f5|TRINITY_DN85835_c6_g3_i3:5544-6044|-   -            167 448514at33208        -            271   1.4e-14   51.6   1.8   2   2   1.6e-08   3.5e-07   27.3   0.7    45    98   109   165   104   167 0.89 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 448514at33208        -            271     3e-14   50.4  10.8   1   4     2e-07   4.3e-06   23.7   0.2    23    99     6    88     1   114 0.79 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 448514at33208        -            271     3e-14   50.4  10.8   2   4   6.6e-09   1.5e-07   28.5   0.1     2    57   115   171   113   175 0.93 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 448514at33208        -            271     3e-14   50.4  10.8   3   4      0.25       5.5    3.7   0.4    45    99   202   264   192   279 0.66 -
414579at33208_48498_0:001141|TRINITY_DN73614_c11_g1_i4:1137-2045|+  -            303 448514at33208        -            271     3e-14   50.4  10.8   4   4         2        43    0.7   0.9    49    95   253   303   244   303 0.53 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 448514at33208        -            271   5.4e-14   49.6   2.1   1   4   0.00017    0.0038   14.0   0.4    20    82    11    74     1   100 0.77 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 448514at33208        -            271   5.4e-14   49.6   2.1   2   4    0.0052      0.11    9.2   0.0    42    89   120   167   104   191 0.72 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 448514at33208        -            271   5.4e-14   49.6   2.1   3   4    0.0002    0.0044   13.8   0.0   208   268   200   267   188   270 0.80 -
398013at33208_294128_0:001ae8|TRINITY_DN86669_c5_g1_i3:572-1507|-   -            312 448514at33208        -            271   5.4e-14   49.6   2.1   4   4    0.0071      0.16    8.7   0.0   235   261   277   303   270   311 0.83 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 448514at33208        -            271   5.6e-14   49.5   7.0   1   3    0.0015     0.033   10.9   0.0    41    90   165   217   128   234 0.76 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 448514at33208        -            271   5.6e-14   49.5   7.0   2   3     3e-10   6.6e-09   32.9   1.4     5   101   295   394   291   400 0.80 -
439736at33208_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-   -            486 448514at33208        -            271   5.6e-14   49.5   7.0   3   3     0.049       1.1    6.0   0.1    76   102   460   486   400   486 0.63 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 448514at33208        -            271     6e-14   49.4  15.9   1   4    0.0022     0.048   10.4   4.3    26   103    96   185    81   194 0.76 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 448514at33208        -            271     6e-14   49.4  15.9   2   4     0.047         1    6.0   2.3    28   104   145   232   133   238 0.68 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 448514at33208        -            271     6e-14   49.4  15.9   3   4    0.0038     0.083    9.6   0.1    28    59   264   295   256   309 0.84 -
419914at33208_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+     -            424 448514at33208        -            271     6e-14   49.4  15.9   4   4   9.6e-10   2.1e-08   31.3   0.1     2    92   320   418   319   423 0.79 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 448514at33208        -            271     3e-13   47.1   0.6   1   3   2.2e-07   4.8e-06   23.5   1.1     4    99    32   135    29   157 0.72 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 448514at33208        -            271     3e-13   47.1   0.6   2   3   7.8e-05    0.0017   15.2   0.0    40    97   159   221   152   235 0.87 -
419914at33208_29159_0:000165|TRINITY_DN90801_c6_g1_i1:254-1042|+    -            263 448514at33208        -            271     3e-13   47.1   0.6   3   3     0.047         1    6.1   0.0    42    90   205   258   200   263 0.76 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 448514at33208        -            271   3.2e-13   47.0   0.6   1   2   0.00011    0.0025   14.6   0.1     4    72    56   125    53   157 0.83 -
357580at33208_29078_0:002211|TRINITY_DN76830_c5_g1_i5:1182-2132|+   -            317 448514at33208        -            271   3.2e-13   47.0   0.6   2   2   4.4e-09   9.6e-08   29.1   0.1    40   103   179   245   137   272 0.84 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 448514at33208        -            271   4.3e-13   46.6   4.6   1   2   6.9e-06   0.00015   18.6   0.6     7    66     7    68     1    74 0.83 -
357580at33208_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 448514at33208        -            271   4.3e-13   46.6   4.6   2   2   4.1e-09   8.9e-08   29.2   0.3    32   122    74   169    65   183 0.75 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 448514at33208        -            271   5.5e-13   46.3   0.0   1   2   1.9e-12   4.2e-11   40.1   0.0     7   137    70   204    64   210 0.89 -
327301at33208_52612_0:003082|TRINITY_DN86007_c3_g3_i1:1130-2116|-   -            329 448514at33208        -            271   5.5e-13   46.3   0.0   2   2      0.28       6.1    3.5   0.0    33    61   265   294   232   302 0.66 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 448514at33208        -            271   2.7e-12   44.0   9.2   1   4     0.001     0.023   11.5   0.5    45    78    72   112    66   114 0.77 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 448514at33208        -            271   2.7e-12   44.0   9.2   2   4    0.0018     0.039   10.7   0.3    27    62   102   139    92   142 0.78 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 448514at33208        -            271   2.7e-12   44.0   9.2   3   4      0.11       2.5    4.8   0.0    23    51   144   174   137   191 0.72 -
357580at33208_6958_0:0008fd|TRINITY_DN74606_c10_g1_i7:477-1911|-    -            307 448514at33208        -            271   2.7e-12   44.0   9.2   4   4     6e-07   1.3e-05   22.1   0.2    51   104   207   265   205   268 0.87 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 448514at33208        -            271   4.7e-12   43.2   1.5   1   3         4        88   -0.3   0.0    29    57     9    37     4    63 0.58 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 448514at33208        -            271   4.7e-12   43.2   1.5   2   3     8e-05    0.0018   15.1   0.2    44   100    75   132    71   172 0.81 -
419914at33208_7244_0:001c25|TRINITY_DN79169_c10_g1_i2:2993-3760|-   -            256 448514at33208        -            271   4.7e-12   43.2   1.5   3   3   5.7e-08   1.2e-06   25.5   0.1    18    95   176   254   161   256 0.82 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 448514at33208        -            271   5.2e-12   43.1   3.8   1   3   0.00083     0.018   11.8   0.0    40   101     8    71     7    80 0.86 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 448514at33208        -            271   5.2e-12   43.1   3.8   2   3   2.4e-05   0.00052   16.8   2.0    28    98   215   290   204   291 0.86 -
361100at33208_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 448514at33208        -            271   5.2e-12   43.1   3.8   3   3     0.018      0.39    7.4   0.0    40    79   271   310   269   312 0.91 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 448514at33208        -            271   6.2e-12   42.8   0.2   1   2   6.4e-05    0.0014   15.4   0.0    26    81    30    88    15   111 0.76 -
111746at33208_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+   -            213 448514at33208        -            271   6.2e-12   42.8   0.2   2   2   3.2e-08     7e-07   26.3   0.4     8   105    98   199    91   208 0.79 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 448514at33208        -            271   9.1e-12   42.3   0.1   1   3   0.00019    0.0041   13.9   0.0    41   124     6    94     4   114 0.77 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 448514at33208        -            271   9.1e-12   42.3   0.1   2   3     0.032       0.7    6.6   0.0    26    57   133   165   125   177 0.79 -
266808at33208_88015_0:000432|TRINITY_DN82468_c10_g1_i3:2606-3400|-  -            265 448514at33208        -            271   9.1e-12   42.3   0.1   3   3     1e-05   0.00023   18.0   0.3    43    96   208   265   190   265 0.85 -
