#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 40929at6656          -            563    5e-205  679.6   0.0   1   1  3.3e-206  7.1e-205  679.1   0.0     1   464   104   619   104   619 0.91 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 40929at6656          -            563   6.9e-34  114.6  16.6   2   5   0.00012    0.0027   13.7   0.3   331   372   185   226   179   233 0.91 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 40929at6656          -            563   6.9e-34  114.6  16.6   3   5   2.5e-10   5.4e-09   32.4   0.3   334   452   337   458   326   465 0.81 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 40929at6656          -            563   6.9e-34  114.6  16.6   4   5     1e-15   2.2e-14   50.3   0.0   369   463   474   568   469   568 0.92 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 40929at6656          -            563   6.9e-34  114.6  16.6   5   5   2.5e-14   5.4e-13   45.6   0.3   334   421   523   610   522   612 0.98 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 40929at6656          -            563   7.3e-34  114.5  15.6   1   4   1.5e-17   3.3e-16   56.3   3.4   368   468     4   100     1   105 0.90 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 40929at6656          -            563   7.3e-34  114.5  15.6   2   4   2.9e-14   6.2e-13   45.4   0.5   377   468    93   180    91   185 0.94 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 40929at6656          -            563   7.3e-34  114.5  15.6   3   4   0.00024    0.0052   12.7   0.0   434   462   186   214   182   217 0.87 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 40929at6656          -            563   7.3e-34  114.5  15.6   4   4   4.8e-07     1e-05   21.6   0.7   397   451   191   246   190   246 0.93 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 40929at6656          -            563   1.8e-33  113.3   7.8   1   2   2.2e-23   4.7e-22   75.6   2.1   337   451     4   118     1   122 0.98 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 40929at6656          -            563   1.8e-33  113.3   7.8   2   2   2.4e-12   5.1e-11   39.1   0.3   375   451   164   242   140   242 0.86 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 40929at6656          -            563   2.6e-33  112.7   6.3   1   4   1.7e-13   3.6e-12   42.9   0.4   373   469    95   192    90   196 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 40929at6656          -            563   2.6e-33  112.7   6.3   2   4   2.6e-09   5.6e-08   29.1   0.2   353   443   209   297   198   302 0.74 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 40929at6656          -            563   2.6e-33  112.7   6.3   3   4   5.9e-10   1.3e-08   31.2   0.0   396   463   335   403   328   405 0.93 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 40929at6656          -            563   2.6e-33  112.7   6.3   4   4   8.4e-05    0.0018   14.2   0.0   333   362   399   428   395   429 0.93 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 40929at6656          -            563   4.8e-33  111.8   5.2   1   3   5.5e-09   1.2e-07   28.0   0.0   415   463   155   203   148   203 0.95 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 40929at6656          -            563   4.8e-33  111.8   5.2   2   3   6.5e-25   1.4e-23   80.6   1.7   333   471   199   334   195   398 0.89 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 40929at6656          -            563   4.8e-33  111.8   5.2   3   3       0.2       4.4    3.0   0.1   335   412   368   452   366   461 0.60 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 40929at6656          -            563   1.6e-30  103.5   3.6   1   2   4.4e-26   9.4e-25   84.5   1.3   336   464     3   135     1   136 0.93 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 40929at6656          -            563   1.6e-30  103.5   3.6   2   2   2.4e-08   5.2e-07   25.9   0.0   331   368   128   165   123   168 0.67 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 40929at6656          -            563   5.1e-29   98.5   1.8   1   3   1.2e-09   2.6e-08   30.2   0.2   335   451     9   127     3   131 0.76 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 40929at6656          -            563   5.1e-29   98.5   1.8   2   3   1.8e-07   3.8e-06   23.0   0.0   328   365   131   168   117   176 0.89 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 40929at6656          -            563   5.1e-29   98.5   1.8   3   3   9.8e-14   2.1e-12   43.7   0.1   340   410   225   295   219   305 0.95 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 40929at6656          -            563   5.8e-29   98.4  12.3   1   3       7.6   1.6e+02   -2.2   0.0   501   516     3    18     2    31 0.76 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 40929at6656          -            563   5.8e-29   98.4  12.3   2   3   5.5e-18   1.2e-16   57.7   0.4   331   472    29   170    21   170 0.95 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 40929at6656          -            563   5.8e-29   98.4  12.3   3   3   3.2e-16   6.8e-15   51.9   5.8   334   444   158   268   156   269 0.97 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 40929at6656          -            563   8.8e-29   97.8   5.6   1   3   2.4e-05   0.00051   16.0   0.6   346   454    63   177    57   221 0.77 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 40929at6656          -            563   8.8e-29   97.8   5.6   2   3   9.4e-14     2e-12   43.8   0.1   317   480   325   489   313   494 0.89 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 40929at6656          -            563   8.8e-29   97.8   5.6   3   3   4.1e-12   8.7e-11   38.4   0.0   349   533   485   670   478   683 0.85 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 40929at6656          -            563   1.1e-28   97.5   8.5   1   4   2.4e-05   0.00051   16.0   0.5   382   464     1    82     1    83 0.96 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 40929at6656          -            563   1.1e-28   97.5   8.5   2   4   5.3e-20   1.1e-18   64.4   1.1   333   466    36   170    32   173 0.93 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 40929at6656          -            563   1.1e-28   97.5   8.5   3   4   2.5e-09   5.3e-08   29.2   0.1   377   458   165   248   161   257 0.88 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 40929at6656          -            563   1.1e-28   97.5   8.5   4   4    0.0046     0.099    8.5   0.1   379   407   254   282   249   282 0.90 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 40929at6656          -            563   3.2e-26   89.3   1.5   1   3   0.00031    0.0067   12.3   0.1   429   469     5    45     1    77 0.77 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 40929at6656          -            563   3.2e-26   89.3   1.5   2   3   1.9e-16   4.2e-15   52.6   0.1   375   464    76   168    71   183 0.87 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 40929at6656          -            563   3.2e-26   89.3   1.5   3   3   2.7e-07   5.8e-06   22.4   0.0   329   365   202   238   199   238 0.94 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 40929at6656          -            563   4.1e-26   88.9   4.7   1   3   0.00036    0.0078   12.1   0.0   395   453    12    69     6    73 0.90 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 40929at6656          -            563   4.1e-26   88.9   4.7   2   3   2.3e-10     5e-09   32.5   0.0   341   455    42   158    37   168 0.84 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 40929at6656          -            563   4.1e-26   88.9   4.7   3   3   1.6e-15   3.5e-14   49.6   0.8   332   430   211   310   207   312 0.90 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 40929at6656          -            563   5.1e-26   88.7   6.0   1   2   3.1e-24   6.7e-23   78.4   0.3   337   452    12   127     4   137 0.96 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 40929at6656          -            563   5.1e-26   88.7   6.0   2   2   0.00022    0.0047   12.8   0.9   353   456   154   257   135   270 0.77 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 40929at6656          -            563   1.2e-25   87.4   5.9   1   3   4.4e-13   9.5e-12   41.5   0.2   375   459   147   233   140   245 0.88 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 40929at6656          -            563   1.2e-25   87.4   5.9   2   3    0.0016     0.035    9.9   0.0   412   464   267   319   263   322 0.94 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 40929at6656          -            563   1.2e-25   87.4   5.9   3   3   5.1e-13   1.1e-11   41.3   0.9   332   461   313   441   310   457 0.85 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 40929at6656          -            563   5.1e-25   85.4   3.4   1   4   1.5e-05   0.00031   16.7   0.0   420   462     1    43     1    46 0.92 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 40929at6656          -            563   5.1e-25   85.4   3.4   2   4   8.5e-09   1.8e-07   27.4   0.0   333   450    40   171    37   173 0.79 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 40929at6656          -            563   5.1e-25   85.4   3.4   3   4   0.00065     0.014   11.3   0.1   346   413   151   221   149   229 0.58 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 40929at6656          -            563   5.1e-25   85.4   3.4   4   4   1.3e-09   2.7e-08   30.1   0.1   383   461   248   327   244   352 0.91 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 40929at6656          -            563   2.6e-24   83.0   7.6   1   2     3e-19   6.4e-18   61.9   0.4   335   458   159   286   151   291 0.87 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 40929at6656          -            563   2.6e-24   83.0   7.6   2   2   6.3e-08   1.3e-06   24.5   1.9   337   468   291   428   286   433 0.82 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 40929at6656          -            563   1.2e-23   80.8   0.5   1   4    0.0003    0.0065   12.4   0.0   331   369   197   238   180   252 0.82 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 40929at6656          -            563   1.2e-23   80.8   0.5   2   4   1.4e-09   3.1e-08   29.9   0.0   340   408   352   422   341   430 0.91 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 40929at6656          -            563   1.2e-23   80.8   0.5   3   4   2.9e-09   6.1e-08   29.0   0.0   329   407   556   639   479   645 0.78 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+     -            729 40929at6656          -            563   1.2e-23   80.8   0.5   4   4     0.079       1.7    4.4   0.0   379   416   663   700   659   729 0.67 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 40929at6656          -            563   1.3e-23   80.7   5.0   1   2   5.3e-12   1.1e-10   38.0   0.9   334   417     5    99     2   145 0.75 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 40929at6656          -            563   1.3e-23   80.7   5.0   2   2   7.4e-13   1.6e-11   40.8   0.2   347   443   166   266   157   266 0.84 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 40929at6656          -            563   1.1e-22   77.6   8.2   1   2   4.3e-18   9.2e-17   58.1   3.0   352   478     2   130     1   131 0.91 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 40929at6656          -            563   1.1e-22   77.6   8.2   2   2   2.5e-09   5.3e-08   29.2   0.2   375   448   111   183   109   184 0.87 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 40929at6656          -            563   1.7e-22   77.0   7.7   1   3   5.3e-07   1.1e-05   21.5   0.0   378   470     1   101     1   104 0.74 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 40929at6656          -            563   1.7e-22   77.0   7.7   2   3   1.3e-07   2.9e-06   23.4   1.0   333   409    90   170    88   175 0.76 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 40929at6656          -            563   1.7e-22   77.0   7.7   3   3   1.1e-12   2.3e-11   40.2   0.6   333   451   176   289   170   295 0.86 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 40929at6656          -            563   1.8e-22   77.0   2.3   1   2   5.1e-10   1.1e-08   31.4   0.0   384   467    92   175    77   179 0.91 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 40929at6656          -            563   1.8e-22   77.0   2.3   2   2   5.7e-14   1.2e-12   44.5   0.8   349   458   184   291   176   295 0.92 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 40929at6656          -            563   4.7e-22   75.6   5.6   1   4       1.3        27    0.4   0.1     7    43    13    48     7    82 0.69 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 40929at6656          -            563   4.7e-22   75.6   5.6   2   4   4.3e-06   9.2e-05   18.5   0.1   423   516   215   294   207   297 0.79 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 40929at6656          -            563   4.7e-22   75.6   5.6   3   4     1e-14   2.2e-13   46.9   0.3   337   462   306   437   301   442 0.84 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 40929at6656          -            563   4.7e-22   75.6   5.6   4   4     0.026      0.56    6.0   0.0   387   450   449   512   443   513 0.90 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 40929at6656          -            563   9.6e-22   74.5   7.9   1   2     2e-13   4.2e-12   42.7   0.4   383   470     3    97     1   104 0.86 -
58110at6656_110193_0:00292f|TRINITY_DN93438_c7_g1_i18:844-3208|+   -            287 40929at6656          -            563   9.6e-22   74.5   7.9   2   2   3.5e-11   7.4e-10   35.3   2.2   324   481   107   274    97   285 0.79 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 40929at6656          -            563   1.1e-21   74.3   0.5   1   4   6.8e-11   1.5e-09   34.3   0.2   377   462     3    88     1   116 0.80 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 40929at6656          -            563   1.1e-21   74.3   0.5   2   4     0.064       1.4    4.7   0.0   428   459   149   180   142   186 0.87 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 40929at6656          -            563   1.1e-21   74.3   0.5   3   4   3.8e-06   8.2e-05   18.6   0.0   337   378   184   225   179   236 0.89 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 40929at6656          -            563   1.1e-21   74.3   0.5   4   4   0.00052     0.011   11.6   0.0   332   364   279   311   270   317 0.65 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 40929at6656          -            563   3.7e-21   72.6   0.8   1   3   9.6e-12   2.1e-10   37.1   0.1   337   460     3   128     1   151 0.91 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 40929at6656          -            563   3.7e-21   72.6   0.8   2   3       2.8        59   -0.7   0.0   281   302   225   246   217   254 0.81 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 40929at6656          -            563   3.7e-21   72.6   0.8   3   3   1.7e-10   3.5e-09   33.0   0.1   379   457   252   332   229   344 0.88 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 40929at6656          -            563   4.6e-21   72.3   0.1   1   3    0.0009     0.019   10.8   0.0   416   464    11    59     5    67 0.88 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 40929at6656          -            563   4.6e-21   72.3   0.1   2   3     2e-08   4.3e-07   26.2   0.0   351   451    74   172    61   178 0.81 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 40929at6656          -            563   4.6e-21   72.3   0.1   3   3   9.7e-09   2.1e-07   27.2   0.0   386   462   196   275   190   294 0.79 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 40929at6656          -            563   1.2e-20   70.9   2.1   1   3    0.0028      0.06    9.2   0.0   492   528    86   122    78   135 0.86 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 40929at6656          -            563   1.2e-20   70.9   2.1   2   3   2.3e-06   4.9e-05   19.4   0.1   383   459   138   214   133   218 0.93 -
59824at6656_7539_0:00262c|TRINITY_DN77327_c10_g2_i3:1452-2318|+    -            289 40929at6656          -            563   1.2e-20   70.9   2.1   3   3   5.4e-13   1.2e-11   41.2   0.1   336   407   218   289   208   289 0.79 -
13019at6656_307658_0:00123f|TRINITY_DN92257_c8_g1_i9:594-3865|+    -           1049 40929at6656          -            563   3.4e-20   69.4   0.6   1   3   7.7e-05    0.0017   14.3   0.0   379   410   631   662   627   680 0.89 -
