#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66028at6656_438502_0:002670|TRINITY_DN83891_c8_g7_i1:258-1295|-   -            346 66028at6656          -            273  4.9e-167  551.0   2.4   1   1  1.9e-167  1.2e-165  546.5   2.4     1   273     8   323     8   323 0.95 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+   -            346 66028at6656          -            273   4.2e-08   29.8   0.3   4   4     0.012      0.76    6.0   0.0   155   249   200   302   180   311 0.53 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 66028at6656          -            273   1.2e-07   28.4   0.7   1   2     0.044       2.8    4.2   0.1   213   251   258   295   248   321 0.78 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+   -            504 66028at6656          -            273   1.2e-07   28.4   0.7   2   2   1.5e-07   9.7e-06   22.1   0.1    84   241   346   497   335   503 0.75 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 66028at6656          -            273   1.4e-07   28.1   0.6   1   4     0.013      0.83    5.9   0.0   184   251    47   112    14   130 0.71 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 66028at6656          -            273   1.4e-07   28.1   0.6   2   4   5.7e-07   3.6e-05   20.2   0.0   132   254    80   201    55   205 0.79 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 66028at6656          -            273   1.4e-07   28.1   0.6   3   4    0.0048       0.3    7.3   0.0   204   251   195   242   193   254 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 66028at6656          -            273   1.4e-07   28.1   0.6   4   4       2.8   1.8e+02   -1.7   0.0   218   248   253   282   245   282 0.67 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 66028at6656          -            273   1.6e-07   28.0   0.8   1   2   4.5e-06   0.00029   17.3   0.4    94   251     8   159     4   162 0.68 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+       -            244 66028at6656          -            273   1.6e-07   28.0   0.8   2   2      0.03       1.9    4.7   0.0   217   251   168   201   133   213 0.71 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+   -            377 66028at6656          -            273   5.1e-07   26.3   0.6   1   3    0.0021      0.13    8.5   0.0    36    92    25    82     9    90 0.67 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+   -            377 66028at6656          -            273   5.1e-07   26.3   0.6   2   3      0.17        11    2.3   0.0   221   254   135   167   118   173 0.78 -
123320at6656_7167_0:002171|TRINITY_DN90607_c6_g1_i9:1809-2939|+   -            377 66028at6656          -            273   5.1e-07   26.3   0.6   3   3   0.00018     0.012   12.0   0.1   158   248   205   299   194   315 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 66028at6656          -            273   2.3e-06   24.1   1.5   1   2     0.024       1.5    5.0   0.0   216   251    43    77    39    86 0.85 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-   -            289 66028at6656          -            273   2.3e-06   24.1   1.5   2   2   7.4e-06   0.00047   16.6   0.1   101   252   100   250    78   258 0.78 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 66028at6656          -            273   2.4e-06   24.1   6.1   1   4    0.0013     0.083    9.2   0.0   217   252   101   135    41   141 0.74 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 66028at6656          -            273   2.4e-06   24.1   6.1   2   4     0.027       1.7    4.9   0.0   214   255   186   226   174   235 0.87 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 66028at6656          -            273   2.4e-06   24.1   6.1   3   4     0.003      0.19    8.0   0.1    95   144   389   440   344   475 0.72 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-  -            796 66028at6656          -            273   2.4e-06   24.1   6.1   4   4      0.24        15    1.8   0.1   149   187   539   578   478   611 0.55 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 66028at6656          -            273   2.6e-06   24.0   1.4   1   3     0.057       3.6    3.8   0.1   104   232    11   137     4   159 0.48 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 66028at6656          -            273   2.6e-06   24.0   1.4   2   3    0.0019      0.12    8.6   0.0   205   254   202   250   140   258 0.67 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 66028at6656          -            273   2.6e-06   24.0   1.4   3   3    0.0013     0.082    9.2   0.0   101   143   271   311   262   312 0.89 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-      -            181 66028at6656          -            273     3e-06   23.8   0.1   1   2     0.027       1.7    4.9   0.0   219   253     1    35     1    50 0.85 -
96971at6656_7160_0:0032fb|TRINITY_DN86919_c6_g1_i6:331-873|-      -            181 66028at6656          -            273     3e-06   23.8   0.1   2   2   6.2e-06    0.0004   16.8   0.0   188   251    58   120    49   129 0.85 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 66028at6656          -            273   7.2e-06   22.5   5.8   1   2   7.1e-06   0.00045   16.6   0.4   104   171    30    92    13   101 0.83 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-    -            219 66028at6656          -            273   7.2e-06   22.5   5.8   2   2     0.002      0.13    8.6   2.2   125   237    92   201    77   212 0.74 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 66028at6656          -            273   1.4e-05   21.6   0.0   1   4      0.11         7    2.9   0.0   219   252     1    33     1    50 0.78 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 66028at6656          -            273   1.4e-05   21.6   0.0   2   4      0.14       9.1    2.5   0.0   212   251    41    79    36    82 0.80 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 66028at6656          -            273   1.4e-05   21.6   0.0   3   4   0.00042     0.026   10.8   0.0   199   260    71   128    62   142 0.80 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+    -            305 66028at6656          -            273   1.4e-05   21.6   0.0   4   4   0.00049     0.031   10.6   0.0   133   225    89   184    81   199 0.62 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+     -            212 66028at6656          -            273   1.5e-05   21.5   0.2   1   2     0.039       2.5    4.3   0.1   218   250     4    36     1    45 0.79 -
83755at6656_34740_0:001fa0|TRINITY_DN88922_c5_g1_i4:331-966|+     -            212 66028at6656          -            273   1.5e-05   21.5   0.2   2   2   1.8e-05    0.0011   15.3   0.0   209   252    44    88    39   102 0.87 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+    -            165 66028at6656          -            273   1.7e-05   21.3   0.2   1   1   1.4e-05    0.0009   15.6   0.2   107   244     4   161     1   165 0.56 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 66028at6656          -            273   2.1e-05   21.0   2.0   1   2   7.8e-07     5e-05   19.8   2.0    41   204    18   187    12   270 0.75 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+   -            680 66028at6656          -            273   2.1e-05   21.0   2.0   2   2       3.7   2.3e+02   -2.1   0.0   109   182   232   301   192   316 0.63 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 66028at6656          -            273   2.3e-05   20.8   3.1   1   3   2.6e-05    0.0016   14.8   0.2    97   262   170   335   162   343 0.78 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 66028at6656          -            273   2.3e-05   20.8   3.1   2   3       0.4        25    1.0   0.0   180   250   339   411   335   416 0.58 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+  -            453 66028at6656          -            273   2.3e-05   20.8   3.1   3   3     0.042       2.7    4.2   0.1   216   249   420   453   412   453 0.87 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 66028at6656          -            273   2.6e-05   20.7   6.3   1   3     0.051       3.3    4.0   0.1   105   123    19    37     5    74 0.73 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 66028at6656          -            273   2.6e-05   20.7   6.3   2   3     0.087       5.5    3.2   0.2   104   165   104   159    99   209 0.75 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-   -            367 66028at6656          -            273   2.6e-05   20.7   6.3   3   3   0.00014    0.0087   12.4   0.3   152   257   225   333   213   337 0.72 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 66028at6656          -            273     3e-05   20.5   1.3   1   2      0.16        10    2.3   0.0   137   167    18    44     7    91 0.76 -
44953at6656_121225_0:001c2d|TRINITY_DN75137_c7_g5_i1:800-1645|-   -            282 66028at6656          -            273     3e-05   20.5   1.3   2   2     9e-06   0.00057   16.3   0.1   158   255   126   228    98   233 0.80 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 66028at6656          -            273   3.7e-05   20.2   0.1   1   3   0.00019     0.012   12.0   0.0   215   252    13    49     3    54 0.88 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 66028at6656          -            273   3.7e-05   20.2   0.1   2   3      0.07       4.4    3.5   0.0   214   250    54    89    49    96 0.84 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 66028at6656          -            273   3.7e-05   20.2   0.1   3   3      0.33        21    1.3   0.0   219   250   114   144    97   152 0.80 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-   -            184 66028at6656          -            273   4.6e-05   19.9   0.7   1   1   1.3e-06   8.4e-05   19.0   0.7   105   252     3   146     1   154 0.81 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 66028at6656          -            273   4.8e-05   19.8   1.0   1   2    0.0036      0.23    7.7   0.0   190   251   276   340   256   360 0.76 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+    -            572 66028at6656          -            273   4.8e-05   19.8   1.0   2   2   0.00099     0.063    9.6   0.1   211   249   511   549   488   556 0.85 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 66028at6656          -            273   6.1e-05   19.5   0.2   1   3      0.59        38    0.5   0.1   104   225    83   116    71   148 0.62 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 66028at6656          -            273   6.1e-05   19.5   0.2   2   3   1.2e-05   0.00078   15.8   0.0   109   252   138   275   121   290 0.73 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 66028at6656          -            273   6.1e-05   19.5   0.2   3   3       3.3   2.1e+02   -2.0   0.0    97   122   294   319   283   345 0.70 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 66028at6656          -            273   9.9e-05   18.8   8.9   1   4      0.74        47    0.2   0.0   214   249     2    36     1    57 0.78 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 66028at6656          -            273   9.9e-05   18.8   8.9   2   4   1.4e-05    0.0009   15.6   2.7   102   249    65   214    18   222 0.72 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 66028at6656          -            273   9.9e-05   18.8   8.9   3   4      0.36        23    1.2   0.0    63    92   254   283   236   290 0.61 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+    -            325 66028at6656          -            273   9.9e-05   18.8   8.9   4   4      0.38        24    1.1   0.0   218   249   293   324   287   325 0.86 -
83755at6656_62625_0:001d87|TRINITY_DN79584_c13_g1_i4:506-1114|+   -            203 66028at6656          -            273   9.9e-05   18.8   0.0   1   2      0.01      0.65    6.3   0.0   218   250     3    35     1    46 0.88 -
83755at6656_62625_0:001d87|TRINITY_DN79584_c13_g1_i4:506-1114|+   -            203 66028at6656          -            273   9.9e-05   18.8   0.0   2   2    0.0007     0.044   10.1   0.0    90   166    90   163    56   193 0.79 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+    -            324 66028at6656          -            273   0.00021   17.7   0.5   1   3   0.00053     0.034   10.5   0.0   215   252    11    47     7    56 0.86 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+    -            324 66028at6656          -            273   0.00021   17.7   0.5   2   3     0.092       5.8    3.1   0.0   209   252    95   138    75   145 0.89 -
50947at6656_52283_0:0018f5|TRINITY_DN87111_c8_g1_i2:912-1883|+    -            324 66028at6656          -            273   0.00021   17.7   0.5   3   3       3.5   2.2e+02   -2.1   0.0   212   248   243   281   217   288 0.77 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-     -            107 66028at6656          -            273   0.00052   16.4   0.1   1   2     0.016         1    5.6   0.0   216   254    29    66    23    73 0.83 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-     -            107 66028at6656          -            273   0.00052   16.4   0.1   2   2   9.9e-05    0.0063   12.9   0.2   200   251    56   106    47   107 0.82 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 66028at6656          -            273   0.00086   15.7   0.0   1   2      0.11       6.8    2.9   0.0   218   251     5    38     2    45 0.90 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|- -            820 66028at6656          -            273   0.00086   15.7   0.0   2   2   0.00079      0.05    9.9   0.0   103   230   105   186    60   222 0.51 -
13019at6656_72036_0:001264|TRINITY_DN89819_c0_g1_i2:220-1206|+    -            329 66028at6656          -            273    0.0016   14.9   0.1   1   2    0.0013     0.079    9.3   0.0   104   178   146   217   130   223 0.82 -
13019at6656_72036_0:001264|TRINITY_DN89819_c0_g1_i2:220-1206|+    -            329 66028at6656          -            273    0.0016   14.9   0.1   2   2     0.074       4.7    3.4   0.0   178   233   266   324   231   329 0.75 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 66028at6656          -            273    0.0017   14.7   0.0   1   2       1.2        79   -0.6   0.0   217   256   176   214   166   221 0.79 -
72857at6656_294128_0:00120d|TRINITY_DN87790_c10_g1_i2:298-2232|-  -            645 66028at6656          -            273    0.0017   14.7   0.0   2   2   0.00028     0.017   11.4   0.1    79   168   270   360   251   373 0.75 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 66028at6656          -            273     0.002   14.5   0.0   1   3    0.0016       0.1    8.9   0.0   216   255     1    39     1    50 0.85 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 66028at6656          -            273     0.002   14.5   0.0   2   3         1        66   -0.3   0.0   131   168    89   124    66   145 0.64 -
83755at6656_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 66028at6656          -            273     0.002   14.5   0.0   3   3      0.16        10    2.3   0.0   149   199   159   210   105   214 0.75 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 66028at6656          -            273    0.0053   13.1   0.0   1   2   0.00029     0.018   11.4   0.0   154   251    61   158    39   206 0.84 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+   -            551 66028at6656          -            273    0.0053   13.1   0.0   2   2         5   3.1e+02   -2.5   0.0    69    82   412   425   392   436 0.62 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 66028at6656          -            273     0.007   12.7   5.5   1   5     0.028       1.8    4.8   0.0   104   163    59   116    12   135 0.64 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 66028at6656          -            273     0.007   12.7   5.5   2   5       8.4   5.3e+02   -3.3   0.0   147   166   154   172   146   186 0.73 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 66028at6656          -            273     0.007   12.7   5.5   3   5       1.3        81   -0.6   0.1   219   250   187   217   163   228 0.64 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 66028at6656          -            273     0.007   12.7   5.5   4   5     0.048       3.1    4.1   0.1    92   140   248   293   245   296 0.84 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-   -            352 66028at6656          -            273     0.007   12.7   5.5   5   5     0.031       1.9    4.7   0.0   224   252   291   319   283   334 0.76 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|- -            245 66028at6656          -            273     0.007   12.7   0.1   1   2       1.4        90   -0.8   0.0   209   252   104   151    74   166 0.70 -
58110at6656_114398_0:002b15|TRINITY_DN81296_c10_g1_i2:2761-3495|- -            245 66028at6656          -            273     0.007   12.7   0.1   2   2   0.00054     0.034   10.5   0.1   214   251   167   204   157   211 0.88 -
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 66028at6656          -            273     0.014   11.7   0.1   1   2   0.00039     0.025   10.9   0.1   218   257   105   142    77   146 0.85 -
45131at6656_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 66028at6656          -            273     0.014   11.7   0.1   2   2       3.8   2.4e+02   -2.2   0.0   216   250   145   178   142   179 0.72 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 66028at6656          -            273     0.015   11.6   2.1   1   4      0.13       8.5    2.6   0.0   216   251    49    84    27    90 0.83 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 66028at6656          -            273     0.015   11.6   2.1   2   4      0.02       1.2    5.3   0.0   127   170   197   240   175   325 0.81 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 66028at6656          -            273     0.015   11.6   2.1   3   4       3.9   2.5e+02   -2.2   0.0   209   238   601   630   578   646 0.68 -
54236at6656_136037_0:002b44|TRINITY_DN88593_c4_g1_i4:65-2251|+    -            729 66028at6656          -            273     0.015   11.6   2.1   4   4       0.9        57   -0.1   0.2    90   145   665   718   649   728 0.71 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+ -            214 66028at6656          -            273     0.017   11.4   0.4   1   2    0.0021      0.14    8.5   0.2   132   250     1   128     1   134 0.62 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+ -            214 66028at6656          -            273     0.017   11.4   0.4   2   2     0.071       4.5    3.5   0.0   147   243   110   208    91   214 0.64 -
81307at6656_441921_0:001885|TRINITY_DN83055_c5_g1_i4:537-1175|+   -            213 66028at6656          -            273      0.03   10.6   0.2   1   1    0.0026      0.16    8.2   0.1   211   252    83   125    11   133 0.65 -
#
