#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56523at6656_123851_0:002016|TRINITY_DN77653_c4_g2_i3:2432-4354|-    -            641 56523at6656          -            483  8.3e-227  750.8  21.1   1   1  9.9e-229    1e-226  750.5  21.1     7   483   128   641   122   641 0.94 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 56523at6656          -            483   1.4e-23   80.6   9.5   3   3   2.5e-08   2.6e-06   23.7   0.1    50   109   109   168   107   169 0.94 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 56523at6656          -            483   1.8e-22   76.9  14.0   1   2   3.6e-10   3.8e-08   29.7   3.2    59   136     4    86     2    86 0.83 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 56523at6656          -            483   1.8e-22   76.9  14.0   2   2   3.9e-19   4.1e-17   59.3   3.2   330   430    47   149    45   156 0.91 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 56523at6656          -            483   2.7e-22   76.4  17.2   1   4   4.1e-06   0.00044   16.3   0.2    73   116   620   663   599   674 0.60 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 56523at6656          -            483   2.7e-22   76.4  17.2   2   4   2.5e-08   2.6e-06   23.7   0.5    71   131   685   745   672   753 0.47 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 56523at6656          -            483   2.7e-22   76.4  17.2   3   4     7e-08   7.4e-06   22.2   0.1    70   143   798   872   783   888 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 56523at6656          -            483   2.7e-22   76.4  17.2   4   4   4.1e-08   4.3e-06   23.0   1.9   287   390   936  1050   932  1068 0.75 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 56523at6656          -            483   4.2e-21   72.5  14.2   1   2   4.6e-08   4.9e-06   22.8   1.0    58   129    15    90     8    98 0.67 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 56523at6656          -            483   4.2e-21   72.5  14.2   2   2   6.2e-20   6.5e-18   61.9   6.3   221   455    38   289    32   289 0.68 -
132857at6656_72036_0:00037d|TRINITY_DN85551_c9_g1_i1:724-1248|-     -            175 56523at6656          -            483   1.7e-19   67.2   8.8   1   2   7.6e-10     8e-08   28.7   1.4    69   136    14    81     9    90 0.90 -
132857at6656_72036_0:00037d|TRINITY_DN85551_c9_g1_i1:724-1248|-     -            175 56523at6656          -            483   1.7e-19   67.2   8.8   2   2   2.9e-14   3.1e-12   43.2   1.0   353   429    92   167    85   174 0.86 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 56523at6656          -            483   4.2e-19   65.9  15.0   1   3   1.6e-07   1.7e-05   21.0   0.9    41   136    19   117     5   121 0.58 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 56523at6656          -            483   4.2e-19   65.9  15.0   2   3   1.2e-11   1.2e-09   34.7   2.8   351   461   124   241   120   243 0.85 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 56523at6656          -            483   4.2e-19   65.9  15.0   3   3   4.4e-08   4.6e-06   22.9   0.6   219   327   225   337   213   342 0.75 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 56523at6656          -            483   4.9e-19   65.6  13.1   1   3   3.9e-07   4.1e-05   19.7   2.2   332   415     2    86     1    88 0.86 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 56523at6656          -            483   4.9e-19   65.6  13.1   2   3   3.9e-12   4.1e-10   36.2   3.1   197   304    46   161    45   162 0.80 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 56523at6656          -            483   4.9e-19   65.6  13.1   3   3   6.6e-10   6.9e-08   28.9   0.3   225   304   154   233   152   238 0.96 -
87527at6656_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-        -            115 56523at6656          -            483   2.5e-17   60.0   3.8   1   1   1.8e-18   1.8e-16   57.1   3.8    80   199     1   111     1   115 0.90 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 56523at6656          -            483   3.6e-16   56.2   7.8   1   2   1.4e-11   1.5e-09   34.4   2.3    65   127     2    65     1    67 0.88 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 56523at6656          -            483   3.6e-16   56.2   7.8   2   2   2.7e-10   2.8e-08   30.2   0.9    51   120    58   127    55   133 0.72 -
132857at6656_378494_0:004f86|TRINITY_DN91669_c1_g1_i4:2064-2432|+   -            123 56523at6656          -            483   1.5e-15   54.1   0.1   1   1   3.4e-17   3.6e-15   52.9   0.1    53   176     6   120     3   123 0.93 -
87575at6656_294128_0:00319d|TRINITY_DN83605_c10_g1_i6:2079-2984|-   -            302 56523at6656          -            483   1.3e-14   51.1  31.0   1   3   1.7e-07   1.7e-05   21.0   8.5    35   135    23   121    14   123 0.70 -
87575at6656_294128_0:00319d|TRINITY_DN83605_c10_g1_i6:2079-2984|-   -            302 56523at6656          -            483   1.3e-14   51.1  31.0   2   3   1.2e-10   1.2e-08   31.4  11.6   330   433   106   206    99   211 0.92 -
87575at6656_294128_0:00319d|TRINITY_DN83605_c10_g1_i6:2079-2984|-   -            302 56523at6656          -            483   1.3e-14   51.1  31.0   3   3   1.6e-06   0.00017   17.7   1.5   332   393   196   256   195   281 0.87 -
132857at6656_378494_0:004f86|TRINITY_DN92851_c12_g1_i1:541-897|+    -            119 56523at6656          -            483   4.2e-14   49.4   2.0   1   1   5.7e-16   5.9e-14   48.9   2.0   336   433     4   104     1   115 0.59 -
132857at6656_88501_0:0018fa|TRINITY_DN84755_c16_g1_i1:358-876|+     -            173 56523at6656          -            483   1.6e-11   40.8   0.2   1   3    0.0017      0.17    7.8   0.0    80   113     1    35     1    45 0.65 -
132857at6656_88501_0:0018fa|TRINITY_DN84755_c16_g1_i1:358-876|+     -            173 56523at6656          -            483   1.6e-11   40.8   0.2   2   3   6.1e-09   6.4e-07   25.7   0.1   237   307    39   110    37   119 0.94 -
132857at6656_88501_0:0018fa|TRINITY_DN84755_c16_g1_i1:358-876|+     -            173 56523at6656          -            483   1.6e-11   40.8   0.2   3   3     0.023       2.4    4.0   0.0   211   252   129   170   115   172 0.86 -
87527at6656_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+       -            171 56523at6656          -            483   3.4e-11   39.8   8.5   1   2   2.5e-11   2.7e-09   33.5   1.5   223   305     6    88     1    93 0.94 -
87527at6656_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+       -            171 56523at6656          -            483   3.4e-11   39.8   8.5   2   2   2.6e-06   0.00027   17.0   0.9    74   138    71   131    70   167 0.86 -
87527at6656_121845_0:002a7b|TRINITY_DN78702_c6_g4_i1:18-188|-       -             57 56523at6656          -            483   3.7e-11   39.7   0.6   1   1   3.7e-13   3.9e-11   39.6   0.6   343   398     1    57     1    57 0.93 -
87527at6656_6669_0:004541|TRINITY_DN71258_c0_g1_i1:522-1139|+       -            206 56523at6656          -            483   1.6e-10   37.6  11.1   1   1   8.4e-12   8.8e-10   35.1  11.1   243   433    15   202     3   206 0.82 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 56523at6656          -            483     4e-09   32.9   7.2   1   3      0.71        74   -0.9   0.0    73    98    34    58    26    82 0.69 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 56523at6656          -            483     4e-09   32.9   7.2   2   3   7.7e-09   8.1e-07   25.4   0.9    76   140    92   155    63   159 0.87 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 56523at6656          -            483     4e-09   32.9   7.2   3   3   0.00021     0.022   10.7   0.2   330   388   159   219   156   228 0.84 -
87527at6656_1155016_0:000bd3|TRINITY_DN72727_c13_g1_i14:1266-1628|+ -            121 56523at6656          -            483   3.9e-08   29.7   2.2   1   1   6.2e-10   6.5e-08   29.0   2.2    57   168     6   115     1   121 0.52 -
123853at6656_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 56523at6656          -            483   0.00012   18.1   1.6   1   1   1.6e-06   0.00016   17.7   1.6   345   444    30   138    10   154 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/56523at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/56523at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/56523at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:08 2026
# [ok]
