#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 24255at6656          -            481    7e-149  494.1  15.2   1   1  1.4e-146  3.4e-145  481.9  15.2     1   475    10   558    10   562 0.84 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 24255at6656          -            481   1.7e-32  110.3   9.3   4   4   1.4e-09   3.5e-08   30.1   2.0   223   280   137   200   136   207 0.84 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 24255at6656          -            481   8.7e-32  107.9   0.7   1   5   4.5e-05    0.0011   15.2   0.0   226   258     1    33     1    40 0.93 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 24255at6656          -            481   8.7e-32  107.9   0.7   2   5   8.1e-06    0.0002   17.7   0.0   221   257    38    74    34    81 0.90 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 24255at6656          -            481   8.7e-32  107.9   0.7   3   5   1.3e-09   3.3e-08   30.2   0.0   221   261    80   120    77   125 0.91 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 24255at6656          -            481   8.7e-32  107.9   0.7   4   5   3.2e-07   7.7e-06   22.4   0.0   226   266   127   167   120   170 0.93 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 24255at6656          -            481   8.7e-32  107.9   0.7   5   5     5e-06   0.00012   18.4   0.0   364   427   167   232   163   243 0.80 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 24255at6656          -            481   6.4e-28   95.2  12.9   1   6   5.1e-06   0.00012   18.4   0.1   223   266    11    52     5    53 0.87 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 24255at6656          -            481   6.4e-28   95.2  12.9   2   6   2.8e-07   6.7e-06   22.6   0.3   225   270    53    96    51    97 0.90 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 24255at6656          -            481   6.4e-28   95.2  12.9   3   6   0.00013    0.0031   13.8   0.0   224   266    92   132    89   133 0.89 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 24255at6656          -            481   6.4e-28   95.2  12.9   4   6   1.6e-07     4e-06   23.3   0.0   223   267   131   173   123   179 0.88 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 24255at6656          -            481   6.4e-28   95.2  12.9   5   6   1.7e-06   4.2e-05   19.9   0.0   226   266   174   212   171   216 0.83 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 24255at6656          -            481   6.4e-28   95.2  12.9   6   6    0.0049      0.12    8.5   0.0   227   257   218   246   213   246 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 24255at6656          -            481   1.6e-26   90.6   2.9   1   6   7.3e-05    0.0018   14.6   0.0   224   258     4    38     1    49 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 24255at6656          -            481   1.6e-26   90.6   2.9   2   6   1.9e-07   4.7e-06   23.1   0.0   223   261    48    86    41    93 0.88 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 24255at6656          -            481   1.6e-26   90.6   2.9   3   6   1.4e-05   0.00033   17.0   0.1   222   259    91   128    87   138 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 24255at6656          -            481   1.6e-26   90.6   2.9   4   6     0.023      0.57    6.3   0.0   223   256   137   170   131   175 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 24255at6656          -            481   1.6e-26   90.6   2.9   5   6   1.3e-06   3.2e-05   20.3   0.0   223   256   181   214   177   220 0.93 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 24255at6656          -            481   1.6e-26   90.6   2.9   6   6      0.06       1.5    4.9   0.0   223   256   290   324   266   325 0.81 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   1   7   2.4e-09   5.7e-08   29.4   0.0   205   261   141   195   126   200 0.85 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   2   7     3e-05   0.00074   15.8   0.0   221   264   197   240   194   242 0.91 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   3   7    0.0038     0.092    8.9   0.0   223   266   241   284   236   285 0.93 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   4   7   0.00018    0.0043   13.3   0.1   223   264   283   324   279   339 0.89 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   5   7       0.6        15    1.7   0.0   225   262   327   363   319   368 0.69 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   6   7   0.00033    0.0081   12.4   0.0   224   268   367   410   358   420 0.88 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 24255at6656          -            481     6e-26   88.7   0.7   7   7      0.48        12    2.0   0.0   231   257   423   449   415   465 0.84 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 24255at6656          -            481   7.3e-26   88.4   0.0   1   5     0.037      0.89    5.7   0.0   217   257   200   240   176   244 0.80 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 24255at6656          -            481   7.3e-26   88.4   0.0   2   5    0.0011     0.026   10.7   0.0   223   263   309   349   305   351 0.92 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 24255at6656          -            481   7.3e-26   88.4   0.0   3   5   3.9e-05   0.00094   15.5   0.0   222   266   350   394   347   395 0.92 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 24255at6656          -            481   7.3e-26   88.4   0.0   4   5   1.3e-08   3.1e-07   27.0   0.0   223   266   393   436   387   439 0.91 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 24255at6656          -            481   7.3e-26   88.4   0.0   5   5   2.8e-08   6.8e-07   25.8   0.0   226   269   438   481   433   491 0.89 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 24255at6656          -            481   5.4e-25   85.5   0.2   1   5   4.2e-06    0.0001   18.7   0.0   225   266     2    43     1    45 0.90 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 24255at6656          -            481   5.4e-25   85.5   0.2   2   5   4.5e-07   1.1e-05   21.8   0.0   223   265    42    84    39    86 0.92 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 24255at6656          -            481   5.4e-25   85.5   0.2   3   5     5e-05    0.0012   15.1   0.0   223   258    84   119    82   122 0.94 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 24255at6656          -            481   5.4e-25   85.5   0.2   4   5   0.00037    0.0091   12.2   0.0   222   262   163   203   158   208 0.87 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 24255at6656          -            481   5.4e-25   85.5   0.2   5   5   0.00011    0.0026   14.0   0.0   224   256   209   241   203   242 0.93 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 24255at6656          -            481   1.5e-24   84.0   0.4   1   6   0.00064     0.016   11.5   0.0   225   259     2    36     1    52 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 24255at6656          -            481   1.5e-24   84.0   0.4   2   6      0.43        10    2.1   0.0   230   261    62    92    56    99 0.82 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 24255at6656          -            481   1.5e-24   84.0   0.4   3   6   4.2e-05     0.001   15.3   0.0   226   267    99   140    93   164 0.85 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 24255at6656          -            481   1.5e-24   84.0   0.4   4   6   1.3e-06   3.3e-05   20.3   0.0   223   254   179   210   174   214 0.94 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 24255at6656          -            481   1.5e-24   84.0   0.4   5   6    0.0079      0.19    7.8   0.0   243   268   237   262   211   264 0.78 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 24255at6656          -            481   1.5e-24   84.0   0.4   6   6   9.7e-07   2.4e-05   20.8   0.0   226   265   262   301   259   317 0.89 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 24255at6656          -            481   3.6e-23   79.5   0.2   1   4   2.6e-07   6.2e-06   22.7   0.0   224   258     1    35     1    43 0.90 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 24255at6656          -            481   3.6e-23   79.5   0.2   2   4   0.00013    0.0032   13.7   0.0   221   257    41    78    38    86 0.87 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 24255at6656          -            481   3.6e-23   79.5   0.2   3   4   7.6e-07   1.8e-05   21.1   0.0   222   266    85   131    80   132 0.91 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 24255at6656          -            481   3.6e-23   79.5   0.2   4   4   1.3e-06   3.1e-05   20.4   0.0   222   261   129   168   126   169 0.93 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 24255at6656          -            481   1.6e-22   77.4   0.0   1   6    0.0065      0.16    8.1   0.0   224   264     3    44     2    47 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 24255at6656          -            481   1.6e-22   77.4   0.0   2   6    0.0028     0.069    9.3   0.0   222   266    44    88    40    89 0.93 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 24255at6656          -            481   1.6e-22   77.4   0.0   3   6   2.9e-07   7.1e-06   22.5   0.0   224   264    88   128    87   129 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 24255at6656          -            481   1.6e-22   77.4   0.0   4   6   1.2e-08     3e-07   27.0   0.0   222   267   128   173   124   176 0.92 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 24255at6656          -            481   1.6e-22   77.4   0.0   5   6     0.006      0.15    8.2   0.0   363   426   171   237   167   247 0.70 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 24255at6656          -            481   1.6e-22   77.4   0.0   6   6         1        24    0.9   0.0   228   267   218   256   210   278 0.78 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   1   7    0.0075      0.18    7.9   0.0   222   258    49    85    44    90 0.92 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   2   7     0.001     0.025   10.8   0.1   223   265    93   135    88   137 0.91 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   3   7   3.4e-06   8.2e-05   19.0   0.0   224   268   136   181   131   186 0.87 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   4   7      0.23       5.5    3.0   0.0   230   258   184   212   179   219 0.89 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   5   7   6.3e-07   1.5e-05   21.4   0.0   224   264   220   264   213   266 0.83 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   6   7     0.022      0.54    6.4   0.0   212   262   252   308   252   313 0.71 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 24255at6656          -            481   1.5e-21   74.2   3.2   7   7     0.089       2.2    4.4   0.0   226   254   314   342   303   346 0.61 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 24255at6656          -            481   7.9e-21   71.8   5.2   1   6       3.6        86   -0.9   0.0   241   256     1    16     1    21 0.89 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 24255at6656          -            481   7.9e-21   71.8   5.2   2   6   3.6e-06   8.8e-05   18.9   0.0   223   266    31    74    26    83 0.92 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 24255at6656          -            481   7.9e-21   71.8   5.2   3   6      0.12       2.8    4.0   0.0   233   266    83   116    77   120 0.92 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 24255at6656          -            481   7.9e-21   71.8   5.2   4   6     0.006      0.15    8.3   0.0   233   266   125   158   117   159 0.91 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 24255at6656          -            481   7.9e-21   71.8   5.2   5   6   1.5e-05   0.00036   16.9   0.0   224   261   158   195   155   200 0.90 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 24255at6656          -            481   7.9e-21   71.8   5.2   6   6   1.7e-07   4.2e-06   23.2   0.3   221   275   197   253   193   266 0.84 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 24255at6656          -            481   5.5e-20   69.0   1.3   1   6    0.0013     0.032   10.4   0.1   213   273    26    86     9    99 0.85 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 24255at6656          -            481   5.5e-20   69.0   1.3   2   6    0.0093      0.23    7.6   0.0   226   264   127   165   117   167 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 24255at6656          -            481   5.5e-20   69.0   1.3   3   6   5.6e-05    0.0014   14.9   0.0   223   265   166   210   162   212 0.87 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 24255at6656          -            481   5.5e-20   69.0   1.3   4   6   1.2e-05    0.0003   17.1   0.0   223   265   210   252   208   258 0.91 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 24255at6656          -            481   5.5e-20   69.0   1.3   5   6      0.19       4.6    3.3   0.0   231   262   262   293   259   298 0.85 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 24255at6656          -            481   5.5e-20   69.0   1.3   6   6   0.00058     0.014   11.6   0.0   223   255   296   328   291   329 0.92 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 24255at6656          -            481   6.6e-20   68.8   1.5   1   5      0.11       2.7    4.1   0.0   225   259    31    65    24    70 0.91 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 24255at6656          -            481   6.6e-20   68.8   1.5   2   5   1.8e-05   0.00043   16.6   0.2   224   266    74   116    65   118 0.91 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 24255at6656          -            481   6.6e-20   68.8   1.5   3   5     0.038      0.91    5.6   0.0   225   265   117   157   115   165 0.88 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 24255at6656          -            481   6.6e-20   68.8   1.5   4   5    0.0002    0.0049   13.1   0.0   219   263   162   206   158   209 0.89 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 24255at6656          -            481   6.6e-20   68.8   1.5   5   5   2.8e-08   6.8e-07   25.8   0.0   222   266   207   251   204   272 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 24255at6656          -            481   2.3e-19   66.9   4.5   1   6   2.7e-07   6.5e-06   22.6   0.0   221   260    95   134    62   140 0.87 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 24255at6656          -            481   2.3e-19   66.9   4.5   2   6    0.0032     0.078    9.2   0.1   222   274   138   191   134   200 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 24255at6656          -            481   2.3e-19   66.9   4.5   3   6     0.029       0.7    6.0   0.0   225   267   184   233   182   237 0.76 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 24255at6656          -            481   2.3e-19   66.9   4.5   4   6    0.0028     0.069    9.3   0.1   225   275   233   282   229   287 0.84 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 24255at6656          -            481   2.3e-19   66.9   4.5   5   6       1.4        34    0.4   0.0   242   261   333   352   324   358 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 24255at6656          -            481   2.3e-19   66.9   4.5   6   6   9.2e-06   0.00022   17.5   0.0   224   278   358   418   354   428 0.83 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 24255at6656          -            481   1.1e-18   64.8   1.9   1   5   7.7e-05    0.0019   14.5   0.0   228   264   214   250   200   257 0.87 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 24255at6656          -            481   1.1e-18   64.8   1.9   2   5   0.00012    0.0028   13.9   0.0   228   268   264   304   256   307 0.89 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 24255at6656          -            481   1.1e-18   64.8   1.9   3   5      0.16         4    3.5   0.0   225   265   304   344   302   345 0.93 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 24255at6656          -            481   1.1e-18   64.8   1.9   4   5   5.7e-09   1.4e-07   28.1   0.1   223   270   344   390   342   433 0.81 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 24255at6656          -            481   1.1e-18   64.8   1.9   5   5       1.3        31    0.6   0.0   233   266   447   480   438   511 0.79 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 24255at6656          -            481   2.9e-18   63.3   0.9   1   6     0.014      0.33    7.1   0.2   223   259    36    72    30    77 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 24255at6656          -            481   2.9e-18   63.3   0.9   2   6   1.3e-06   3.1e-05   20.4   0.0   223   257    77   111    70   118 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 24255at6656          -            481   2.9e-18   63.3   0.9   3   6    0.0018     0.043   10.0   0.0   222   263   118   161   112   165 0.84 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 24255at6656          -            481   2.9e-18   63.3   0.9   4   6     0.015      0.37    6.9   0.0   224   258   164   198   155   202 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 24255at6656          -            481   2.9e-18   63.3   0.9   5   6    0.0076      0.18    7.9   0.0   220   262   203   246   200   253 0.84 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 24255at6656          -            481   2.9e-18   63.3   0.9   6   6     0.049       1.2    5.3   0.0   226   255   253   282   247   282 0.93 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 24255at6656          -            481   3.6e-18   63.0   0.2   1   5   1.8e-05   0.00044   16.6   0.1   222   265   259   302   251   304 0.91 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 24255at6656          -            481   3.6e-18   63.0   0.2   2   5    0.0018     0.045    9.9   0.0   225   267   304   346   301   357 0.88 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 24255at6656          -            481   3.6e-18   63.0   0.2   3   5       0.1       2.5    4.2   0.0   233   260   356   383   347   389 0.85 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 24255at6656          -            481   3.6e-18   63.0   0.2   4   5     1e-06   2.5e-05   20.7   0.0   223   266   388   431   383   455 0.90 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 24255at6656          -            481   3.6e-18   63.0   0.2   5   5     0.031      0.74    5.9   0.0   223   255   471   503   465   504 0.94 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 24255at6656          -            481     5e-18   62.5   0.3   1   6    0.0027     0.065    9.4   0.0   231   285    72   132    23   154 0.80 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 24255at6656          -            481     5e-18   62.5   0.3   2   6       1.9        46    0.0   0.0   231   258   163   190   157   198 0.69 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 24255at6656          -            481     5e-18   62.5   0.3   3   6   8.7e-05    0.0021   14.3   0.0   221   264   195   238   190   241 0.91 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 24255at6656          -            481     5e-18   62.5   0.3   4   6   3.7e-08     9e-07   25.4   0.0   222   266   238   282   237   286 0.94 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 24255at6656          -            481     5e-18   62.5   0.3   5   6     0.033      0.81    5.8   0.0   226   256   284   315   280   325 0.82 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 24255at6656          -            481     5e-18   62.5   0.3   6   6      0.72        17    1.4   0.0   224   255   325   356   318   358 0.93 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 24255at6656          -            481   6.6e-18   62.1   1.9   1   5     1e-06   2.5e-05   20.7   0.0   208   266   142   202   139   203 0.84 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 24255at6656          -            481   6.6e-18   62.1   1.9   2   5   1.4e-07   3.3e-06   23.6   0.0   223   273   201   252   199   269 0.82 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 24255at6656          -            481   6.6e-18   62.1   1.9   3   5       1.2        30    0.6   0.0   237   264   259   286   252   290 0.79 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 24255at6656          -            481   6.6e-18   62.1   1.9   4   5    0.0045      0.11    8.7   0.0   223   258   287   322   281   344 0.87 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 24255at6656          -            481   6.6e-18   62.1   1.9   5   5     0.022      0.54    6.4   0.0   216   265   368   419   357   444 0.74 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 24255at6656          -            481   1.6e-17   60.8   0.1   1   5   8.3e-05     0.002   14.4   0.0   223   259     4    40     2    46 0.93 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 24255at6656          -            481   1.6e-17   60.8   0.1   2   5   0.00059     0.014   11.6   0.0   218   258    52    92    41   104 0.87 -
