#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
143626at6656_136037_0:001f79|TRINITY_DN78468_c9_g2_i1:536-880|-     -            115 143626at6656         -             90   1.3e-60  199.1   0.4   1   1   1.9e-62   1.5e-60  198.9   0.4     1    90    10    99    10    99 0.99 -
39506at6656_7176_0:001e33|TRINITY_DN78719_c8_g1_i1:116-676|+        -            187 143626at6656         -             90   8.9e-07   26.5   0.0   2   2   2.3e-07   1.7e-05   22.4   0.0     9    81    93   169    87   176 0.85 -
106466at6656_6958_0:0031ac|TRINITY_DN85415_c7_g1_i7:181-405|+       -             75 143626at6656         -             90   1.4e-06   25.9   0.0   1   1     2e-08   1.5e-06   25.8   0.0    12    77     2    70     1    74 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 143626at6656         -             90   2.2e-06   25.3   0.0   1   2    0.0039       0.3    8.8   0.0    11    77    86   155    81   159 0.85 -
80689at6656_294128_0:001cc7|TRINITY_DN91700_c3_g1_i9:937-2568|-     -            544 143626at6656         -             90   2.2e-06   25.3   0.0   2   2   0.00011    0.0081   13.8   0.0     9    79   182   254   175   256 0.88 -
137711at6656_7159_0:0030fc|TRINITY_DN81227_c12_g2_i1:725-955|+      -             77 143626at6656         -             90   2.3e-06   25.2   0.0   1   1   3.3e-08   2.5e-06   25.1   0.0    16    79     9    75     2    77 0.84 -
137711at6656_7176_0:003daf|TRINITY_DN76980_c7_g13_i1:0-215|+        -             72 143626at6656         -             90   5.5e-06   24.0   0.0   1   1   8.3e-08   6.3e-06   23.8   0.0    11    66    13    70     8    72 0.87 -
137711at6656_441921_0:0017da|TRINITY_DN76980_c7_g1_i1:7-222|+       -             72 143626at6656         -             90   8.4e-06   23.4   0.0   1   1   1.2e-07   9.4e-06   23.2   0.0    11    69     9    69     3    72 0.86 -
137711at6656_7160_0:003f5c|TRINITY_DN76024_c13_g2_i3:1693-1908|-    -             72 143626at6656         -             90   9.9e-06   23.2   0.1   1   1   1.5e-07   1.2e-05   22.9   0.1    28    87     1    63     1    65 0.87 -
143626at6656_13249_0:000902|TRINITY_DN76633_c3_g1_i5:2200-2415|-    -             72 143626at6656         -             90   1.1e-05   23.1   0.0   1   1   1.4e-07   1.1e-05   23.0   0.0     9    67     1    59     1    71 0.93 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 143626at6656         -             90   1.2e-05   22.9   0.0   1   2   0.00047     0.036   11.8   0.0    23    58    16    51     2    79 0.81 -
80689at6656_7536_0:0038c3|TRINITY_DN84616_c7_g1_i4:526-990|+        -            155 143626at6656         -             90   1.2e-05   22.9   0.0   2   2    0.0029      0.22    9.2   0.0    11    53    99   144    96   152 0.78 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 143626at6656         -             90   1.7e-05   22.4   0.0   1   2     0.035       2.6    5.8   0.0    11    68     2    64     1    81 0.72 -
80689at6656_56086_0:002e85|TRINITY_DN87542_c6_g2_i2:932-1429|+      -            166 143626at6656         -             90   1.7e-05   22.4   0.0   2   2   6.6e-05     0.005   14.5   0.0     9    72    95   153    90   160 0.76 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i3:76-558|+       -            161 143626at6656         -             90   4.1e-05   21.2   0.1   1   2   1.2e-06   9.5e-05   20.0   0.0    11    71     3    62     1    74 0.88 -
80689at6656_35570_0:001429|TRINITY_DN93237_c16_g1_i3:76-558|+       -            161 143626at6656         -             90   4.1e-05   21.2   0.1   2   2       9.4   7.1e+02   -2.0   0.0    50    57   140   147   119   156 0.59 -
137711at6656_610380_0:0000e5|TRINITY_DN73456_c10_g1_i1:300-593|-    -             98 143626at6656         -             90    0.0001   19.9   0.0   1   1   1.6e-06   0.00012   19.7   0.0     9    47    19    57    13    90 0.79 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i10:2940-3293|+ -            118 143626at6656         -             90   0.00014   19.5   0.0   1   2   6.5e-06   0.00049   17.7   0.0    11    55     1    48     1    67 0.84 -
137711at6656_112268_0:002589|TRINITY_DN85178_c13_g1_i10:2940-3293|+ -            118 143626at6656         -             90   0.00014   19.5   0.0   2   2       3.8   2.9e+02   -0.8   0.0    13    38    83   108    78   113 0.78 -
124720at6656_6973_0:0016b3|TRINITY_DN91492_c4_g1_i2:76-1221|+       -            382 143626at6656         -             90   0.00022   18.9   0.0   1   2    0.0069      0.52    8.0   0.0     8    81     5    83     2    89 0.72 -
124720at6656_6973_0:0016b3|TRINITY_DN91492_c4_g1_i2:76-1221|+       -            382 143626at6656         -             90   0.00022   18.9   0.0   2   2    0.0047      0.35    8.6   0.0     6    55   156   205   152   226 0.91 -
137711at6656_211228_0:00065c|TRINITY_DN73894_c2_g5_i1:12-275|-      -             88 143626at6656         -             90   0.00025   18.7   0.0   1   1   3.8e-06   0.00029   18.5   0.0    11    67    19    81    14    87 0.78 -
137711at6656_37344_0:0029cb|TRINITY_DN71367_c6_g4_i1:1332-1589|-    -             86 143626at6656         -             90   0.00036   18.2   0.0   1   1   5.6e-06   0.00042   17.9   0.0    12    79     2    72     1    81 0.85 -
137711at6656_7160_0:003f5c|TRINITY_DN84204_c13_g1_i2:131-463|+      -            111 143626at6656         -             90    0.0017   16.0   0.0   1   1   2.6e-05     0.002   15.8   0.0    19    72    21    77    10    94 0.84 -
137711at6656_610380_0:0000e5|TRINITY_DN88558_c13_g1_i1:770-991|-    -             74 143626at6656         -             90    0.0024   15.5   0.0   1   1   3.7e-05    0.0028   15.3   0.0    11    52    27    71    20    74 0.78 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 143626at6656         -             90    0.0025   15.5   0.0   1   2   0.00072     0.055   11.2   0.0    12    69     2    62     1    74 0.70 -
80689at6656_56086_0:002e85|TRINITY_DN76633_c3_g1_i5:1618-2136|-     -            173 143626at6656         -             90    0.0025   15.5   0.0   2   2      0.41        31    2.3   0.0     9    63   107   158    92   170 0.75 -
137711at6656_132113_0:001471|TRINITY_DN79417_c10_g1_i1:227-451|+    -             75 143626at6656         -             90     0.003   15.2   0.0   1   1   4.2e-05    0.0032   15.1   0.0    10    71     2    66     1    74 0.84 -
137711at6656_7160_0:003f5c|TRINITY_DN78494_c7_g2_i4:1094-1291|+     -             66 143626at6656         -             90    0.0045   14.7   0.0   1   1   6.5e-05    0.0049   14.5   0.0    12    69     6    66     2    66 0.82 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+    -            375 143626at6656         -             90    0.0059   14.3   0.0   1   2       2.1   1.6e+02    0.1   0.0    24    57   101   134    94   144 0.77 -
151102at6656_52283_0:000fbb|TRINITY_DN79960_c14_g3_i3:233-1357|+    -            375 143626at6656         -             90    0.0059   14.3   0.0   2   2   0.00077     0.058   11.1   0.0     8    79   207   275   202   280 0.87 -
137711at6656_441921_0:0017da|TRINITY_DN73894_c2_g2_i5:3-218|-       -             72 143626at6656         -             90    0.0072   14.0   0.0   1   1   0.00011    0.0084   13.8   0.0     9    52    26    72    16    72 0.86 -
137711at6656_51655_0:0033b8|TRINITY_DN80667_c12_g1_i2:205-519|+     -            105 143626at6656         -             90     0.021   12.5   0.0   1   1   0.00033     0.025   12.3   0.0    12    64     2    57     1    74 0.78 -
151393at6656_286706_0:00149f|TRINITY_DN90478_c3_g3_i2:327-1811|-    -            495 143626at6656         -             90     0.024   12.3   0.0   1   1   0.00069     0.053   11.2   0.0     4    54    91   144    88   156 0.80 -
137711at6656_13249_0:001aae|TRINITY_DN92549_c8_g1_i10:288-560|-     -             91 143626at6656         -             90     0.025   12.2   0.0   1   1     0.001     0.079   10.7   0.0    40    78    41    79     1    89 0.72 -
83164at6656_294128_0:004567|TRINITY_DN87551_c7_g10_i1:2-1348|-      -            449 143626at6656         -             90     0.027   12.1   0.0   1   2       6.9   5.3e+02   -1.6   0.0     6    22   111   127   108   135 0.84 -
83164at6656_294128_0:004567|TRINITY_DN87551_c7_g10_i1:2-1348|-      -            449 143626at6656         -             90     0.027   12.1   0.0   2   2    0.0017      0.13   10.0   0.0     9    43   233   267   223   290 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/143626at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/143626at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/143626at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:07 2026
# [ok]
