#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
93152at6656_438503_0:000994|TRINITY_DN89800_c11_g2_i1:46-1922|+   -            459 93152at6656          -            344  4.6e-140  464.0  10.0   1   1  5.8e-142  7.3e-140  463.4  10.0     2   332    41   395    40   408 0.92 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   3   7     2e-05    0.0025   14.4   0.0   273   327   405   458   398   467 0.89 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   4   7     0.026       3.3    4.2   0.0   130   222   533   630   523   631 0.69 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   5   7    0.0035      0.44    7.0   0.4   114   219   583   687   574   695 0.80 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   6   7   2.1e-05    0.0026   14.3   0.2   110   253   613   762   605   769 0.72 -
19208at6656_294128_0:0041a8|TRINITY_DN92590_c12_g1_i3:619-3996|-  -            927 93152at6656          -            344     5e-11   39.7   6.8   7   7     0.061       7.7    2.9   0.0    21    97   782   857   766   871 0.71 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+  -            154 93152at6656          -            344     2e-10   37.8   0.9   1   2   8.8e-07   0.00011   18.9   0.1   212   288     2    78     1    84 0.83 -
55417at6656_378494_0:006d88|TRINITY_DN82081_c6_g1_i9:1026-1487|+  -            154 93152at6656          -            344     2e-10   37.8   0.9   2   2   2.7e-05    0.0035   14.0   0.1   114   163   101   152    97   154 0.83 -
13833at6656_294128_0:0015c6|TRINITY_DN84589_c11_g1_i2:225-2648|+  -            808 93152at6656          -            344   6.8e-09   32.7   2.8   1   1   1.3e-10   1.6e-08   31.5   2.8    42   284   385   629   350   650 0.79 -
135676at6656_315563_0:000b19|TRINITY_DN77590_c6_g1_i5:1584-2648|- -            355 93152at6656          -            344     2e-08   31.2   0.0   1   1     3e-10   3.8e-08   30.3   0.0   223   331   101   212    88   218 0.88 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 93152at6656          -            344   4.3e-07   26.8  10.1   1   6       1.3   1.7e+02   -1.5   0.0    12    63    22    74    18    82 0.66 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 93152at6656          -            344   4.3e-07   26.8  10.1   2   6     4e-06   0.00051   16.7   0.0   126   211    83   173    69   183 0.77 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 93152at6656          -            344   4.3e-07   26.8  10.1   3   6     0.025       3.2    4.2   0.8    38   128   191   280   159   289 0.65 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 93152at6656          -            344   4.3e-07   26.8  10.1   4   6    0.0013      0.17    8.4   0.0   128   188   376   437   370   441 0.90 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 93152at6656          -            344   4.3e-07   26.8  10.1   5   6     0.044       5.6    3.4   0.2   107   181   421   497   417   503 0.85 -
27655at6656_294128_0:004658|TRINITY_DN87343_c11_g3_i3:118-2280|+  -            721 93152at6656          -            344   4.3e-07   26.8  10.1   6   6       1.4   1.8e+02   -1.5   0.0    18    74   634   693   631   707 0.63 -
107030at6656_294128_0:0046b6|TRINITY_DN88302_c1_g1_i5:1551-3065|- -            505 93152at6656          -            344   1.4e-06   25.1   0.0   1   1   3.6e-08   4.6e-06   23.4   0.0   122   251   316   456   304   479 0.83 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i8:1733-2035|-   -            101 93152at6656          -            344   4.3e-06   23.5   0.3   1   2     0.013       1.7    5.1   0.0    43    63     2    22     1    29 0.60 -
93152at6656_7539_0:00334c|TRINITY_DN80902_c10_g1_i8:1733-2035|-   -            101 93152at6656          -            344   4.3e-06   23.5   0.3   2   2   2.8e-06   0.00035   17.2   0.1   125   172    30    77    23    96 0.87 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 93152at6656          -            344   9.1e-06   22.4   4.3   1   3     0.025       3.2    4.2   0.0    42    95    36    91    16   141 0.64 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 93152at6656          -            344   9.1e-06   22.4   4.3   2   3    0.0045      0.57    6.7   0.2   122   163   210   251   102   293 0.67 -
66597at6656_294128_0:003528|TRINITY_DN90105_c5_g2_i6:72-1547|+    -            492 93152at6656          -            344   9.1e-06   22.4   4.3   3   3    0.0009      0.11    9.0   3.0   108   152   311   356   252   365 0.74 -
31886at6656_438503_0:00162f|TRINITY_DN88427_c12_g1_i2:75-2320|+   -            683 93152at6656          -            344   1.5e-05   21.7   0.0   1   4    0.0045      0.58    6.7   0.0   115   218   101   210    95   219 0.81 -
31886at6656_438503_0:00162f|TRINITY_DN88427_c12_g1_i2:75-2320|+   -            683 93152at6656          -            344   1.5e-05   21.7   0.0   2   4      0.31        39    0.6   0.0   122   157   247   282   221   288 0.70 -
31886at6656_438503_0:00162f|TRINITY_DN88427_c12_g1_i2:75-2320|+   -            683 93152at6656          -            344   1.5e-05   21.7   0.0   3   4    0.0032       0.4    7.2   0.0   135   183   382   435   375   481 0.69 -
31886at6656_438503_0:00162f|TRINITY_DN88427_c12_g1_i2:75-2320|+   -            683 93152at6656          -            344   1.5e-05   21.7   0.0   4   4      0.11        13    2.1   0.0   109   184   426   503   422   510 0.79 -
113817at6656_45779_0:00392d|TRINITY_DN85566_c12_g3_i1:431-898|+   -            156 93152at6656          -            344   4.6e-05   20.1   0.2   1   1   4.4e-07   5.5e-05   19.9   0.2   188   261    37   110    25   136 0.82 -
46671at6656_610380_0:0008e3|TRINITY_DN82827_c6_g1_i2:1044-2012|-  -            323 93152at6656          -            344   5.2e-05   19.9   0.1   1   2     0.092        12    2.4   0.0   291   329     1    39     1    56 0.72 -
46671at6656_610380_0:0008e3|TRINITY_DN82827_c6_g1_i2:1044-2012|-  -            323 93152at6656          -            344   5.2e-05   19.9   0.1   2   2   8.7e-06    0.0011   15.6   0.0    41   151    99   211    71   256 0.70 -
46671at6656_294128_0:0032e8|TRINITY_DN71947_c8_g1_i2:150-1109|+   -            320 93152at6656          -            344   9.1e-05   19.2   0.2   1   1   1.2e-06   0.00015   18.4   0.2    42   171    63   201    36   227 0.76 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i4:89-457|+      -            123 93152at6656          -            344     0.001   15.7   2.9   1   2   0.00045     0.056   10.0   0.6    63    98     5    40     2    58 0.81 -
113817at6656_7536_0:001f6c|TRINITY_DN88420_c7_g3_i4:89-457|+      -            123 93152at6656          -            344     0.001   15.7   2.9   2   2    0.0059      0.74    6.3   0.1    62   107    72   118    60   122 0.75 -
107453at6656_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+   -            281 93152at6656          -            344    0.0015   15.1   0.2   1   3    0.0025      0.32    7.5   0.0   122   157   145   180    77   201 0.61 -
107453at6656_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+   -            281 93152at6656          -            344    0.0015   15.1   0.2   2   3     0.018       2.3    4.7   0.0   297   339   195   237   181   242 0.84 -
107453at6656_294128_0:001aeb|TRINITY_DN72204_c16_g3_i1:62-904|+   -            281 93152at6656          -            344    0.0015   15.1   0.2   3   3     0.024         3    4.3   0.1   298   339   196   237   195   262 0.72 -
59200at6656_197043_0:0019bd|TRINITY_DN73704_c13_g1_i1:1540-1893|- -            118 93152at6656          -            344    0.0028   14.3   0.2   1   1   3.3e-05    0.0042   13.7   0.2   198   290    13   105     4   115 0.77 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i1:2504-2887|-  -            128 93152at6656          -            344    0.0081   12.7   0.0   1   2   0.00098      0.12    8.8   0.0   132   178    14    61     8    70 0.77 -
59200at6656_197043_0:0019bd|TRINITY_DN89522_c6_g1_i1:2504-2887|-  -            128 93152at6656          -            344    0.0081   12.7   0.0   2   2     0.023       2.9    4.3   0.0    43    97    47   103    44   115 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/93152at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/93152at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/93152at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
