#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31333at6656_294128_0:001a9e|TRINITY_DN79429_c0_g1_i1:41-2104|+    -            688 31333at6656          -            560  2.9e-240  796.2  14.0   1   1  3.4e-241  4.4e-239  792.3  14.0     5   557    15   686    12   688 0.87 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-   -            312 31333at6656          -            560   0.00058   16.1   1.4   4   4   0.00056     0.075    9.1   0.4   395   465   222   298   205   304 0.65 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+    -            165 31333at6656          -            560   0.00069   15.8   0.0   1   2      0.23        30    0.5   0.0   157   183    40    67    32    83 0.66 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+    -            165 31333at6656          -            560   0.00069   15.8   0.0   2   2   4.9e-05    0.0065   12.6   0.0   392   453    98   164    82   165 0.69 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 31333at6656          -            560   0.00089   15.5   0.0   1   2   2.4e-05    0.0032   13.6   0.0   155   226    20   100     3   102 0.73 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-  -            185 31333at6656          -            560   0.00089   15.5   0.0   2   2      0.74        98   -1.2   0.0   159   176   121   138   109   147 0.73 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 31333at6656          -            560    0.0041   13.3   0.1   1   4      0.37        48   -0.2   0.0   159   182    75    99    59   126 0.64 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 31333at6656          -            560    0.0041   13.3   0.1   2   4     0.014       1.8    4.6   0.0   428   456   161   189   156   203 0.86 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 31333at6656          -            560    0.0041   13.3   0.1   3   4      0.03         4    3.4   0.0   426   459   243   276   235   282 0.83 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+      -            359 31333at6656          -            560    0.0041   13.3   0.1   4   4         1   1.4e+02   -1.6   0.0   433   455   292   315   277   331 0.75 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-     -            107 31333at6656          -            560    0.0041   13.3   0.0   1   1   5.9e-05    0.0078   12.4   0.0   188   226    34    73     7   107 0.60 -
31196at6656_1218281_0:002752|TRINITY_DN82334_c12_g1_i3:715-1107|+ -            131 31333at6656          -            560    0.0041   13.3   0.0   1   1   3.7e-05    0.0048   13.0   0.0   428   474    27    73     3    84 0.84 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-    -            203 31333at6656          -            560    0.0055   12.9   0.1   1   3    0.0013      0.17    7.9   0.0   430   455    13    38     4    52 0.86 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-    -            203 31333at6656          -            560    0.0055   12.9   0.1   2   3      0.22        29    0.6   0.0   160   173    65    78    48    82 0.78 -
81307at6656_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-    -            203 31333at6656          -            560    0.0055   12.9   0.1   3   3      0.25        33    0.4   0.0   429   456   163   190   153   201 0.62 -
55094at6656_407821_0:0002d1|TRINITY_DN90053_c5_g2_i11:2064-2816|+ -            251 31333at6656          -            560     0.011   11.9   0.0   1   1   0.00015      0.02   11.0   0.0   428   469    16    63     3    76 0.79 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 31333at6656          -            560     0.031   10.4   0.8   1   2       0.1        13    1.7   0.0   434   455     6    27     2    36 0.89 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-   -            282 31333at6656          -            560     0.031   10.4   0.8   2   2     0.011       1.4    4.9   0.2   391   457    42   112    31   151 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/31333at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/31333at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/31333at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:08 2026
# [ok]
