#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 71018at6656          -            402  1.3e-118  393.8   1.7   1   1  4.4e-119    9e-118  391.0   1.7    98   402     1   359     1   359 0.89 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 71018at6656          -            402   8.2e-44  147.4   1.8   2   3   2.2e-17   4.5e-16   56.1   0.1   269   371   157   258   154   260 0.95 -
83755at6656_294128_0:001f8c|TRINITY_DN76940_c7_g1_i3:177-1214|+    -            346 71018at6656          -            402   8.2e-44  147.4   1.8   3   3     7e-14   1.4e-12   44.6   0.0   278   361   249   340   249   344 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 71018at6656          -            402   1.7e-41  139.8   2.4   1   3   2.7e-07   5.4e-06   22.9   0.0   291   364    37   110    34   114 0.95 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 71018at6656          -            402   1.7e-41  139.8   2.4   2   3   5.7e-10   1.2e-08   31.7   0.0   298   396    86   188    84   189 0.89 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 71018at6656          -            402   1.7e-41  139.8   2.4   3   3   3.1e-28   6.3e-27   91.8   0.4   269   400   189   329   184   329 0.90 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 71018at6656          -            402   1.8e-39  133.1   0.0   1   3   9.6e-12   1.9e-10   37.5   0.0   306   387    19   100     5   102 0.94 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 71018at6656          -            402   1.8e-39  133.1   0.0   2   3     1e-19   2.1e-18   63.8   0.0   271   364    68   161    64   161 0.96 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 71018at6656          -            402   1.8e-39  133.1   0.0   3   3   3.9e-14   7.9e-13   45.4   0.0   270   387   151   267   150   272 0.86 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 71018at6656          -            402   5.2e-39  131.6   9.0   1   3   7.8e-09   1.6e-07   27.9   0.3   280   341     1    60     1    67 0.92 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 71018at6656          -            402   5.2e-39  131.6   9.0   2   3   2.8e-17   5.7e-16   55.7   0.4   259   360    60   157    58   158 0.93 -
83755at6656_126957_0:0033ac|TRINITY_DN77528_c5_g4_i1:322-1059|-    -            246 71018at6656          -            402   5.2e-39  131.6   9.0   3   3   2.6e-18   5.3e-17   59.1   0.3   264   365   143   245   140   246 0.86 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 71018at6656          -            402   1.9e-37  126.5   1.1   1   4   0.00054     0.011   12.0   0.0   291   327     1    37     1    43 0.92 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 71018at6656          -            402   1.9e-37  126.5   1.1   2   4   3.5e-10   7.1e-09   32.4   0.0   296   366    61   130    58   132 0.89 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 71018at6656          -            402   1.9e-37  126.5   1.1   3   4   1.2e-12   2.4e-11   40.5   0.0   272   368   120   215   119   236 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 71018at6656          -            402   1.9e-37  126.5   1.1   4   4   1.3e-14   2.7e-13   46.9   0.0   311   379   238   306   218   313 0.90 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 71018at6656          -            402   2.2e-37  126.3   1.8   1   4   7.8e-15   1.6e-13   47.7   0.1   285   384    92   192    83   196 0.92 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 71018at6656          -            402   2.2e-37  126.3   1.8   2   4   1.3e-11   2.7e-10   37.0   0.2   308   389   207   287   196   294 0.77 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 71018at6656          -            402   2.2e-37  126.3   1.8   3   4   1.5e-11     3e-10   36.9   0.0   309   386   333   411   326   418 0.91 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 71018at6656          -            402   2.2e-37  126.3   1.8   4   4   4.9e-05   0.00099   15.4   0.0   278   320   387   429   387   429 0.97 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 71018at6656          -            402   5.7e-37  124.9  11.3   1   3   1.2e-11   2.4e-10   37.2   0.2   291   368     4    84     1    87 0.89 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 71018at6656          -            402   5.7e-37  124.9  11.3   2   3   3.7e-23   7.5e-22   75.1   1.1   279   401    79   215    77   216 0.87 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 71018at6656          -            402   5.7e-37  124.9  11.3   3   3   2.7e-06   5.5e-05   19.6   0.7   286   364   234   323   232   324 0.80 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 71018at6656          -            402   1.9e-35  119.9   6.5   1   2   4.4e-22   8.9e-21   71.6   0.6   290   385    11   106     9   107 0.97 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 71018at6656          -            402   1.9e-35  119.9   6.5   2   2   4.5e-18   9.1e-17   58.4   0.8   287   387    92   192    91   202 0.95 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 71018at6656          -            402   3.7e-34  115.6  12.4   1   4   1.2e-08   2.4e-07   27.4   0.2   269   375     4   116     2   119 0.83 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 71018at6656          -            402   3.7e-34  115.6  12.4   2   4   3.9e-08     8e-07   25.6   0.1   269   358    52   141    51   142 0.96 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 71018at6656          -            402   3.7e-34  115.6  12.4   3   4   6.9e-14   1.4e-12   44.6   0.1   261   338   126   205   125   207 0.93 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 71018at6656          -            402   3.7e-34  115.6  12.4   4   4     6e-14   1.2e-12   44.8   1.1   291   359   200   268   196   269 0.96 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 71018at6656          -            402     1e-32  110.9   6.1   1   4   2.4e-09   4.9e-08   29.6   0.1   269   371   120   226    97   238 0.86 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 71018at6656          -            402     1e-32  110.9   6.1   2   4   1.3e-07   2.6e-06   23.9   0.1   277   369   366   460   354   471 0.80 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 71018at6656          -            402     1e-32  110.9   6.1   3   4    0.0011     0.022   11.0   0.1   292   323   482   513   472   519 0.76 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 71018at6656          -            402     1e-32  110.9   6.1   4   4     4e-14     8e-13   45.4   0.0   291   387   523   619   519   625 0.96 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 71018at6656          -            402   2.7e-32  109.5   2.2   1   4   1.4e-10   2.9e-09   33.6   0.0   292   366   159   233   154   240 0.67 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 71018at6656          -            402   2.7e-32  109.5   2.2   2   4   8.1e-18   1.6e-16   57.5   0.7   272   364   223   315   221   315 0.97 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 71018at6656          -            402   2.7e-32  109.5   2.2   3   4   1.1e-09   2.1e-08   30.8   0.0   269   374   304   407   302   412 0.90 -
59824at6656_294128_0:00110d|TRINITY_DN89724_c10_g1_i6:88-2006|+    -            472 71018at6656          -            402   2.7e-32  109.5   2.2   4   4     0.054       1.1    5.4   0.0   298   365   423   448   385   454 0.54 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 71018at6656          -            402   3.2e-31  105.9   0.5   1   3    0.0043     0.087    9.0   0.0   261   365   125   239   116   256 0.86 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 71018at6656          -            402   3.2e-31  105.9   0.5   2   3   1.5e-16   3.1e-15   53.3   0.0   289   385   308   404   301   405 0.95 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 71018at6656          -            402   3.2e-31  105.9   0.5   3   3   5.5e-12   1.1e-10   38.3   0.4   258   338   401   483   399   521 0.82 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 71018at6656          -            402     2e-28   96.7   1.1   1   2   3.1e-13   6.3e-12   42.4   0.2   292   387     2    99     1   105 0.90 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 71018at6656          -            402     2e-28   96.7   1.1   2   2   1.7e-18   3.5e-17   59.7   0.0   269   369    65   167    61   169 0.93 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 71018at6656          -            402   7.9e-28   94.8   3.1   1   2   1.1e-18   2.2e-17   60.4   0.8   268   365    20   117     7   125 0.93 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 71018at6656          -            402   7.9e-28   94.8   3.1   2   2   7.7e-13   1.6e-11   41.1   0.1   236   365    96   241    95   242 0.83 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 71018at6656          -            402   1.2e-27   94.2   4.7   1   4   2.9e-05   0.00058   16.2   0.1   298   367     2    71     1    77 0.95 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 71018at6656          -            402   1.2e-27   94.2   4.7   2   4     9e-06   0.00018   17.8   0.0   290   325    77   112    73   117 0.91 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 71018at6656          -            402   1.2e-27   94.2   4.7   3   4   7.6e-14   1.5e-12   44.4   0.0   291   382   120   214   113   217 0.90 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 71018at6656          -            402   1.2e-27   94.2   4.7   4   4   7.5e-06   0.00015   18.1   0.8   292   364   208   282   196   282 0.63 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 71018at6656          -            402   1.4e-27   94.0   4.8   1   4    0.0004    0.0081   12.4   0.0   351   388    11    48     4    52 0.89 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 71018at6656          -            402   1.4e-27   94.0   4.8   2   4   9.2e-08   1.9e-06   24.4   0.0   287   330    74   117    54   129 0.85 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 71018at6656          -            402   1.4e-27   94.0   4.8   3   4    0.0014     0.028   10.6   0.0   299   365   129   195   123   205 0.88 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 71018at6656          -            402   1.4e-27   94.0   4.8   4   4   6.6e-14   1.3e-12   44.6   1.3   293   385   215   308   211   311 0.91 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 71018at6656          -            402   2.1e-27   93.4   0.4   1   2   2.4e-11   4.8e-10   36.2   0.0   277   336     3    62     1    63 0.94 -
83755at6656_7539_0:001b71|TRINITY_DN93240_c4_g1_i8:1269-1814|+     -            182 71018at6656          -            402   2.1e-27   93.4   0.4   2   2   3.4e-19   6.9e-18   62.0   0.1   269   366    37   136    33   144 0.88 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 71018at6656          -            402   4.7e-26   88.9   0.6   1   4   1.3e-13   2.6e-12   43.7   0.0   293   386     1    94     1    99 0.97 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 71018at6656          -            402   4.7e-26   88.9   0.6   2   4   6.8e-06   0.00014   18.3   0.0   298   370   146   221   142   232 0.79 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 71018at6656          -            402   4.7e-26   88.9   0.6   3   4   5.9e-05    0.0012   15.2   0.1   340   382   248   290   243   300 0.89 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 71018at6656          -            402   4.7e-26   88.9   0.6   4   4     0.024      0.48    6.6   0.0   269   312   304   352   294   352 0.78 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 71018at6656          -            402   1.4e-25   87.4   0.1   1   2   8.1e-16   1.6e-14   50.9   0.0   291   389    30   130    24   134 0.90 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 71018at6656          -            402   1.4e-25   87.4   0.1   2   2   1.8e-11   3.7e-10   36.6   0.1   302   374   127   199   125   211 0.90 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 71018at6656          -            402   5.4e-25   85.5   8.9   1   3   4.9e-13   9.9e-12   41.8   0.2   291   371   158   240   152   249 0.88 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 71018at6656          -            402   5.4e-25   85.5   8.9   2   3   3.8e-10   7.8e-09   32.2   0.2   269   378   266   379   251   386 0.85 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 71018at6656          -            402   5.4e-25   85.5   8.9   3   3   2.1e-05   0.00042   16.7   0.6   293   364   378   452   375   453 0.85 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 71018at6656          -            402   1.1e-24   84.5   4.7   1   2   1.8e-12   3.6e-11   39.9   1.8   270   373    51   156    36   178 0.90 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 71018at6656          -            402   1.1e-24   84.5   4.7   2   2   7.4e-14   1.5e-12   44.5   0.1   269   343   187   261   174   291 0.85 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 71018at6656          -            402   1.8e-24   83.7   2.1   1   4   3.2e-13   6.4e-12   42.4   0.1   291   367    69   145    64   167 0.92 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 71018at6656          -            402   1.8e-24   83.7   2.1   2   4   8.7e-05    0.0018   14.6   0.0   306   376   207   280   203   285 0.83 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 71018at6656          -            402   1.8e-24   83.7   2.1   3   4      0.95        19    1.3   0.1   166   191   308   331   288   348 0.71 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 71018at6656          -            402   1.8e-24   83.7   2.1   4   4   6.3e-07   1.3e-05   21.7   0.0   269   323   353   408   349   409 0.94 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 71018at6656          -            402   4.3e-24   82.5   0.6   1   3   8.8e-05    0.0018   14.6   0.0   135   190   193   248   167   254 0.75 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 71018at6656          -            402   4.3e-24   82.5   0.6   2   3   3.3e-18   6.7e-17   58.8   0.4   262   379   271   391   267   408 0.86 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 71018at6656          -            402   4.3e-24   82.5   0.6   3   3     0.089       1.8    4.7   0.0   286   322   475   511   444   513 0.58 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 71018at6656          -            402   5.8e-24   82.1   3.9   1   3   1.5e-09   3.1e-08   30.3   0.0   287   366   142   224   138   242 0.86 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 71018at6656          -            402   5.8e-24   82.1   3.9   2   3   1.4e-07   2.8e-06   23.8   0.1   291   366   273   348   265   357 0.90 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 71018at6656          -            402   5.8e-24   82.1   3.9   3   3   1.4e-13   2.8e-12   43.6   0.3   266   376   290   401   287   417 0.88 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 71018at6656          -            402   8.8e-24   81.5   0.4   1   3   2.6e-08   5.3e-07   26.2   0.0   291   373     5    98     2   119 0.83 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 71018at6656          -            402   8.8e-24   81.5   0.4   2   3   1.7e-05   0.00035   16.9   0.0   291   354    58   125    56   151 0.71 -
83755at6656_110193_0:002a12|TRINITY_DN76578_c9_g1_i6:2182-2979|+   -            266 71018at6656          -            402   8.8e-24   81.5   0.4   3   3     3e-15   6.2e-14   49.0   0.0   268   355   172   263   169   266 0.88 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 71018at6656          -            402   1.4e-23   80.8   0.8   1   3       1.9        39    0.3   0.0   295   323   420   448   410   456 0.79 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 71018at6656          -            402   1.4e-23   80.8   0.8   2   3   3.5e-19   7.1e-18   62.0   0.2   273   382   471   580   453   583 0.94 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 71018at6656          -            402   1.4e-23   80.8   0.8   3   3   1.7e-06   3.5e-05   20.2   0.0   292   336   574   618   572   619 0.95 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 71018at6656          -            402   2.9e-23   79.8   2.0   1   4   0.00032    0.0065   12.7   0.0   297   382    48   133    45   140 0.84 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 71018at6656          -            402   2.9e-23   79.8   2.0   2   4   3.8e-09   7.7e-08   29.0   0.0   295   382    88   175    71   184 0.93 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 71018at6656          -            402   2.9e-23   79.8   2.0   3   4   2.2e-10   4.4e-09   33.0   0.1   292   375   127   211   125   221 0.90 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 71018at6656          -            402   2.9e-23   79.8   2.0   4   4   5.5e-08   1.1e-06   25.2   0.1   274   335   234   295   217   304 0.87 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 71018at6656          -            402     9e-23   78.1   5.6   1   4   3.7e-06   7.5e-05   19.1   0.0   333   383     9    59     3    70 0.88 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 71018at6656          -            402     9e-23   78.1   5.6   2   4   8.9e-11   1.8e-09   34.3   0.5   270   329    72   131    64   150 0.90 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 71018at6656          -            402     9e-23   78.1   5.6   3   4     0.022      0.45    6.7   0.0   266   286   152   172   141   180 0.78 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 71018at6656          -            402     9e-23   78.1   5.6   4   4   8.7e-06   0.00018   17.9   0.2   258   357   182   286   177   291 0.85 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 71018at6656          -            402   9.8e-23   78.0   1.1   1   4   2.1e-06   4.3e-05   19.9   0.0   333   388     2    57     1    63 0.94 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 71018at6656          -            402   9.8e-23   78.0   1.1   2   4   0.00023    0.0046   13.2   0.1   269   315    64   109    57   130 0.80 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 71018at6656          -            402   9.8e-23   78.0   1.1   3   4   1.7e-10   3.5e-09   33.4   0.1   269   330   159   220   145   235 0.78 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 71018at6656          -            402   9.8e-23   78.0   1.1   4   4     0.013      0.26    7.5   0.0   291   321   281   311   272   320 0.90 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   1   7       2.6        53   -0.1   0.0   301   361    20    79    11    86 0.71 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   2   7      0.79        16    1.6   0.0   291   317    92   118    82   122 0.81 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   3   7     0.036      0.73    6.0   0.1   302   366   152   218   141   226 0.53 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   4   7       2.2        44    0.1   0.0   146   188   292   335   254   357 0.55 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   5   7   4.4e-14     9e-13   45.2   0.2   272   377   364   471   295   486 0.88 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   6   7   1.4e-06   2.8e-05   20.5   0.0   301   368   480   550   475   569 0.69 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 71018at6656          -            402   1.8e-22   77.1   9.1   7   7       5.2   1.1e+02   -1.1   0.0   230   248   721   739   715   742 0.88 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 71018at6656          -            402     7e-22   75.2   5.1   1   5       1.1        22    1.1   0.0   344   395     4    58     2    64 0.73 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 71018at6656          -            402     7e-22   75.2   5.1   2   5   5.1e-17     1e-15   54.9   1.6   274   382    66   173    60   177 0.94 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 71018at6656          -            402     7e-22   75.2   5.1   3   5   1.4e-08   2.8e-07   27.1   0.4   269   328   144   203   139   208 0.93 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 71018at6656          -            402     7e-22   75.2   5.1   4   5   0.00072     0.015   11.6   0.0   291   339   393   440   388   453 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 71018at6656          -            402     7e-22   75.2   5.1   5   5       6.1   1.2e+02   -1.3   0.0   202   233   498   529   488   533 0.76 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 71018at6656          -            402   8.1e-22   75.0   2.8   1   4   1.1e-08   2.2e-07   27.5   0.0   293   379     2    90     1    91 0.82 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 71018at6656          -            402   8.1e-22   75.0   2.8   2   4   1.4e-05   0.00027   17.3   0.0   292   363    87   157    83   163 0.53 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 71018at6656          -            402   8.1e-22   75.0   2.8   3   4   1.6e-05   0.00032   17.1   0.0   308   373   223   289   209   298 0.82 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 71018at6656          -            402   8.1e-22   75.0   2.8   4   4   0.00038    0.0078   12.5   0.6   294   364   296   367   291   367 0.65 -
