#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
20267at6656_35525_0:001778|TRINITY_DN91361_c6_g1_i9:260-2853|+     -            828 20267at6656          -            684  1.2e-220  731.7   5.6   1   1  1.3e-221    1e-219  728.7   5.6     4   684     2   813     1   813 0.86 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 20267at6656          -            684   4.5e-10   35.9   0.1   5   6       2.4   1.9e+02   -2.6   0.0    64    92   243   271   235   281 0.78 -
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 20267at6656          -            684   4.5e-10   35.9   0.1   6   6      0.16        13    1.3   0.0    62    91   292   322   286   325 0.80 -
3310at6656_294128_0:0045a3|TRINITY_DN77102_c13_g1_i6:153-5087|+    -           1645 20267at6656          -            684   5.8e-09   32.2  12.0   1   3   4.3e-07   3.4e-05   19.8   1.1   493   607  1031  1146   993  1155 0.76 -
3310at6656_294128_0:0045a3|TRINITY_DN77102_c13_g1_i6:153-5087|+    -           1645 20267at6656          -            684   5.8e-09   32.2  12.0   2   3   0.00012    0.0097   11.6   0.2   481   600  1159  1283  1146  1288 0.82 -
3310at6656_294128_0:0045a3|TRINITY_DN77102_c13_g1_i6:153-5087|+    -           1645 20267at6656          -            684   5.8e-09   32.2  12.0   3   3    0.0044      0.35    6.5   0.3   492   556  1322  1387  1304  1425 0.88 -
30267at6656_1049336_0:000a23|TRINITY_DN83858_c11_g2_i6:2346-6155|- -           1270 20267at6656          -            684   8.5e-09   31.6   3.7   1   4      0.37        29    0.1   0.0   152   193   209   252   186   258 0.85 -
30267at6656_1049336_0:000a23|TRINITY_DN83858_c11_g2_i6:2346-6155|- -           1270 20267at6656          -            684   8.5e-09   31.6   3.7   2   4       5.5   4.3e+02   -3.7   0.1   543   574   476   507   474   531 0.60 -
30267at6656_1049336_0:000a23|TRINITY_DN83858_c11_g2_i6:2346-6155|- -           1270 20267at6656          -            684   8.5e-09   31.6   3.7   3   4      0.15        12    1.4   0.2   400   450   858   910   843   939 0.80 -
30267at6656_1049336_0:000a23|TRINITY_DN83858_c11_g2_i6:2346-6155|- -           1270 20267at6656          -            684   8.5e-09   31.6   3.7   4   4   1.3e-09     1e-07   28.1   0.1   492   559  1004  1071   999  1083 0.91 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 20267at6656          -            684   8.2e-08   28.4   0.0   1   4     3e-06   0.00024   17.0   0.0    63   119   270   326   264   351 0.91 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 20267at6656          -            684   8.2e-08   28.4   0.0   2   4      0.62        48   -0.6   0.0    57    95   395   436   393   459 0.80 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 20267at6656          -            684   8.2e-08   28.4   0.0   3   4       0.1         8    2.0   0.0   162   191   462   491   458   510 0.86 -
24255at6656_294128_0:002352|TRINITY_DN79185_c7_g1_i6:713-2908|-    -            613 20267at6656          -            684   8.2e-08   28.4   0.0   4   4     0.024       1.9    4.1   0.0    42    92   505   558   489   569 0.66 -
42577at6656_441921_0:0027e2|TRINITY_DN90709_c2_g1_i3:331-2802|+    -            824 20267at6656          -            684   1.2e-07   27.9   0.1   1   1   3.2e-09   2.5e-07   26.8   0.1   503   571   611   679   554   682 0.86 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-    -            183 20267at6656          -            684   6.7e-07   25.4   0.8   1   2     0.013         1    5.0   0.0    75   115     9    49     4    63 0.85 -
83755at6656_30019_0:0008bb|TRINITY_DN93328_c6_g1_i6:3237-3785|-    -            183 20267at6656          -            684   6.7e-07   25.4   0.8   2   2   6.5e-07   5.1e-05   19.2   0.1    40    97    95   153    80   167 0.77 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 20267at6656          -            684   2.6e-06   23.4   0.1   1   4     0.086       6.7    2.2   0.0    41   106    75   142    68   156 0.82 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 20267at6656          -            684   2.6e-06   23.4   0.1   2   4      0.16        12    1.3   0.1    68    96   144   173   126   181 0.71 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 20267at6656          -            684   2.6e-06   23.4   0.1   3   4   8.6e-05    0.0067   12.1   0.0    59    91   178   210   165   214 0.88 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 20267at6656          -            684   2.6e-06   23.4   0.1   4   4     0.036       2.8    3.5   0.0    59    97   258   296   223   312 0.84 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 20267at6656          -            684   3.3e-06   23.1   0.2   1   2   0.00065      0.05    9.3   0.1    31   113   144   231   132   231 0.83 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 20267at6656          -            684   3.3e-06   23.1   0.2   2   2   7.6e-06   0.00059   15.6   0.1    27    90   223   289   216   291 0.88 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 20267at6656          -            684   5.1e-06   22.5   0.0   1   1   1.4e-07   1.1e-05   21.3   0.0    29   110   399   485   392   490 0.81 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 20267at6656          -            684   6.2e-06   22.2   1.8   1   3    0.0037      0.29    6.7   0.0    59   106    30    77    25   110 0.89 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 20267at6656          -            684   6.2e-06   22.2   1.8   2   3   8.7e-05    0.0068   12.1   0.1    37   114   131   212   121   218 0.82 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 20267at6656          -            684   6.2e-06   22.2   1.8   3   3      0.15        12    1.4   0.0   161   189   218   246   215   254 0.88 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 20267at6656          -            684   9.3e-06   21.6   0.0   1   2         5   3.9e+02   -3.6   0.0   160   178    51    69    33    72 0.75 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 20267at6656          -            684   9.3e-06   21.6   0.0   2   2   2.1e-07   1.6e-05   20.8   0.0    31    96   128   198   109   250 0.83 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 20267at6656          -            684   2.8e-05   20.0   0.1   1   4    0.0014      0.11    8.2   0.0    63   104     3    44     1    54 0.89 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 20267at6656          -            684   2.8e-05   20.0   0.1   2   4      0.03       2.4    3.7   0.0    58   117    40   100    35   106 0.86 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 20267at6656          -            684   2.8e-05   20.0   0.1   3   4     0.012      0.93    5.1   0.0    38   103   101   169    89   191 0.77 -
83755at6656_108931_0:002353|TRINITY_DN93367_c10_g1_i2:104-970|-    -            289 20267at6656          -            684   2.8e-05   20.0   0.1   4   4      0.18        14    1.2   0.0    76   116   230   271   187   278 0.85 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 20267at6656          -            684     3e-05   19.9   0.1   1   3     0.057       4.5    2.8   0.0    64   128    44   104     4   111 0.75 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 20267at6656          -            684     3e-05   19.9   0.1   2   3   1.3e-06    0.0001   18.1   0.0    60   183    82   207    70   213 0.83 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 20267at6656          -            684     3e-05   19.9   0.1   3   3     0.053       4.2    2.9   0.0    27    90   170   238   147   243 0.72 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 20267at6656          -            684   0.00011   18.1   0.0   1   3     0.058       4.5    2.8   0.0    29    88   266   330   249   341 0.70 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 20267at6656          -            684   0.00011   18.1   0.0   2   3   0.00023     0.018   10.7   0.0    34   107   357   435   339   452 0.81 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 20267at6656          -            684   0.00011   18.1   0.0   3   3      0.26        21    0.6   0.0    59    93   470   504   449   504 0.87 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 20267at6656          -            684   0.00011   18.0   0.0   1   2   4.1e-05    0.0032   13.2   0.0    40   116    10    89     2    98 0.87 -
83755at6656_125945_0:000803|TRINITY_DN91433_c7_g1_i1:239-1096|+    -            286 20267at6656          -            684   0.00011   18.0   0.0   2   2     0.056       4.4    2.9   0.0    58   128   114   186    92   207 0.69 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 20267at6656          -            684   0.00021   17.1   0.0   1   3     2e-05    0.0016   14.2   0.0    28   112     5    97     1   117 0.78 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 20267at6656          -            684   0.00021   17.1   0.0   2   3     0.032       2.5    3.7   0.0    57   117    83   146    80   152 0.88 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 20267at6656          -            684   0.00021   17.1   0.0   3   3      0.42        32   -0.0   0.0    41    91   108   161   103   165 0.67 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 20267at6656          -            684   0.00024   16.9   0.0   1   2   0.00013      0.01   11.5   0.0    60   179    12   135     6   155 0.66 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 20267at6656          -            684   0.00024   16.9   0.0   2   2     0.039         3    3.4   0.0    72   119   242   291   196   296 0.67 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 20267at6656          -            684   0.00026   16.8   1.4   1   2   8.2e-06   0.00064   15.5   1.3    48   185    10   153     2   163 0.76 -
83755at6656_64459_0:0022f7|TRINITY_DN85375_c3_g2_i8:2663-3214|-    -            184 20267at6656          -            684   0.00026   16.8   1.4   2   2      0.41        32    0.0   0.0    61    91   153   183   150   184 0.88 -
58110at6656_62625_0:00255f|TRINITY_DN92934_c7_g1_i5:834-1898|-     -            355 20267at6656          -            684   0.00066   15.5   0.0   1   1   1.2e-05   0.00097   14.9   0.0    37   107   225   297   211   350 0.78 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 20267at6656          -            684   0.00086   15.1   0.0   1   4      0.38        30    0.1   0.0    61    88     2    29     1    36 0.91 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 20267at6656          -            684   0.00086   15.1   0.0   2   4      0.07       5.5    2.5   0.0   157   189    56    90    44   135 0.78 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 20267at6656          -            684   0.00086   15.1   0.0   3   4    0.0023      0.18    7.4   0.0    40   118   157   238   146   246 0.89 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 20267at6656          -            684   0.00086   15.1   0.0   4   4       1.2        97   -1.6   0.0    62    94   282   314   270   322 0.86 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 20267at6656          -            684   0.00089   15.1   0.1   1   2   2.5e-05    0.0019   13.9   0.1    38    98    57   119    51   131 0.85 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 20267at6656          -            684   0.00089   15.1   0.1   2   2       3.5   2.8e+02   -3.1   0.0    33    61   442   471   420   475 0.76 -
81307at6656_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+     -            137 20267at6656          -            684    0.0012   14.7   0.3   1   3   0.00019     0.015   11.0   0.1    59    95     2    38     1    52 0.89 -
81307at6656_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+     -            137 20267at6656          -            684    0.0012   14.7   0.3   2   3      0.41        32   -0.0   0.0    77   106    67    96    44   124 0.73 -
81307at6656_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+     -            137 20267at6656          -            684    0.0012   14.7   0.3   3   3      0.24        19    0.8   0.0    74    92   118   136   100   137 0.76 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 20267at6656          -            684    0.0013   14.5   0.0   1   2      0.41        32   -0.0   0.0    66    94     3    31     1    36 0.86 -
58110at6656_34740_0:0023bd|TRINITY_DN82560_c3_g1_i5:811-1725|+     -            305 20267at6656          -            684    0.0013   14.5   0.0   2   2   8.9e-05     0.007   12.1   0.0    60   120    44   104    39   167 0.87 -
774at6656_294128_0:002abf|TRINITY_DN93543_c3_g1_i10:3-5816|+       -           1938 20267at6656          -            684    0.0016   14.2   0.2   1   2       3.8     3e+02   -3.2   0.1   521   564   526   568   522   571 0.79 -
774at6656_294128_0:002abf|TRINITY_DN93543_c3_g1_i10:3-5816|+       -           1938 20267at6656          -            684    0.0016   14.2   0.2   2   2   4.3e-05    0.0033   13.2   0.0    37    97  1857  1920  1847  1931 0.82 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 20267at6656          -            684    0.0016   14.2   0.2   1   2      0.19        15    1.1   0.0    62    93    54    86    48    97 0.63 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 20267at6656          -            684    0.0016   14.2   0.2   2   2   0.00015     0.012   11.3   0.0    59   105    98   144    93   164 0.85 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 20267at6656          -            684    0.0021   13.9   0.0   1   2   0.00021     0.016   10.9   0.0    36   117    51   135    26   198 0.77 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 20267at6656          -            684    0.0021   13.9   0.0   2   2      0.14        11    1.6   0.0    61    98   164   201   148   228 0.74 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 20267at6656          -            684    0.0024   13.6   0.0   1   2   0.00056     0.043    9.5   0.0    38    91    62   118    51   125 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 20267at6656          -            684    0.0024   13.6   0.0   2   2      0.15        11    1.5   0.0    61   100   130   169   123   188 0.82 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 20267at6656          -            684    0.0035   13.1   0.1   1   2      0.04       3.1    3.3   0.0    52    92    18    63    12    80 0.73 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 20267at6656          -            684    0.0035   13.1   0.1   2   2    0.0013       0.1    8.2   0.0    36    91   106   164    74   165 0.70 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 20267at6656          -            684    0.0042   12.8   0.0   1   3      0.61        48   -0.6   0.0    30   101    52   126    44   145 0.74 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 20267at6656          -            684    0.0042   12.8   0.0   2   3   0.00039      0.03   10.0   0.0    41   117   225   308   214   316 0.78 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 20267at6656          -            684    0.0042   12.8   0.0   3   3      0.43        34   -0.1   0.0    64   104   296   336   289   346 0.86 -
83755at6656_32264_0:001274|TRINITY_DN80976_c6_g1_i4:720-1352|+     -            211 20267at6656          -            684    0.0048   12.6   0.0   1   1   9.8e-05    0.0076   12.0   0.0    37   115    89   175    73   194 0.75 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-   -            185 20267at6656          -            684     0.009   11.7   0.0   1   2   0.00036     0.028   10.1   0.0    33   102    25    97    14   103 0.86 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-   -            185 20267at6656          -            684     0.009   11.7   0.0   2   2      0.92        72   -1.2   0.0    65   100   115   150   109   157 0.83 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 20267at6656          -            684    0.0093   11.7   0.4   1   2     0.093       7.3    2.1   0.0    21    99   257   341   242   346 0.75 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 20267at6656          -            684    0.0093   11.7   0.4   2   2    0.0016      0.13    7.9   0.1    61   113   345   397   338   404 0.88 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 20267at6656          -            684      0.01   11.5   1.4   1   4    0.0092      0.72    5.4   0.0    59   102     7    50     4    64 0.86 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 20267at6656          -            684      0.01   11.5   1.4   2   4      0.13        10    1.6   0.0    76    92    70    86    50   114 0.71 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 20267at6656          -            684      0.01   11.5   1.4   3   4      0.43        34   -0.1   0.1    63   105   101   145    91   168 0.68 -
81307at6656_32264_0:001dbb|TRINITY_DN92010_c4_g1_i1:128-1045|+     -            306 20267at6656          -            684      0.01   11.5   1.4   4   4      0.33        26    0.3   0.0    78    91   228   241   209   250 0.87 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 20267at6656          -            684     0.023   10.4   0.0   1   2      0.02       1.5    4.4   0.0    59   116    35    93    26   114 0.83 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 20267at6656          -            684     0.023   10.4   0.0   2   2     0.024       1.8    4.1   0.0    59   104   209   254   190   303 0.81 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 20267at6656          -            684     0.026   10.2   0.1   1   3      0.18        14    1.2   0.0    61    90     9    38     4    44 0.86 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 20267at6656          -            684     0.026   10.2   0.1   2   3    0.0063      0.49    6.0   0.0    61   106    93   138    86   153 0.84 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 20267at6656          -            684     0.026   10.2   0.1   3   3       1.9   1.5e+02   -2.2   0.0    49    96   202   254   164   274 0.51 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/20267at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/20267at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/20267at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
