#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132857at6656_294128_0:003caa|TRINITY_DN78574_c9_g1_i1:101-820|+     -            240 132857at6656         -            201   6.2e-70  231.9   4.8   1   1   8.1e-72   8.5e-70  231.4   4.8     1   201     9   240     9   240 0.88 -
132857at6656_69820_0:0037ea|TRINITY_DN91790_c7_g1_i2:4481-5095|-    -            205 132857at6656         -            201   4.6e-21   72.3  16.4   2   2   1.9e-11     2e-09   34.3   1.7    24   117   103   189   100   205 0.83 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   4.1e-20   69.2  26.2   1   4   1.6e-05    0.0017   14.9   0.4    76   117    18    65     4    69 0.57 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   4.1e-20   69.2  26.2   2   4   1.4e-07   1.5e-05   21.7   2.7    20    58    43    87    18    90 0.62 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   4.1e-20   69.2  26.2   3   4   1.5e-13   1.6e-11   41.2   3.1    20   117    43   134    36   139 0.86 -
132857at6656_7091_0:001d02|TRINITY_DN84597_c13_g1_i5:582-1052|+     -            157 132857at6656         -            201   4.1e-20   69.2  26.2   4   4   2.2e-08   2.3e-06   24.3   0.4    21    76    90   151    88   155 0.73 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   4.4e-18   62.6  16.6   1   4   2.6e-11   2.7e-09   33.9   3.1    26   118   623   730   610   753 0.81 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   4.4e-18   62.6  16.6   2   4     9e-05    0.0094   12.5   0.3    20    55   798   833   788   842 0.83 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   4.4e-18   62.6  16.6   3   4    0.0005     0.052   10.1   0.0    28    87   830   893   829   898 0.78 -
980at6656_438503_0:0008e8|TRINITY_DN93731_c3_g2_i1:0-5134|-         -           1575 132857at6656         -            201   4.4e-18   62.6  16.6   4   4   4.6e-05    0.0048   13.5   2.1    24   119   937  1032   925  1063 0.80 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 132857at6656         -            201   4.8e-17   59.2  13.8   1   2   2.2e-07   2.3e-05   21.1   1.2    26   116     5    89     2    90 0.68 -
87527at6656_6958_0:001da7|TRINITY_DN92834_c4_g1_i6:330-926|+        -            199 132857at6656         -            201   4.8e-17   59.2  13.8   2   2   2.8e-16     3e-14   50.1   5.4    21   171    23   195    21   199 0.78 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   6.9e-17   58.7  29.6   1   4   1.6e-09   1.6e-07   28.1  12.8    26   176     3   182     1   184 0.67 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   6.9e-17   58.7  29.6   2   4     1e-06   0.00011   18.8   3.5    98   177   144   231   142   232 0.79 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   6.9e-17   58.7  29.6   3   4   2.1e-06   0.00022   17.9   6.2    67   150   181   277   170   283 0.76 -
56523at6656_29053_0:00274d|TRINITY_DN83407_c11_g1_i1:2935-4029|-    -            365 132857at6656         -            201   6.9e-17   58.7  29.6   4   4   4.9e-05    0.0052   13.4   2.5    41   132   265   358   237   365 0.47 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 132857at6656         -            201   6.9e-17   58.7   6.9   1   2   4.9e-06   0.00051   16.6   0.2   110   151    13    54     7    56 0.91 -
132857at6656_1218281_0:001423|TRINITY_DN85685_c12_g2_i2:1332-1838|- -            169 132857at6656         -            201   6.9e-17   58.7   6.9   2   2   9.1e-15   9.6e-13   45.1   2.6    68   175    54   168    53   169 0.89 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 132857at6656         -            201   2.7e-16   56.7  13.8   1   3   0.00012     0.013   12.1   0.1    80   117     2    40     1    43 0.87 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 132857at6656         -            201   2.7e-16   56.7  13.8   2   3   2.1e-09   2.2e-07   27.6   5.9    19   115    41   161    38   165 0.74 -
87575at6656_1629725_0:000e6f|TRINITY_DN80899_c8_g1_i1:457-1170|+    -            238 132857at6656         -            201   2.7e-16   56.7  13.8   3   3   2.9e-09     3e-07   27.2   5.4    18   151    87   230    85   235 0.73 -
87527at6656_34740_0:003847|TRINITY_DN91669_c1_g1_i4:830-1363|+      -            178 132857at6656         -            201   3.5e-16   56.4  12.3   1   1   2.6e-17   2.7e-15   53.5  11.0    20   153     2   159     1   161 0.81 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 132857at6656         -            201   9.8e-16   54.9  11.3   1   3   2.4e-08   2.5e-06   24.2   3.8    88   176    43   144    20   147 0.81 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 132857at6656         -            201   9.8e-16   54.9  11.3   2   3   5.8e-06   0.00061   16.4   0.1    16    56   172   219   168   221 0.77 -
132857at6656_76194_0:0020bb|TRINITY_DN79934_c8_g1_i2:272-1138|+     -            289 132857at6656         -            201   9.8e-16   54.9  11.3   3   3     3e-06   0.00031   17.4   0.1    96   156   201   268   199   288 0.66 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 132857at6656         -            201   4.4e-15   52.8  10.8   1   2   4.3e-08   4.5e-06   23.3   2.8   115   176     4    65     1    67 0.80 -
87527at6656_35525_0:001861|TRINITY_DN75758_c13_g1_i1:587-1147|+     -            187 132857at6656         -            201   4.4e-15   52.8  10.8   2   2   1.8e-11   1.9e-09   34.4   1.4    68   162    65   171    64   180 0.82 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 132857at6656         -            201   8.9e-15   51.8  25.7   1   3   1.6e-08   1.7e-06   24.8   4.1    89   151    29    98    19   103 0.85 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 132857at6656         -            201   8.9e-15   51.8  25.7   2   3   1.4e-09   1.4e-07   28.3   7.5    42   151    40   170    39   170 0.81 -
87527at6656_294128_0:0004df|TRINITY_DN85923_c3_g1_i1:77-889|+       -            271 132857at6656         -            201   8.9e-15   51.8  25.7   3   3     6e-08   6.2e-06   22.9   0.4    68   150   124   218   112   237 0.79 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 132857at6656         -            201     1e-14   51.5   0.2   1   2   4.8e-07     5e-05   19.9   0.0    68   117    11    62     2    64 0.88 -
56523at6656_6958_0:001268|TRINITY_DN71243_c0_g1_i1:304-837|+        -            178 132857at6656         -            201     1e-14   51.5   0.2   2   2   7.7e-12   8.1e-10   35.6   0.1    69   148    58   144    57   158 0.80 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 132857at6656         -            201   5.4e-12   42.7  14.1   1   2   1.3e-07   1.3e-05   21.8   0.8    77   118    11    54     1    57 0.47 -
132857at6656_62625_0:0007a3|TRINITY_DN83239_c5_g1_i9:644-1042|+     -            133 132857at6656         -            201   5.4e-12   42.7  14.1   2   2   1.1e-10   1.2e-08   31.8   6.6    70   150    27   117    27   124 0.84 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 132857at6656         -            201   1.5e-11   41.2  15.9   1   3   2.9e-09     3e-07   27.2   6.5    64   180    63   190    34   207 0.74 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 132857at6656         -            201   1.5e-11   41.2  15.9   2   3   5.6e-08   5.9e-06   23.0   4.6    24   173   125   280   120   288 0.76 -
56523at6656_13686_0:00299e|TRINITY_DN89605_c2_g1_i2:461-1531|+      -            357 132857at6656         -            201   1.5e-11   41.2  15.9   3   3   2.7e-05    0.0028   14.2   1.3    18   147   216   352   213   357 0.59 -
132857at6656_72036_0:00037d|TRINITY_DN85551_c9_g1_i1:724-1248|-     -            175 132857at6656         -            201   1.7e-11   41.1   9.9   1   2   9.1e-08   9.5e-06   22.3   2.9    96   146    39    96    31   102 0.84 -
132857at6656_72036_0:00037d|TRINITY_DN85551_c9_g1_i1:724-1248|-     -            175 132857at6656         -            201   1.7e-11   41.1   9.9   2   2    0.0041      0.43    7.1   0.1    21    51   134   164   129   172 0.75 -
132857at6656_88501_0:0018fa|TRINITY_DN84755_c16_g1_i1:358-876|+     -            173 132857at6656         -            201   1.2e-10   38.3   0.1   1   1   7.6e-11     8e-09   32.3   0.1    24   153    19   173    16   173 0.75 -
87527at6656_121845_0:0018b4|TRINITY_DN75940_c8_g5_i1:0-344|-        -            115 132857at6656         -            201     5e-10   36.3   3.7   1   1   6.6e-11   6.9e-09   32.5   3.7    50   141     4   113     1   115 0.51 -
87527at6656_6669_0:004541|TRINITY_DN71258_c0_g1_i1:522-1139|+       -            206 132857at6656         -            201   5.3e-10   36.2  12.3   1   2   2.2e-07   2.3e-05   21.0   1.0   104   162    17    82     3    89 0.84 -
87527at6656_6669_0:004541|TRINITY_DN71258_c0_g1_i1:522-1139|+       -            206 132857at6656         -            201   5.3e-10   36.2  12.3   2   2     6e-07   6.3e-05   19.6   3.2    24   129    91   204    79   206 0.68 -
132857at6656_378494_0:004f86|TRINITY_DN91669_c1_g1_i4:2064-2432|+   -            123 132857at6656         -            201   8.6e-10   35.5   0.2   1   1   1.6e-09   1.7e-07   28.0   0.2    41   141     4   123     2   123 0.69 -
132857at6656_378494_0:004f86|TRINITY_DN92851_c12_g1_i1:541-897|+    -            119 132857at6656         -            201   3.2e-08   30.4   5.7   1   2   3.6e-07   3.8e-05   20.3   0.7   105   150     4    57     1    61 0.76 -
132857at6656_378494_0:004f86|TRINITY_DN92851_c12_g1_i1:541-897|+    -            119 132857at6656         -            201   3.2e-08   30.4   5.7   2   2   2.8e-05    0.0029   14.2   1.8   102   153    48   107    47   111 0.70 -
87527at6656_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+       -            171 132857at6656         -            201   9.8e-08   28.8   8.8   1   2   8.9e-07   9.3e-05   19.1   0.6    97   153     5    62     2    67 0.89 -
87527at6656_34740_0:003847|TRINITY_DN93585_c4_g4_i2:295-807|+       -            171 132857at6656         -            201   9.8e-08   28.8   8.8   2   2   5.3e-05    0.0056   13.3   1.9    76   147    69   145    65   158 0.77 -
87527at6656_1155016_0:000bd3|TRINITY_DN72727_c13_g1_i14:1266-1628|+ -            121 132857at6656         -            201   1.7e-07   28.0   2.0   1   2   0.00092     0.096    9.2   0.1    21    40    21    40     2    52 0.67 -
87527at6656_1155016_0:000bd3|TRINITY_DN72727_c13_g1_i14:1266-1628|+ -            121 132857at6656         -            201   1.7e-07   28.0   2.0   2   2   1.4e-08   1.5e-06   24.9   1.5    21    84    21    90    13   120 0.75 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 132857at6656         -            201   5.4e-07   26.4   4.0   1   2       1.5   1.6e+02   -1.3   0.1    66    79    41    55    26    78 0.44 -
87575at6656_222816_0:00118d|TRINITY_DN93447_c4_g1_i4:373-1077|+     -            235 132857at6656         -            201   5.4e-07   26.4   4.0   2   2   5.2e-09   5.4e-07   26.4   4.0    67   176   102   219    87   225 0.84 -
87527at6656_121845_0:002a7b|TRINITY_DN78702_c6_g4_i1:18-188|-       -             57 132857at6656         -            201   1.3e-06   25.1   0.2   1   1   1.9e-08     2e-06   24.5   0.2    96   136     8    55     1    57 0.59 -
123853at6656_133901_0:0038ef|TRINITY_DN80803_c3_g1_i2:104-799|+     -            232 132857at6656         -            201   1.1e-05   22.1   2.4   1   1     2e-07   2.1e-05   21.2   2.3    98   179    40   128     3   137 0.75 -
113668at6656_136037_0:00184c|TRINITY_DN71058_c0_g2_i1:401-1429|+    -            343 132857at6656         -            201    0.0087   12.6   7.2   1   2         2   2.1e+02   -1.7   0.0   129   157   129   157   127   159 0.80 -
113668at6656_136037_0:00184c|TRINITY_DN71058_c0_g2_i1:401-1429|+    -            343 132857at6656         -            201    0.0087   12.6   7.2   2   2   0.00068     0.071    9.6   5.7    67   131   252   328   229   336 0.66 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/132857at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/132857at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/132857at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:07 2026
# [ok]
