#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
61577at6656_123851_0:001293|TRINITY_DN91692_c18_g3_i1:34-210|+   -             59 61577at6656          -            458   2.3e-25   86.7   0.3   1   1   7.3e-28   2.5e-25   86.6   0.3     9    66     1    58     1    59 0.98 -
85103at6656_35570_0:00042a|TRINITY_DN90349_c8_g1_i1:883-2055|-   -            391 61577at6656          -            458   8.8e-09   32.1   8.9   5   5     0.011       3.6    3.7   0.3   257   301   325   370   318   375 0.85 -
85103at6656_178035_0:000b28|TRINITY_DN75683_c14_g1_i1:58-1182|+  -            375 61577at6656          -            458   1.7e-07   27.8   5.6   1   3   9.6e-07   0.00032   17.0   0.1     9    46     2    39     1    51 0.90 -
85103at6656_178035_0:000b28|TRINITY_DN75683_c14_g1_i1:58-1182|+  -            375 61577at6656          -            458   1.7e-07   27.8   5.6   2   3   0.00032      0.11    8.7   0.2   179   244    74   141    69   235 0.69 -
85103at6656_178035_0:000b28|TRINITY_DN75683_c14_g1_i1:58-1182|+  -            375 61577at6656          -            458   1.7e-07   27.8   5.6   3   3     0.049        16    1.5   0.1   184   253   242   315   236   329 0.70 -
85103at6656_378494_0:00557a|TRINITY_DN82179_c5_g1_i2:2315-2893|- -            193 61577at6656          -            458   3.3e-06   23.6   0.2   1   1   1.3e-08   4.3e-06   23.2   0.2     5   135     1   136     1   145 0.78 -
85103at6656_48709_0:001731|TRINITY_DN72464_c15_g3_i1:1575-2210|- -            212 61577at6656          -            458   5.9e-06   22.7   5.7   1   3   9.7e-06    0.0033   13.7   0.1   258   301    15    58     4    62 0.91 -
85103at6656_48709_0:001731|TRINITY_DN72464_c15_g3_i1:1575-2210|- -            212 61577at6656          -            458   5.9e-06   22.7   5.7   2   3    0.0011      0.38    6.9   0.2   182   222    61   101    55   124 0.71 -
85103at6656_48709_0:001731|TRINITY_DN72464_c15_g3_i1:1575-2210|- -            212 61577at6656          -            458   5.9e-06   22.7   5.7   3   3    0.0077       2.6    4.1   0.1   180   222   163   205   158   211 0.88 -
98251at6656_136037_0:001aa7|TRINITY_DN74066_c7_g1_i1:1-765|+     -            255 61577at6656          -            458     0.016   11.4   0.1   1   1   7.7e-05     0.026   10.7   0.1     5    44     9    50     7    60 0.79 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458      0.36    7.0  11.9   1   4    0.0019      0.65    6.1   0.0     5    48     1    44     1    47 0.92 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458      0.36    7.0  11.9   2   4     0.036        12    1.9   0.1   198   221    50    73    47    78 0.90 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458      0.36    7.0  11.9   3   4     0.078        26    0.8   3.2   211   289    93   177    76   210 0.65 -
85103at6656_30025_0:0009b7|TRINITY_DN83619_c7_g2_i2:1911-2867|-  -            319 61577at6656          -            458      0.36    7.0  11.9   4   4     0.081        27    0.8   0.0   189   221   278   310   221   316 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/61577at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/61577at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/61577at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
