#                                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53318at6656_136037_0:0022da|TRINITY_DN80344_c7_g1_i9:126-1689|-   -            396 53318at6656          -            341  5.5e-121  401.0   6.6   1   1  1.7e-122  2.4e-120  398.9   6.6     7   340    10   395     5   396 0.86 -
70201at6656_88501_0:00102e|TRINITY_DN71310_c0_g1_i1:1282-2124|+   -            281 53318at6656          -            341     0.023   11.0   0.1   2   2      0.16        24    1.1   0.1   133   189   139   193    74   244 0.71 -
26653at6656_32264_0:0027df|TRINITY_DN88590_c10_g1_i2:347-1720|-   -            458 53318at6656          -            341      0.11    8.8   4.4   1   3     0.011       1.5    5.0   0.1    27    71     1    49     1    67 0.79 -
26653at6656_32264_0:0027df|TRINITY_DN88590_c10_g1_i2:347-1720|-   -            458 53318at6656          -            341      0.11    8.8   4.4   2   3       1.6   2.3e+02   -2.1   0.2   268   290   208   230   187   261 0.43 -
26653at6656_32264_0:0027df|TRINITY_DN88590_c10_g1_i2:347-1720|-   -            458 53318at6656          -            341      0.11    8.8   4.4   3   3     0.011       1.6    5.0   0.0    22    46   310   334   291   338 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/53318at6656.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/hmmer_output/initial_run_results/53318at6656.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/arthropoda_odb10/hmms/53318at6656.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/arthropoda_longest_isoform/run_arthropoda_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:24:09 2026
# [ok]
