#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
81307at6656_224129_0:002676|TRINITY_DN92254_c0_g4_i1:77-1051|+     -            325 81307at6656          -            284  1.7e-125  415.4  14.4   1   1    9e-127    2e-125  415.2  14.4     1   284     4   321     4   321 0.90 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 81307at6656          -            284   4.5e-23   79.4   0.8   2   2     0.038      0.85    6.3   0.0    91   153   450   512   439   513 0.58 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 81307at6656          -            284   6.8e-23   78.8   0.3   1   2   3.5e-08   7.7e-07   26.1   0.1    98   189   238   329   229   338 0.46 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 81307at6656          -            284   6.8e-23   78.8   0.3   2   2   1.9e-15   4.2e-14   49.9   0.0    11   152   357   503   349   504 0.81 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 81307at6656          -            284     3e-22   76.6  23.2   1   3   1.7e-09   3.8e-08   30.4   6.7    51   158   109   229    97   242 0.76 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 81307at6656          -            284     3e-22   76.6  23.2   2   3   1.6e-09   3.6e-08   30.4   6.0   164   272   261   362   259   366 0.80 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 81307at6656          -            284     3e-22   76.6  23.2   3   3   9.9e-09   2.2e-07   27.9   1.0    37   108   348   419   342   424 0.89 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 81307at6656          -            284   6.2e-22   75.6   0.1   1   2   8.6e-16   1.9e-14   51.0   0.1    36   206     8   180     2   188 0.85 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 81307at6656          -            284   6.2e-22   75.6   0.1   2   2   1.7e-06   3.9e-05   20.5   0.0   147   213   243   307   224   313 0.82 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 81307at6656          -            284   1.9e-21   74.0   2.7   1   1   9.3e-21   2.1e-19   67.3   2.3     7   256    36   304    30   306 0.75 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 81307at6656          -            284   3.3e-21   73.2   0.0   1   2   2.9e-10   6.5e-09   32.9   0.0    17   113    22   122     5   129 0.86 -
31196at6656_294128_0:001123|TRINITY_DN87264_c2_g1_i15:1073-4077|-  -            820 81307at6656          -            284   3.3e-21   73.2   0.0   2   2   8.9e-12     2e-10   37.9   0.0    35   152   129   244   121   258 0.86 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 81307at6656          -            284   1.1e-20   71.5   0.1   1   3   2.7e-08   6.1e-07   26.4   0.0    39   149     2   114     1   124 0.64 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 81307at6656          -            284   1.1e-20   71.5   0.1   2   3   1.6e-06   3.5e-05   20.7   0.0    47   123   150   228   136   232 0.79 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 81307at6656          -            284   1.1e-20   71.5   0.1   3   3   1.9e-06   4.3e-05   20.4   0.0    43   114   248   319   240   351 0.86 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 81307at6656          -            284   1.6e-20   71.0   6.5   1   2   9.2e-06   0.00021   18.1   0.5    44   129     2    84     1    85 0.91 -
58110at6656_123851_0:00295a|TRINITY_DN82628_c4_g1_i7:1100-1813|+   -            238 81307at6656          -            284   1.6e-20   71.0   6.5   2   2   1.8e-18     4e-17   59.8   2.2    34   194    75   238    63   238 0.82 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 81307at6656          -            284   2.3e-20   70.4   1.3   1   2   8.9e-11     2e-09   34.6   0.1    81   201     1   127     1   144 0.82 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 81307at6656          -            284   2.3e-20   70.4   1.3   2   2   5.8e-11   1.3e-09   35.2   0.1    12   155   150   290   129   295 0.82 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 81307at6656          -            284   2.8e-20   70.2   1.7   1   2     9e-08     2e-06   24.7   0.4    41   108    32    96     4   106 0.89 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 81307at6656          -            284   2.8e-20   70.2   1.7   2   2   6.1e-14   1.3e-12   45.0   0.0    37   194   112   272   104   272 0.84 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 81307at6656          -            284   5.9e-20   69.1   1.1   1   2   8.2e-08   1.8e-06   24.9   0.2    18    85     2    81     1    85 0.82 -
58110at6656_77166_0:00051d|TRINITY_DN80667_c15_g1_i2:221-715|+     -            165 81307at6656          -            284   5.9e-20   69.1   1.1   2   2   1.5e-13   3.3e-12   43.7   0.1    22   109    78   164    70   165 0.89 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 81307at6656          -            284     6e-19   65.8   3.4   1   3   2.1e-14   4.6e-13   46.5   0.2    53   196    58   199    47   210 0.83 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 81307at6656          -            284     6e-19   65.8   3.4   2   3   3.8e-05   0.00085   16.1   0.1    72   202   386   520   361   531 0.74 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 81307at6656          -            284     6e-19   65.8   3.4   3   3    0.0042     0.093    9.4   0.0     7    56   487   538   480   547 0.72 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 81307at6656          -            284   6.9e-19   65.6   2.0   1   2   1.3e-13   2.9e-12   43.9   4.2    95   242     9   152     2   158 0.80 -
19590at6656_76194_0:0029c2|TRINITY_DN90801_c6_g1_i1:311-955|+      -            215 81307at6656          -            284   6.9e-19   65.6   2.0   2   2   2.9e-07   6.5e-06   23.0   0.0     4    82   127   215   124   215 0.76 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 81307at6656          -            284   7.9e-19   65.4   8.1   1   3   2.1e-07   4.6e-06   23.5   0.1    81   154   150   224   126   239 0.57 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 81307at6656          -            284   7.9e-19   65.4   8.1   2   3   8.1e-14   1.8e-12   44.6   1.1    37   155   274   391   266   436 0.85 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 81307at6656          -            284   7.9e-19   65.4   8.1   3   3       3.2        71   -0.1   0.1    37    68   445   480   438   485 0.62 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 81307at6656          -            284   1.1e-18   65.0   0.6   1   2   3.7e-11   8.2e-10   35.8   0.3    33   196    66   225    47   236 0.85 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 81307at6656          -            284   1.1e-18   65.0   0.6   2   2   1.2e-08   2.6e-07   27.6   0.0    38   195   239   408   229   409 0.76 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-        -            112 81307at6656          -            284   1.3e-18   64.7   3.1   1   2   1.7e-13   3.9e-12   43.5   0.7   144   204     1    61     1    67 0.91 -
31196at6656_56086_0:000590|TRINITY_DN81367_c0_g1_i1:6-341|-        -            112 81307at6656          -            284   1.3e-18   64.7   3.1   2   2   3.6e-07   7.9e-06   22.8   0.4   162   196    65    99    54   109 0.84 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+  -            214 81307at6656          -            284   1.6e-18   64.4   1.1   1   2   1.1e-13   2.4e-12   44.2   0.4   137   255    18   135     1   144 0.79 -
107802at6656_52283_0:001de0|TRINITY_DN93438_c7_g1_i18:2564-3205|+  -            214 81307at6656          -            284   1.6e-18   64.4   1.1   2   2   5.9e-06   0.00013   18.8   0.0    40   110   144   213   137   214 0.92 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 81307at6656          -            284   3.5e-18   63.3   8.4   1   3   1.2e-11   2.7e-10   37.4   0.1    77   157   156   238   151   249 0.88 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 81307at6656          -            284   3.5e-18   63.3   8.4   2   3   8.2e-08   1.8e-06   24.9   1.6    55   195   265   410   252   414 0.74 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 81307at6656          -            284   3.5e-18   63.3   8.4   3   3   2.3e-05   0.00052   16.8   0.7    37   152   332   452   325   453 0.76 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 81307at6656          -            284   1.4e-17   61.4   2.8   1   2   3.8e-17   8.3e-16   55.5   0.2    35   195     8   167     4   178 0.92 -
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 81307at6656          -            284   1.4e-17   61.4   2.8   2   2     0.037      0.81    6.3   0.2    41   114   180   254   168   286 0.78 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 81307at6656          -            284   3.2e-17   60.2   3.4   1   2   1.3e-05   0.00028   17.7   0.0    76   115   255   294   250   299 0.87 -
43728at6656_7038_0:00292b|TRINITY_DN72062_c12_g1_i3:271-2117|+     -            572 81307at6656          -            284   3.2e-17   60.2   3.4   2   2   8.5e-12   1.9e-10   37.9   1.4    33   284   301   546   294   546 0.80 -
83755at6656_158441_0:0021ca|TRINITY_DN83983_c5_g2_i1:985-1521|-    -            179 81307at6656          -            284   1.4e-16   58.0   4.1   1   1   2.2e-17   4.9e-16   56.3   4.1     2   149     7   174     6   179 0.78 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 81307at6656          -            284   1.5e-16   57.9   5.8   1   2   3.3e-08   7.4e-07   26.1   0.0    96   198    10   113     4   134 0.77 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 81307at6656          -            284   1.5e-16   57.9   5.8   2   2   8.6e-10   1.9e-08   31.3   3.0    63   212   148   305   142   311 0.75 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 81307at6656          -            284   6.5e-16   55.8   4.8   1   3   2.7e-10     6e-09   33.0   0.2     1   105   155   278   155   285 0.64 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 81307at6656          -            284   6.5e-16   55.8   4.8   2   3     2e-05   0.00045   17.0   0.2    70   114   287   332   280   344 0.83 -
30962at6656_52283_0:001b20|TRINITY_DN74606_c10_g1_i7:456-2223|-    -            386 81307at6656          -            284   6.5e-16   55.8   4.8   3   3      0.38       8.5    3.0   0.1    37    67   354   385   348   386 0.55 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-   -            185 81307at6656          -            284   9.9e-16   55.3   0.1   1   2   2.3e-14   5.2e-13   46.3   0.0    38   112    16    89     8   101 0.91 -
83755at6656_246812_0:001332|TRINITY_DN76062_c4_g3_i5:3316-3870|-   -            185 81307at6656          -            284   9.9e-16   55.3   0.1   2   2     0.019      0.42    7.2   0.0    40    76   115   153   106   184 0.61 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 81307at6656          -            284   2.1e-15   54.2   0.5   1   2    0.0022     0.049   10.3   0.0   177   197     5    25     3    40 0.72 -
81307at6656_158441_0:0028d4|TRINITY_DN82317_c5_g2_i8:402-1043|+    -            214 81307at6656          -            284   2.1e-15   54.2   0.5   2   2   4.6e-13     1e-11   42.1   0.1    40   147    44   151    30   161 0.88 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 81307at6656          -            284   2.3e-15   54.1   3.8   1   2   1.8e-05    0.0004   17.2   0.7   129   196    39   104     2   116 0.77 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 81307at6656          -            284   2.3e-15   54.1   3.8   2   2   6.2e-11   1.4e-09   35.1   0.1    36   194   137   291   127   291 0.79 -
58110at6656_77166_0:00051d|TRINITY_DN82757_c9_g2_i2:397-717|-      -            107 81307at6656          -            284   2.6e-15   53.9   0.2   1   1   6.3e-16   1.4e-14   51.5   0.2    18   113     1   106     1   107 0.85 -
40929at6656_294128_0:003b86|TRINITY_DN79765_c9_g1_i4:59-1915|+     -            619 81307at6656          -            284   3.1e-15   53.6   0.0   1   2       3.9        87   -0.3   0.0   211   268   412   467   404   483 0.71 -
