#                                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118807at6656_126957_0:0026bd|TRINITY_DN71312_c0_g1_i1:186-1061|-   -            292 118807at6656         -            237   1.1e-97  323.7   5.5   1   1   1.1e-98   2.3e-97  322.6   5.5     1   237     9   277     9   277 0.89 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237   5.8e-35  118.3   0.1   3   4   1.3e-07   2.7e-06   24.5   0.1    22   106   211   295   206   303 0.85 -
58110at6656_294128_0:001943|TRINITY_DN84398_c2_g1_i4:188-1763|+    -            429 118807at6656         -            237   5.8e-35  118.3   0.1   4   4     4e-16   8.5e-15   52.3   0.0    21   112   334   428   327   429 0.90 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 118807at6656         -            237   3.5e-34  115.8   1.6   1   2   1.6e-11   3.5e-10   37.2   0.2    44   117     1    74     1    84 0.94 -
83755at6656_7237_0:001b62|TRINITY_DN73621_c6_g1_i3:86-817|+        -            244 118807at6656         -            237   3.5e-34  115.8   1.6   2   2   5.7e-24   1.2e-22   78.0   0.1     4   157    86   242    83   244 0.92 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 118807at6656         -            237   5.6e-34  115.1   4.4   1   3   3.4e-12   7.1e-11   39.5   0.6    42   160    37   161    30   163 0.87 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 118807at6656         -            237   5.6e-34  115.1   4.4   2   3   2.1e-20   4.5e-19   66.3   0.1    18   127   142   254   133   260 0.91 -
71018at6656_2015173_0:001990|TRINITY_DN79895_c5_g1_i1:917-1903|-   -            329 118807at6656         -            237   5.6e-34  115.1   4.4   3   3   1.5e-05   0.00032   17.7   0.1     8    73   262   328   260   329 0.63 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 118807at6656         -            237   2.6e-32  109.7  13.2   1   3   2.9e-22   6.1e-21   72.4   1.1    13   124   171   286   158   286 0.87 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 118807at6656         -            237   2.6e-32  109.7  13.2   2   3   3.9e-12   8.2e-11   39.3   0.6    60   139   264   344   258   366 0.78 -
50947at6656_294128_0:00321d|TRINITY_DN73614_c11_g1_i4:690-2048|+   -            453 118807at6656         -            237   2.6e-32  109.7  13.2   3   3   1.4e-06     3e-05   21.1   0.3    25   116   355   453   335   453 0.71 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 118807at6656         -            237   2.8e-30  103.0  11.5   1   3     1e-07   2.2e-06   24.8   0.1    61   127     3    75     1    81 0.84 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 118807at6656         -            237   2.8e-30  103.0  11.5   2   3   2.3e-13   4.8e-12   43.3   0.1     7   121    80   195    74   200 0.91 -
71018at6656_72036_0:001868|TRINITY_DN92485_c10_g1_i1:647-1453|-    -            269 118807at6656         -            237   2.8e-30  103.0  11.5   3   3   1.3e-12   2.7e-11   40.9   3.5    38   110   196   268   193   269 0.96 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 118807at6656         -            237   3.5e-30  102.7   0.1   1   2   3.4e-21   7.1e-20   69.0   0.1     2   159    38   199    37   202 0.94 -
31196at6656_438502_0:00123a|TRINITY_DN84760_c5_g1_i6:979-1824|-    -            282 118807at6656         -            237   3.5e-30  102.7   0.1   2   2   4.8e-12     1e-10   39.0   0.0    29   134   150   258   148   282 0.89 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 118807at6656         -            237   3.7e-30  102.6   1.3   1   4   8.8e-12   1.9e-10   38.1   0.0    22   121    14   115     6   119 0.91 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 118807at6656         -            237   3.7e-30  102.6   1.3   2   4   7.3e-06   0.00015   18.8   0.0    83   158   120   195   116   204 0.90 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 118807at6656         -            237   3.7e-30  102.6   1.3   3   4   0.00025    0.0053   13.7   0.0    79   129   208   258   202   263 0.87 -
79915at6656_378494_0:0034d5|TRINITY_DN71308_c0_g1_i2:331-1266|-    -            312 118807at6656         -            237   3.7e-30  102.6   1.3   4   4   1.2e-12   2.5e-11   41.0   0.8    10    97   222   311   220   312 0.90 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 118807at6656         -            237     4e-30  102.5   8.4   1   2   6.1e-16   1.3e-14   51.7   0.4    42   137    12   107     2   110 0.95 -
81307at6656_6669_0:000a54|TRINITY_DN79934_c8_g3_i2:3096-3752|-     -            219 118807at6656         -            237     4e-30  102.5   8.4   2   2     9e-18   1.9e-16   57.7   3.5     5   102   100   198    96   210 0.92 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 118807at6656         -            237   1.1e-29  101.1   0.3   1   3   1.1e-15   2.2e-14   51.0   0.0     7   120     5   122     2   151 0.89 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 118807at6656         -            237   1.1e-29  101.1   0.3   2   3   0.00021    0.0044   14.0   0.0    55   121   152   221   132   233 0.78 -
58110at6656_7425_0:001868|TRINITY_DN82468_c10_g1_i3:2498-3553|-    -            352 118807at6656         -            237   1.1e-29  101.1   0.3   3   3   4.1e-10   8.7e-09   32.7   0.0     8    86   248   328   242   333 0.84 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 118807at6656         -            237   2.3e-29  100.0   3.8   1   4    0.0016     0.034   11.1   0.0    84   120     1    37     1    51 0.87 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 118807at6656         -            237   2.3e-29  100.0   3.8   2   4       3.7        78    0.1   0.0    90   116    62    88    58    98 0.73 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 118807at6656         -            237   2.3e-29  100.0   3.8   3   4   1.2e-19   2.5e-18   63.9   0.4     4   164   100   258    97   262 0.91 -
58110at6656_438502_0:0030ca|TRINITY_DN86682_c13_g1_i6:628-2076|-   -            326 118807at6656         -            237   2.3e-29  100.0   3.8   4   4   1.3e-10   2.8e-09   34.3   0.1    21    86   238   304   232   325 0.54 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 118807at6656         -            237   4.5e-29   99.1   6.7   1   2   1.8e-11   3.7e-10   37.1   0.6    38   117   144   224   125   248 0.87 -
44953at6656_378494_0:0043d4|TRINITY_DN80473_c9_g2_i2:504-1961|-    -            486 118807at6656         -            237   4.5e-29   99.1   6.7   2   2   5.1e-20   1.1e-18   65.1   0.8    16   171   288   446   273   479 0.87 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 118807at6656         -            237   9.5e-29   98.0   5.5   1   4       6.6   1.4e+02   -0.7   0.0    14    35   220   241   207   277 0.66 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 118807at6656         -            237   9.5e-29   98.0   5.5   2   4     1e-12   2.1e-11   41.2   0.0    41   120   309   388   304   391 0.94 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 118807at6656         -            237   9.5e-29   98.0   5.5   3   4   1.3e-17   2.7e-16   57.2   0.1    19   119   370   471   368   486 0.91 -
40929at6656_114398_0:003a44|TRINITY_DN75784_c6_g1_i2:2020-3582|-   -            521 118807at6656         -            237   9.5e-29   98.0   5.5   4   4     0.014      0.29    8.0   0.5    45    70   495   520   483   521 0.85 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 118807at6656         -            237   1.2e-28   97.6   0.7   1   4     4e-09   8.5e-08   29.4   0.3    61   162     2   105     1   110 0.85 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 118807at6656         -            237   1.2e-28   97.6   0.7   2   4   6.6e-12   1.4e-10   38.5   0.0    60   141    85   168    71   176 0.88 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 118807at6656         -            237   1.2e-28   97.6   0.7   3   4   1.3e-11   2.7e-10   37.6   0.0    42   134   111   205   105   220 0.83 -
71018at6656_294128_0:0028b8|TRINITY_DN88363_c11_g1_i3:1058-1873|+  -            272 118807at6656         -            237   1.2e-28   97.6   0.7   4   4     0.013      0.28    8.1   0.0    25    73   223   272   214   272 0.80 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 118807at6656         -            237   1.6e-28   97.2   0.7   1   2   1.1e-17   2.4e-16   57.4   0.0     4   118     4   119     1   122 0.96 -
31196at6656_29053_0:0002b6|TRINITY_DN85835_c6_g3_i3:5181-5906|-    -            242 118807at6656         -            237   1.6e-28   97.2   0.7   2   2   6.6e-12   1.4e-10   38.5   0.1    39   117   162   242   140   242 0.87 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 118807at6656         -            237   2.3e-28   96.8   2.0   1   3     4e-16   8.5e-15   52.3   0.6    56   169   233   348   218   352 0.92 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 118807at6656         -            237   2.3e-28   96.8   2.0   2   3     0.015      0.32    7.9   0.0    89   123   352   386   348   391 0.88 -
58119at6656_294128_0:00225d|TRINITY_DN76830_c5_g1_i5:633-2144|+    -            504 118807at6656         -            237   2.3e-28   96.8   2.0   3   3   1.2e-10   2.5e-09   34.5   0.1     4   115   392   503   389   504 0.90 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 118807at6656         -            237   8.7e-28   94.9   0.0   1   3   9.8e-11   2.1e-09   34.7   0.0    42   158     8   128     2   132 0.66 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 118807at6656         -            237   8.7e-28   94.9   0.0   2   3   8.9e-10   1.9e-08   31.6   0.0     6   129    99   182    96   206 0.56 -
107802at6656_133901_0:0038d3|TRINITY_DN85368_c12_g1_i1:4-957|+     -            318 118807at6656         -            237   8.7e-28   94.9   0.0   3   3   4.4e-11   9.4e-10   35.8   0.0    23   118   199   295   186   313 0.83 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 118807at6656         -            237   1.4e-27   94.2   2.9   1   4   5.4e-14   1.1e-12   45.4   0.1    51   136    50   134     3   136 0.82 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 118807at6656         -            237   1.4e-27   94.2   2.9   2   4   1.1e-17   2.3e-16   57.5   0.4    60   169   100   211    96   215 0.91 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 118807at6656         -            237   1.4e-27   94.2   2.9   3   4     0.043       0.9    6.4   0.0    84   162   393   470   385   478 0.75 -
83755at6656_38123_0:002ff9|TRINITY_DN77327_c10_g2_i3:237-1889|+    -            551 118807at6656         -            237   1.4e-27   94.2   2.9   4   4      0.14         3    4.7   0.0     8    34   488   514   483   521 0.84 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 118807at6656         -            237     2e-27   93.7   4.6   1   3    0.0083      0.17    8.8   0.1    85   136    31    84    24    88 0.88 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 118807at6656         -            237     2e-27   93.7   4.6   2   3   1.3e-11   2.7e-10   37.6   0.8    16    82    89   156    81   175 0.83 -
22611at6656_294128_0:001f92|TRINITY_DN87761_c2_g1_i2:560-3062|+    -            680 118807at6656         -            237     2e-27   93.7   4.6   3   3   8.3e-14   1.7e-12   44.8   0.1    41   152   166   279   158   286 0.81 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 118807at6656         -            237   2.5e-27   93.3   2.4   1   6       5.9   1.2e+02   -0.6   0.0   107   141    32    66    18    84 0.62 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 118807at6656         -            237   2.5e-27   93.3   2.4   2   6    0.0014      0.03   11.3   0.1     7   121    98   222    94   228 0.72 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 118807at6656         -            237   2.5e-27   93.3   2.4   3   6       0.8        17    2.3   0.0    83   138   298   354   284   368 0.83 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 118807at6656         -            237   2.5e-27   93.3   2.4   4   6   1.2e-10   2.5e-09   34.4   0.0     7   129   348   472   342   485 0.75 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 118807at6656         -            237   2.5e-27   93.3   2.4   5   6     1e-10   2.2e-09   34.6   0.0    60   155   488   588   477   597 0.85 -
13934at6656_35525_0:003a55|TRINITY_DN80523_c6_g1_i3:214-3218|-     -            913 118807at6656         -            237   2.5e-27   93.3   2.4   6   6     0.085       1.8    5.4   0.0     7    52   625   671   620   681 0.78 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 118807at6656         -            237   5.9e-27   92.1   5.8   1   3   3.2e-05   0.00068   16.6   0.1    45    84     3    42     1    56 0.82 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 118807at6656         -            237   5.9e-27   92.1   5.8   2   3     1e-08   2.1e-07   28.1   0.2    22   116    64   159    51   168 0.83 -
58110at6656_34638_0:00296c|TRINITY_DN73327_c12_g1_i2:637-1737|-    -            367 118807at6656         -            237   5.9e-27   92.1   5.8   3   3     5e-15   1.1e-13   48.7   0.2    23   154   228   366   214   367 0.81 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 118807at6656         -            237   8.3e-27   91.6   0.0   1   3    0.0001    0.0022   15.0   0.1    49   112    20    85     3    95 0.47 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 118807at6656         -            237   8.3e-27   91.6   0.0   2   3   2.8e-07   5.9e-06   23.4   0.0    37   121    94   176    81   186 0.83 -
83755at6656_54969_0:0008c2|TRINITY_DN86669_c5_g1_i3:575-1495|-     -            307 118807at6656         -            237   8.3e-27   91.6   0.0   3   3     2e-15   4.3e-14   50.0   0.0    11   109   196   299   189   304 0.90 -
31196at6656_52612_0:00426e|TRINITY_DN82372_c8_g1_i4:2751-3257|-    -            169 118807at6656         -            237   3.7e-26   89.5   0.1   1   1   2.3e-27   4.8e-26   89.1   0.1     5   156     5   163     1   169 0.89 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 118807at6656         -            237   6.5e-26   88.7  17.9   1   6       2.1        44    0.9   0.2   160   205    23    67    15    86 0.71 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 118807at6656         -            237   6.5e-26   88.7  17.9   2   6   5.4e-06   0.00011   19.2   0.1    48   129    63   145    57   154 0.84 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 118807at6656         -            237   6.5e-26   88.7  17.9   3   6   8.9e-08   1.9e-06   25.0   0.1    26    80   169   226   164   236 0.85 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 118807at6656         -            237   6.5e-26   88.7  17.9   4   6   4.1e-05   0.00088   16.3   1.2    24   168   318   468   312   487 0.60 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 118807at6656         -            237   6.5e-26   88.7  17.9   5   6   9.4e-11     2e-09   34.8   0.4     6   138   486   619   481   623 0.90 -
31119at6656_133901_0:003be5|TRINITY_DN87686_c12_g1_i5:196-2867|-   -            796 118807at6656         -            237   6.5e-26   88.7  17.9   6   6    0.0013     0.027   11.4   0.1    13    54   577   619   566   668 0.66 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 118807at6656         -            237   8.3e-25   85.1   0.4   1   4    0.0043     0.091    9.7   0.0    55   117    78   148    60   156 0.78 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 118807at6656         -            237   8.3e-25   85.1   0.4   2   4    0.0015     0.033   11.1   0.0    57   123   130   195   123   197 0.89 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 118807at6656         -            237   8.3e-25   85.1   0.4   3   4     6e-14   1.3e-12   45.2   0.0     8   124   163   280   158   285 0.91 -
71018at6656_6669_0:00018d|TRINITY_DN91122_c1_g3_i1:21-1097|+       -            359 118807at6656         -            237   8.3e-25   85.1   0.4   4   4   3.7e-08   7.8e-07   26.3   0.0     4    73   285   356   282   358 0.88 -
31119at6656_56086_0:003184|TRINITY_DN71555_c11_g1_i1:665-1303|+    -            213 118807at6656         -            237   1.9e-24   83.9   0.3   1   1   1.2e-25   2.6e-24   83.5   0.3     2   161    31   195    30   206 0.91 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 118807at6656         -            237   2.5e-24   83.6   2.6   1   3   7.7e-15   1.6e-13   48.1   0.1     6   120   215   339   212   341 0.85 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 118807at6656         -            237   2.5e-24   83.6   2.6   2   3   1.7e-13   3.5e-12   43.8   0.3    57   128   318   389   317   408 0.92 -
44504at6656_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-   -            513 118807at6656         -            237   2.5e-24   83.6   2.6   3   3     0.022      0.46    7.4   0.2    20   115   413   511   408   512 0.82 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 118807at6656         -            237   3.3e-24   83.2   1.1   1   3   1.5e-11   3.3e-10   37.3   0.5    39   119    66   146    60   154 0.94 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 118807at6656         -            237   3.3e-24   83.2   1.1   2   3   9.6e-07     2e-05   21.6   0.0    57   127   207   280   170   296 0.84 -
116982at6656_6669_0:00100a|TRINITY_DN75389_c16_g1_i4:47-1689|+     -            409 118807at6656         -            237   3.3e-24   83.2   1.1   3   3   1.4e-08     3e-07   27.6   0.0    45   173   240   383   240   388 0.79 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 118807at6656         -            237   4.3e-24   82.8  17.4   1   4     0.084       1.8    5.5   0.0   131   159   101   129    98   139 0.67 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 118807at6656         -            237   4.3e-24   82.8  17.4   2   4   5.1e-06   0.00011   19.3   5.7    49   122   153   230   136   245 0.79 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 118807at6656         -            237   4.3e-24   82.8  17.4   3   4   7.3e-09   1.5e-07   28.6   0.1    34   122   254   340   245   345 0.89 -
96971at6656_7425_0:000cf5|TRINITY_DN76209_c5_g1_i2:119-1390|+      -            424 118807at6656         -            237   4.3e-24   82.8  17.4   4   4   4.1e-11   8.6e-10   36.0   0.2    81   156   344   422   338   424 0.86 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 118807at6656         -            237   6.1e-24   82.3   0.1   1   3   2.2e-13   4.6e-12   43.4   0.1     4   140     5   146     2   159 0.78 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 118807at6656         -            237   6.1e-24   82.3   0.1   2   3   2.5e-09   5.4e-08   30.1   0.0    60   127   157   224   152   248 0.92 -
96592at6656_294128_0:0045ca|TRINITY_DN71446_c0_g2_i2:468-1442|+    -            325 118807at6656         -            237   6.1e-24   82.3   0.1   3   3      0.17       3.6    4.5   0.0    81   114   278   311   244   317 0.89 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 118807at6656         -            237   6.3e-24   82.2   0.5   1   2     2e-15   4.3e-14   50.0   0.0    11   127    94   212    84   222 0.79 -
66229at6656_133901_0:0031e9|TRINITY_DN77260_c8_g1_i1:4-1521|+      -            506 118807at6656         -            237   6.3e-24   82.2   0.5   2   2   3.4e-09   7.2e-08   29.7   0.1    68   127   235   294   212   315 0.84 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 118807at6656         -            237   8.8e-24   81.7   5.2   1   4      0.28       5.9    3.8   0.0    56   118    70   128    43   145 0.65 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 118807at6656         -            237   8.8e-24   81.7   5.2   2   4     5e-10   1.1e-08   32.4   0.0    25   155   163   298   155   318 0.83 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 118807at6656         -            237   8.8e-24   81.7   5.2   3   4      0.23       4.8    4.1   0.0    40    88   473   521   437   538 0.69 -
13858at6656_378494_0:0073ca|TRINITY_DN69814_c0_g1_i1:182-2845|-    -            888 118807at6656         -            237   8.8e-24   81.7   5.2   4   4   2.1e-12   4.5e-11   40.2   3.3    14   125   488   599   477   608 0.86 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 118807at6656         -            237   1.9e-23   80.7   1.5   1   2   3.3e-10   6.9e-09   33.0   0.1     8   116     6   121     1   139 0.72 -
58110at6656_64838_0:000948|TRINITY_DN79169_c10_g1_i2:2852-3739|-   -            296 118807at6656         -            237   1.9e-23   80.7   1.5   2   2   1.8e-14   3.8e-13   46.9   0.1    20   156   156   288   150   294 0.87 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 118807at6656         -            237   1.3e-22   78.0   1.9   1   3   2.6e-09   5.5e-08   30.0   0.1    56   161     3   108     1   120 0.87 -
71018at6656_286706_0:003768|TRINITY_DN89883_c1_g1_i8:2350-3222|+   -            291 118807at6656         -            237   1.3e-22   78.0   1.9   2   3   7.6e-07   1.6e-05   22.0   0.0    86   165   139   220   127   231 0.73 -
